@relation data

@attribute id string
@attribute 2646 numeric
@attribute 2645 numeric
@attribute 55746 numeric
@attribute 23511 numeric
@attribute 79023 numeric
@attribute 6517 numeric
@attribute 6514 numeric
@attribute 6515 numeric
@attribute 23279 numeric
@attribute 79902 numeric
@attribute 6513 numeric
@attribute 9883 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 348995 numeric
@attribute 11097 numeric
@attribute 53371 numeric
@attribute 9972 numeric
@attribute 8480 numeric
@attribute 9631 numeric
@attribute 8021 numeric
@attribute 3099 numeric
@attribute 3101 numeric
@attribute 3098 numeric
@attribute 23225 numeric
@attribute 9818 numeric
@attribute 8086 numeric
@attribute 57122 numeric
@attribute 23165 numeric
@attribute 5903 numeric
@attribute 2538 numeric
@attribute 7175 numeric
@attribute 9688 numeric
@attribute 129401 numeric
@attribute 81929 numeric
@attribute 2542 numeric
@attribute 10762 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.033,-0.0725,1.2719,1.559,1.113,-0.1413,-0.0686,2.2124,1.5518,1.0152,0.7057,0.7887,1.8716,1.7406,1.6503,0.9331,1.0429,1.6197,0.9643,1.7616,1.1994,0.2692,0.9774,0.5646,1.4126,1.4573,1.16,1.2246,1.781,2.4923,-0.056,1.9711,0.8706,0.707,1.475,0.4658,0.9924,Control
A02,0.0576,0.0595,1.0194,1.231,0.8601,-0.0454,-0.0832,1.8756,1.149,0.6466,0.6284,0.463,1.5999,1.4673,1.2745,0.5968,0.809,1.4304,0.7338,1.418,0.9104,0.2585,1.0388,0.5452,1.0923,1.1014,0.8312,0.8946,1.4507,2.2523,-0.0668,1.6312,0.742,0.3625,1.1084,0.2202,0.7877,Control
A03,-0.0284,0.027,1.1758,1.4163,1.0509,0.028,-0.0929,2.2929,1.2156,0.8692,0.7337,0.7508,1.6654,1.5975,1.2742,0.7366,0.9157,1.5408,0.9729,1.6312,1.1255,0.3822,1.3051,0.6117,1.4092,1.3599,0.9591,1.0998,1.6501,2.2838,-0.0901,1.785,0.9594,0.4868,1.261,0.3529,1.0438,Control
A04,0.0014,0.0236,1.0599,1.2665,0.7024,-0.0078,-0.0708,2.2088,1.0713,0.6269,0.769,0.5594,1.6618,1.4678,1.3348,0.5699,0.839,1.4799,0.8062,1.5554,0.9735,0.1612,0.9648,0.5447,1.4377,1.0888,0.728,0.8743,1.5614,2.4381,-0.1066,1.7619,0.7138,0.5264,1.0613,0.3331,0.6573,Control
A05,-0.0282,-0.0138,1.1941,1.3788,0.9305,-0.0265,-0.0666,2.275,1.2609,0.7466,0.6386,0.7742,1.5829,1.634,1.4387,0.816,0.8649,1.5712,0.9451,1.6548,1.1461,0.3028,1.5404,0.6485,1.3625,1.2936,1.0226,0.9672,1.5985,2.3341,-0.068,1.797,0.9219,0.4824,1.2879,0.3109,0.8523,Control
A06,-0.0344,-0.0114,1.1345,1.3327,0.8531,-0.0768,-0.0574,2.4851,1.2489,0.7531,0.5391,0.58,1.5326,1.5316,1.2963,0.7379,0.7973,1.4058,0.8893,1.5439,1.1105,0.3578,1.3195,0.5774,1.2983,1.2429,1.0083,0.9473,1.5396,2.3524,-0.0776,1.5999,0.8654,0.4659,1.2153,0.3169,0.8937,Control
A07,-0.0041,0.0284,1.1774,1.2873,0.9491,-0.1584,-0.0546,2.2677,1.4262,0.9098,0.6744,0.8226,1.6565,1.6599,1.4989,0.8727,0.9505,1.5655,0.9469,1.6005,1.2095,0.5118,1.1829,0.588,1.4037,1.4865,0.9487,1.0432,1.6216,2.4787,-0.0797,1.778,0.9113,0.6323,1.3738,0.3172,0.9877,Control
A08,-0.0763,-0.0503,1.2138,1.3448,0.8774,-0.1304,-0.1311,1.853,1.4512,0.8676,0.5971,0.9083,1.6717,1.6303,1.4121,0.7243,1.0533,1.6948,0.8257,1.6376,1.3571,0.3109,0.8672,0.5819,1.4937,1.5301,0.8335,1.0932,1.6363,2.5038,-0.0551,2.0249,0.9033,0.8816,1.2391,0.3377,0.9117,Control
A09,0.0021,-0.0102,1.0276,1.3604,0.9604,-0.1066,-0.0658,2.2796,1.3406,0.7555,0.5821,0.6299,1.6925,1.6396,1.2829,0.7401,0.7615,1.4506,0.898,1.4273,1.19,0.395,1.0264,0.5461,1.3474,1.365,0.935,1.1025,1.4965,2.2813,-0.082,1.7107,0.8824,0.5181,1.2932,0.3669,0.943,Control
A10,-0.0177,-0.0026,1.2229,1.3589,0.8929,-0.0434,-0.1124,2.2177,1.2814,0.809,0.7734,0.7326,1.5354,1.6361,1.4783,0.7537,0.9648,1.6748,0.8681,1.7359,1.2353,0.5263,1.1307,0.5709,1.4806,1.5062,0.838,1.082,1.733,2.5811,-0.0798,1.8496,0.8718,0.8031,1.1613,0.317,0.949,Control
