@relation data

@attribute id string
@attribute 3265 numeric
@attribute 5894 numeric
@attribute 6464 numeric
@attribute 5577 numeric
@attribute 5604 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 207 numeric
@attribute 5290 numeric
@attribute 3480 numeric
@attribute 2885 numeric
@attribute 5573 numeric
@attribute 5576 numeric
@attribute 107 numeric
@attribute 5575 numeric
@attribute 5595 numeric
@attribute 3667 numeric
@attribute 7533 numeric
@attribute 572 numeric
@attribute 5295 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute 6195 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.4247,1.7847,0.75,0.9927,0.718,1.1308,-0.1281,0.6045,1.6169,0.4787,1.6544,1.8462,1.1601,-0.0192,0.0738,1.0783,0.254,1.2277,0.2521,1.4782,1.1294,1.7309,0.9065,Control
A02,0.3701,1.5429,0.7973,1.124,0.4692,0.9731,-0.1142,0.5571,1.3286,0.1548,1.493,1.8492,1.0518,0.0821,0.0916,1.0214,0.2228,1.4211,0.1564,1.1561,0.9018,1.6299,0.9246,Control
A03,0.3745,1.7349,0.7917,1.0311,0.6904,0.9868,-0.1007,0.6699,1.4291,0.1714,1.7906,1.9151,1.2293,0.0731,0.0982,1.0584,0.1815,1.4184,0.1963,1.3011,1.1313,1.8758,1.0222,Control
A04,0.3589,1.6725,0.7946,1.3233,0.4999,1.1682,-0.1378,0.6114,1.383,0.2035,1.4914,1.8358,1.2172,0.0545,0.1327,1.0435,0.1153,1.3701,0.2622,1.4673,1.0307,1.7145,1.0052,Control
A05,0.4809,1.808,0.89,1.4262,0.7099,1.0421,-0.0876,0.7362,1.5208,0.2874,1.8851,1.969,1.2952,0.0309,0.1199,1.1978,0.2302,1.6673,0.324,1.3057,1.0492,1.9408,1.1126,Control
A06,0.2391,1.7489,0.7604,1.0306,0.6673,0.8643,-0.1601,0.6349,1.4163,0.3073,1.5864,1.9546,1.1572,0.0369,0.0659,0.9874,0.1823,1.1575,0.24,1.3466,0.8863,1.8446,0.9801,Control
A07,0.3621,1.7704,0.7917,1.1618,0.8479,1.1382,-0.1365,0.5857,1.6368,0.5026,1.89,2.0169,1.2646,0.0671,0.1122,0.9702,0.1599,1.5147,0.246,1.6128,1.1809,1.882,0.9852,Control
A08,0.2915,1.7386,0.777,0.8313,0.8635,1.1867,-0.0345,0.5257,1.8021,0.8634,1.7425,1.7149,1.1512,0.0084,0.0231,0.9939,0.0951,1.0448,0.0928,1.7107,1.4746,1.9122,0.8456,Control
A09,0.3464,1.6393,0.7709,1.1797,0.7596,1.096,-0.253,0.5517,1.4941,0.5725,1.8554,1.9165,1.0899,0.0396,0.1031,0.99,0.1435,1.4074,0.2173,1.5301,1.0011,1.8315,0.827,Control
A10,0.3978,1.7838,0.7829,1.4077,0.7992,1.2565,-0.1074,0.5517,1.743,0.3038,1.8284,1.917,1.2472,-0.0054,0.0625,0.9237,0.155,1.5129,0.2166,1.6455,1.3376,1.9225,0.9676,Control
A11,0.2849,1.2871,0.5757,0.8754,0.5921,0.8992,-0.0094,0.5283,1.2242,0.2811,1.5674,1.7269,0.9303,0.0065,0.0163,0.9765,0.1501,1.3334,0.1606,1.2045,0.7411,1.8048,0.7337,Control
A12,0.1934,1.1725,0.5602,1.3159,0.3092,0.9088,-0.3354,0.3826,0.9277,0.1116,1.1338,1.3679,0.8799,0.1418,0.1319,0.6537,0.1526,1.1176,0.0686,0.9724,0.5264,1.2884,0.6804,Control
B01,0.1464,1.6457,0.5727,0.9253,0.6422,0.9636,-0.275,0.3787,1.4936,0.5865,1.513,1.7933,1.0247,0.1211,-0.0478,0.7649,0.1695,0.9992,-0.025,1.579,0.9155,1.5393,0.6135,Control
B02,0.3374,1.8628,0.8993,1.0405,0.6051,1.0223,-0.1605,0.6586,1.4558,0.3039,1.6209,2.0443,1.2542,0.0335,0.0942,1.0793,0.0848,1.2788,0.2649,1.7588,0.8818,1.7139,0.9415,Control
B03,0.2578,1.7257,0.7096,0.5802,0.6391,1.0227,-0.1774,0.5588,1.5497,0.3365,1.5833,2.0069,1.1604,-0.0049,-0.0366,0.9322,0.0753,1.0836,0.1564,1.9606,0.9292,1.7231,0.8717,BRCACancer
B04,0.1672,1.725,0.7034,1.2047,0.7937,1.2316,-0.0269,0.5084,1.609,0.5077,1.6575,1.6295,1.0446,0.0414,0.0775,0.7103,0.237,1.0923,0.0836,1.5843,1.4407,1.892,0.8704,BRCACancer
