@relation data

@attribute id string
@attribute 3594 numeric
@attribute 920 numeric
@attribute 3593 numeric
@attribute 3595 numeric
@attribute 6775 numeric
@attribute 4843 numeric
@attribute 3592 numeric
@attribute 914 numeric
@attribute 915 numeric
@attribute 916 numeric
@attribute 7297 numeric
@attribute 917 numeric
@attribute 3717 numeric
@attribute 3458 numeric
@attribute 1234 numeric
@attribute 919 numeric
@attribute 2833 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.8794,1.6895,-0.0509,0.3699,1.9208,-0.0259,0.0496,2.0317,2.2816,2.164,1.0858,2.3141,1.1832,0.7344,1.2883,0.7787,0.5685,Control
A02,0.7568,1.432,-0.052,0.2482,1.4751,0.0249,0.0278,1.619,1.9895,1.8639,0.8885,2.276,1.0583,1.6345,1.2704,0.4601,0.2489,Control
A03,1.0784,1.5818,0.0619,0.4199,1.5108,-0.016,0.0514,1.8192,1.9398,1.726,1.1618,2.3253,1.4846,2.2035,1.6885,0.6678,0.9034,Control
A04,0.817,1.5443,-0.0711,0.1506,1.7302,-0.0311,0.2051,2.0697,1.9869,1.8071,0.9933,2.3006,0.8542,0.6827,0.7166,0.7131,0.5976,Control
A05,0.9511,1.816,-0.0381,0.2436,1.5055,0.0087,0.1003,1.4991,1.5613,1.5181,1.1512,1.9004,1.2997,0.6381,1.0837,0.7498,0.4946,Control
A06,0.7305,1.6757,-5e-04,0.4753,1.6185,-0.0127,0.0585,1.4059,1.5105,1.4556,1.0725,1.709,1.0757,0.0789,1.105,0.7031,0.3196,Control
A07,0.8507,1.6541,-0.0347,0.2533,1.8285,-0.0541,-0.01,1.6995,1.8185,1.7176,1.0781,2.038,1.4165,0.9899,1.3225,1.1256,0.3871,Control
A08,0.6685,1.4489,-0.038,0.3841,2.1897,0.0139,-0.0035,1.6052,1.694,1.7898,0.9731,1.9365,1.4627,0.8299,0.5826,1.5141,0.2577,Control
A09,0.7641,1.6131,-0.0703,0.2306,1.7921,0.0433,0.1572,1.8728,2.0494,1.7943,0.9528,2.2663,1.3629,0.813,1.1399,0.9382,0.6508,Control
A10,0.8905,1.4859,-0.0612,0.2647,2.2251,0.0015,0.0227,2.1386,2.072,1.874,1.067,2.2669,1.4231,1.5987,1.2481,0.9822,0.5746,Control
A11,0.8232,1.41,0.0392,0.0762,1.5555,-0.0385,-0.1012,1.8622,2.1129,1.7651,0.9094,2.1767,0.9662,1.7846,1.6876,0.6942,0.5639,Control
A12,0.3807,0.8679,0.1071,0.0935,1.3124,-0.0011,-0.0047,1.9415,1.847,1.3863,0.4441,2.1795,0.4496,0.728,0.8976,0.3828,0.3898,Control
B01,0.475,1.2794,0.0799,0.1475,1.7724,-0.0309,-0.2013,1.6186,1.8854,1.8293,0.7815,1.8807,0.9717,0.1716,0.8239,0.7516,0.0896,Control
B02,0.94,1.5772,-0.1005,0.116,1.8891,0.0401,0.0301,2.1461,2.2802,1.9715,1.1753,2.3103,0.9603,0.8544,1.2641,0.7489,0.5971,Control
B03,0.8096,1.3873,-0.1091,0.1859,1.923,0.0057,-0.093,2.0695,2.1338,1.903,0.9775,2.2166,1.0128,0.7853,1.4074,0.6764,0.4506,BRCACancer
B04,0.8156,0.9246,-0.0365,0.3431,2.0026,-0.0544,-0.0555,1.7743,1.7998,1.6248,0.9301,1.81,1.3155,0.8647,1.2484,1.2812,0.4399,BRCACancer
B05,0.8162,1.3034,0.0696,0.43,1.5632,-0.0424,0.0377,1.5735,1.7628,1.4971,0.7929,1.6198,0.7915,0.2659,0.92,0.6888,0.4503,BRCACancer
B06,0.3067,0.754,0.152,0.1369,1.5577,-0.1086,-0.1737,1.4855,1.3516,1.3123,0.663,1.5034,0.734,0.4188,1.396,0.4388,-0.1044,BRCACancer
B07,1.0099,1.4072,-0.0472,0.1829,2.2081,-0.0207,0.0637,2.4561,2.2523,2.0296,1.1698,2.402,1.1696,1.4515,1.7696,0.813,0.4688,BRCACancer
B08,0.775,1.6462,-0.0494,0.1625,1.3973,-0.0307,-0.0394,1.728,1.8843,1.6887,1.0291,2.1668,0.9315,0.8862,1.3576,0.4532,0.5237,Control
B09,0.5828,0.8165,-0.0593,0.3676,1.9076,0.0054,-0.0122,1.3144,1.0555,1.5968,0.8404,1.2061,1.1261,0.568,0.6647,1.5056,0.2542,Control
