@relation data

@attribute id string
@attribute 27165 numeric
@attribute 2744 numeric
@attribute 2746 numeric
@attribute 2747 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.1875,1.5484,0.9005,-0.0602,Control
Utah__A02,-0.0132,1.2471,0.6915,-0.0686,Control
Utah__A03,-0.003,1.2937,0.9001,-0.1865,Control
Utah__A04,0.0225,1.2923,0.6669,-0.0582,Control
Utah__A05,0.0141,1.2717,0.7833,-0.0113,Control
Utah__A06,0.103,1.1584,0.7996,-0.2434,Control
Utah__A07,0.0531,1.639,1.0215,-0.0526,Control
Utah__A08,0.1337,1.9035,1.1548,-0.2849,Control
Utah__A09,0.1175,1.5251,0.9707,-0.0155,Control
Utah__A10,0.0416,1.7119,1.0364,0.0534,Control
Utah__A11,0.0561,1.1455,0.8013,-0.0077,Control
Utah__A12,0.0779,0.8702,0.3466,-0.337,Control
Utah__B01,0.2415,1.5001,0.8869,-0.1773,Control
Utah__B02,0.1917,1.4029,0.7329,0.0205,Control
Utah__B03,0.175,1.5588,0.8143,-0.1128,BRCACancer
Utah__B04,0.0409,1.8214,1.178,-0.2882,BRCACancer
Utah__B05,0.047,1.1719,0.7573,-0.2841,BRCACancer
Utah__B06,0.1404,1.2571,0.7054,-0.3734,BRCACancer
Utah__B07,0.1375,1.6826,1.0104,-0.1204,BRCACancer
Utah__B08,0.1037,1.1364,0.7193,-0.0088,Control
Utah__B09,0.057,1.6577,1.0625,-0.1431,Control
Utah__B10,0.0058,1.5033,0.8658,-0.1096,Control
Utah__B11,0.0905,1.2261,0.8188,-0.1462,Control
Utah__B12,0.0329,1.4163,0.8209,-0.2772,Control
Utah__C01,0.0652,1.2744,0.9802,-0.0625,BRCACancer
Utah__C02,0.0963,1.2567,0.6207,-0.1594,BRCACancer
Utah__C03,0.0417,1.3762,0.8024,-0.1883,BRCACancer
Utah__C04,-0.0319,0.7028,0.5038,-0.2418,Control
Utah__C05,0.0928,0.7972,0.4844,-0.0344,BRCACancer
Utah__C06,0.094,0.444,0.3617,-0.4579,Control
Utah__C07,0.0257,1.0281,0.4161,0.0083,Control
Utah__C08,0.1511,1.0325,0.5928,-0.1153,Control
Utah__C09,0.0879,0.986,0.5913,-0.1678,Control
Utah__C10,0.0721,0.9466,0.4006,-0.1755,BRCACancer
Utah__C11,0.0479,1.0982,0.7647,-0.0449,Control
Utah__C12,-0.0093,0.7343,0.3923,-0.0908,BRCACancer
Utah__D01,0.0872,1.6124,1.1421,-0.2079,BRCACancer
Utah__D02,0.0123,0.9924,0.5292,-0.0299,BRCACancer
Utah__D03,-0.0032,1.023,0.5113,-0.077,BRCACancer
Utah__D04,-0.008,0.9705,0.6475,-0.0264,BRCACancer
Utah__D05,-0.0602,1.0091,0.5125,-0.0489,BRCACancer
Utah__D06,0.0849,1.2385,0.7106,-0.1131,BRCACancer
Utah__D07,0.0334,1.1408,0.5131,-0.0521,Control
Utah__D08,0.1071,0.8898,0.5004,-0.0941,Control
Utah__D09,0.0746,0.9798,0.4856,0.1182,Control
Utah__D10,0.0453,0.8857,0.421,0.0613,Control
Utah__D11,0.0983,0.5537,0.4658,-0.2199,Control
Utah__D12,0.0757,0.7134,0.4756,-0.0897,Control
Utah__E01,-0.0066,0.9113,0.4381,-3e-04,BRCACancer
Utah__E02,0.0877,1.2708,0.5385,-0.0183,Control
Utah__E03,0.1053,0.9278,0.5525,-0.0611,Control
Utah__E04,0.0605,1.1779,0.6216,-0.1006,Control
Utah__E05,0.1295,1.315,0.5261,-0.2166,Control
Utah__E06,-0.0149,1.0252,0.5176,-0.2506,BRCACancer
Utah__E07,0.0645,1.1144,0.5667,-0.0511,BRCACancer
Utah__E08,0.0766,1.2333,0.6187,0.1319,Control
Utah__E09,0.0347,1.0619,0.6239,-0.1679,BRCACancer
Utah__E10,0.0031,1.3685,0.7774,-0.0522,BRCACancer
Utah__E11,0.0855,0.9694,0.4503,-0.2057,Control
Utah__E12,0.1189,0.8025,0.4025,-0.2037,BRCACancer
Utah__F01,0.1404,1.2509,0.8246,-0.2726,Control
Utah__F02,0.1115,1.2742,0.7751,0.0106,Control
Utah__F03,0.0359,0.9784,0.4729,-0.2508,Control
Utah__F04,0.044,1.2643,0.9903,-0.0657,Control
