@relation data

@attribute id string
@attribute 1019 numeric
@attribute 1026 numeric
@attribute 1029 numeric
@attribute 11186 numeric
@attribute 1612 numeric
@attribute 1613 numeric
@attribute 1869 numeric
@attribute 1870 numeric
@attribute 1871 numeric
@attribute 1890 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2064 numeric
@attribute 2261 numeric
@attribute 2277 numeric
@attribute 23604 numeric
@attribute 3265 numeric
@attribute 3576 numeric
@attribute 369 numeric
@attribute 3845 numeric
@attribute 4193 numeric
@attribute 4312 numeric
@attribute 4313 numeric
@attribute 4318 numeric
@attribute 4609 numeric
@attribute 4893 numeric
@attribute 5228 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5894 numeric
@attribute 5925 numeric
@attribute 595 numeric
@attribute 673 numeric
@attribute 7057 numeric
@attribute 7157 numeric
@attribute 7422 numeric
@attribute 7423 numeric
@attribute 7424 numeric
@attribute 9252 numeric
@attribute 999 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.7267,1.2717,0.1311,0.8997,0.461,0.2937,0.1478,0.1122,0.4915,1.0784,0.6001,-0.0836,0.1521,-0.1801,-0.1893,0.0638,0.4236,2.1055,1.3732,1.5967,1.3662,0.1911,-0.1545,0.1115,1.4375,2.7938,0.0085,1.76,1.0952,0.7341,0.4307,1.7841,1.0363,0.1356,0.5978,2.1737,0.7493,0.3026,0.6611,0.075,0.959,0.0981,Control
Utah__A02,0.4292,0.9753,0.0736,1.1153,0.4013,0.1864,-0.0079,0.1624,0.3068,1.2103,0.4306,-0.0018,0.2583,-0.0113,-0.1553,0.0034,0.3716,0.5462,1.136,1.3547,1.1733,-0.0556,-0.2149,0.0623,1.0182,2.9993,0.0364,1.6579,1.0379,0.48,0.3006,1.5394,0.801,0.1049,0.4645,1.6545,0.5887,0.3642,0.3554,0.1467,0.5224,-0.0641,Control
Utah__A03,0.5162,1.692,0.1821,1.038,0.667,0.2944,0.1982,0.3585,0.4835,1.6901,0.4898,-0.0179,0.2874,-0.0345,-0.0913,0.0932,0.3757,0.8951,1.4067,1.6527,1.5264,0.1433,-0.177,0.008,0.8555,3.0903,0.0216,1.9065,1.0752,0.7059,0.4986,1.7337,1.0565,0.1251,0.5178,1.7695,0.8079,0.5036,0.3572,0.1139,0.7076,0.05,Control
Utah__A04,0.3873,0.9804,0.0734,1.0338,0.3016,0.2878,0.0725,0.1316,0.2684,1.0121,0.406,-0.029,0.2938,0.0315,-0.0932,-0.0173,0.3609,0.7625,1.2239,1.1951,1.155,0.0912,-0.1674,0.1292,1.35,3.0364,-0.0224,1.7434,1.0602,0.5113,0.4277,1.6705,0.8205,0.2164,0.5636,1.7578,0.5955,0.368,0.5374,0.0959,0.5985,0.0031,Control
Utah__A05,0.5341,1.7524,0.1637,1.0833,0.5848,0.3342,0.2314,0.2786,0.467,1.5396,0.8132,-0.0454,0.3689,0.0175,-0.1057,0.0487,0.4772,0.845,1.3362,1.4096,1.345,0.383,-0.1226,0.1453,1.0965,3.3113,-0.0134,1.9721,1.2157,0.726,0.5021,1.8077,1.0433,0.1872,0.6105,2.3155,0.7673,0.4864,0.4471,0.151,0.7351,0.0296,Control
Utah__A06,0.5281,1.4036,-0.0182,1.0543,0.5812,0.2255,0.1291,0.0767,0.4588,1.165,0.4684,-0.0159,0.285,-0.1667,-0.1294,0.0123,0.2467,1.1656,1.3004,1.4336,1.2339,-0.0779,-0.1747,-0.0836,1.2048,2.8748,-0.0137,1.8749,1.0037,0.6824,0.3564,1.7479,0.8912,0.0491,0.5021,2.1575,0.6036,0.524,0.5215,0.0657,0.6021,-0.0117,Control
Utah__A07,0.5732,1.1581,0.0415,1.1501,0.8103,0.2321,0.0777,0.2028,0.6855,1.1012,0.4347,-0.019,0.2977,0.001,-0.13,0.0084,0.364,0.9473,1.2829,1.7064,1.3922,-0.0582,-0.2058,0.0338,1.1245,2.9085,-0.0949,1.9127,0.9863,0.8669,0.4096,1.7697,1.0213,0.1216,0.7036,1.63,0.684,0.5229,0.4973,0.0713,0.8635,-0.0456,Control
Utah__A08,0.4958,1.1244,0.0771,1.0069,0.9208,0.1586,0.1985,0.1055,0.8414,0.8691,0.2616,-0.0439,0.2675,-0.1917,-0.1516,-0.0205,0.2967,0.8182,1.2091,1.6216,1.4066,-0.0119,-0.1389,-0.0482,1.0832,2.6904,-0.1175,1.9432,1.0102,0.8829,0.3414,1.7375,1.0826,0.0853,0.87,1.1023,0.6482,0.2297,0.4721,0.0174,1.0676,-0.058,Control
Utah__A09,0.5306,1.3153,0.1041,0.8929,0.857,0.1739,0.128,0.1348,0.5653,1.087,0.5351,-0.0328,0.1983,-0.0401,-0.1379,0.0537,0.349,0.7737,1.2521,1.5553,1.302,0.0269,-0.1538,-0.02,1.1598,2.8883,-0.0634,1.8616,1.0062,0.7767,0.356,1.637,1.0359,0.0974,0.6839,1.8888,0.5412,0.4237,0.5443,0.1131,0.8757,-0.0029,Control
Utah__A10,0.4568,1.1616,0.1178,1.2618,0.7495,0.2535,0.1218,0.0646,0.8037,1.0805,0.7675,-0.0615,0.2637,-0.0529,-0.1061,0.1277,0.398,1.0619,1.1456,1.4415,1.3575,0.1491,-0.1788,0.1046,0.9502,2.9966,0.0218,1.9537,0.9394,0.8171,0.4749,1.7832,0.9646,0.1256,0.7899,2.1597,0.5878,0.3448,0.3356,0.2105,0.8235,0.0168,Control
Utah__A11,0.6277,1.0246,0.0603,0.9172,0.4127,0.19,0.058,-0.0012,0.3734,0.7606,0.2605,-0.018,0.3532,-0.1363,-0.1064,0.0554,0.2904,0.6078,1.1705,1.4146,1.2362,0.2112,-0.1323,0.0316,0.9858,2.4753,-0.0641,1.8347,0.9926,0.6056,0.4262,1.2804,0.8355,0.118,0.477,1.5688,0.5349,0.2169,0.3267,0.0302,0.6477,0.0683,Control
Utah__A12,0.2377,1.2203,-0.0885,0.624,0.2092,-0.0337,-0.0552,0.0383,0.2724,0.3908,0.5833,0.1048,0.1255,-0.1501,-0.2311,0.052,0.2032,0.7553,0.8099,0.8721,0.7101,0.1137,-0.116,0.0189,0.9286,2.575,-0.0532,1.3126,0.6672,0.3165,0.1908,1.1644,0.4273,0.002,0.3712,1.4935,0.1924,0.4018,0.238,0.113,0.2102,0.0047,Control
Utah__B01,0.5511,1.2201,-0.1649,0.5832,0.5194,-0.0595,-0.0727,0.1099,0.5023,0.5573,0.4203,0.0118,-0.0543,-0.4479,-0.1611,0.0557,0.1584,1.3925,1.3595,1.5366,1.2355,0.111,-0.1563,-0.2045,1.0881,2.5536,-0.175,1.5662,0.7793,0.6567,0.1449,1.6434,0.8919,-0.198,0.5276,1.6024,0.6532,0.3377,0.3673,-0.0038,0.7033,-0.0333,Control
Utah__B02,0.6772,1.5659,0.069,1.2172,0.4955,0.2325,0.13,0.206,0.3833,1.3221,0.4014,-0.0267,0.2792,-0.1192,-0.1097,0.1063,0.3404,1.4536,1.5389,1.5341,1.268,0.0263,-0.1482,0.0404,1.1427,3.1429,-0.032,1.7427,1.0963,0.6188,0.4126,1.8632,0.8229,0.1092,0.5114,1.5205,0.8116,0.4731,0.6281,0.084,0.5372,0.0063,Control
Utah__B03,0.5896,1.0662,-0.0065,0.9818,0.5403,0.2029,0.0976,0.0436,0.4464,0.9204,0.0772,-0.0568,0.1054,-0.2271,-0.1452,0.0517,0.2646,1.3967,1.4142,1.6305,1.2046,-0.0763,-0.1082,-0.0292,1.0069,2.9071,-0.0332,1.7521,0.9479,0.6536,0.3093,1.7244,0.8578,0.0353,0.5587,0.7771,0.7021,0.3529,0.5524,-0.0144,0.6291,0.042,BRCACancer
