@relation data

@attribute id string
@attribute 3141 numeric
@attribute 686 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.1941,0.4331,Control
A02,0.0511,0.2704,Control
A03,0.1558,0.3841,Control
A04,0.1417,0.3574,Control
A05,0.1479,0.4029,Control
A06,0.1271,0.3148,Control
A07,0.2253,0.4045,Control
A08,0.3318,0.396,Control
A09,0.2046,0.3177,Control
A10,0.1923,0.4269,Control
A11,0.1986,0.3078,Control
A12,0.0341,0.2835,Control
B01,0.1808,0.2462,Control
B02,0.1682,0.3657,Control
B03,0.1942,0.3402,BRCACancer
B04,0.2898,0.2205,BRCACancer
B05,0.1317,0.2554,BRCACancer
B06,0.0029,0.1054,BRCACancer
B07,0.0968,0.4042,BRCACancer
B08,0.0998,0.2565,Control
B09,0.2592,0.1065,Control
B10,0.1568,0.1855,Control
B11,0.0778,0.263,Control
B12,0.1268,0.1197,Control
C01,0.0912,0.3435,BRCACancer
C02,0.0886,0.392,BRCACancer
C03,0.1407,0.4276,BRCACancer
C04,0.0334,0.1346,Control
C05,0.0249,0.2033,BRCACancer
C06,0.0612,0.0381,Control
C07,0.075,0.2143,Control
C08,0.1385,0.2762,Control
C09,0.0905,0.2193,Control
C10,0.0484,0.2771,BRCACancer
C11,0.1526,0.2,Control
C12,0.0517,0.1068,BRCACancer
D01,0.2682,0.2946,BRCACancer
D02,0.137,0.2126,BRCACancer
D03,0.0705,0.2016,BRCACancer
D04,0.0636,0.2258,BRCACancer
D05,0.0605,0.2323,BRCACancer
D06,0.1724,0.3481,BRCACancer
D07,0.1214,0.259,Control
D08,0.0989,0.0974,Control
D09,0.112,0.1695,Control
D10,0.1014,0.1881,Control
D11,0.0548,0.0724,Control
D12,0.0764,0.0071,Control
E01,0.0373,0.2095,BRCACancer
E02,0.1005,0.3415,Control
E03,0.0721,0.2551,Control
E04,0.0775,0.3534,Control
E05,0.0874,0.3043,Control
E06,0.0235,0.2192,BRCACancer
E07,0.0772,0.1696,BRCACancer
E08,0.0844,0.2799,Control
E09,0.1082,0.2915,BRCACancer
E10,0.1592,0.3328,BRCACancer
E11,0.0772,0.2359,Control
