@relation data

@attribute id string
@attribute 1437 numeric
@attribute 920 numeric
@attribute 940 numeric
@attribute 1230 numeric
@attribute 6348 numeric
@attribute 3460 numeric
@attribute 7042 numeric
@attribute 3458 numeric
@attribute 7040 numeric
@attribute 3459 numeric
@attribute 7852 numeric
@attribute 7043 numeric
@attribute 2833 numeric
@attribute 3558 numeric
@attribute 959 numeric
@attribute 3594 numeric
@attribute 3593 numeric
@attribute 3595 numeric
@attribute 3592 numeric
@attribute 1232 numeric
@attribute 1233 numeric
@attribute 1234 numeric
@attribute 1236 numeric
@attribute 3565 numeric
@attribute 3566 numeric
@attribute 3567 numeric
@attribute 8809 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.1205,1.7101,2.0683,1.2188,0.628,1.3871,0.0614,0.7042,2.044,2.0903,2.7268,0.0793,0.5718,-0.0738,1.4973,0.8824,-0.0544,0.3906,0.0145,0.399,2.2685,1.3353,1.8224,-0.2431,1.4241,-0.0358,0.6703,Control
A02,0.1793,1.4691,1.3671,0.785,0.387,1.4009,0.0739,1.5545,2.0529,2.007,2.4224,0.0163,0.2516,0.0386,1.0077,0.7596,-0.0555,0.2631,-0.0023,0.4138,1.5952,1.3176,1.1468,-0.2105,1.0483,-0.0625,0.4881,Control
A03,0.2377,1.6093,1.1903,1.2312,0.5701,1.5925,0.1569,2.0921,2.233,1.992,2.2371,0.0486,0.9072,-0.0552,0.7903,1.0816,0.0503,0.4429,0.0158,0.2935,1.8039,1.7305,0.8578,-0.2256,1.06,-0.0242,0.7273,Control
A04,0.1648,1.5742,1.8681,0.7341,0.3725,1.097,0.0657,0.6554,2.1844,1.866,3.1235,0.1175,0.6009,0.0745,1.186,0.8199,-0.0732,0.1609,0.1344,0.1737,2.1201,0.7708,1.3711,0.002,1.4196,-0.1614,0.5287,Control
A05,0.1998,1.8284,1.4142,1.476,0.5056,1.5675,0.0409,0.6132,2.5268,2.2635,2.5718,0.0159,0.4977,0.0385,1.01,0.9542,-0.0426,0.2583,0.0536,0.312,2.161,1.1332,1.1211,-0.1394,1.3259,0.0742,0.4917,Control
A06,0.1793,1.6971,1.4178,1.3993,0.2807,1.4364,0.0736,0.085,2.0798,2.1594,3.0026,0.0485,0.3224,0.1258,0.9542,0.7333,-0.0077,0.501,0.0214,0.1736,1.4959,1.1543,1.4136,-0.1429,0.9369,-0.0316,0.8708,Control
A07,0.2155,1.6769,1.7139,1.1361,0.6122,1.3999,0.0618,0.9455,2.1037,2.1762,2.2907,-0.0304,0.3901,0.005,1.2476,0.8537,-0.0394,0.2685,-0.0315,0.191,1.8292,1.3691,1.3822,-0.0564,1.0401,-0.003,0.7194,Control
A08,0.1379,1.4848,2.0481,0.7178,0.6139,1.3678,0.0458,0.7944,1.7967,1.8153,2.3261,0.106,0.2605,-0.0872,1.2509,0.6711,-0.0424,0.4055,-0.0265,0.1171,1.3298,0.6384,1.3936,-0.1643,1.0889,-0.1885,0.7076,Control
A09,0.1946,1.6385,1.8234,0.8534,0.4861,1.2992,0.065,0.7784,2.0877,1.9194,2.5767,0.0338,0.6542,-0.0099,1.1236,0.7669,-0.0724,0.2447,0.0975,0.0276,1.9414,1.1887,1.4156,-0.2088,0.9966,0.082,0.5842,Control
A10,0.1786,1.5195,1.5408,1.257,0.4712,1.4044,0.0906,1.5207,2.136,2.1802,2.3087,0.0508,0.5779,0.011,1.0042,0.8934,-0.064,0.2804,-0.0062,0.0388,1.8151,1.2956,0.7392,-0.1703,0.949,-0.1082,0.6539,Control
A11,0.0359,1.4484,1.1116,0.6559,0.5589,1.14,0.1125,1.6963,2.0524,1.579,2.286,0.0373,0.5671,0.0744,0.8875,0.8261,0.0292,0.083,-0.1018,0.2267,1.7551,1.7296,0.8833,-0.199,0.8248,-0.1365,0.4697,Control
A12,0.3136,0.9411,0.966,0.3397,0.5505,0.7894,0.1519,0.6982,1.7473,1.6508,2.6898,0.0208,0.3927,0.0104,0.6383,0.383,0.0923,0.1011,-0.0274,0.4742,1.2658,0.9495,0.8298,-0.1645,0.7045,0.0434,0.4071,Control
B01,0.1805,1.3262,1.8629,0.5047,0.9656,1.2711,0.0712,0.1725,1.6757,2.1328,2.611,0.2077,0.0921,-0.1119,1.1234,0.4774,0.067,0.1576,-0.179,0.0912,1.0881,0.8767,2.0684,-0.2119,1.0941,-0.3013,0.4857,Control
B02,0.1719,1.605,1.9283,1.0275,0.685,1.4757,0.0817,0.8176,2.0639,2.3156,3.0307,0.1293,0.6004,-0.0373,1.2033,0.9431,-0.1004,0.1246,-5e-04,0.0975,1.6098,1.3114,1.8552,-0.1484,1.0566,-0.0576,0.6951,Control
B03,0.0866,1.4273,1.9704,1.0184,0.8244,1.3652,0.0384,0.7522,1.7886,2.3143,3.071,0.1735,0.4537,-0.0067,1.0708,0.8125,-0.1084,0.1979,-0.0955,0.0199,1.8105,1.4529,1.563,-0.2217,1.0492,-0.1054,0.7676,BRCACancer
B04,0.1265,0.9942,1.7375,0.5935,0.5313,1.2646,0.0586,0.8273,1.8958,1.7134,1.9647,-0.0211,0.4429,-0.125,0.8016,0.8185,-0.0411,0.3625,-0.0666,0.0071,1.4836,1.2959,1.2202,-0.1591,0.9544,-0.0785,0.8739,BRCACancer
