@relation data

@attribute id string
@attribute 10319 numeric
@attribute 107 numeric
@attribute 1277 numeric
@attribute 1278 numeric
@attribute 1280 numeric
@attribute 1281 numeric
@attribute 1282 numeric
@attribute 1284 numeric
@attribute 1286 numeric
@attribute 1287 numeric
@attribute 1288 numeric
@attribute 1289 numeric
@attribute 1290 numeric
@attribute 1301 numeric
@attribute 1302 numeric
@attribute 1437 numeric
@attribute 1511 numeric
@attribute 1992 numeric
@attribute 22798 numeric
@attribute 23236 numeric
@attribute 2335 numeric
@attribute 23533 numeric
@attribute 2767 numeric
@attribute 2769 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 284217 numeric
@attribute 2919 numeric
@attribute 3315 numeric
@attribute 3458 numeric
@attribute 3553 numeric
@attribute 3554 numeric
@attribute 3569 numeric
@attribute 3576 numeric
@attribute 3586 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3684 numeric
@attribute 3689 numeric
@attribute 383 numeric
@attribute 384 numeric
@attribute 3908 numeric
@attribute 3909 numeric
@attribute 3910 numeric
@attribute 3911 numeric
@attribute 3913 numeric
@attribute 3914 numeric
@attribute 3918 numeric
@attribute 4583 numeric
@attribute 4790 numeric
@attribute 4843 numeric
@attribute 50509 numeric
@attribute 5269 numeric
@attribute 5272 numeric
@attribute 5273 numeric
@attribute 5275 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5613 numeric
@attribute 5747 numeric
@attribute 5868 numeric
@attribute 5869 numeric
@attribute 5878 numeric
@attribute 5970 numeric
@attribute 6318 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7097 numeric
@attribute 7099 numeric
@attribute 7124 numeric
@attribute 731 numeric
@attribute 732 numeric
@attribute 733 numeric
@attribute 735 numeric
@attribute 7414 numeric
@attribute 7850 numeric
@attribute 7879 numeric
@attribute 81 numeric
@attribute 836 numeric
@attribute 8503 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 912 numeric
@attribute 929 numeric
@attribute 9630 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.0033,-0.0295,-0.1778,-0.1137,-0.0279,-0.0427,-0.0622,-0.0749,-0.0921,-0.1484,-0.065,-0.1111,-0.1147,-0.139,-0.1449,0.1205,-0.0308,1.9857,-0.0556,0.4579,-0.0489,1.4389,0.0521,1.2797,0.6485,0.7306,-0.0623,0.376,0.2558,0.7042,1.5431,0.2655,0.0868,2.1055,0.0038,0.0145,-0.0544,1.627,2.2463,0.1449,0.3162,-0.0882,-0.0732,-0.0968,0.0643,0.1552,0.044,-0.1424,-0.0649,1.6981,-0.0259,-0.1642,0.7322,2.1572,0.2711,-0.0595,1.5746,1.5626,1.3366,1.8406,1.4982,0.2071,1.7231,0.5973,-0.0566,0.945,1.1287,-0.1227,0.5534,1.0586,-0.0574,1.142,0.2595,1.1574,1.3077,1.1494,1.4383,-0.0994,2.044,0.0614,0.0793,1.955,2.4861,0.4149,-0.0249,-0.0118,0.1403,-0.1041,1.2384,0.3946,1.412,0.8074,1.208,0.0818,0.9778,-0.0432,-0.0359,1.1809,2.3651,-0.0927,Control
Utah__A02,-0.0126,0.0718,-0.179,-0.0554,0.0183,0.0431,-0.06,-0.0687,-0.0476,-0.1384,-0.0975,-0.0832,-0.0796,-0.0618,-0.0506,0.1793,-0.0518,1.9518,-0.0217,0.2609,-0.002,1.1486,-0.0126,1.2616,0.2358,0.5967,-0.0882,0.2521,0.1638,1.5545,0.7913,0.0624,0.0155,0.5462,-0.0899,-0.0023,-0.0555,1.7374,2.3816,0.0804,0.1863,-0.043,-0.0963,-0.0424,0.0687,0.2079,0.1583,-0.1078,-0.0657,1.2732,0.0262,-0.0944,0.5969,1.9534,-0.077,-0.0417,1.3014,1.4139,1.1106,2.0413,1.1993,0.1689,1.687,0.5059,-0.0793,0.8462,0.9806,-0.1089,0.2001,0.7032,-0.1301,0.9562,0.1285,0.8096,1.1043,1.15,1.258,-0.2897,2.0529,0.0739,0.0163,1.5869,2.5076,0.4378,0.0266,0.0025,0.229,-0.0886,1.1723,0.047,1.1743,0.7369,1.1875,0.0895,0.7549,-0.023,-0.0855,1.3098,2.2392,-0.0986,Control
Utah__A03,0.0018,0.0628,-0.1707,-0.1078,0.003,0.0346,-0.0744,-0.0571,-0.0708,-0.154,-0.0981,-0.0921,-0.0918,-0.0645,-0.0667,0.2377,0.0232,2.058,-0.0103,0.3328,-0.0268,1.5932,0.1317,1.5122,0.4627,0.6975,-0.0676,0.2467,0.247,2.0921,0.9227,0.0934,0.0054,0.8951,0.1344,0.0158,0.0503,1.9552,2.5068,0.0424,0.3108,-0.0548,-0.0904,-0.0608,0.0488,0.2648,0.1517,-0.0507,-0.0709,1.4485,-0.0157,-0.1011,0.7607,2.1874,0.2577,-0.0564,1.3967,1.4596,1.2772,2.162,1.3339,0.2691,2.0214,0.7325,-0.1062,1.0405,0.9935,-0.0955,0.1966,0.9762,-0.1328,1.0907,0.1567,1.0026,1.3964,1.2847,1.4813,-0.1143,2.233,0.1569,0.0486,1.9871,2.8343,0.5438,0.0512,-0.051,0.1254,-0.0738,1.3701,0.2008,1.3894,0.9935,1.3243,0.2042,0.7257,-0.0276,-0.0262,1.4162,2.3692,-0.1027,Control
Utah__A04,0.0605,0.0443,-0.0843,-0.0804,0.0331,0.0076,-0.0438,-0.0397,-0.06,-0.1421,-0.0892,-0.0315,-0.0499,-0.0381,0.0383,0.1648,-0.0041,2.1208,-0.0649,0.219,-0.0521,1.374,0.1109,1.2302,0.3177,0.6569,-0.0636,0.4601,0.2464,0.6554,0.517,0.1894,0.0835,0.7625,-0.0683,0.1344,-0.0732,1.7951,2.4299,0.1123,0.1576,-0.0314,-0.0812,-0.0644,0.1796,0.1361,0.1226,-0.132,-0.0245,1.4304,-0.0312,0.0298,0.7309,2.0046,-0.0089,0.0037,1.353,1.4002,1.2477,2.0983,1.4882,0.2883,1.6421,0.5226,-0.07,0.8362,1.1638,-0.1322,0.3061,0.82,0.0051,0.9348,0.158,0.987,1.2397,1.2066,1.484,-0.1715,2.1844,0.0657,0.1175,1.4777,2.3176,0.3481,-0.0131,-0.0203,0.1968,-0.019,1.3499,0.1779,1.355,0.8157,1.1111,0.0407,0.8075,-0.0188,0.0335,0.9733,2.432,-0.0731,Control
Utah__A05,0.0315,0.0207,-0.0414,-0.0986,0.053,-0.0106,-0.055,-0.0396,-0.0753,-0.1174,-0.0828,-0.0497,-0.0934,-0.0687,-0.007,0.1998,-0.0268,2.2737,-0.0417,0.4891,-0.0661,1.5816,0.1874,1.8127,0.4844,0.6767,-0.0616,0.3891,0.4146,0.6132,0.7727,0.1604,0.0837,0.845,0.0238,0.0536,-0.0426,2.2271,2.5987,0.1217,0.4518,-0.043,-0.0735,-0.0568,0.1105,0.0709,0.1419,-0.1012,-0.0321,1.5181,0.0095,-0.032,0.7868,2.0634,0.3523,0.054,1.4836,1.8548,1.357,2.0939,1.3381,0.3996,1.8765,0.8434,-0.0587,1.1378,1.0454,-0.0826,0.3059,0.9512,-0.0102,1.0738,0.2684,1.0131,1.4834,1.3025,1.5368,-0.1282,2.5268,0.0409,0.0159,2.1026,2.9955,0.3701,-0.0655,-0.0507,0.2747,-0.1021,1.5754,0.2853,1.4841,0.9737,1.4127,0.1426,0.9804,-0.0483,0.0336,1.383,2.856,-0.0925,Control
Utah__A06,-0.0209,0.0266,-0.1574,-0.0653,-0.0727,0.0123,-0.0736,-0.0836,-0.0378,-0.164,-0.1173,-0.1074,-0.0872,-0.0862,-0.0832,0.1793,0.0644,2.0948,-0.0584,0.3865,-0.0507,1.4575,0.0136,1.4718,0.3651,0.5918,-0.0739,0.3102,0.234,0.085,0.8036,0.3054,-0.0531,1.1656,-0.0026,0.0214,-0.0077,2.263,2.4549,0.0107,0.0982,-0.05,-0.0931,-0.0676,0.0411,0.2605,0.0606,-0.0795,-0.1214,1.3497,-0.0124,-0.1257,0.729,1.8378,0.2182,0.0124,1.3845,1.4475,1.2439,1.9853,1.3761,0.1914,1.7549,0.6445,-0.0795,1.0087,0.8785,-0.1543,0.296,0.9045,-0.1858,1.0469,0.1239,0.878,1.2764,1.1774,1.338,-0.1224,2.0798,0.0736,0.0485,1.8873,3.0912,0.4186,0.0112,0.0088,0.1371,-0.0748,1.3317,0.39,1.3128,0.8436,1.1328,0.0877,0.8408,-0.0148,-0.0611,1.6082,2.716,-0.1224,Control
Utah__A07,-0.0353,0.0569,-0.1837,-0.0867,-0.0883,0.0176,-0.0772,-0.1098,-0.0317,-0.1697,-0.1294,-0.1187,-0.0519,-0.0788,-0.0058,0.2155,-0.0857,1.9157,-0.0254,0.8525,-0.0393,1.4083,0.0426,1.4516,0.8957,0.6707,-0.0974,0.4057,0.3459,0.9455,1.2395,0.3173,0.2383,0.9473,0.038,-0.0315,-0.0394,1.855,2.3516,0.0851,0.1981,-0.0333,-0.1082,-0.0702,0.0323,0.2394,0.1754,-0.0869,-0.1091,1.6897,-0.0549,-0.1632,0.8657,2.0726,0.2013,-0.0524,1.5934,1.5467,1.2997,1.9624,1.6231,0.2011,1.796,0.6633,-0.0871,0.903,1.1356,-0.131,0.5102,1.3099,-0.1581,1.0479,0.2112,1.1006,1.2596,1.1228,1.2584,-0.1895,2.1037,0.0618,-0.0304,2.2473,2.7151,0.4733,-0.0112,-0.0231,0.125,-0.0743,1.4361,0.3145,1.5352,0.9333,1.3997,0.1594,0.8292,-0.0449,-0.0678,1.2757,2.4557,-0.1308,Control
Utah__A08,-0.0076,-0.0018,-0.1908,-0.1185,-0.036,-0.0341,-0.0576,-0.0954,-0.082,-0.1504,-0.0682,-0.1312,-0.0951,-0.1318,-0.1375,0.1379,-0.1046,1.7283,-0.0682,0.6443,-0.067,1.3564,0.0033,1.0412,1.0393,0.6901,-0.0743,0.2114,0.0827,0.7944,0.5405,0.1554,0.1461,0.8182,-0.0136,-0.0265,-0.0424,1.5728,2.0859,0.1123,0.1558,-0.0519,-0.0847,-0.081,0.0272,0.1381,0.0944,-0.1767,-0.0443,1.8669,0.0149,-0.1025,0.7661,1.8594,-0.0596,-0.0658,1.7501,1.5683,1.321,2.0579,1.714,0.168,1.7709,0.4362,-0.0906,0.9887,1.1812,-0.03,0.8364,1.4137,-0.1612,1.0982,0.2145,1.2353,1.2644,1.1199,1.2448,-0.1897,1.7967,0.0458,0.106,1.7824,2.1575,0.2487,-0.0418,-0.0306,0.127,-0.1512,1.197,0.1075,1.64,0.8236,1.0162,0.1918,0.8176,-0.0516,-0.0937,1.0848,1.6926,-0.0956,Control
Utah__A09,-0.0256,0.0294,-0.1356,-0.0989,-0.0189,0.0173,-0.0901,-0.0914,-0.0649,-0.1795,-0.0924,-0.1185,-0.0809,-0.0731,-0.0219,0.1946,-0.0698,1.7795,-0.0532,0.7299,-0.0476,1.3804,-0.009,1.2293,0.8753,0.6175,-0.0789,0.4062,0.2177,0.7784,0.676,0.1221,0.1333,0.7737,0.1078,0.0975,-0.0724,1.6745,2.325,0.0633,0.1534,-0.0517,-0.0911,-0.0486,0.0458,0.251,0.2091,-0.1073,-0.0546,1.606,0.045,-0.116,0.7089,1.8188,-0.0576,-0.0896,1.4582,1.4714,1.2447,1.976,1.5464,0.1702,1.6671,0.6203,-0.0575,1.0256,1.096,-0.2464,0.5718,1.2508,-0.1546,1.0489,0.2051,0.9081,1.266,1.1789,1.3302,-0.1492,2.0877,0.065,0.0338,1.9054,2.5755,0.3534,-0.0218,-0.0124,0.072,-0.0879,1.4183,0.1687,1.4377,0.7962,1.0099,0.0917,0.8598,-0.0377,-0.0396,1.1232,1.9845,-0.0912,Control
Utah__A10,0.0206,-0.0156,-0.143,-0.1011,0.011,-0.0233,-0.0651,-0.0298,-0.0402,-0.1381,-0.0986,-0.0833,-0.1042,-0.0563,-0.0365,0.1786,-0.073,2.0922,-0.0698,0.9457,-0.0093,1.4485,0.1062,1.2476,0.8224,0.6986,-0.0868,0.3792,0.2915,1.5207,1.489,0.0648,-0.0405,1.0619,0.1019,-0.0062,-0.064,2.0157,2.3423,0.0402,0.3709,-0.0488,-0.0848,-0.0849,0.0848,0.0893,0.1397,-0.145,-0.0776,1.641,0.0022,-0.0599,0.8268,2.2515,0.1709,-0.0665,1.6941,1.7523,1.2718,2.115,1.6535,0.2665,1.7443,0.5606,-0.0546,0.9363,1.2467,-0.1022,0.3781,1.3167,-0.0174,1.0175,0.2446,1.0948,1.2702,1.1969,1.3233,-0.1638,2.136,0.0906,0.0508,2.523,2.8245,0.4561,-0.1025,-0.045,0.183,-0.0828,1.6209,0.1885,1.5861,1.0104,1.2126,0.2381,0.9482,-0.0478,-0.0057,1.3613,2.5408,-0.0728,Control
