@relation data

@attribute id string
@attribute 4208 numeric
@attribute 3725 numeric
@attribute 5599 numeric
@attribute 148022 numeric
@attribute 257397 numeric
@attribute 4205 numeric
@attribute 1432 numeric
@attribute 2002 numeric
@attribute 9261 numeric
@attribute 7189 numeric
@attribute 6416 numeric
@attribute 5516 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 1386 numeric
@attribute 23118 numeric
@attribute 5519 numeric
@attribute 1849 numeric
@attribute 1848 numeric
@attribute 1845 numeric
@attribute 1846 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5600 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 9252 numeric
@attribute 5604 numeric
@attribute 5609 numeric
@attribute 1385 numeric
@attribute 5608 numeric
@attribute 6885 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 466 numeric
@attribute 7098 numeric
@attribute 5528 numeric
@attribute 5595 numeric
@attribute 10454 numeric
@attribute 5598 numeric
@attribute 2353 numeric
@attribute 5594 numeric
@attribute 6195 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.9236,1.2901,1.4087,0.4491,1.3846,1.0708,1.4449,0.4506,0.9459,0.8372,0.7496,0.8892,1.7098,1.3951,1.5681,1.7946,1.0472,1.1608,1.9656,1.1916,0.068,1.1297,-0.0399,-0.0236,0.4307,0.7706,0.959,0.7341,0.6098,1.8356,0.7145,1.4658,0.1016,1.9037,1.4624,0.2954,1.0884,1.0952,0.2872,0.5406,2.8919,1.76,0.9079,Control
A02,0.6974,0.8169,0.986,0.4437,1.2666,0.7174,1.1614,0.2934,0.8406,0.7679,0.4989,0.6903,1.5505,1.195,1.4031,1.4192,0.8042,1.1583,1.8597,1.1141,-0.0074,0.9926,0.0138,-0.0148,0.3006,0.751,0.5224,0.48,0.5292,1.527,0.296,1.1532,0.1035,1.6531,1.2554,0.3949,1.0223,1.0379,0.1844,0.322,1.0722,1.6579,0.9261,Control
A03,0.8021,1.1876,1.223,0.4999,1.4477,1.0447,1.3753,0.364,1.1179,0.9336,0.6475,0.9187,1.7523,1.3815,1.448,1.3753,0.9485,1.429,1.9701,1.4141,0.1676,1.1122,-0.02,0.0233,0.4986,1.0109,0.7076,0.7059,0.7023,1.7022,0.4348,1.3103,0.114,1.847,1.265,0.4339,1.1628,1.0752,0.2439,0.5719,2.3576,1.9065,1.0247,Control
A04,0.9031,1.2809,0.9854,0.4268,1.1883,0.7296,1.2634,0.3909,0.9438,0.7944,0.518,0.6057,1.7078,1.4064,1.4894,1.5602,0.6822,1.3674,1.5365,1.1348,0.1562,1.0731,-0.0106,0.1349,0.4277,0.8035,0.5985,0.5113,0.6582,1.6873,0.3699,1.2639,0.1111,1.8121,1.2082,0.2126,1.0777,1.0602,0.1265,0.4581,1.55,1.7434,1.0075,Control
A05,0.9885,1.2201,1.1338,0.6004,1.3826,0.9808,1.514,0.4547,1.0178,0.8518,0.6041,0.8883,1.7874,1.5397,1.4991,1.5773,0.8529,1.605,2.2759,1.603,0.1449,1.1431,-0.0216,0.1042,0.5021,0.9784,0.7351,0.726,0.7209,1.7772,0.5114,1.3977,0.1037,1.8169,1.311,0.388,1.1295,1.2157,0.259,0.599,1.9884,1.9721,1.116,Control
A06,0.8475,0.8267,1.1657,0.4481,1.2809,0.8926,1.2099,0.4061,1.009,0.7749,0.5939,0.7009,1.5855,1.375,1.3895,1.4058,0.757,1.3186,1.8366,1.2336,-0.1159,1.0094,-0.032,-0.086,0.3564,0.8378,0.6021,0.6824,0.5599,1.6188,0.62,1.2785,0.115,1.6695,1.2611,0.23,0.9649,1.0037,0.2241,0.4086,3.0931,1.8749,0.9822,Control
A07,1.1251,1.2177,1.3766,0.513,1.4073,1.2632,1.5901,0.3002,1.0917,0.9329,0.8022,1.0068,1.762,1.4216,1.5918,1.723,0.9246,1.3359,2.1882,1.2492,-0.0115,1.1036,-0.0162,-0.0731,0.4096,0.7733,0.8635,0.8669,0.5073,1.8387,0.6062,1.5067,0.1706,2.0157,1.4361,0.2713,1.0159,0.9863,0.2597,0.4761,2.7085,1.9127,0.9873,Control
A08,1.0175,0.8932,1.5009,0.4629,1.3846,1.401,1.6278,0.3245,1.041,0.8298,0.9913,0.767,1.654,1.2584,1.6346,1.9342,1.0312,1.1227,1.3207,0.8642,-0.1235,1.2435,-0.0486,-0.0884,0.3414,0.7195,1.0676,0.8829,0.4878,1.919,0.7395,1.6258,0.1697,1.9639,1.2025,0.206,0.9696,1.0102,0.1982,0.3987,1.7156,1.9432,0.8463,Control
A09,0.8946,0.9938,1.3752,0.5017,1.4203,1.1848,1.4374,0.3747,1.0265,0.7673,0.7463,0.7961,1.6406,1.3688,1.4828,1.7432,0.9102,1.309,1.5877,1.2362,0.0249,1.0012,-0.0209,-0.0165,0.356,0.8261,0.8757,0.7767,0.5174,1.7005,0.5541,1.3494,0.1377,1.9382,1.3588,0.2266,0.9724,1.0062,0.1828,0.3762,2.2374,1.8616,0.8276,Control
A10,1.0239,1.3414,1.2385,0.4559,1.3671,1.1913,1.7306,0.3376,1.0756,0.9506,0.8644,0.7449,1.7064,1.331,1.7203,1.7496,0.9284,1.3031,2.186,1.2967,0.0752,1.1969,-0.006,0.0023,0.4749,0.7781,0.8235,0.8171,0.5698,1.9569,0.6865,1.611,0.0595,1.8103,1.3015,0.5289,0.9809,0.9394,0.2691,0.4371,3.1715,1.9537,0.9696,Control
