@relation data

@attribute id string
@attribute 4208 numeric
@attribute 3725 numeric
@attribute 4209 numeric
@attribute 3265 numeric
@attribute 4207 numeric
@attribute 5599 numeric
@attribute 805 numeric
@attribute 4205 numeric
@attribute 5579 numeric
@attribute 5894 numeric
@attribute 2002 numeric
@attribute 1956 numeric
@attribute 6464 numeric
@attribute 5578 numeric
@attribute 801 numeric
@attribute 6416 numeric
@attribute 1386 numeric
@attribute 121916 numeric
@attribute 6714 numeric
@attribute 5747 numeric
@attribute 5605 numeric
@attribute 4214 numeric
@attribute 5604 numeric
@attribute 2776 numeric
@attribute 5058 numeric
@attribute 183 numeric
@attribute 2885 numeric
@attribute 185 numeric
@attribute 5595 numeric
@attribute 808 numeric
@attribute 2185 numeric
@attribute 5879 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.9236,1.2901,0.8414,0.4236,0.1252,1.4087,1.1541,1.0708,1.0586,1.7841,0.4506,-0.0836,0.7565,0.5534,2.327,0.7496,1.5681,-0.1275,0.3755,0.2595,0.4307,2.265,0.7341,0.6485,1.1544,0.0617,1.6355,-0.0517,1.0952,2.0788,1.1705,0.6575,1.1256,1.76,Control
A02,0.6974,0.8169,0.7927,0.3716,0.1083,0.986,0.9777,0.7174,0.7032,1.5394,0.2934,-0.0018,0.8046,0.2001,2.3401,0.4989,1.4031,-0.0366,0.3775,0.1285,0.3006,1.9132,0.48,0.2358,1.1633,0.1781,1.481,0.0456,1.0379,2.1743,0.9976,0.5148,0.9005,1.6579,Control
A03,0.8021,1.1876,0.973,0.3757,0.064,1.223,1.2312,1.0447,0.9762,1.7337,0.364,-0.0179,0.7989,0.1966,2.5223,0.6475,1.448,-0.0684,0.6195,0.1567,0.4986,2.1264,0.7059,0.4627,1.4142,0.1968,1.7658,-0.0195,1.0752,2.1303,1.1677,0.7441,1.1275,1.9065,Control
A04,0.9031,1.2809,0.8861,0.3609,0.1488,0.9854,1.025,0.7296,0.82,1.6705,0.3909,-0.029,0.8019,0.3061,2.6032,0.518,1.4894,-0.1701,0.414,0.158,0.4277,2.2551,0.5113,0.3177,1.0138,0.1228,1.4795,0.0082,1.0602,2.2819,1.0834,0.4666,1.028,1.7434,Control
A05,0.9885,1.2201,0.9349,0.4772,0.0982,1.1338,0.9902,0.9808,0.9512,1.8077,0.4547,-0.0454,0.8988,0.3059,2.287,0.6041,1.4991,-0.0415,0.6469,0.2684,0.5021,2.4117,0.726,0.4844,1.356,0.0653,1.8562,-0.027,1.2157,2.3833,1.2327,0.6929,1.0464,1.9721,Control
A06,0.8475,0.8267,0.9216,0.2467,0.0957,1.1657,1.1486,0.8926,0.9045,1.7479,0.4061,-0.0159,0.7671,0.296,2.2428,0.5939,1.3895,-0.1184,0.4253,0.1239,0.3564,2.0422,0.6824,0.3651,1.2821,0.124,1.5705,-0.0261,1.0037,2.1363,1.1266,0.5468,0.8852,1.8749,Control
A07,1.1251,1.2177,0.9626,0.364,0.0815,1.3766,1.4495,1.2632,1.3099,1.7697,0.3002,-0.019,0.7989,0.5102,2.296,0.8022,1.5918,-0.2109,0.359,0.2112,0.4096,2.3762,0.8669,0.8957,1.3527,0.1567,1.8609,4e-04,0.9863,2.1759,1.2756,0.7206,1.1765,1.9127,Control
A08,1.0175,0.8932,0.819,0.2967,0.0781,1.5009,1.2527,1.401,1.4137,1.7375,0.3245,-0.0439,0.784,0.8364,2.2139,0.9913,1.6346,-0.0487,0.3481,0.2145,0.3414,2.6059,0.8829,1.0393,1.1951,0.0857,1.7198,-0.0272,1.0102,1.9205,1.2823,0.8123,1.467,1.9432,Control
A09,0.8946,0.9938,0.8058,0.349,0.0638,1.3752,0.951,1.1848,1.2508,1.637,0.3747,-0.0328,0.7778,0.5718,2.2423,0.7463,1.4828,-0.1254,0.4569,0.2051,0.356,2.4502,0.7767,0.8753,1.2691,0.1352,1.8278,-0.011,1.0062,2.3034,1.178,0.5927,0.9988,1.8616,Control
A10,1.0239,1.3414,0.931,0.398,0.1033,1.2385,1.2653,1.1913,1.3167,1.7832,0.3376,-0.0615,0.79,0.3781,2.2774,0.8644,1.7203,-0.1158,0.4388,0.2446,0.4749,2.3575,0.8171,0.8224,1.3532,0.1044,1.802,-0.0277,0.9394,2.2451,1.4162,0.7228,1.3316,1.9537,Control
A11,0.5913,1.0631,0.756,0.2904,0.0579,1.1692,0.7584,0.9499,0.9853,1.2804,0.3242,-0.018,0.5794,0.3263,2.2562,0.6276,1.2691,-0.1132,0.2186,0.1375,0.4262,1.776,0.6056,0.5344,1.1538,-4e-04,1.5523,0.0171,0.9926,2.1908,0.8778,0.4368,0.7415,1.8347,Control
A12,0.4295,0.7342,0.5611,0.2032,-0.0526,0.7211,0.602,0.4362,0.5269,1.1644,0.1578,0.1048,0.5636,0.1184,1.7774,0.2806,1.0793,-0.1568,0.1258,0.1142,0.1908,1.3066,0.3165,0.1356,0.6706,0.3524,1.1373,0.087,0.6672,1.965,0.665,0.3242,0.5292,1.3126,Control
B01,0.6746,0.9628,0.7998,0.1584,-0.1387,1.4726,1.5527,1.0341,0.9472,1.6434,0.1905,0.0118,0.5764,0.5839,2.4459,0.611,1.4001,-0.1393,0.1574,0.2109,0.1449,2.2101,0.6567,0.5769,0.9893,0.2724,1.5002,-0.0245,0.7793,1.8265,0.9724,0.7893,0.9141,1.5662,Control
B02,0.7065,1.324,1.0325,0.3404,0.0824,1.2781,1.4591,0.8514,0.785,1.8632,0.411,-0.0267,0.9083,0.3378,2.7299,0.5836,1.5251,-0.0028,0.4168,0.1703,0.4126,2.0489,0.6188,0.34,1.1028,0.1325,1.6034,-0.0038,1.0963,2.189,1.1045,0.7121,0.8807,1.7427,Control
B03,0.7226,1.1414,0.9142,0.2646,0.034,1.2859,1.4948,0.9814,0.9095,1.7244,0.334,-0.0568,0.7155,0.3907,2.6651,0.6389,1.5282,-0.0845,0.269,0.0978,0.3093,2.2094,0.6536,0.4581,1.1024,0.0935,1.5674,-0.0355,0.9479,2.042,1.0646,0.7853,0.9276,1.7521,BRCACancer
B04,1.0553,0.8347,0.9698,0.1782,0.0919,1.159,1.4654,1.3459,1.5857,1.7237,0.2374,-0.0234,0.7092,0.6402,2.1452,0.7718,1.5891,-0.2392,0.3471,0.225,0.3653,2.5339,0.8115,1.0542,1.1247,0.1213,1.6385,-0.0268,0.7243,1.8968,1.4373,0.863,1.4335,1.9229,BRCACancer
B05,0.6439,0.7116,1.0413,0.2381,0.0497,1.0395,1.2033,0.8048,0.8601,1.4156,0.2082,0.0386,0.7441,0.1887,2.5472,0.5382,1.2566,-0.2179,0.2846,0.098,0.3668,1.8667,0.4972,0.2673,1.0039,0.2669,1.4949,0.0879,0.8239,2.0581,0.91,0.5003,0.7814,1.8007,BRCACancer
B06,0.6866,0.3639,0.6321,-0.0061,-0.1646,0.9915,1.2894,0.7508,0.7212,1.4461,-0.0844,-0.0104,0.4797,0.1906,2.1772,0.4167,1.2507,-0.0612,-0.0707,0.1786,-0.0057,1.7181,0.5394,0.3375,0.8515,0.2463,1.1292,0.014,0.5177,1.5456,0.8459,0.5144,0.7812,1.3023,BRCACancer
