@relation data

@attribute id string
@attribute 4350 numeric
@attribute 23583 numeric
@attribute 5423 numeric
@attribute 328 numeric
@attribute 5424 numeric
@attribute 7515 numeric
@attribute 5425 numeric
@attribute 6996 numeric
@attribute 3980 numeric
@attribute 57804 numeric
@attribute 8930 numeric
@attribute 10309 numeric
@attribute 4913 numeric
@attribute 2237 numeric
@attribute 4968 numeric
@attribute 3978 numeric
@attribute 4595 numeric
@attribute 10714 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.3615,0.5524,0.8731,1.5644,0.2617,0.9057,0.382,0.8691,1.0597,0.9153,1.7649,-0.0707,0.0076,0.2949,0.4425,0.6555,0.2958,0.937,Control
A02,0.3901,0.3567,0.6474,1.2665,0.099,0.6399,0.285,0.5962,0.8403,0.7812,1.4569,0.0574,-0.0623,0.1232,0.3585,0.4502,0.2185,0.5755,Control
A03,0.365,0.5481,0.8212,1.1479,0.2106,0.8672,0.3595,0.7362,1.0306,0.9344,1.5179,-0.0262,0.0817,0.2784,0.4264,0.5046,0.2758,1.036,Control
A04,0.3624,0.3382,0.5517,1.0389,0.2655,0.7304,0.371,0.5225,0.8412,0.8265,1.6944,0.1042,0.0744,0.2047,0.435,0.5296,0.2304,0.6365,Control
A05,0.4035,0.4751,0.7836,1.3652,0.3148,0.8925,0.3664,0.5885,0.9969,1.0764,1.742,0.0538,0.1341,0.4384,0.4748,0.535,0.2458,0.9697,Control
A06,0.3104,0.4492,0.6787,1.2598,0.1924,0.8002,0.2252,0.5729,1.0051,0.8032,1.5152,-0.0314,-0.0102,0.0551,0.4169,0.4429,0.2133,0.9507,Control
A07,0.3189,0.5093,0.8299,1.2858,0.2018,0.7712,0.3551,0.7928,0.9516,0.8621,1.5779,0.0733,0.0685,0.2368,0.478,0.4896,0.2654,0.9639,Control
A08,0.296,0.42,0.9559,1.007,0.136,0.763,0.351,0.8615,1.0413,0.716,1.4483,-0.0965,0.0225,0.1983,0.4428,0.5175,0.2036,0.9739,Control
A09,0.309,0.466,0.6512,1.3196,0.1834,0.7757,0.3534,0.5856,0.929,0.8269,1.5303,0.0638,-0.0066,0.3958,0.3657,0.4678,0.2531,0.8879,Control
A10,0.3185,0.37,0.8402,1.0772,0.238,0.7105,0.2448,0.6426,0.9732,0.8239,1.6019,-0.0285,-0.078,0.2151,0.4465,0.4365,0.2088,0.8958,Control
A11,0.3068,0.5052,0.4672,1.0441,0.142,0.7146,0.2633,0.6349,0.9051,0.697,1.0159,-0.0917,0.0223,0.1407,0.2378,0.4416,0.1381,0.7237,Control
A12,0.2184,0.4442,0.4503,0.7755,-0.0257,0.4061,0.3393,0.2279,0.5138,0.3974,1.1031,-0.0227,-0.0315,-0.0244,0.3297,0.2461,0.2619,0.3692,Control
