@relation data

@attribute id string
@attribute 2897 numeric
@attribute 2901 numeric
@attribute 2898 numeric
@attribute 1741 numeric
@attribute 2899 numeric
@attribute 805 numeric
@attribute 1742 numeric
@attribute 83988 numeric
@attribute 801 numeric
@attribute 808 numeric
@attribute 1739 numeric
@attribute 2900 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.1339,0.0422,-0.1407,0.3118,-0.0352,1.1541,0.4022,0.2497,2.327,2.0788,0.7041,-0.0597,Control
A02,-0.124,0.0563,-0.0447,0.2446,0.0042,0.9777,0.2515,0.1536,2.3401,2.1743,0.4667,-0.0835,Control
A03,-0.1464,0.0286,-0.0555,0.3103,-0.0083,1.2312,0.4125,0.3299,2.5223,2.1303,0.5798,-0.0272,Control
A04,-0.1066,0.1253,-0.0463,0.1961,-0.0311,1.025,0.3283,0.1729,2.6032,2.2819,0.5594,-0.0209,Control
A05,-0.1198,0.0649,-0.0881,0.1996,-0.0608,0.9902,0.4891,0.2348,2.287,2.3833,0.5875,0.0048,Control
A06,-0.1428,6e-04,-0.0939,0.1836,0.0157,1.1486,0.3335,0.2378,2.2428,2.1363,0.5196,-0.1218,Control
A07,-0.1348,0.0457,-0.0981,0.2011,-0.0239,1.4495,0.3991,0.336,2.296,2.1759,0.7014,-0.0645,Control
A08,-0.1344,0.0028,-0.1321,0.2848,-0.0593,1.2527,0.2459,0.5011,2.2139,1.9205,0.9296,-0.0885,Control
A09,-0.1224,0.0353,-0.0863,0.247,-0.0048,0.951,0.3004,0.3123,2.2423,2.3034,0.6366,-0.0849,Control
A10,-0.1079,0.0413,-0.0926,0.3223,-0.0563,1.2653,0.3417,0.5417,2.2774,2.2451,0.7837,-0.0694,Control
A11,-0.1228,0.0322,-0.1398,0.3406,-0.0206,0.7584,0.2257,0.4474,2.2562,2.1908,0.4615,-0.0273,Control
A12,-0.1232,-0.0342,-0.0486,0.1494,0.1292,0.602,0.0766,0.0943,1.7774,1.965,0.4045,-0.0646,Control
B01,-0.1072,-0.0904,-0.1675,0.2277,0.1069,1.5527,0.0997,0.1681,2.4459,1.8265,0.6341,-0.0168,Control
B02,-0.1307,0.0381,-0.1163,0.2845,0,1.4591,0.361,0.2312,2.7299,2.189,0.5712,-0.0587,Control
B03,-0.1227,5e-04,-0.1194,0.3114,-0.0055,1.4948,0.216,0.2517,2.6651,2.042,0.6154,-0.0262,BRCACancer
B04,-0.1744,0.0022,-0.1065,0.2852,0.0034,1.4654,0.2554,0.5425,2.1452,1.8968,0.8973,-0.1174,BRCACancer
B05,-0.1633,0.0242,-0.0109,0.1775,0.0376,1.2033,0.1365,0.2178,2.5472,2.0581,0.4799,-0.1446,BRCACancer
B06,-0.0925,-0.2313,-0.0982,0.2743,0.074,1.2894,-0.0255,0.2409,2.1772,1.5456,0.4721,-0.0823,BRCACancer
B07,-0.0974,-0.011,-0.0725,0.3713,-0.0295,1.3429,0.2528,0.286,2.7059,2.1058,0.681,-0.1319,BRCACancer
B08,-0.0976,0.094,-0.1009,0.2111,-0.0276,1.1707,0.3653,0.1526,2.443,2.4631,0.4204,0.0047,Control
B09,-0.1364,0.0192,-0.1324,0.3005,-0.0368,1.1532,0.1038,0.4984,2.528,2.1245,0.7358,-0.0341,Control
B10,-0.1025,-0.0173,-0.1155,0.2061,-0.0308,1.174,0.1469,0.3078,2.1794,2.0672,0.6423,-0.0552,Control
B11,-0.1284,0.0072,-0.0784,0.2059,-0.0157,1.0831,0.3281,0.157,2.1117,2.2914,0.5518,-0.0509,Control
B12,-0.1162,-0.0057,-0.0898,0.0908,0.0223,1.0803,0.1798,0.1756,2.0912,1.8541,0.5728,-0.0566,Control
C01,-0.2002,0.0649,-0.0874,0.1631,-0.0025,1.3271,0.4223,0.238,2.28,2.1046,0.5983,-0.1169,BRCACancer
C02,-0.1494,0.0676,-0.0327,0.2262,0.009,0.8945,0.3734,0.1613,2.3218,2.3238,0.5234,-0.0569,BRCACancer
C03,-0.153,0.0704,-0.0528,0.3092,1e-04,1.1949,0.371,0.2575,2.6161,2.2582,0.556,-0.0835,BRCACancer
C04,-0.0826,0.1631,-0.0624,0.1148,0.0135,0.6556,0.3129,0.0666,2.2155,2.7034,0.2468,-0.0087,Control
C05,-0.1054,0.1136,-0.0157,0.1358,0.0377,0.7229,0.2519,0.0469,1.9306,2.2658,0.2547,-0.0289,BRCACancer
C06,-0.1148,0.0651,-0.124,0.1003,0.0601,0.2453,-0.0314,0.025,0.8831,1.2786,0.0705,-0.0383,Control
C07,-0.1453,0.0437,-0.0449,0.2788,0.0463,0.4921,0.2679,0.15,2.2026,2.3503,0.3812,-0.0687,Control
C08,-0.0895,0.0548,-0.085,0.2417,0.0109,0.6442,0.3294,0.185,2.1339,2.1913,0.3799,-0.0044,Control
C09,-0.0865,0.0866,-0.0979,0.1755,0.0054,0.6769,0.247,0.1235,2.1377,2.3378,0.3486,-0.037,Control
C10,-0.0893,0.0513,-0.0353,0.1281,0.0187,0.7478,0.2748,0.1023,2.0699,2.5247,0.3674,-0.0442,BRCACancer
C11,-0.0992,0.0965,-0.0921,0.3346,-0.0176,0.8122,0.3401,0.1913,2.521,2.4776,0.4507,-0.0085,Control
C12,-0.1531,0.0351,-0.0577,0.1425,-0.0055,0.4887,0.2483,0.0764,2.1077,2.7435,0.2741,-0.0304,BRCACancer
D01,-0.1559,0.0571,-0.151,0.2391,-0.0378,1.2607,0.2046,0.3436,2.1885,1.8189,0.6943,-0.0456,BRCACancer
D02,-0.1209,0.1127,-0.0771,0.1901,-0.0327,0.7122,0.2737,0.121,2.2834,2.6213,0.3832,0.0154,BRCACancer
D03,-0.104,0.0633,-0.0498,0.1241,0.0289,0.7313,0.2574,0.1321,2.2948,2.7238,0.3104,-0.0643,BRCACancer
D04,-0.092,0.088,-0.1039,0.1573,-0.0294,0.8977,0.3631,0.0933,2.2208,2.4326,0.388,-0.0176,BRCACancer
D05,-0.1207,0.0708,-0.0391,0.1441,0.0431,0.901,0.3086,0.1132,2.2587,2.4253,0.3949,-0.0715,BRCACancer
D06,-0.1372,0.065,-0.1114,0.2743,-0.0055,0.9978,0.3971,0.1701,2.3602,2.2685,0.4295,-0.0642,BRCACancer
D07,-0.1043,0.0549,-0.0878,0.2686,-0.0074,0.9342,0.3818,0.2067,2.4554,2.5692,0.406,-0.0222,Control
D08,-0.1001,0.0672,-0.0642,0.1458,0.069,0.6641,0.1957,0.0676,2.2106,2.3431,0.2823,-0.0608,Control
D09,-0.1307,0.086,-0.1045,0.2518,0.049,0.6783,0.3347,0.0834,2.1715,2.2565,0.4088,-0.0587,Control
D10,-0.1134,0.0433,-0.0735,0.1804,0.0112,0.5251,0.2341,0.1488,1.9689,2.469,0.3384,-0.0064,Control
D11,-0.068,0.0162,-0.1572,0.1525,0.0515,0.3769,0.1489,0.0157,1.6044,1.9583,0.1679,-0.0258,Control
D12,-0.0394,0.0621,-0.1372,0.1855,0.01,0.6078,0.1797,0.0905,2.1698,2.3686,0.2259,-0.003,Control
E01,-0.0948,-0.029,-0.0354,0.1609,0.037,0.6527,0.2056,0.0619,2.4746,2.2234,0.3293,-0.0324,BRCACancer
E02,-0.1349,0.073,-0.0482,0.237,-0.0103,0.7142,0.3063,0.1749,2.1628,2.4671,0.5756,-0.0269,Control
E03,-0.0888,0.1011,-0.0783,0.1754,-0.0229,0.4944,0.3898,0.126,2.3276,2.7244,0.3418,-0.0658,Control
E04,-0.0698,0.083,-0.0625,0.2954,-0.0121,0.9354,0.4788,0.1474,2.4413,2.5588,0.4887,-0.0386,Control
E05,-0.1578,-0.0189,-0.1296,0.2341,0.0573,0.7072,0.14,0.1212,2.1386,2.309,0.5106,-0.0856,Control
E06,-0.1682,-0.0207,-0.1008,0.0766,0.0887,0.9359,0.0889,0.0965,1.755,1.704,0.3657,-0.0789,BRCACancer
E07,-0.0461,0.1193,-0.0696,0.1695,-0.0452,0.9633,0.4228,0.1274,2.513,2.7646,0.4441,-0.0169,BRCACancer
E08,-0.079,0.0553,-0.0619,0.2511,-0.0646,0.9732,0.3139,0.089,2.4266,2.7554,0.4626,-0.0481,Control
E09,-0.0986,0.1162,-0.0557,0.2603,-0.0057,0.72,0.3741,0.1066,2.3559,2.7085,0.419,-0.038,BRCACancer
E10,-0.1096,0.0053,-0.0851,0.2066,0.0093,0.8219,0.3486,0.194,2.1519,2.1796,0.5935,-0.082,BRCACancer
E11,-0.0829,0.0691,-0.074,0.1933,0.013,0.5502,0.2548,0.1269,2.2735,2.686,0.348,-0.0278,Control
E12,-0.0801,0.0317,-0.0836,0.2135,0.0276,0.3796,0.1163,0.1125,2.0652,2.3035,0.2522,-0.0015,BRCACancer
F01,-0.1344,0.0477,-0.096,0.272,-0.0383,0.9449,0.3753,0.1226,2.2217,2.2117,0.5533,-0.0768,Control
F02,-0.1506,0.0695,-0.0944,0.2264,0.029,1.0284,0.3854,0.1336,2.3264,2.2343,0.5054,-0.0226,Control
F03,-0.1384,0.0215,-0.0561,0.2897,-0.0057,0.8235,0.3318,0.1833,2.0819,2.2131,0.3905,-0.0464,Control
F04,-0.097,0.0563,-0.1377,0.3217,0.0064,1.1349,0.3337,0.394,2.4169,2.0915,0.467,-0.0714,Control
F05,-0.1101,0.0903,-0.0806,0.2314,0.033,0.6879,0.4059,0.1261,2.2838,2.4926,0.4434,-0.0375,Control
F06,-0.1438,0.0434,-0.1009,0.1495,0.0523,0.5224,0.3463,0.0284,1.7434,2.3393,0.4042,-0.089,Control
F07,-0.1479,0.0464,-0.1079,0.2347,-0.0399,0.8277,0.2973,0.2871,2.1798,2.3604,0.6218,-0.0461,Control
F09,-0.0862,0.0897,-0.0964,0.2039,-0.0392,0.9634,0.5858,0.1595,2.198,2.2495,0.534,-0.0468,Control
