@relation data

@attribute id string
@attribute 3420 numeric
@attribute 5166 numeric
@attribute 5164 numeric
@attribute 1743 numeric
@attribute 5165 numeric
@attribute 23530 numeric
@attribute 682 numeric
@attribute 5162 numeric
@attribute 1431 numeric
@attribute 5163 numeric
@attribute 5160 numeric
@attribute 23539 numeric
@attribute 8050 numeric
@attribute 9123 numeric
@attribute 2271 numeric
@attribute 6392 numeric
@attribute 4967 numeric
@attribute 6390 numeric
@attribute 3419 numeric
@attribute 6391 numeric
@attribute 3418 numeric
@attribute 6566 numeric
@attribute 3945 numeric
@attribute 55066 numeric
@attribute 54704 numeric
@attribute 57546 numeric
@attribute 4191 numeric
@attribute 1738 numeric
@attribute 1737 numeric
@attribute 6389 numeric
@attribute 3939 numeric
@attribute 8802 numeric
@attribute 8803 numeric
@attribute 8801 numeric
@attribute 3421 numeric
@attribute 50 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.6485,0.8949,0.6185,1.6958,0.9186,1.2997,0.9787,1.3996,0.9243,1.9071,1.2592,0.3034,1.0035,0.779,0.6773,1.045,1.1531,0.7312,1.4296,1.2453,0.7915,0.5829,1.7352,1.0932,2.0778,0.6728,1.5292,1.6859,1.1195,1.3446,1.0717,1.0114,0.6371,0.4659,0.991,0.7471,Control
A02,1.537,0.5947,0.4477,1.3249,0.5976,1.1205,1.015,1.3041,0.739,1.3494,0.9986,0.2104,0.639,0.6786,0.597,0.6715,1.0875,0.6679,1.378,0.9935,0.6561,0.4808,1.1223,0.9678,2.2057,0.211,1.5421,1.5807,0.8531,1.359,0.9878,0.7946,0.3754,0.2321,0.9494,0.5833,Control
A03,1.6179,1.3755,0.6223,1.6344,0.7906,1.2937,1.1816,1.3098,0.9804,1.2813,1.2062,0.2443,0.7823,1.0311,0.5523,0.8962,1.3202,0.7881,1.4439,1.0382,0.8981,0.5653,1.0622,1.08,2.353,0.4073,1.5851,1.6106,0.989,1.4778,1.2745,0.9539,0.4993,0.273,1.0818,0.7846,Control
A04,1.6055,1.2907,0.6195,1.4275,0.5911,1.2726,1.1612,1.2814,0.7892,1.72,0.9294,0.4465,0.5728,0.7898,0.5745,0.404,1.2438,0.6222,1.3045,0.8919,0.6212,0.4003,1.3101,1.0101,2.194,0.1213,1.6915,1.6525,0.8292,1.4967,1.2288,0.8557,0.3228,0.2447,1.0052,0.6135,Control
A05,1.7492,1.3433,0.7211,1.4868,0.8685,1.3718,1.3158,1.4353,0.8227,1.7589,1.1561,0.3736,0.6489,1.0265,0.6752,0.6269,1.3701,0.7461,1.4653,0.829,0.9076,0.5558,1.0733,1.0362,2.3572,0.3384,1.7842,1.7552,0.9984,1.5257,1.2768,0.8764,0.5123,0.3163,1.164,0.7306,Control
A06,1.6912,1.8546,0.5885,1.4961,0.7789,1.1932,0.9995,1.2782,0.864,1.412,1.1729,0.1388,0.7012,0.8331,0.5896,0.7571,1.2083,0.7368,1.4428,1.0221,0.7309,0.5326,1.1456,1.63,2.055,0.3091,1.5585,1.6692,1.0101,1.4777,1.159,0.9184,0.5245,0.2903,1.0288,0.6429,Control
A07,1.6267,1.6853,0.5503,1.601,0.9101,1.418,1.0969,1.425,0.8339,1.6234,1.1976,0.3098,0.9222,0.8451,0.7472,0.7157,1.298,0.7664,1.5371,1.1239,0.7649,0.5553,1.3126,1.2297,2.1438,0.4771,1.5765,1.7677,1.0456,1.5332,0.9534,1.0039,0.5829,0.6154,1.0012,0.6073,Control
A08,1.3361,1.2681,0.4798,1.603,1.0022,1.3879,0.7192,1.1572,0.9763,1.9146,1.0132,0.16,0.9502,0.6322,0.654,0.8468,1.1751,0.6556,1.309,0.972,0.6122,0.3831,1.5496,1.23,1.9566,0.4404,1.48,1.7193,0.9719,1.4061,0.8911,1.0691,0.6571,0.9235,0.8115,0.6178,Control
A09,1.6429,0.8918,0.6205,1.5439,0.8464,1.2178,0.939,1.2181,0.8064,1.6297,1.0736,0.3207,0.8348,0.6889,0.4649,0.7133,1.2044,0.584,1.4101,0.8354,0.7243,0.4278,1.4437,1.5352,2.0049,0.4185,1.5531,1.5706,1.0397,1.4277,1.0955,0.9256,0.5467,0.5515,0.964,0.5986,Control
A10,1.6063,1.0002,0.5382,1.4317,0.8703,1.4879,1.101,1.3028,0.7986,1.818,1.1358,0.3318,0.7993,0.7438,0.588,0.7686,1.2686,0.6966,1.3684,1.0878,0.7533,0.5628,1.0976,1.501,2.0614,0.6269,1.6294,1.8197,0.9818,1.4529,1.0124,1.0566,0.5226,0.6448,0.9256,0.6107,Control
A11,1.5317,0.9818,0.4418,1.4768,0.6865,1.0282,0.9253,1.1629,0.713,1.0025,1.0297,0.2099,0.7394,0.7472,0.3954,0.6003,0.9642,0.5014,1.3304,0.6539,0.6725,0.4264,1.1788,1.2344,1.8319,0.553,1.2809,1.3782,0.9271,1.1981,0.8445,0.6505,0.5925,0.3099,0.9048,0.5411,Control
A12,1.2734,0.4983,0.3908,1.0004,0.2704,0.8543,0.6188,1.1549,0.4862,1.2691,0.6557,0.1127,0.3599,0.4365,0.3622,0.4345,0.7762,0.5965,0.9119,0.5609,0.4631,0.3567,0.9047,0.5593,1.58,0.0776,1.3539,1.2665,0.5551,1.0733,0.6527,0.6001,0.1268,0.1855,0.6687,0.2718,Control
B01,1.5604,1.4761,0.3534,1.5904,0.769,1.1582,0.3303,1.293,0.8743,1.789,1.0565,-0.129,0.9738,0.4461,0.6753,1.0983,0.9422,0.6536,1.3027,1.0604,0.4757,0.4049,1.9165,1.2622,1.7103,0.3546,1.2426,1.6664,0.8585,1.2485,0.8877,1.0338,0.506,0.4631,0.701,0.578,Control
B02,1.8357,1.4262,0.6199,1.8304,0.6942,1.3681,1.0526,1.5621,0.9176,1.6869,1.1514,0.317,0.8633,0.9616,0.7938,0.9995,1.2439,0.7613,1.5692,0.9683,0.8388,0.5281,1.6903,1.6705,2.2169,0.4106,1.7106,1.8589,1.0795,1.5528,1.2584,1.0219,0.498,0.2959,1.0727,0.7766,Control
B03,1.6393,0.6869,0.4991,1.6342,0.6998,1.2983,0.8554,1.3908,0.85,1.4631,1.1154,0.2113,0.8054,0.7934,0.6351,0.7283,1.2234,0.6783,1.4637,1.0646,0.7317,0.4069,1.6383,1.5901,2.0183,0.3878,1.5089,1.8297,0.9217,1.4016,1.2019,1.0411,0.4501,0.3511,0.892,0.7156,BRCACancer
B04,1.1572,0.528,0.4076,1.368,0.7372,1.4254,0.6063,0.9692,0.8996,1.4962,0.9076,0.2171,0.6816,0.5862,0.5972,1.0259,1.283,0.6109,1.0412,1.1411,0.6074,0.3791,1.133,1.521,1.6771,0.1851,1.2255,1.5095,0.6011,1.3477,0.7475,0.8675,0.3935,0.8426,0.6843,0.4933,BRCACancer
B05,1.531,1.2585,0.4549,1.3762,0.5542,1.0537,0.7091,1.2225,0.881,1.1552,0.9635,0.1591,0.5259,0.8114,0.6231,0.7666,1.1325,0.6589,1.4296,0.741,0.6668,0.3347,1.1303,0.9495,1.9747,0.258,1.57,1.5128,0.6893,1.2184,0.9952,0.7906,0.3257,0.2644,0.8554,0.5715,BRCACancer
B06,1.2549,0.5331,0.1232,1.4666,0.4088,0.8439,0.2501,0.9155,0.6367,1.086,0.9665,-0.1388,0.6088,0.3645,0.4005,0.74,0.7511,0.5938,1.0173,1.0262,0.2381,0.2545,1.0395,0.7889,1.5122,0.2412,0.9723,1.4671,0.5648,0.9881,0.5631,0.7653,0.2629,0.274,0.4888,0.3365,BRCACancer
