@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10451 numeric
@attribute 123745 numeric
@attribute 1432 numeric
@attribute 1437 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2205 numeric
@attribute 2206 numeric
@attribute 2207 numeric
@attribute 23533 numeric
@attribute 2534 numeric
@attribute 26279 numeric
@attribute 27040 numeric
@attribute 2885 numeric
@attribute 30814 numeric
@attribute 3265 numeric
@attribute 3562 numeric
@attribute 3565 numeric
@attribute 3567 numeric
@attribute 3596 numeric
@attribute 3635 numeric
@attribute 3845 numeric
@attribute 391013 numeric
@attribute 3937 numeric
@attribute 4067 numeric
@attribute 4893 numeric
@attribute 50487 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5580 numeric
@attribute 5581 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5609 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5894 numeric
@attribute 6300 numeric
@attribute 6416 numeric
@attribute 64600 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6850 numeric
@attribute 695 numeric
@attribute 7124 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 8399 numeric
@attribute 84647 numeric
@attribute 8503 numeric
@attribute 8681 numeric
@attribute 9846 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6002,0.7388,2e-04,1.4426,0.1156,0.6045,0.8246,0.5157,0.3497,2.2919,1.3891,1.5632,0.1003,1.667,1.6544,-0.133,0.4247,-0.1283,-0.2431,-0.0293,-0.1121,1.2646,1.5983,-0.1244,2.2149,1.322,2.847,-0.0924,1.6169,1.5303,1.3241,1.8391,1.4782,0.1982,-0.0518,-0.0825,0.541,-0.198,1.7289,0.5941,0.5523,1.0332,1.1766,0.3065,1.7309,1.0783,1.4021,-0.0276,1.121,-0.0344,0.9875,0.718,0.4255,0.744,0.7028,0.6035,0.6432,1.5768,0.0374,1.7847,-0.1615,0.7285,0.0052,1.1294,1.3492,1.0855,1.5056,0.4095,1.448,0.1913,0.4155,0.464,0.2044,-0.0753,0.1026,0.6991,0.6222,Control
Utah__A02,0.3429,0.5864,0.0288,1.1508,0.1744,0.5571,0.607,0.4968,0.3127,2.669,1.0974,1.1722,0.1235,1.2459,1.493,0.0302,0.3701,-0.0684,-0.2101,-0.0555,-0.1388,1.2681,1.3547,0.0305,2.0937,1.18,3.0554,-3e-04,1.3286,1.3861,1.0956,2.0614,1.1561,0.1599,-0.0708,0.0619,0.4199,-0.1858,1.2376,0.584,0.1715,0.6697,1.3276,0.1973,1.6299,1.0214,0.9672,-0.0188,0.983,0.0192,0.9234,0.4692,0.2945,0.722,0.2931,0.523,0.4992,1.469,-0.0162,1.5429,-0.0835,0.4813,0.0506,0.9018,1.1968,0.9078,1.5412,0.4322,1.3147,0.1135,0.3673,0.2477,-0.0422,-0.06,0.1135,0.3054,0.4301,Control
Utah__A03,0.3568,0.6968,-0.0184,1.3711,0.2328,0.6699,0.7634,0.5363,0.2451,2.7328,1.5442,1.401,0.2143,1.4944,1.7906,-0.0621,0.3745,-0.0562,-0.2254,-0.0179,-0.1073,1.4447,1.6547,0.0504,2.3345,1.5735,3.1476,-0.0197,1.4291,1.4305,1.2641,2.1951,1.3011,0.2603,-0.0493,0.0236,0.5097,-0.1014,1.3242,0.7859,0.1678,0.9489,1.423,0.311,1.8758,1.0584,1.211,0.0192,1.1034,-0.0146,0.9564,0.6904,0.494,1.0145,0.429,0.6958,0.7305,1.5848,0.0577,1.7349,-0.0697,0.6279,-0.0604,1.1313,1.3816,1.2015,1.6737,0.5375,1.5496,0.2634,0.2585,0.4022,-0.0424,-0.1217,0.2773,0.5214,0.6701,Control
Utah__A04,0.4955,0.644,0.0154,1.2559,0.1599,0.6114,0.6935,0.5008,0.1037,2.9327,1.3239,1.3783,0.155,1.4899,1.4914,-0.0816,0.3589,-0.1193,0.0048,-0.1525,-0.1331,1.3759,1.1941,-0.108,2.0627,1.3977,3.093,0.0112,1.383,1.3728,1.2342,2.1245,1.4673,0.2795,0.0442,0.0279,0.324,-0.1458,1.312,0.4817,0.2858,0.7891,1.3079,0.268,1.7145,1.0435,0.9665,0.1305,1.064,-0.0052,1.0754,0.4999,0.4226,0.781,0.3654,0.6518,0.4506,1.5612,0.1433,1.6725,0.0483,0.5001,-0.0426,1.0307,1.2135,0.8709,1.424,0.3432,1.283,0.1301,0.2732,0.3282,-0.2316,-0.1663,0.0439,0.3987,0.4515,Control
Utah__A05,0.4795,0.8571,-0.0355,1.5137,0.1949,0.7362,0.7698,0.5298,0.4032,3.0801,1.5325,1.4167,0.1888,1.4736,1.8851,-0.1104,0.4809,-0.0355,-0.1382,0.0787,-0.1363,1.4136,1.41,-0.0639,2.1374,1.5903,3.3716,0.0413,1.5208,1.8135,1.3448,2.1197,1.3057,0.3911,0.0279,-0.0669,0.6523,-0.122,1.2008,0.7428,0.2856,0.9233,1.6614,0.3175,1.9408,1.1978,1.1192,0.0999,1.1345,-0.0161,0.9611,0.7099,0.4974,0.9779,0.5039,0.7144,0.6788,1.5812,0.007,1.808,0.0263,0.5851,0.0186,1.0492,1.3778,1.2336,1.7819,0.365,1.5542,0.2084,0.3608,0.3537,0.0525,-0.0556,0.1894,0.5053,0.7242,Control
Utah__A06,0.4153,0.7849,-0.0214,1.2007,0.1744,0.6349,0.7165,0.5059,0.3125,2.7801,1.4078,1.3172,0.0317,1.1956,1.5864,-0.0085,0.2391,-0.0679,-0.1418,-0.0252,-0.1302,1.3554,1.4342,0.0583,2.0011,1.3721,2.9291,-0.0073,1.4163,1.4187,1.2303,1.9994,1.3466,0.1824,0.0536,0.0098,0.4123,-0.1602,1.1962,0.6112,0.2749,0.8755,1.3395,0.2717,1.8446,0.9874,1.1521,-0.0898,0.9999,-0.0265,0.8385,0.6673,0.3508,0.8196,0.6103,0.5537,0.5315,1.5216,0.0317,1.7489,-0.1287,0.575,-0.0281,0.8863,1.3318,1.1513,1.6045,0.4132,1.4091,0.1414,0.3895,0.3665,-0.0866,-0.0663,0.1109,0.4826,0.6339,Control
Utah__A07,0.7253,0.9519,-0.0681,1.592,0.2107,0.5857,0.7237,0.6866,0.0408,2.6305,1.3584,1.855,0.1884,1.3629,1.89,-0.0157,0.3621,0.0137,-0.0543,0.0029,-0.1557,1.4305,1.7087,-0.0232,2.2697,1.7192,2.9633,-0.0098,1.6368,1.5148,1.2868,1.974,1.6128,0.1921,-0.1046,-0.0235,0.6192,-0.1308,1.2837,0.6739,0.5058,1.2903,1.4288,0.3905,1.882,0.9702,1.3691,-0.077,1.0948,-0.0107,0.9238,0.8479,0.4043,0.7471,0.5968,0.5012,0.7067,1.6623,0.0088,1.7704,-0.1294,0.7805,0.0369,1.1809,1.4952,1.4313,1.6179,0.4675,1.4238,0.1986,0.7497,0.2803,-0.0888,-0.1166,0.2134,0.4214,1.0101,Control
Utah__A08,1.0592,1.1379,0.0345,1.6309,0.1331,0.5257,0.7148,0.3694,0.3355,2.3308,1.3062,2.0099,-0.0182,1.335,1.7425,-0.043,0.2915,-0.0849,-0.1634,-0.1791,-0.0622,1.5328,1.6234,-0.0744,2.4058,1.9024,2.7421,-0.0196,1.8021,1.5358,1.3083,2.0798,1.7107,0.159,0.0031,-0.0028,0.4231,-0.118,1.4764,0.7942,0.8574,1.3963,1.1228,0.5264,1.9122,0.9939,1.4969,-0.0922,1.2356,-0.0431,0.7799,0.8635,0.3356,0.6866,0.7273,0.4817,0.7992,1.4029,-0.0271,1.7386,-0.107,0.967,0.0122,1.4746,1.4347,1.2774,1.3452,0.2445,1.3149,0.1921,0.555,0.3545,0.0187,-0.0775,0.2596,0.5394,0.9775,Control
Utah__A09,0.7398,0.6254,-0.0223,1.435,0.1897,0.5517,0.6732,0.309,-0.1931,2.6919,1.3303,1.6972,0.1139,1.5365,1.8554,-0.0426,0.3464,-0.086,-0.2085,0.0863,-0.0643,1.3605,1.5566,-0.0373,2.2002,1.6508,2.9428,0.0414,1.4941,1.4418,1.2311,1.9891,1.5301,0.1611,-0.0301,0.0389,0.4106,-0.1187,1.3678,0.619,0.5722,1.2298,1.2723,0.3873,1.8315,0.99,1.3676,-0.0205,0.9917,-0.0155,0.8347,0.7596,0.3503,0.8065,0.5458,0.5112,0.5778,1.4845,-0.0012,1.6393,-0.0855,0.7254,0.0078,1.0011,1.3189,1.2825,1.5507,0.3484,1.4389,0.1807,0.4755,0.2703,0.0993,-0.1198,0.1167,0.538,0.9423,Control
Utah__A10,0.7924,1.0645,-0.0029,1.7367,0.1738,0.5517,0.7126,0.2214,0.0309,2.6051,1.3987,1.978,0.091,1.3886,1.8284,-0.0138,0.3978,-0.1361,-0.1695,-0.1003,-0.1992,1.547,1.4421,-0.0661,2.5095,1.8161,3.0526,0.0706,1.743,1.7142,1.2585,2.143,1.6455,0.2578,-0.0449,-0.0152,0.6973,-0.1018,1.2566,0.6952,0.3634,1.2971,1.399,0.4532,1.9225,0.9237,1.2269,-0.0018,1.1887,-6e-04,0.996,0.7992,0.4701,0.7525,0.6755,0.5635,0.709,1.5632,0.0614,1.7838,0.0165,0.8418,-0.0201,1.3376,1.3751,1.3904,1.4132,0.4505,1.3101,0.1442,0.479,0.3453,-0.0936,-0.0982,0.3257,0.4287,0.9391,Control
