@relation data

@attribute id string
@attribute 10154 numeric
@attribute 1020 numeric
@attribute 10371 numeric
@attribute 103910 numeric
@attribute 10398 numeric
@attribute 10507 numeric
@attribute 10570 numeric
@attribute 1072 numeric
@attribute 1400 numeric
@attribute 1809 numeric
@attribute 2064 numeric
@attribute 2242 numeric
@attribute 23129 numeric
@attribute 23365 numeric
@attribute 23396 numeric
@attribute 2534 numeric
@attribute 27289 numeric
@attribute 2909 numeric
@attribute 2932 numeric
@attribute 3320 numeric
@attribute 3326 numeric
@attribute 3672 numeric
@attribute 3688 numeric
@attribute 387 numeric
@attribute 388 numeric
@attribute 389 numeric
@attribute 391 numeric
@attribute 3984 numeric
@attribute 3985 numeric
@attribute 4233 numeric
@attribute 4627 numeric
@attribute 4628 numeric
@attribute 4637 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5361 numeric
@attribute 5362 numeric
@attribute 5364 numeric
@attribute 5365 numeric
@attribute 54209 numeric
@attribute 55558 numeric
@attribute 56896 numeric
@attribute 57556 numeric
@attribute 5788 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 6093 numeric
@attribute 6237 numeric
@attribute 7094 numeric
@attribute 7305 numeric
@attribute 79784 numeric
@attribute 80031 numeric
@attribute 8482 numeric
@attribute 8829 numeric
@attribute 8851 numeric
@attribute 9037 numeric
@attribute 91584 numeric
@attribute 9475 numeric
@attribute 971 numeric
@attribute 9723 numeric
@attribute 9826 numeric
@attribute 9855 numeric
@attribute 998 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.1441,0.5707,0.0804,0.8235,0.6685,1.7947,0.0295,0.6846,-0.0131,-0.0253,0.1419,0.549,0.5992,0.7274,0.2929,1.5632,-0.04,0.7234,0.6542,0.7784,1.844,0.1684,2.4355,0.7773,1.0893,0.5537,1.1536,0.4691,0.7462,-0.0957,1.8777,-0.0463,1.6807,1.1667,1.0217,0.288,0.0237,0.0104,0.0299,-0.1263,0.3485,-0.0942,-0.0817,3.0603,0.6432,1.5768,1.5327,0.9755,2.263,1.4936,-0.0402,-0.1207,0.3539,-0.058,0.0448,-0.0064,0.1107,1.0287,0.8103,-0.1623,0.7293,0.2407,1.3608,Control
Utah__A02,1.0673,0.5204,-0.0014,0.4186,0.6838,1.4763,0.0779,0.5857,0.0491,-0.0014,0.2472,0.3799,0.5545,0.7298,0.2863,1.1722,-0.1196,0.4701,0.4588,0.7066,1.5602,0.1934,2.1547,0.5327,1.1877,0.7787,1.0903,0.5328,0.5181,0.1297,1.6403,-0.1331,1.5091,1.1756,0.8893,0.2775,0.0639,0.1226,0.005,0.0597,0.182,-0.0422,-0.0332,3.0621,0.4992,1.469,1.2476,1.1633,2.3387,1.3971,-0.0494,-0.1647,0.3403,-0.0748,0.1618,0.0379,0.0773,0.7721,0.4624,-0.083,0.6349,0.2388,1.0773,Control
Utah__A03,1.2741,0.8221,-0.0198,0.8025,0.6669,1.5255,-0.0079,0.8552,0.0401,0.0134,0.2761,0.6971,0.6228,0.8553,0.3914,1.401,-0.0378,0.6574,0.6001,0.9237,1.9531,0.1447,2.3137,0.88,1.355,0.8627,1.2395,0.5926,0.81,0.1054,1.8089,-0.0911,1.7979,1.4289,0.9957,0.2881,0.1151,0.1408,0.0196,-0.0112,0.2612,-0.0752,-0.0142,3.1872,0.7305,1.5848,1.5227,1.4495,2.5626,1.6181,-0.0159,-0.2019,0.3315,-0.0034,0.0465,-0.0175,0.0563,0.9926,0.425,-0.0866,0.8468,0.3041,1.3643,Control
Utah__A04,0.9796,0.6325,0.017,0.5527,0.7458,1.5763,0.0779,0.6509,0.0147,-0.0022,0.2824,0.3604,0.6598,0.6561,0.4184,1.3783,-0.0926,0.4911,0.4958,0.7921,1.9273,0.1736,2.3772,0.4995,1.1941,0.882,1.153,0.5529,0.4339,0.008,1.7291,-0.0499,1.5494,1.0247,0.9699,0.3305,0.0532,0.1105,0.1169,-0.169,0.3404,-0.0526,-0.0278,3.3298,0.4506,1.5612,1.1775,1.2364,2.5779,1.3432,0.0348,-0.1332,0.2489,-0.0889,0.2763,0.0077,0.0802,0.9147,0.5603,-0.0675,0.5663,0.2255,1.2398,Control
Utah__A05,1.259,0.9217,-0.0176,0.4384,0.942,1.6296,0.0896,0.7866,0.0217,-0.0476,0.3567,0.7899,0.8923,0.972,0.5517,1.4167,-0.0244,0.6165,0.5918,0.7053,1.4667,0.1386,2.205,0.6563,1.5037,0.9188,1.447,0.8,0.7537,0.0272,1.9183,-0.0324,1.7639,1.3702,1.0637,0.2999,0.1189,0.0806,0.1756,-0.0378,0.2669,-0.0778,-0.0901,3.1778,0.6788,1.5812,1.4139,1.5,2.9267,1.7803,0.0604,-0.1438,0.4491,-0.058,0.2613,-0.0026,0.026,1.0051,0.6838,-0.0448,0.8208,0.2769,1.3013,Control
Utah__A06,1.1649,0.6766,0.0214,0.6725,0.7609,1.5823,0.0463,0.6661,-0.0128,0.0245,0.2736,0.7068,0.6556,0.7782,0.3386,1.3172,-0.1181,0.5737,0.5257,0.6908,1.7684,0.0491,2.008,0.5764,1.1767,0.7519,1.1975,0.5539,0.6069,0.0185,1.7373,-0.1009,1.7716,1.2955,0.8999,0.2306,0.1033,0.0875,0.0172,0.0517,0.1375,-0.0457,-0.0247,2.8826,0.5315,1.5216,1.2959,1.193,2.5686,1.7126,-0.1177,-0.1629,0.2712,0.0071,0.1539,-0.0082,0.0847,0.832,0.258,-0.0954,0.7521,0.2334,1.1447,Control
Utah__A07,1.3564,0.7195,-0.0216,0.5644,0.5941,1.6014,0.0351,0.5723,0.0367,0.0065,0.2863,0.6601,0.7266,0.7036,0.378,1.855,0.0104,0.6057,0.8174,0.585,1.459,0.1003,2.4902,0.8147,1.5596,0.8629,1.2151,0.5708,0.6661,0.013,1.7987,-0.1071,1.6605,1.3668,1.0521,0.2965,0.1116,0.1393,0.0375,5e-04,0.2098,-0.0449,-0.0245,3.4253,0.7067,1.6623,1.5516,1.3748,2.4329,1.6358,-0.0404,-0.1813,0.3188,0.0141,0.2106,0.029,0.17,1.0204,0.3706,-0.0827,0.8177,0.3108,1.5858,Control
Utah__A08,1.3236,0.4469,-0.0417,0.5922,0.4908,1.6607,-0.0066,0.5512,-0.0435,-0.0557,0.2563,0.3993,0.4992,0.6019,0.3217,2.0099,-0.0357,0.7061,1.0598,0.7253,1.6332,0.0515,2.3245,0.8852,1.0775,0.759,1.0618,0.4128,0.7821,-0.0379,1.71,-0.0636,1.4756,1.2078,1.218,0.2754,0.0833,0.0412,-0.0062,-0.1541,0.2523,-0.0629,-0.0507,3.5552,0.7992,1.4029,1.5885,1.0631,2.194,1.0379,-0.0752,-0.1487,0.2388,-0.094,0.1995,-0.0139,0.108,0.9993,0.5428,-0.1791,0.7183,0.2999,1.6994,Control
Utah__A09,1.3655,0.5758,-0.0121,0.3808,0.8433,1.6888,0.0992,0.6268,0.039,0.0075,0.1878,0.4388,0.6161,0.8477,0.3282,1.6972,-0.0271,0.6299,0.707,0.6044,1.6033,0.0454,2.6012,0.5829,1.1517,0.7499,1.1528,0.4868,0.6978,0.0098,1.8143,-0.0881,1.699,1.2824,0.9502,0.2817,0.1242,0.1413,0.0109,-0.0577,0.2368,-0.0651,-0.0293,3.4935,0.5778,1.4845,1.5046,1.2887,2.4818,1.2304,-0.0337,-0.1544,0.387,-0.0491,0.0725,0.0093,0.1114,0.8836,0.4094,-0.1137,0.6354,0.264,1.4239,Control
Utah__A10,1.4147,0.6735,-0.0523,0.5178,1.1692,1.7511,0.0307,0.5679,-0.0093,-0.0456,0.2526,0.5261,0.7163,0.9042,0.3586,1.978,-0.0522,0.7234,0.907,0.625,1.5068,0.1402,2.7505,0.7836,1.0541,0.6391,1.1047,0.5767,0.7316,-0.0198,1.8828,-0.034,1.6359,1.3673,1.0809,0.2134,0.0949,0.0602,0.0796,-0.0949,0.2539,-0.1483,-0.0658,3.6895,0.709,1.5632,1.4727,1.1479,2.6874,1.461,0.0174,-0.1464,0.4144,-0.0644,0.1568,0.0461,0.019,1.1945,0.6154,-0.1041,0.7552,0.2959,1.6004,Control
