@relation data

@attribute id string
@attribute 54490 numeric
@attribute 23169 numeric
@attribute 7358 numeric
@attribute 7360 numeric
@attribute 10720 numeric
@attribute 7365 numeric
@attribute 7364 numeric
@attribute 7363 numeric
@attribute 7367 numeric
@attribute 10941 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.2267,0.9555,0.6879,1.4594,-0.0339,0.115,-0.1386,-0.1379,0.2189,-0.032,Control
A02,-0.0367,0.6671,0.4189,1.2572,-0.3408,0.0484,-6e-04,-0.0893,0.1848,-0.0064,Control
A03,-0.2328,0.8044,0.6299,1.2826,-0.1232,-0.1172,-0.1039,-0.1718,0.3533,0.035,Control
A04,-0.024,0.7353,0.5214,1.3514,-0.2851,0.0448,-0.0303,-0.0908,0.241,-0.0389,Control
A05,-0.0149,0.8256,0.6671,1.4178,-0.1899,0.0095,-0.0217,-0.1496,0.0123,0.0248,Control
A06,-0.0683,0.7372,0.6419,1.2017,-0.1986,-0.0105,-0.1421,-0.1727,0.2446,0.0289,Control
A07,-0.111,0.9125,0.5706,1.462,-0.1134,-0.0127,-0.1344,-0.1185,0.2499,-5e-04,Control
A08,-0.0846,0.9134,0.455,1.3734,-0.1783,-0.127,-0.0912,-0.2234,0.1022,0.1163,Control
A09,-0.049,0.7958,0.5308,1.357,-0.2292,-0.031,-0.0011,-0.165,0.0796,-0.023,Control
A10,-0.1153,0.9203,0.5521,1.4278,-0.2546,-0.026,-0.0633,-0.1161,0.15,-0.0138,Control
A11,-0.1311,0.6552,0.3892,1.1313,-0.4133,0.0611,-0.1409,-0.1862,0.3455,-0.0975,Control
A12,0.1255,0.5637,0.4014,1.26,-0.0746,0.1479,-0.1069,-0.0109,0.6026,0.0412,Control
B01,-0.0999,0.881,0.5015,1.2686,0.0518,-0.1315,-0.3616,-0.1021,0.2392,-0.0264,Control
B02,-0.1327,0.8936,0.5771,1.3494,-0.2082,0.0107,-0.0707,-0.0843,0.1986,-0.0545,Control
B03,-0.1635,0.822,0.5412,1.36,-0.1775,-0.0417,-0.2398,-0.1443,0.2611,-0.0675,BRCACancer
B04,0.0194,0.8838,0.3082,1.2141,-0.2261,-0.045,-0.2181,-0.0909,0.232,0.0069,BRCACancer
B05,-0.0297,0.596,0.3285,1.2107,-0.0504,0.0485,-0.0399,-0.0886,0.5923,0.0321,BRCACancer
