@relation data

@attribute id string
@attribute 9365 numeric
@attribute 26281 numeric
@attribute 10818 numeric
@attribute 5781 numeric
@attribute 6464 numeric
@attribute 2254 numeric
@attribute 2253 numeric
@attribute 54106 numeric
@attribute 2252 numeric
@attribute 2251 numeric
@attribute 2250 numeric
@attribute 8074 numeric
@attribute 8817 numeric
@attribute 2248 numeric
@attribute 2249 numeric
@attribute 2246 numeric
@attribute 2247 numeric
@attribute 5289 numeric
@attribute 6714 numeric
@attribute 27006 numeric
@attribute 30849 numeric
@attribute 2263 numeric
@attribute 8660 numeric
@attribute 2264 numeric
@attribute 1796 numeric
@attribute 2261 numeric
@attribute 2260 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 8822 numeric
@attribute 8823 numeric
@attribute 2549 numeric
@attribute 2255 numeric
@attribute 5335 numeric
@attribute 2885 numeric
@attribute 3667 numeric
@attribute 3643 numeric
@attribute 10817 numeric
@attribute 5295 numeric
@attribute 9965 numeric
@attribute 5296 numeric
@attribute 6654 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.0631,-0.0925,0.7602,0.5364,0.75,-0.0176,-0.2539,0.2765,-0.1489,-0.0194,0.0335,-0.1294,-0.0363,-0.1916,-9e-04,-0.142,-0.0751,1.215,0.3629,-0.2964,1.0056,-0.0363,0.4781,-0.1482,0.7663,-0.1727,0.1561,1.6169,1.5303,0.0876,-0.0602,0.3585,-0.0892,1.7289,1.6544,0.254,0.1655,0.0743,1.4782,-0.0596,0.1982,1.1294,Control
A02,-0.1179,-0.1277,0.4847,0.3842,0.7973,-0.0337,-0.2151,0.2545,-0.123,-0.0469,0.0727,0.0177,0.064,-0.2785,0.0578,-0.043,-0.0359,0.8686,0.3648,-0.0828,0.7856,-0.0706,0.2271,0.0076,0.6077,-0.0012,-0.0042,1.3286,1.3861,0.1307,-0.0972,0.2528,-0.0499,1.2376,1.493,0.2228,0.0826,0.1421,1.1561,-0.0795,0.1599,0.9018,Control
A03,-0.0132,-0.1541,0.6865,0.4604,0.7917,-0.1192,-0.2094,0.3278,-0.1817,-0.0903,-0.0046,-0.1108,0.0714,-0.1371,-0.0294,-0.0482,0.0299,1.0662,0.5956,-0.1581,0.914,-0.0543,0.3895,-0.0233,0.8705,-0.0248,0.0806,1.4291,1.4305,0.2158,-0.0211,0.3504,-0.0103,1.3242,1.7906,0.1815,0.2047,0.1106,1.3011,-0.0431,0.2603,1.1313,Control
A04,0.016,-0.0494,0.5587,0.3807,0.7946,-0.0441,-0.1767,0.2191,-0.0825,0.028,-0.0328,-0.06,0.032,-0.0581,0.116,-0.0635,0.0066,0.8517,0.3996,0.0813,0.8542,-0.0652,0.4794,-0.0239,0.6683,0.0423,-0.0124,1.383,1.3728,0.1587,-0.0686,0.3144,-0.039,1.312,1.4914,0.1153,0.108,0.1315,1.4673,-0.034,0.2795,1.0307,Control
A05,0.076,0.0968,0.6241,0.4661,0.89,-0.0029,-0.1192,0.2494,-0.0983,-0.0164,-0.0464,-0.0661,-0.0306,-0.0339,0.212,-0.0968,0.0878,1.023,0.6218,-0.0898,0.9814,-0.0728,0.644,-0.0219,1.0335,0.028,0.0489,1.5208,1.8135,0.0963,-0.0557,0.4558,-0.0048,1.2008,1.8851,0.2302,0.2633,0.0984,1.3057,-0.0026,0.3911,1.0492,Control
A06,0.1415,-0.2284,0.5326,0.4744,0.7604,-0.097,-0.2022,0.327,-0.1253,-0.0319,0.0428,-0.0331,0.0397,-0.206,0.0243,-0.0979,-0.1139,0.9651,0.4104,-0.159,0.8666,-0.0831,0.726,-0.076,0.7888,-0.1591,0.07,1.4163,1.4187,0.1422,-0.0186,0.3647,0.0305,1.1962,1.5864,0.1823,0.207,0.0848,1.3466,-0.1438,0.1824,0.8863,Control
A07,-0.0649,-0.2135,0.7815,0.516,0.7917,-0.0915,-0.2385,0.3888,-0.1697,-0.0829,0.0571,-0.09,0.0345,-0.199,0.0248,-0.0962,0.0147,1.2166,0.3471,-0.2046,0.9844,-0.1065,0.5981,0.0638,0.7947,0.0113,0.0486,1.6368,1.5148,0.1971,-0.0544,0.5979,-0.0304,1.2837,1.89,0.1599,0.1543,0.0889,1.6128,-0.1505,0.1921,1.1809,Control
A08,-0.1207,-0.234,0.8484,0.6002,0.777,-0.0015,-0.2202,0.391,-0.1581,-0.0591,-0.0259,-0.1339,-0.0037,-0.2027,-0.0644,-0.1471,-0.1897,1.3829,0.3367,-0.1841,0.9992,-0.0787,0.4333,-0.1589,0.4935,-0.1846,0.0876,1.8021,1.5358,0.1078,-0.1042,0.5924,-0.0615,1.4764,1.7425,0.0951,0.1697,-0.0078,1.7107,-0.0831,0.159,1.4746,Control
A09,-0.0981,-0.136,0.6699,0.4408,0.7709,-0.07,-0.2474,0.2851,-0.1072,0.0211,0.1327,-0.0892,0.041,-0.217,0.0175,-0.073,0.0385,1.2408,0.4405,-0.0828,0.858,-0.0571,0.5301,-0.0085,0.6675,-0.0305,0.0256,1.4941,1.4418,0.0621,-0.0451,0.4286,-0.0209,1.3678,1.8554,0.1435,0.109,0.0788,1.5301,-0.1558,0.1611,1.0011,Control
A10,-0.0685,-0.1033,0.7409,0.5,0.7829,0.0171,-0.1368,0.2604,-0.1087,-0.0594,0.0673,-0.0263,0.0052,-0.0459,0.0973,-0.1267,0.0415,1.2259,0.4233,-0.1262,0.9804,-0.0754,0.6594,-0.0608,0.7825,-0.0435,0.0455,1.743,1.7142,0.038,-0.0968,0.5336,-0.0545,1.2566,1.8284,0.155,0.1539,0.0868,1.6455,-0.1168,0.2578,1.3376,Control
