@relation data

@attribute id string
@attribute 119391 numeric
@attribute 124975 numeric
@attribute 221357 numeric
@attribute 2539 numeric
@attribute 257202 numeric
@attribute 2678 numeric
@attribute 2686 numeric
@attribute 2687 numeric
@attribute 26873 numeric
@attribute 2729 numeric
@attribute 2730 numeric
@attribute 2876 numeric
@attribute 2877 numeric
@attribute 2878 numeric
@attribute 2879 numeric
@attribute 2880 numeric
@attribute 2882 numeric
@attribute 290 numeric
@attribute 2936 numeric
@attribute 2937 numeric
@attribute 2939 numeric
@attribute 2940 numeric
@attribute 2941 numeric
@attribute 2944 numeric
@attribute 2946 numeric
@attribute 2947 numeric
@attribute 2948 numeric
@attribute 2949 numeric
@attribute 2950 numeric
@attribute 2952 numeric
@attribute 2954 numeric
@attribute 3417 numeric
@attribute 3418 numeric
@attribute 373156 numeric
@attribute 4257 numeric
@attribute 4258 numeric
@attribute 4259 numeric
@attribute 4953 numeric
@attribute 50484 numeric
@attribute 51056 numeric
@attribute 51060 numeric
@attribute 5226 numeric
@attribute 6240 numeric
@attribute 6241 numeric
@attribute 6611 numeric
@attribute 6723 numeric
@attribute 79017 numeric
@attribute 9446 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.1238,0.1091,-0.0444,1.0443,-0.08,-0.0255,0.4286,-0.021,0.149,0.6754,0.7285,1.4062,0.0877,-0.0452,1.6463,-0.1447,1.2443,1.3019,1.4588,0.6585,0.2895,-0.1751,-0.01,0.1565,0.4099,0.3954,-0.0612,0.0362,0.7248,0.2105,0.2288,0.5949,0.7744,2.1449,0.6166,0.6546,0.4899,1.6072,1.5472,0.9126,1.0563,1.2601,1.6422,0.0252,0.2684,0.7331,0.2257,1.1873,Control
A02,0.0115,0.0034,-0.1269,1.051,-0.1533,0.0048,0.128,0.1783,0.1084,0.5909,0.5746,1.1006,0.0147,-0.0591,1.4917,-0.0988,0.7088,1.4996,1.5145,0.4164,0.3415,0.0854,0.0613,0.2811,0.2563,0.1244,0.0971,0.0282,0.8359,0.1,0.05,0.4896,0.642,1.8978,0.4301,0.6992,0.3557,1.621,1.1339,1.2341,0.9554,1.3534,1.3021,0.0476,0.1215,0.6289,0.0854,0.6236,Control
A03,0.0799,0.1072,-0.0534,1.2391,-0.0748,-0.0894,0.1104,0.115,0.164,0.7208,0.622,1.4279,0.0256,0.0601,1.58,-0.1029,0.6477,1.4298,1.6942,0.6667,0.3521,-0.0541,0.0437,0.3238,0.3205,0.1728,0.161,0.0085,0.8032,-0.0346,0.1692,0.6229,0.8787,1.9057,0.6139,0.7478,0.392,1.5728,1.437,1.4556,1.0451,1.4117,1.5008,0.2369,0.2356,0.7045,0.1572,0.9226,Control
A04,-0.0138,0.1213,0.0984,1.1806,-0.1109,-0.0638,0.213,0.195,0.1977,0.6068,0.6051,0.9499,0.0143,0.0155,1.6564,-0.1749,0.9248,1.5524,1.4846,0.4428,0.2653,0.1444,0.0078,0.0958,0.3328,-0.0164,0.1411,-0.1106,0.9137,-0.0087,0.0536,0.4124,0.6078,2.1287,0.3131,0.6191,0.4157,1.9449,1.1752,0.9072,1.1467,1.3963,1.3106,0.0398,0.0736,0.7908,0.104,0.5481,Control
A05,-0.0024,-0.0053,-0.1137,1.4481,-0.1197,0.0397,0.2441,0.1729,0.2595,0.654,0.7914,1.3025,0.0319,-0.0631,1.8927,-0.1558,0.9097,2.049,1.7525,0.6205,0.406,0.0777,0.0449,0.2103,0.3757,0.3005,0.1293,0.1568,0.9284,0.2756,0.2486,0.7589,0.888,2.0327,0.7389,0.8871,0.5165,1.9567,1.4551,1.1186,1.2136,1.616,1.3911,0.0906,0.1441,0.843,0.1551,1.0096,Control
A06,-0.002,-0.0429,-0.2083,1.2037,-0.0188,-0.0328,0.1537,0.0269,0.0859,0.6025,0.4995,1.4415,0.0888,0.0507,1.5573,-0.0971,0.6651,1.3535,1.5815,0.4997,0.2436,-0.1457,0.0521,-0.1263,0.3187,0.0408,0.114,-0.1474,0.9335,0.0503,0.1578,0.5444,0.7151,1.6954,0.6451,0.7843,0.4043,1.517,1.2188,0.9077,1.0473,1.5896,1.3201,-0.0526,0.2163,0.6929,0.1756,0.7453,Control
A07,-0.0063,0.0209,-0.0992,1.1379,-0.0531,-0.0724,0.2243,0.0327,0.1194,0.7579,0.6497,0.7726,-0.0521,0.023,1.7311,-0.152,0.8754,1.3241,1.5334,0.5516,0.4237,0.0537,0.0547,0.3318,0.5066,0.2582,0.2411,0.0065,0.8727,0.1635,0.1688,0.6188,0.7484,1.962,0.6398,0.7969,0.5844,1.5706,1.5181,1.1308,1.0975,1.4141,1.4786,0.1623,0.2809,0.7253,0.2305,0.7478,Control
A08,0.0496,0.059,-0.0054,0.9338,-0.0152,0.0039,0.3244,0.0024,0.0328,0.7937,0.6008,1.0335,0.1031,-0.1318,1.4614,-0.1564,0.7282,1.0842,1.4857,0.4438,0.3058,-0.028,0.0972,0.0514,0.4301,0.281,0.2166,-0.217,0.5649,0.1743,0.1766,0.5186,0.599,1.9159,0.367,0.6064,0.6548,1.3189,1.1895,0.8864,0.9966,1.148,1.3405,0.1034,0.3741,0.5991,0.1465,0.6205,Control
A09,0.0066,0.0225,-0.1739,1.0333,-0.0213,-0.0681,0.238,0.02,0.1097,0.6277,0.5672,0.8875,0.0239,0.0287,1.7201,-0.0789,0.6924,1.5813,1.5505,0.5118,0.2652,0.0595,0.0816,0.023,0.2727,0.1489,0.2627,0.0763,0.6849,0.1191,0.132,0.441,0.7086,1.8842,0.3397,0.6702,0.3071,1.5556,1.4104,0.7828,1.0298,1.2736,1.5643,-0.0046,0.2646,0.6173,0.1498,0.7135,Control
A10,-0.0185,0.0326,-0.1329,1.1516,-0.0817,0.0172,0.2959,0.1459,0.1435,0.7924,0.7522,1.0414,0.0513,0.0116,1.6769,-0.1537,0.6758,1.4906,1.4922,0.5426,0.1785,-0.0883,0.035,0.1971,0.127,0.3289,0.1317,0.1112,0.8141,0.0612,0.1566,0.5542,0.737,1.841,0.542,0.814,0.6514,1.754,1.349,1.1445,1.1797,1.4939,1.3677,0.0063,0.2019,0.6776,0.1913,0.678,Control
