@relation data

@attribute id string
@attribute 11258 numeric
@attribute 7846 numeric
@attribute 5577 numeric
@attribute 8636 numeric
@attribute 11190 numeric
@attribute 85378 numeric
@attribute 984 numeric
@attribute 983 numeric
@attribute 10540 numeric
@attribute 10382 numeric
@attribute 79959 numeric
@attribute 10383 numeric
@attribute 4926 numeric
@attribute 80184 numeric
@attribute 9793 numeric
@attribute 55125 numeric
@attribute 5116 numeric
@attribute 95681 numeric
@attribute 84131 numeric
@attribute 7283 numeric
@attribute 55755 numeric
@attribute 22981 numeric
@attribute 27175 numeric
@attribute 9738 numeric
@attribute 9814 numeric
@attribute 9702 numeric
@attribute 80321 numeric
@attribute 121441 numeric
@attribute 27229 numeric
@attribute 4751 numeric
@attribute 54820 numeric
@attribute 7840 numeric
@attribute 10142 numeric
@attribute 5108 numeric
@attribute 1453 numeric
@attribute 1454 numeric
@attribute 5048 numeric
@attribute 22919 numeric
@attribute 22994 numeric
@attribute 22995 numeric
@attribute 10426 numeric
@attribute 55722 numeric
@attribute 8655 numeric
@attribute 114791 numeric
@attribute 55835 numeric
@attribute 3320 numeric
@attribute 1069 numeric
@attribute 5518 numeric
@attribute 7277 numeric
@attribute 5347 numeric
@attribute 10806 numeric
@attribute 8481 numeric
@attribute 10733 numeric
@attribute 22897 numeric
@attribute 10844 numeric
@attribute 11064 numeric
@attribute 5566 numeric
@attribute 11116 numeric
@attribute 80254 numeric
@attribute 1778 numeric
@attribute 1639 numeric
@attribute 1781 numeric
@attribute 9662 numeric
@attribute 203068 numeric
@attribute 7532 numeric
@attribute 891 numeric
@attribute 4957 numeric
@attribute 10121 numeric
@attribute 7531 numeric
@attribute 23332 numeric
@attribute 55142 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.789,1.2268,0.9927,0.4943,0.2547,0.8104,1.0609,0.1799,1.0197,0.1149,0.6359,1.5008,1.2879,0.7299,1.1839,1.3042,0.7236,0.4508,1.1759,0.1828,0.9581,0.0526,0.3947,0.6624,0.8527,1.1831,0.4673,1.2925,0.9949,-0.2369,0.9544,0.6352,1.1498,1.7335,1.4362,0.4294,1.2412,1.1631,0.2433,0.8514,1.2532,0.2344,0.2748,0.8345,0.508,0.7784,0.9348,1.3778,1.5478,-0.0409,0.3442,1.2429,0.4306,0.4676,1.0964,1.5915,0.9255,0.6307,0.6291,1.7559,0.7995,0.3906,0.8024,0.677,0.5516,0.6269,0.7437,1.4769,0.8922,0.9786,1.1289,Control
A02,0.7015,0.8309,1.124,0.4512,0.0879,0.6383,0.9704,0.0211,0.8613,0.1664,0.3214,1.411,0.9773,0.3559,0.8987,0.9506,0.4893,0.2701,1.2146,-0.0597,0.6417,0.1044,0.1745,0.4247,0.5171,0.8319,0.2952,0.9656,0.5822,0.055,0.7015,0.3995,0.8088,1.3894,1.2896,0.2888,0.9138,1.0413,0.1094,0.4147,0.9623,0.2041,0.095,0.4545,0.3031,0.7066,0.8992,1.1745,1.365,-0.0915,0.2293,0.7623,0.2558,0.3022,0.8364,1.0493,0.8176,0.3303,0.4571,1.5124,0.7186,0.2676,0.5218,0.5981,0.473,0.4781,0.5361,1.3136,0.6711,0.817,0.8841,Control
A03,0.8838,1.4561,1.0311,0.6409,0.1669,0.7036,1.138,0.2347,1.0087,0.2194,0.4218,1.5807,1.0931,0.5024,1.2215,1.1966,0.6776,0.338,1.3725,0.1491,0.8354,0.0225,0.1656,0.7087,0.686,0.982,0.3275,1.1828,0.7681,0.0891,0.9352,0.4557,0.9252,1.5658,1.5365,0.3019,1.1312,1.1959,0.1862,0.6424,1.1585,0.2122,0.0996,0.6049,0.5621,0.9237,0.8202,1.364,1.2876,0.207,0.3012,0.9255,0.5235,0.4896,1.1147,1.4136,1.0298,0.478,0.5117,1.7507,0.8664,0.325,0.6158,0.7868,0.7107,0.7216,0.7254,1.6001,0.6993,0.9546,1.0519,Control
A04,0.6707,1.0477,1.3233,0.5957,0.0869,0.6988,0.9812,0.089,0.8677,0.2078,0.2627,1.6777,1.0387,0.3834,0.8726,0.9031,0.5178,0.2629,1.1434,0.0811,0.6938,0.0384,0.1568,0.4019,0.5769,0.9628,0.332,1.0067,0.5986,-0.1595,0.7318,0.5414,0.8724,1.4973,1.2541,0.3594,0.9232,1.1023,0.2411,0.4,0.9087,0.2341,0.2379,0.4729,0.2538,0.7921,0.7374,1.3892,1.5779,0.1021,0.2578,0.7602,0.2842,0.3391,0.8697,1.0865,0.8067,0.4547,0.4536,1.5678,0.8038,0.249,0.6894,0.7323,0.5483,0.4149,0.5835,1.2934,0.6209,0.8797,0.8413,Control
A05,0.7915,1.2367,1.4262,0.8038,0.1906,0.7137,0.9997,0.2058,1.0106,0.215,0.4003,1.9388,1.1021,0.4315,1.1174,1.0252,0.5644,0.3552,1.2325,0.1597,0.8,0.0249,0.2181,0.5806,0.613,0.9471,0.2644,1.1367,0.8958,0.0186,0.8361,0.5476,0.9946,1.5202,1.475,0.3957,1.0157,1.1332,0.2816,0.5663,1.1873,0.2463,0.1427,0.5466,0.3925,0.7053,1.0377,1.5247,1.6169,0.128,0.3328,0.7971,0.3218,0.4293,1.0784,1.2866,1.1361,0.5127,0.57,1.8263,0.8947,0.3308,0.6617,0.6892,0.6188,0.533,0.6867,1.5635,0.7758,0.9494,0.9313,Control
A06,0.7606,1.2462,1.0306,0.5379,0.1428,0.7011,0.8337,-0.0145,0.9459,0.1727,0.3017,1.4458,1.1202,0.3732,1.0688,1.1064,0.6284,0.3596,1.2864,0.0492,0.7103,-0.0212,0.2104,0.5318,0.5347,0.9346,0.3483,1.0416,0.7814,-0.0322,0.7821,0.4769,0.9692,1.386,1.4057,0.3156,0.9721,1.0561,0.1305,0.4681,1.0974,0.1736,0.1667,0.493,0.4429,0.6908,0.8148,1.3574,1.3271,-0.0028,0.2952,0.7911,0.2827,0.367,0.9003,1.2512,0.9951,0.4129,0.4797,1.7436,0.7627,0.2861,0.4925,0.6357,0.6162,0.4345,0.713,1.3916,0.6018,0.9336,0.9372,Control
A07,0.7366,0.934,1.1618,0.5774,0.1693,0.6473,0.9808,0.1567,0.956,0.1948,0.4404,1.6846,1.1381,0.587,1.0799,1.2748,0.6008,0.2955,1.3847,0.0867,0.8872,-0.0053,0.2508,0.5562,0.7039,1.1154,0.3288,1.1562,0.8464,0.1308,0.843,0.6121,1.095,1.6959,1.3931,0.317,1.1536,1.1607,0.1763,0.6659,1.3066,0.2107,0.1753,0.6955,0.3992,0.585,0.8844,1.4047,1.3932,0.0989,0.4997,1.0954,0.3459,0.3791,0.9808,1.4426,0.8796,0.5864,0.5544,1.6993,0.7708,0.6396,0.6974,0.6377,0.6272,0.6305,0.5838,1.4998,0.8008,1.0221,1.0448,Control
A08,0.6303,0.8026,0.8313,0.4289,0.2174,0.6762,1.1311,-0.0089,0.971,0.1149,0.3886,1.1867,1.0947,0.7015,1.1517,1.3684,0.6873,0.3405,1.402,0.116,0.9861,0.0222,0.2453,0.5342,0.8219,1.1078,0.5223,1.1086,0.7838,-0.1165,0.9016,0.7299,1.2595,1.8201,1.3361,0.2839,1.2225,1.0402,0.1188,0.7899,1.247,0.2677,0.1916,0.8267,0.3993,0.7253,0.7507,1.2389,1.1289,-0.0461,0.5795,1.2505,0.2884,0.3778,0.9407,1.6173,0.9732,0.7513,0.6993,1.8305,0.6931,0.8234,0.8329,0.5464,0.7054,0.4843,0.6087,1.3154,0.8209,1.1824,0.9238,Control
A09,0.685,1.0085,1.1797,0.5731,0.1472,0.6707,0.8883,0.1766,0.9333,0.2194,0.3722,1.4763,1.0756,0.6106,1.043,1.2026,0.5441,0.2931,1.2292,0.1093,0.8518,0.0093,0.1832,0.4414,0.6589,1.0968,0.3818,1.137,0.8116,0.0225,0.7942,0.5232,0.9302,1.5567,1.4156,0.3884,1.0833,1.1492,0.1869,0.6424,1.2326,0.2502,0.1514,0.7262,0.3585,0.6044,0.9394,1.3511,1.497,-0.0168,0.3812,1.0224,0.2242,0.3963,0.9664,1.4338,1.0136,0.4981,0.5212,1.7059,0.6509,0.4365,0.5973,0.6727,0.5319,0.448,0.6303,1.4028,0.6467,0.9369,0.9592,Control
A10,0.7058,0.797,1.4077,0.668,0.2022,0.6668,1.0994,-0.0592,0.9732,0.2723,0.3198,1.705,1.0595,0.572,1.1942,1.2631,0.6112,0.2618,1.3218,0.0461,0.8756,0.0124,0.2256,0.4339,0.6823,1.0936,0.465,1.3087,0.9072,-0.0801,0.8064,0.5832,1.1698,1.822,1.3151,0.296,1.0434,1.0876,0.2009,0.7048,1.2138,0.1864,0.2124,0.6346,0.527,0.625,1.0414,1.3126,1.524,-0.0147,0.4797,0.9751,0.3346,0.3813,0.9871,1.4349,0.9161,0.6343,0.6041,1.7962,0.7155,0.6148,0.6711,0.6583,0.6954,0.403,0.6661,1.4563,0.7723,1.1086,0.9615,Control
A11,0.6637,0.8062,0.8754,0.4859,0.1046,0.5531,0.5585,-0.0248,0.8616,0.2696,0.3216,1.5268,0.9781,0.4023,0.9662,1.0956,0.495,0.2248,1.5211,-0.0079,0.7839,0.0281,0.0987,0.4121,0.5264,1.0316,0.3237,1.0454,0.7023,0.121,0.7273,0.3706,0.6889,1.1977,1.2647,0.2736,0.9992,1.1131,0.1443,0.5638,1.054,0.0678,0.2654,0.5827,0.2742,0.6483,0.9106,1.2934,1.0515,-0.0283,0.235,0.8842,0.1789,0.3049,0.8013,1.2221,0.8889,0.3158,0.3125,1.6137,0.531,0.2556,0.3624,0.283,0.3116,0.2515,0.5873,1.3338,0.6726,0.7376,0.88,Control
A12,0.4759,0.3944,1.3159,0.2288,-0.0607,0.4129,0.4062,-0.0967,0.621,0.0798,0.0165,1.1576,0.6744,0.1092,0.5803,0.6339,0.2392,0.2465,0.7187,0.0883,0.4112,0.0485,-0.0086,0.169,0.3079,0.6538,0.3282,0.711,0.321,0.3139,0.3125,0.2828,0.5262,1.1131,0.8097,0.1709,0.5904,0.7441,0.0091,0.1049,0.5894,0.149,0.055,0.1962,0.0898,0.5301,0.701,0.7434,1.3718,-0.2798,0.1905,0.4743,0.2095,0.1068,0.6392,0.6245,0.7519,0.1508,0.2578,0.9038,0.4209,0.1372,0.3185,0.2351,0.439,0.4205,0.2892,0.8196,0.4501,0.6342,0.4919,Control
B01,0.7969,0.78,0.9253,0.1578,0.1011,0.5963,1.0051,-0.2075,0.843,-0.0565,0.2933,0.8067,1.0699,0.7124,0.9309,1.1722,0.4539,0.386,1.012,0.0415,0.8978,-0.0239,0.2426,0.4374,0.7076,1.0827,0.4569,1.1746,0.736,0.127,0.6423,0.5726,1.0048,1.5648,1.2125,0.2539,1.1593,0.9555,-0.0741,0.6264,1.1032,0.0872,0.1104,0.8337,0.573,0.7649,0.6811,1.0859,1.2213,-0.4282,0.3091,1.1217,0.4077,0.3925,0.9184,1.388,0.7207,0.5526,0.5715,1.3668,0.565,0.3229,0.6503,0.3209,0.5288,0.5164,0.5105,1.0446,0.7235,0.9168,0.8756,Control
B02,0.882,1.2653,1.0405,0.6694,0.1939,0.8555,0.9862,0.0253,1.0133,0.2224,0.3548,1.4514,1.1845,0.4835,0.9836,1.0899,0.599,0.3534,1.4331,0.1751,0.8196,0.0369,0.3451,0.4685,0.8184,1.1268,0.395,1.1131,0.729,-0.1586,0.7481,0.4933,0.9415,1.5094,1.5284,0.4382,1.0758,1.1648,0.2647,0.5455,1.2054,0.268,0.1936,0.6982,0.4206,0.9047,0.8242,1.4757,1.5463,0.0256,0.219,1.0065,0.3785,0.4127,1.2078,1.2338,0.9567,0.5502,0.5242,1.5634,0.747,0.2145,0.6522,0.8862,0.6927,0.5398,0.6953,1.4306,0.7183,0.9063,0.9871,Control
