@relation data

@attribute id string
@attribute 10092 numeric
@attribute 10093 numeric
@attribute 10094 numeric
@attribute 10095 numeric
@attribute 10109 numeric
@attribute 10163 numeric
@attribute 10392 numeric
@attribute 10459 numeric
@attribute 10552 numeric
@attribute 1147 numeric
@attribute 1398 numeric
@attribute 1399 numeric
@attribute 1432 numeric
@attribute 1445 numeric
@attribute 1729 numeric
@attribute 1793 numeric
@attribute 2017 numeric
@attribute 23291 numeric
@attribute 25 numeric
@attribute 3059 numeric
@attribute 345456 numeric
@attribute 3551 numeric
@attribute 3576 numeric
@attribute 3678 numeric
@attribute 3688 numeric
@attribute 375189 numeric
@attribute 391 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 5216 numeric
@attribute 5217 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5879 numeric
@attribute 5970 numeric
@attribute 60 numeric
@attribute 6093 numeric
@attribute 6300 numeric
@attribute 64127 numeric
@attribute 71 numeric
@attribute 7307 numeric
@attribute 7322 numeric
@attribute 7414 numeric
@attribute 7454 numeric
@attribute 81873 numeric
@attribute 8517 numeric
@attribute 8767 numeric
@attribute 8936 numeric
@attribute 8945 numeric
@attribute 8976 numeric
@attribute 9474 numeric
@attribute 9475 numeric
@attribute 960 numeric
@attribute 9844 numeric
@attribute 998 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.4717,1.6504,0.6397,1.9263,2.1738,0.6655,0.4645,0.8227,0.7232,1.5306,0.9599,2.0325,1.4426,1.2739,1.6651,-0.1077,0.6186,0.6613,0.3986,1.8536,-0.1943,1.1434,2.3769,1.4811,2.4355,-0.0635,1.1536,1.6889,2.2235,0.878,1.3981,0.2057,1.7309,1.0783,1.4021,-0.0276,1.121,-0.0344,0.9875,0.6432,1.4148,2.0546,1.5327,-0.1615,0.7681,1.4479,1.9096,1.3477,1.2043,1.1695,0.3805,0.3441,1.7332,0.0773,0.5228,0.6362,0.8317,1.0287,2.0185,0.6682,1.3608,Control
Utah__A02,1.5803,1.5919,0.3777,1.8653,2.2336,0.4818,0.3583,0.7675,0.6253,1.317,0.7556,1.953,1.1508,1.2378,1.56,-0.1232,0.4946,0.463,0.2831,1.6142,-0.1908,0.9151,0.4785,1.1969,2.1547,-0.0442,1.0903,1.279,2.0678,0.7342,1.3456,0.144,1.6299,1.0214,0.9672,-0.0188,0.983,0.0192,0.9234,0.4992,1.23,1.7714,1.2476,-0.0835,0.6868,1.1003,1.551,1.155,1.1346,1.0846,0.3979,0.3329,1.719,0.095,0.2898,0.5001,0.6461,0.7721,1.497,0.3861,1.0773,Control
Utah__A03,1.5533,1.7867,0.6083,2.0525,2.3707,0.6963,0.5363,0.9465,0.7262,1.5532,0.9155,2.0396,1.3711,1.46,1.7999,-0.0888,0.6032,0.5951,0.4244,1.7437,-0.2796,1.0536,0.9033,1.5823,2.3137,-0.075,1.2395,1.4481,2.7745,1.0606,1.6846,0.0143,1.8758,1.0584,1.211,0.0192,1.1034,-0.0146,0.9564,0.7305,1.459,2.074,1.5227,-0.0697,0.8496,1.1474,1.943,1.2096,1.3432,1.3253,0.5412,0.358,1.8322,0.1956,0.4232,0.5541,0.8562,0.9926,2.0408,0.5293,1.3643,Control
Utah__A04,1.6651,1.8195,0.4035,2.2227,2.2794,0.5122,0.3734,0.89,0.6318,1.0954,0.7906,2.0529,1.2559,1.2797,1.7967,-0.0918,0.592,0.5344,0.3442,1.5472,-0.1189,0.9388,0.7419,1.323,2.3772,-0.0374,1.153,1.4307,2.2888,0.8456,1.2399,0.4347,1.7145,1.0435,0.9665,0.1305,1.064,-0.0052,1.0754,0.4506,1.4617,1.9573,1.1775,0.0483,0.5519,1.216,1.7279,1.3187,1.3219,1.0611,0.414,0.3611,1.7619,0.1262,0.367,0.4592,0.7649,0.9147,1.6266,0.4569,1.2398,Control
Utah__A05,1.6494,1.9534,0.6119,2.3926,2.3231,0.6394,0.3835,1.1011,0.688,1.4575,0.9318,2.185,1.5137,1.4212,1.9607,-0.074,0.8174,0.66,0.391,1.8095,-0.0288,1.0568,0.8423,1.6547,2.205,-0.0237,1.447,1.5153,2.4787,1.0843,1.4919,0.1527,1.9408,1.1978,1.1192,0.0999,1.1345,-0.0161,0.9611,0.6788,1.5159,2.0522,1.4139,0.0263,1.0227,1.2712,1.8207,1.2817,1.5598,1.4508,0.476,0.5943,1.9617,0.2334,0.4,0.5894,0.759,1.0051,1.8666,0.6097,1.3013,Control
Utah__A06,1.4717,1.6538,0.4291,2.0897,2.0685,0.566,0.4094,0.8766,0.6049,1.4051,0.8426,1.9498,1.2007,1.1991,1.6822,-0.0944,0.5227,0.5497,0.3918,1.791,-0.2324,0.9679,1.2326,1.4798,2.008,-0.0268,1.1975,1.3528,2.4894,0.8697,1.4325,0.1062,1.8446,0.9874,1.1521,-0.0898,0.9999,-0.0265,0.8385,0.5315,1.312,1.849,1.2959,-0.1287,0.8317,1.1909,1.8994,1.1121,1.3027,1.2181,0.3158,0.3083,1.7604,0.1203,0.3652,0.5198,0.7321,0.832,1.8974,0.4863,1.1447,Control
Utah__A07,1.6079,1.7637,0.6221,2.0774,2.2292,0.8548,0.5123,0.8857,0.7087,1.4813,0.9946,2.0703,1.592,1.3161,1.8989,-0.1179,0.5609,0.7224,0.4363,1.857,-0.1746,1.1316,0.9668,1.481,2.4902,-0.081,1.2151,1.6808,1.9854,0.8257,1.3896,0.229,1.882,0.9702,1.3691,-0.077,1.0948,-0.0107,0.9238,0.7067,1.2303,1.8057,1.5516,-0.1294,0.8736,1.1428,1.8462,1.2485,1.4129,1.1498,0.4195,0.3113,1.7833,0.1818,0.5033,0.7881,0.9344,1.0204,2.4103,0.8809,1.5858,Control
Utah__A08,1.413,1.5973,0.5435,1.8261,2.3646,1.0137,0.6041,0.6712,0.6892,1.3335,0.7153,1.7352,1.6309,1.2298,2.0301,-0.1201,0.3559,0.8216,0.5511,1.8489,-0.1936,1.1825,0.8097,1.3509,2.3245,-0.185,1.0618,1.8517,1.9135,0.7227,1.3255,0.1826,1.9122,0.9939,1.4969,-0.0922,1.2356,-0.0431,0.7799,0.7992,1.2164,1.5955,1.5885,-0.107,0.6436,0.8676,1.9489,1.3918,1.1606,1.0225,0.3523,0.1506,1.6076,0.0596,0.6421,0.9049,1.0321,0.9993,2.5784,1.1107,1.6994,Control
Utah__A09,1.4841,1.6194,0.4378,1.9497,2.1729,0.6569,0.3716,0.729,0.5863,1.4215,0.8336,2.0118,1.435,1.2945,1.7733,-0.1058,0.6546,0.665,0.3852,1.789,-0.1807,1.0308,0.7556,1.3169,2.6012,0.0754,1.1528,1.6,2.2018,0.808,1.383,0.1956,1.8315,0.99,1.3676,-0.0205,0.9917,-0.0155,0.8347,0.5778,1.304,1.7708,1.5046,-0.0855,0.728,1.0416,1.8096,1.1599,1.3941,1.169,0.3417,0.2373,1.4702,0.071,0.4988,0.7061,0.7611,0.8836,2.5672,0.8218,1.4239,Control
Utah__A10,1.6286,1.894,0.5441,2.1573,2.4582,0.8154,0.528,0.8977,0.6454,1.4407,0.8023,1.9851,1.7367,1.2817,2.0855,-0.0723,0.7033,0.7872,0.4235,1.9506,-0.0753,1.1319,1.1064,1.4915,2.7505,-0.1287,1.1047,1.6339,2.1342,0.8096,1.5158,0.2662,1.9225,0.9237,1.2269,-0.0018,1.1887,-6e-04,0.996,0.709,1.2969,1.8249,1.4727,0.0165,0.8537,1.1141,1.8404,1.2573,1.6078,1.0925,0.4375,0.38,1.8338,0.1766,0.5412,0.7633,0.9763,1.1945,2.4518,0.9331,1.6004,Control
Utah__A11,1.1605,1.2831,0.3335,1.6919,1.7301,0.4612,0.24,0.6959,0.4247,1.3452,0.6717,1.9019,1.1233,1.2074,1.4856,-0.1259,0.4644,0.4316,0.4148,1.4652,-0.4564,0.7572,0.5536,1.3205,2.4501,-0.2651,1.0367,1.1125,2.0686,0.6536,1.3177,0.0761,1.8048,0.9765,1.1557,-0.0624,0.8994,-0.0066,0.7966,0.4206,1.1956,1.4698,1.239,-0.113,0.6467,1.1094,1.521,0.8944,1.1373,1.0199,0.341,0.3096,1.2754,0.0079,0.3659,0.4878,0.6953,0.6606,1.9818,0.4805,0.9791,Control
Utah__A12,1.0692,1.2621,0.0199,1.704,1.7916,0.3094,0.285,0.6771,0.5352,0.8449,0.3489,1.4738,0.8493,0.6733,1.2354,-0.1198,0.5086,0.3904,0.1321,1.0721,-0.1262,0.7413,0.7331,0.8452,1.8175,0.0221,0.7221,1.0664,1.6783,0.4964,1.1536,0.1613,1.2884,0.6537,0.6947,-0.2465,0.889,0.0022,0.6695,0.307,0.7846,1.4197,0.8331,-0.2273,0.2044,0.8923,0.9184,1.0328,0.9948,0.5974,0.0274,0.1044,1.2382,0.0253,0.1452,0.2385,0.5361,0.6181,0.8374,0.3203,0.6876,Control
Utah__B01,1.3265,1.5558,0.6676,1.5259,2.1624,0.5303,0.4331,0.5342,0.6736,1.2751,0.7315,1.4403,1.2183,1.022,1.477,-0.0612,0.4634,0.616,0.3845,1.7465,-0.5742,0.9675,1.5089,1.0381,2.099,-0.0188,0.9697,1.5141,2.5522,0.5264,1.3153,0.3281,1.5393,0.7649,1.4678,-0.3463,1.0989,-0.0215,0.703,0.7761,1.1788,1.454,1.4378,-0.406,0.4274,0.8693,1.966,1.2157,1.0168,0.8309,0.139,0.0057,1.5377,0.009,0.4109,0.6144,0.8339,0.9096,1.9576,0.6983,1.4666,Control
Utah__B02,1.6299,1.9978,0.7834,2.1168,2.531,0.4659,0.3784,0.9601,0.7954,1.2949,0.8572,1.9308,1.3113,1.3763,1.6409,-0.0786,0.573,0.5963,0.3683,1.99,-0.167,1.0914,1.5833,1.3619,2.3005,-0.0131,1.3189,1.4393,3.1122,0.9941,1.6928,0.3618,1.7139,1.0793,1.2677,0.0037,1.2179,-0.0218,1.0242,0.6982,1.5668,2.1053,1.3561,-0.0206,0.7412,1.3637,2.0871,1.3212,1.1146,1.1653,0.5001,0.3553,1.8159,0.0462,0.3414,0.5783,0.8056,0.8781,1.7815,0.4848,1.4387,Control
Utah__B03,1.5888,1.8594,0.5304,1.8399,2.3418,0.5392,0.3749,0.7682,0.7476,1.2866,0.7913,1.7595,1.2964,1.1769,1.6204,-0.0658,0.1527,0.603,0.3623,1.7864,-0.3439,1.0365,1.514,1.2406,2.3513,-0.1593,1.2304,1.4807,2.6831,0.7242,1.5134,0.325,1.7231,0.9322,1.2757,-0.0909,1.1503,-0.034,0.914,0.7721,1.3846,1.8191,1.4188,-0.1355,0.7585,1.1485,1.9673,1.3018,0.8991,1.0938,0.4189,0.1775,1.7066,0.0441,0.336,0.6149,0.8205,0.9308,2.0439,0.5872,1.3911,BRCACancer
Utah__B04,1.466,1.5864,0.6206,1.7992,2.4106,1.2015,0.5347,0.6047,0.7921,1.0813,0.8492,1.6126,1.5574,1.1519,2.0964,-0.1387,0.4472,0.8943,0.481,1.91,-0.3614,1.2905,0.4971,1.2232,2.6115,-0.0381,0.8242,1.6477,1.6768,0.6067,1.3092,0.2583,1.892,0.7103,1.1452,-0.0903,1.1443,-0.0073,0.8283,0.8504,1.1066,1.7322,1.4506,-0.0923,0.5253,0.9156,1.8557,1.5061,1.4033,0.9398,0.3161,0.0921,1.2907,0.0756,0.5286,0.871,0.9731,1.022,2.3784,1.0684,1.7601,BRCACancer
Utah__B05,1.4026,1.4938,0.4771,1.7815,2.2303,0.5942,0.3297,0.6933,0.7375,1.0308,0.6725,1.6936,1.0531,1.2011,1.5129,-0.1477,0.3413,0.4903,0.3489,1.6066,-0.3038,0.8579,1.111,0.9197,2.2374,-0.0229,1.0955,1.2639,2.6534,0.849,1.9193,0.2436,1.7712,0.8091,1.0222,-0.1129,0.9502,0.0088,0.6254,0.4846,1.2743,1.9046,1.1686,-0.1604,0.3913,1.1503,1.9412,1.168,0.9929,1.0236,0.328,0.033,1.5647,0.0365,0.2736,0.4913,0.639,0.6726,1.6081,0.4404,1.2624,BRCACancer
Utah__B06,1.2904,1.2146,0.2719,1.4127,1.9785,0.4107,0.3307,0.357,0.4268,1.1032,0.5029,1.2557,1.0091,0.7044,1.3243,-0.1422,0.2084,0.4556,0.2129,1.6015,-0.6867,0.8602,1.1072,0.9082,2.0964,-0.0604,0.6091,1.2056,1.5007,0.2939,1.0272,0.1207,1.2783,0.5053,0.9729,-0.3907,0.8584,0.0728,0.4015,0.4988,0.8016,1.464,1.2192,-0.4228,0.4463,0.7797,1.4291,0.8809,0.8298,0.5987,0.0076,-0.1417,1.2768,-0.0909,0.2561,0.4379,0.6606,0.7029,1.6564,0.5007,1.0718,BRCACancer
Utah__B07,1.7653,1.9246,0.6604,2.0467,2.5699,0.687,0.4637,0.8192,0.8389,1.4799,0.9115,1.991,1.4636,1.3256,1.83,-0.1365,0.4849,0.6739,0.3413,1.8888,-0.2227,1.2148,0.7585,1.3932,2.5925,0.0124,1.0944,1.4768,2.1568,0.8338,1.6695,0.2622,1.792,1.0321,1.4186,0.0257,1.2765,-0.0018,1.0787,0.7269,1.4052,2.0562,1.5765,-0.1399,0.8527,1.2133,1.8626,1.3143,1.383,1.1211,0.536,0.215,1.6922,0.0737,0.4382,0.6405,0.9089,1.0957,2.0357,0.5858,1.5184,BRCACancer
Utah__B08,1.5532,1.5536,0.5802,2.1548,2.1066,0.408,0.2036,0.6755,0.532,1.4267,0.8787,2.1418,1.2368,1.2886,1.5468,-0.077,0.9231,0.4415,0.3316,1.5316,-0.247,0.8656,0.6871,1.4547,2.2952,-0.0224,1.0983,1.2024,1.9468,0.8673,1.5431,0.1825,1.6981,1.0572,1.0803,0.1273,0.9295,0.0215,0.8112,0.4862,1.2641,1.8059,1.3469,0.0247,0.7919,1.3897,1.5187,1.1276,1.4907,1.0919,0.3645,0.392,1.5801,0.1273,0.3602,0.4553,0.6243,0.862,1.5718,0.3218,1.0596,Control
Utah__B09,1.2759,1.4228,0.4725,1.477,2.2546,0.7658,0.4535,0.416,0.6267,0.9438,0.6428,1.6838,1.3351,1.1371,1.976,-0.0914,0.6106,0.7533,0.426,1.6111,-0.3363,1.0191,0.7343,0.9368,2.8246,-0.0611,0.9825,1.3963,2.012,0.6436,1.4299,-0.0821,1.8255,0.6103,1.0942,-0.0968,0.8686,-0.0231,0.6791,0.6499,1.0746,1.5271,1.4309,-0.1495,0.4897,0.9219,2.0361,1.3487,1.6005,0.9373,0.2884,0.1039,0.881,0.0622,0.5067,0.7085,0.8307,0.8732,2.367,0.963,1.5966,Control
Utah__B10,1.377,1.4676,0.2732,1.7183,2.2213,0.8287,0.3174,0.6271,0.477,1.0406,0.5308,1.6986,1.3763,0.994,1.9628,-0.097,0.3654,0.6176,0.3291,1.6588,-0.0469,0.9582,0.9211,1.0381,2.3771,-0.1652,0.816,1.488,1.5794,0.5045,1.1674,0.2892,1.7394,0.6316,0.9202,-0.0692,0.9729,-0.0554,0.7544,0.8182,0.9463,1.5575,1.2836,-0.1359,0.5456,0.8827,1.4168,1.1596,1.043,0.8252,0.1958,0.1701,1.2891,0.0156,0.3498,0.5859,0.747,0.7921,2.0696,0.7513,1.5265,Control
Utah__B11,1.3628,1.3623,0.3338,1.9487,2.0583,0.6325,0.3022,0.8351,0.6323,1.2072,0.7269,2.0848,1.35,1.17,1.6556,-0.0978,0.6055,0.4431,0.3014,1.5457,0.2304,0.8689,0.7328,1.2259,2.1992,-0.1202,1.0607,1.3382,1.9276,0.825,1.8249,0.0707,1.6375,0.9134,0.9405,-0.0522,0.96,0.015,0.6434,0.5737,1.2114,1.6381,1.2874,-0.042,0.6586,1.0033,1.4684,1.1897,1.485,1.2812,0.3099,0.1673,1.6248,0.0795,0.3372,0.5248,0.6928,0.8886,1.9313,0.5502,1.1268,Control
Utah__B12,0.9844,1.1749,0.209,1.4477,2.0279,0.861,0.3739,0.2623,0.3445,0.5564,0.4206,1.1924,1.113,0.8411,1.6372,-0.156,0.2175,0.5793,0.3582,1.4884,-0.1073,1.0292,0.6265,0.7856,2.3982,-0.0477,0.5551,1.2842,1.5991,0.3406,0.9971,0.1179,1.4211,0.4982,0.7469,-0.1087,0.6759,-0.0057,0.4891,0.6707,0.777,1.5376,1.0406,-0.0933,0.3792,0.5958,1.5076,1.1353,0.9676,0.6328,0.2217,0.0214,0.6627,-0.0267,0.3255,0.5124,0.6845,0.5598,2.2991,0.8352,1.4994,Control
Utah__C01,1.554,1.7323,0.5757,2.2147,2.2649,0.8847,0.4765,0.9061,0.7207,1.38,1.0225,1.8504,1.4476,1.582,1.8814,-0.1173,0.565,0.6413,0.4702,1.8939,-0.1294,1.1534,0.7045,1.622,2.1418,-0.0355,1.3181,1.4466,1.9287,1.0392,1.5209,0.3896,1.903,1.0379,1.167,-0.0058,0.9902,0.0114,0.9055,0.7435,1.4302,1.8712,1.4124,-0.1073,0.9362,1.2049,1.5611,1.1443,1.4443,1.4009,0.3604,0.3961,1.4562,0.1442,0.4378,0.6516,0.7151,0.8637,2.2502,0.7025,1.3296,BRCACancer
Utah__C02,1.5776,1.697,0.403,2.2701,2.232,0.6136,0.4406,0.8691,0.6512,1.2322,0.7952,1.9463,1.1796,1.3958,1.7875,-0.1101,0.5933,0.526,0.3176,1.6711,-0.0524,1.0308,0.7264,1.5857,2.1641,-0.075,1.2653,1.3945,2.0466,1.0675,1.3216,0.2812,1.6208,1.072,0.9944,0.1277,1.0013,0.0668,1.0455,0.5309,1.5139,1.9218,1.3063,-0.0187,0.6992,1.2102,1.3346,1.2191,1.3709,1.3165,0.4392,0.4638,1.5806,0.116,0.3571,0.4694,0.6008,0.8878,1.4534,0.4513,1.0886,BRCACancer
Utah__C03,1.7043,1.8971,0.575,2.3335,2.4038,0.6719,0.5575,1.1542,0.7781,1.376,0.9628,1.9888,1.3531,1.6761,1.9607,-0.1353,0.5531,0.575,0.3686,1.7791,0.005,1.1489,0.685,1.8109,2.5163,0.0285,1.2267,1.3917,2.1791,1.2166,1.6954,0.2997,1.816,1.1353,1.2159,0.1151,1.0868,0.0173,1.2029,0.747,1.6895,2.1639,1.3674,-0.0448,0.8183,1.2548,1.6947,1.1241,1.5157,1.4759,0.5564,0.5578,1.6242,0.0688,0.3911,0.6541,0.8029,0.8812,1.9849,0.5326,1.3494,BRCACancer
Utah__C04,1.3126,1.1052,0.253,1.9884,1.5793,0.3035,0.1097,0.5387,0.387,0.7702,0.5126,1.8459,0.6519,1.156,1.4144,-0.1023,0.8385,0.3263,0.2963,1.1708,-0.0104,0.6082,0.7249,1.2037,2.1554,-0.0257,0.983,0.9029,2.1606,0.7129,1.1712,0.1708,1.4351,0.963,0.6903,0.1095,0.6028,0.0094,0.5427,0.3925,1.2122,1.5571,0.8506,0.1398,0.473,1.1961,1.2758,0.8734,1.522,1.0181,0.2554,0.3576,0.9054,0.008,0.2459,0.2984,0.4203,0.4435,1.1255,0.2478,0.6996,Control
Utah__C05,1.2598,1.1687,0.2286,2.0133,1.7669,0.3735,0.1739,0.5503,0.4103,0.8165,0.5753,1.7039,0.7781,1.115,1.4932,-0.1085,0.3021,0.3753,0.2148,1.3864,-0.1023,0.6748,0.6981,1.4247,1.6506,-0.0436,1.0225,1.0868,1.6711,0.7123,1.0865,0.2307,1.4746,0.8555,0.6604,0.0748,0.6798,-0.0011,0.5979,0.4559,1.1245,1.6674,0.9308,0,0.5084,1.0857,1.0169,1.0179,0.9478,1.022,0.2292,0.1361,1.1858,0.0298,0.2473,0.3646,0.4238,0.4301,1.0631,0.2586,0.6797,BRCACancer
Utah__C06,0.5555,0.4119,-0.2527,0.7305,0.7436,0.1863,0.0943,0.2064,0.1818,0.1994,0.0973,0.7192,0.2166,0.4669,0.6361,-0.0697,0.3661,0.0705,0.1083,0.4788,-0.3004,0.306,0.9719,0.2812,0.5605,0.0397,0.3826,0.4197,0.8758,0.455,0.7623,0.001,0.6234,0.3,0.113,-0.0863,0.1852,-0.0352,0.3615,0.0011,0.5461,0.8272,0.3764,-0.1069,0.0369,0.4413,0.4485,0.3865,0.3177,0.6112,0.1672,0.0047,0.3543,-0.0776,-1e-04,0.0136,0.1351,-0.0736,0.5059,0.1222,0.3935,Control
Utah__C07,1.3334,1.3877,0.1838,2.1422,1.8788,0.3695,0.1816,0.79,0.4296,0.9891,0.6566,1.8423,0.915,1.0638,1.7348,-0.1049,0.4918,0.4119,0.3144,1.3059,-0.0454,0.7485,0.7072,1.3565,2.0737,-0.0814,0.9548,1.1322,1.6617,0.7325,1.1604,0.2461,1.5948,0.7808,0.7965,0.0812,0.828,0.0244,0.9146,0.3857,1.1737,1.5629,1.0643,0.0118,0.4253,0.9939,0.9865,1.022,1.3053,0.9669,0.2912,0.2164,1.3008,-0.0125,0.294,0.3683,0.4831,0.6735,1.1422,0.2815,0.7236,Control
Utah__C08,1.3133,1.3878,0.2734,1.9623,1.8371,0.4484,0.3006,0.8914,0.4495,1.2106,0.8168,1.9744,1.0007,1.2134,1.5636,-0.1063,0.6587,0.3969,0.3142,1.328,-0.2215,0.8332,0.7925,1.5252,1.9168,-0.0662,1.0596,1.256,1.9071,0.9232,1.1785,0.442,1.5956,0.9573,1.0421,0.0155,0.9491,0.0603,0.9413,0.3339,1.3756,1.5565,1.295,-0.0179,0.6026,1.0986,1.1802,1.0579,1.1491,1.267,0.3139,0.3589,1.4996,0.0707,0.3617,0.3862,0.5384,0.8302,1.4284,0.3221,0.8861,Control
Utah__C09,1.473,1.4359,0.2797,2.2186,1.9828,0.4309,0.2332,0.7725,0.5132,0.9552,0.6487,1.7844,0.9402,1.1963,1.6304,-0.0533,0.4976,0.3844,0.2781,1.4834,-0.1539,0.8068,0.7856,1.341,1.9606,0.0109,0.9445,1.2046,1.9508,0.903,1.4438,0.1654,1.4942,0.8657,0.7566,0.0611,0.7278,0.0114,0.8458,0.4361,1.2505,1.859,0.9805,0.0928,0.5286,1.2028,1.1361,1.1246,1.1105,0.993,0.3154,0.3083,1.3334,0.0206,0.2633,0.4006,0.546,0.6537,1.1187,0.2678,0.8216,Control
Utah__C10,1.4734,1.5566,0.2192,2.468,2.1221,0.4994,0.1783,0.88,0.5337,0.8554,0.5772,1.9315,1.0072,1.1619,1.8161,-0.0859,0.402,0.3983,0.2566,1.2588,-0.0555,0.818,0.6637,1.4077,1.7524,-0.0336,1.0651,1.3224,2.0133,0.8001,1.1893,0.4113,1.5345,0.8389,0.6258,0.0666,0.9083,-0.0177,0.9744,0.3326,1.1881,1.757,0.8729,0.0176,0.5258,1.0975,0.9975,1.2797,1.2633,1.0838,0.2957,0.2489,1.6473,0.1382,0.2204,0.393,0.4925,0.7821,1.0001,0.2981,0.8316,BRCACancer
Utah__C11,1.2415,1.5663,0.4836,2.2063,1.983,0.5348,0.2757,0.865,0.553,1.2111,0.8506,2.0698,1.0238,1.4207,1.7654,-0.049,0.7858,0.3711,0.3825,1.5137,0.0577,0.8794,0.6249,1.5924,2.1315,-0.0337,1.1743,1.2128,1.9656,1.0112,1.5081,0.1121,1.6696,1.0236,0.9952,0.1087,0.8953,-0.0152,1.0455,0.4923,1.54,1.6973,1.2825,0.0195,0.7511,1.112,1.4205,1.098,1.4829,1.441,0.4634,0.4745,1.3229,0.0308,0.3503,0.4916,0.5236,0.7428,1.6544,0.3253,1.0109,Control
Utah__C12,0.8801,1.0672,0.1372,2.1765,1.5345,0.3123,0.1495,0.4695,0.3597,0.6521,0.4886,1.7142,0.5781,1.0278,1.4509,-0.1113,0.6928,0.3119,0.1825,1.0065,0.1515,0.5436,0.523,0.9904,2.0163,-0.1631,0.8298,0.9106,1.43,0.7327,1.0093,0.0824,1.3945,0.8239,0.6168,-0.0028,0.5702,-0.0176,0.5165,0.4485,1.1171,1.5346,0.7864,-0.0142,0.2654,1.0496,0.7992,0.9378,1.4392,0.9589,0.2424,0.1853,0.8826,-0.0375,0.1564,0.2223,0.3808,0.3905,0.9644,0.2361,0.5595,BRCACancer
Utah__D01,1.2876,1.3229,0.3483,1.6548,2.2762,0.983,0.5463,0.588,0.6785,0.9929,0.7649,1.289,1.4599,1.2159,1.7422,-0.0899,0.2313,0.745,0.4119,1.7312,-0.1147,1.2389,0.679,1.2462,2.6604,-0.0465,0.8935,1.5194,1.6585,0.5823,1.0019,0.1943,1.6488,0.7443,1.122,-0.1493,0.9155,-0.0687,0.6732,0.7285,1.1972,1.611,1.3601,-0.122,0.7588,0.7562,1.8333,1.1407,1.0371,1.0259,0.2784,0.1003,0.9485,-0.0525,0.5533,0.7672,0.7633,0.7496,2.5685,1.0268,1.4819,BRCACancer
Utah__D02,1.423,1.346,0.2947,2.2808,2.0444,0.4414,0.2745,0.785,0.4629,0.988,0.6823,1.9637,0.9389,1.3906,1.7386,-0.0793,0.7305,0.4035,0.2804,1.336,0.1527,0.7864,0.4345,1.2487,2.1727,-0.1763,1.0212,1.2262,1.815,0.8284,1.0631,0.1633,1.6835,0.9003,0.7685,0.1096,0.7872,-0.0335,0.8224,0.4669,1.3901,1.6638,1.0743,0.1205,0.3875,1.1231,1.2327,1.0765,1.5852,1.138,0.3147,0.3492,1.2053,0.1852,0.2917,0.3831,0.4364,0.6374,1.3157,0.2762,0.883,BRCACancer
Utah__D03,1.367,1.4501,0.2948,2.3508,1.9858,0.4955,0.2433,0.6055,0.3924,0.8458,0.6004,1.9194,0.9818,1.2704,1.7683,-0.0955,0.7721,0.3774,0.2172,1.3112,0.063,0.7981,0.7288,1.3097,2.4395,-0.0313,0.9983,1.1064,1.6905,0.648,1.1519,0.1548,1.6203,0.8992,0.6701,0.1084,0.6793,-0.0028,0.7358,0.391,1.2135,1.7538,0.9948,0.0111,0.4901,1.1813,1.1217,1.0131,1.7694,1.1415,0.2473,0.2892,1.0755,0.1039,0.2152,0.3228,0.4266,0.6342,1.2935,0.3268,0.8321,BRCACancer
Utah__D04,1.3541,1.3829,0.1855,2.2226,1.9785,0.5609,0.2541,0.718,0.4638,1.0847,0.7921,2.012,1.118,1.3058,1.746,-0.1063,0.672,0.4539,0.3148,1.5323,0.0787,0.8771,0.5837,1.5601,2.3039,-0.056,1.1883,1.2679,1.9562,0.8424,1.2058,0.2903,1.6468,0.9744,0.8421,-0.0159,0.7607,-0.0569,0.8251,0.3948,1.3126,1.8367,1.2425,-0.0458,0.6986,1.0923,1.1643,1.0046,1.4842,1.3232,0.2966,0.1826,1.2971,0.0664,0.3024,0.4026,0.4945,0.6663,1.5731,0.3664,0.9329,BRCACancer
