@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10059 numeric
@attribute 10092 numeric
@attribute 10093 numeric
@attribute 10094 numeric
@attribute 10095 numeric
@attribute 10109 numeric
@attribute 10163 numeric
@attribute 10451 numeric
@attribute 10552 numeric
@attribute 1072 numeric
@attribute 1073 numeric
@attribute 10810 numeric
@attribute 123745 numeric
@attribute 1398 numeric
@attribute 1399 numeric
@attribute 1759 numeric
@attribute 1785 numeric
@attribute 1794 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2212 numeric
@attribute 2213 numeric
@attribute 2214 numeric
@attribute 23396 numeric
@attribute 23533 numeric
@attribute 255189 numeric
@attribute 26052 numeric
@attribute 27040 numeric
@attribute 273 numeric
@attribute 2934 numeric
@attribute 3055 numeric
@attribute 3635 numeric
@attribute 382 numeric
@attribute 3984 numeric
@attribute 3985 numeric
@attribute 4067 numeric
@attribute 4082 numeric
@attribute 4651 numeric
@attribute 5058 numeric
@attribute 50807 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5321 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 5337 numeric
@attribute 5338 numeric
@attribute 55616 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5580 numeric
@attribute 5581 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 56848 numeric
@attribute 5788 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5894 numeric
@attribute 6198 numeric
@attribute 6199 numeric
@attribute 65108 numeric
@attribute 6850 numeric
@attribute 7408 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 7454 numeric
@attribute 81873 numeric
@attribute 8394 numeric
@attribute 8395 numeric
@attribute 8398 numeric
@attribute 8503 numeric
@attribute 85477 numeric
@attribute 8611 numeric
@attribute 8612 numeric
@attribute 8613 numeric
@attribute 8853 numeric
@attribute 8877 numeric
@attribute 8936 numeric
@attribute 8976 numeric
@attribute 9846 numeric
@attribute 998 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.6002,1.328,1.4717,1.6504,0.6397,1.9263,2.1738,0.6655,0.7388,0.7232,0.6846,1.0708,0.1181,2e-04,0.9599,2.0325,0.06,1.0152,1.563,0.6045,0.8246,0.5663,0.7493,1.0327,0.2929,1.3891,-0.0703,0.1155,1.667,-0.066,0.3274,1.5683,1.2646,1.4691,0.4691,0.7462,1.322,1.2879,-0.051,1.1667,0.8048,1.6169,1.5303,1.3241,1.8391,1.4782,0.1982,0.541,1.7289,0.5941,0.3243,0.5659,-0.0328,0.5523,1.0332,1.1766,0.3065,-0.0542,1.7309,1.0783,0.718,0.188,3.0603,0.6432,1.5768,1.7847,1.1287,0.802,1.3397,1.0855,0.5878,1.448,0.1913,1.1695,0.3805,0.4534,0.1564,0.464,0.1026,-0.0452,0.2455,0.0943,0.0152,0.3194,0.2215,0.0773,0.6362,0.6222,1.3608,Control
A02,0.3429,1.0967,1.5803,1.5919,0.3777,1.8653,2.2336,0.4818,0.5864,0.6253,0.5857,1.1027,0.0833,0.0288,0.7556,1.953,0.0046,0.8626,1.3739,0.5571,0.607,0.4012,0.5417,1.7383,0.2863,1.0974,-0.1698,0.1235,1.2459,-0.0281,0.2358,1.6297,1.2681,1.3562,0.5328,0.5181,1.18,1.3581,-0.0145,1.1756,0.4965,1.3286,1.3861,1.0956,2.0614,1.1561,0.1599,0.4199,1.2376,0.584,0.2387,0.4611,0.0168,0.1715,0.6697,1.3276,0.1973,-0.1266,1.6299,1.0214,0.4692,0.1344,3.0621,0.4992,1.469,1.5429,0.926,0.5361,1.3786,0.9078,0.5755,1.3147,0.1135,1.0846,0.3979,0.2908,0.0013,0.2477,0.1135,-0.0318,0.0887,0.0759,0.0728,0.3419,0.1089,0.095,0.5001,0.4301,1.0773,Control
A03,0.3568,1.3097,1.5533,1.7867,0.6083,2.0525,2.3707,0.6963,0.6968,0.7262,0.8552,1.2012,0.0413,-0.0184,0.9155,2.0396,0.1068,1.0364,1.648,0.6699,0.7634,0.6092,0.6549,2.0888,0.3914,1.5442,-0.121,0.0675,1.4944,-0.0193,0.4664,1.9088,1.4447,1.5413,0.5926,0.81,1.5735,1.6341,0.0123,1.4289,0.7908,1.4291,1.4305,1.2641,2.1951,1.3011,0.2603,0.5097,1.3242,0.7859,0.3963,0.5797,-0.0163,0.1678,0.9489,1.423,0.311,-0.1293,1.8758,1.0584,0.6904,0.2115,3.1872,0.7305,1.5848,1.7349,1.0404,0.7355,1.2104,1.2015,0.8465,1.5496,0.2634,1.3253,0.5412,0.3825,0.1286,0.4022,0.2773,-0.0289,0.1119,0.0687,0.0545,0.3705,0.1508,0.1956,0.5541,0.6701,1.3643,Control
A04,0.4955,1.077,1.6651,1.8195,0.4035,2.2227,2.2794,0.5122,0.644,0.6318,0.6509,0.9796,0.1066,0.0154,0.7906,2.0529,0.0885,0.908,1.578,0.6114,0.6935,0.5026,0.5332,1.4385,0.4184,1.3239,-0.0716,0.0696,1.4899,-0.0309,0.2843,1.592,1.3759,1.5946,0.5529,0.4339,1.3977,1.1864,0.005,1.0247,0.4951,1.383,1.3728,1.2342,2.1245,1.4673,0.2795,0.324,1.312,0.4817,0.1767,0.4766,-0.019,0.2858,0.7891,1.3079,0.268,0.0079,1.7145,1.0435,0.4999,0.1836,3.3298,0.4506,1.5612,1.6725,0.9026,0.6915,1.5356,0.8709,0.6032,1.283,0.1301,1.0611,0.414,0.252,0.0418,0.3282,0.0439,-0.0343,0.1458,0.105,-0.0072,0.347,0.1936,0.1262,0.4592,0.4515,1.2398,Control
A05,0.4795,1.2648,1.6494,1.9534,0.6119,2.3926,2.3231,0.6394,0.8571,0.688,0.7866,1.0756,0.2624,-0.0355,0.9318,2.185,0.1451,1.0371,1.732,0.7362,0.7698,0.7067,0.6469,1.9037,0.5517,1.5325,-0.0902,0.1401,1.4736,-0.0429,0.5005,1.9943,1.4136,1.6338,0.8,0.7537,1.5903,1.7021,-0.0127,1.3702,0.8279,1.5208,1.8135,1.3448,2.1197,1.3057,0.3911,0.6523,1.2008,0.7428,0.4633,0.7495,0.0291,0.2856,0.9233,1.6614,0.3175,-0.0072,1.9408,1.1978,0.7099,0.2676,3.1778,0.6788,1.5812,1.808,1.0434,0.8249,1.5087,1.2336,0.8835,1.5542,0.2084,1.4508,0.476,0.2983,0.1325,0.3537,0.1894,-0.0462,0.0723,0.1395,-0.0011,0.5149,0.3432,0.2334,0.5894,0.7242,1.3013,Control
A06,0.4153,1.2209,1.4717,1.6538,0.4291,2.0897,2.0685,0.566,0.7849,0.6049,0.6661,1.0403,0.0069,-0.0214,0.8426,1.9498,0.0466,0.9383,1.5387,0.6349,0.7165,0.7288,0.3912,1.5514,0.3386,1.4078,-0.1327,0.0797,1.1956,-0.0553,0.3807,1.766,1.3554,1.4007,0.5539,0.6069,1.3721,1.2428,-0.0182,1.2955,0.6209,1.4163,1.4187,1.2303,1.9994,1.3466,0.1824,0.4123,1.1962,0.6112,0.4964,0.6227,-0.0114,0.2749,0.8755,1.3395,0.2717,-0.1821,1.8446,0.9874,0.6673,0.1687,2.8826,0.5315,1.5216,1.7489,1.015,0.6832,1.2403,1.1513,0.6131,1.4091,0.1414,1.2181,0.3158,0.3167,0.0444,0.3665,0.1109,-0.0361,0.1002,-0.0012,0.0068,0.3381,0.0529,0.1203,0.5198,0.6339,1.1447,Control
A07,0.7253,1.3252,1.6079,1.7637,0.6221,2.0774,2.2292,0.8548,0.9519,0.7087,0.5723,0.8441,0.0608,-0.0681,0.9946,2.0703,-0.02,0.9993,1.8953,0.5857,0.7237,0.7275,0.7797,1.7759,0.378,1.3584,-0.0961,0.0908,1.3629,-0.0166,0.3758,1.8963,1.4305,1.5022,0.5708,0.6661,1.7192,1.3317,-0.0162,1.3668,1.0105,1.6368,1.5148,1.2868,1.974,1.6128,0.1921,0.6192,1.2837,0.6739,0.4958,0.5604,0.0257,0.5058,1.2903,1.4288,0.3905,-0.1545,1.882,0.9702,0.8479,0.1543,3.4253,0.7067,1.6623,1.7704,1.1072,0.6728,1.4069,1.4313,0.7666,1.4238,0.1986,1.1498,0.4195,0.4008,0.1631,0.2803,0.2134,-0.0298,0.1737,0.1182,-0.0174,0.3154,0.0775,0.1818,0.7881,1.0101,1.5858,Control
A08,1.0592,1.3322,1.413,1.5973,0.5435,1.8261,2.3646,1.0137,1.1379,0.6892,0.5512,0.7306,-0.0764,0.0345,0.7153,1.7352,-0.0293,1.0323,1.9665,0.5257,0.7148,0.2577,0.3604,1.5127,0.3217,1.3062,-0.1326,0.0629,1.335,-0.0974,0.3451,1.5269,1.5328,1.1459,0.4128,0.7821,1.9024,1.2113,-0.0195,1.2078,1.0769,1.8021,1.5358,1.3083,2.0798,1.7107,0.159,0.4231,1.4764,0.7942,0.3479,0.4345,-0.075,0.8574,1.3963,1.1228,0.5264,-0.1576,1.9122,0.9939,0.8635,0.1075,3.5552,0.7992,1.4029,1.7386,1.1764,0.5834,1.1513,1.2774,0.5471,1.3149,0.1921,1.0225,0.3523,0.473,0.189,0.3545,0.2596,-0.0378,0.3339,0.025,-0.0648,0.1735,0.0506,0.0596,0.9049,0.9775,1.6994,Control
A09,0.7398,1.3223,1.4841,1.6194,0.4378,1.9497,2.1729,0.6569,0.6254,0.5863,0.6268,0.8367,0.116,-0.0223,0.8336,2.0118,0.0622,0.9636,1.7989,0.5517,0.6732,0.444,0.3217,2.0232,0.3282,1.3303,-0.0656,0.1163,1.5365,-0.0541,0.3278,1.7581,1.3605,1.5149,0.4868,0.6978,1.6508,1.1921,-0.0249,1.2824,1.0234,1.4941,1.4418,1.2311,1.9891,1.5301,0.1611,0.4106,1.3678,0.619,0.2681,0.4912,0.025,0.5722,1.2298,1.2723,0.3873,-0.151,1.8315,0.99,0.7596,0.1377,3.4935,0.5778,1.4845,1.6393,1.066,0.6919,1.4351,1.2825,0.5791,1.4389,0.1807,1.169,0.3417,0.2966,0.1412,0.2703,0.1167,-0.0357,0.1733,0.1228,0.0784,0.3578,0.0325,0.071,0.7061,0.9423,1.4239,Control
A10,0.7924,1.3888,1.6286,1.894,0.5441,2.1573,2.4582,0.8154,1.0645,0.6454,0.5679,0.8454,0.1957,-0.0029,0.8023,1.9851,0.0876,0.9809,2.0025,0.5517,0.7126,0.6087,0.4435,1.4257,0.3586,1.3987,-0.0876,0.1502,1.3886,-0.0606,0.3742,1.7409,1.547,1.4829,0.5767,0.7316,1.8161,1.2843,-0.0259,1.3673,1.09,1.743,1.7142,1.2585,2.143,1.6455,0.2578,0.6973,1.2566,0.6952,0.4834,0.5939,-0.046,0.3634,1.2971,1.399,0.4532,-0.0144,1.9225,0.9237,0.7992,0.189,3.6895,0.709,1.5632,1.7838,1.0883,0.689,1.3724,1.3904,0.7118,1.3101,0.1442,1.0925,0.4375,0.3546,0.1511,0.3453,0.3257,0.0215,0.0981,0.1028,0.0718,0.4282,0.2084,0.1766,0.7633,0.9391,1.6004,Control
