@relation data

@attribute id string
@attribute 27010 numeric
@attribute 79178 numeric
@attribute 84284 numeric
@attribute 9054 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.364,0.2825,0.1852,0.668,Control
A02,0.1926,0.1598,0.146,0.4674,Control
A03,0.2648,0.1461,0.2341,0.5732,Control
A04,0.2716,0.101,0.2165,0.4569,Control
A05,0.3555,0.4248,0.1665,0.6542,Control
A06,0.2605,0.2344,0.2561,0.5128,Control
A07,0.4609,0.3129,0.3283,0.5897,Control
A08,0.6346,0.2644,0.259,0.536,Control
A09,0.3896,0.1525,0.1447,0.5729,Control
A10,0.4998,0.2806,0.1995,0.5892,Control
A11,0.2513,0.0901,0.1499,0.5801,Control
A12,0.1858,-0.1598,0.1744,0.2771,Control
B01,0.3392,0.0048,0.2449,0.4672,Control
B02,0.3001,0.1235,0.1726,0.594,Control
B03,0.2991,0.1526,0.2925,0.5144,BRCACancer
B04,0.5757,0.2222,0.4384,0.4038,BRCACancer
B05,0.2136,-0.1228,0.1971,0.3349,BRCACancer
B06,0.1763,-0.2806,0.316,0.1901,BRCACancer
B07,0.2882,0.1449,0.3514,0.6857,BRCACancer
B08,0.1583,0.0835,0.1455,0.5871,Control
B09,0.4833,0.1273,0.0981,0.2576,Control
B10,0.3664,0.0758,0.1075,0.282,Control
B11,0.2704,0.0557,0.2165,0.4651,Control
B12,0.4057,0.1945,0.0926,0.2291,Control
C01,0.3107,0.2233,0.3587,0.5967,BRCACancer
C02,0.2555,0.2258,0.2071,0.5991,BRCACancer
C03,0.2995,0.4502,0.3715,0.7015,BRCACancer
C04,0.1264,-0.0572,0.0517,0.3026,Control
C05,0.1567,0.1163,0.0343,0.343,BRCACancer
C06,-0.1145,-0.3111,0.085,0.0308,Control
C07,0.1719,0.0017,0.0661,0.3201,Control
C08,0.1577,0.0532,0.22,0.5209,Control
C09,0.0996,0.022,0.0987,0.4497,Control
C10,0.1723,0.0449,0.107,0.4344,BRCACancer
C11,0.1956,0.2396,0.1725,0.5325,Control
C12,0.0843,0.1937,0.0739,0.2608,BRCACancer
D01,0.4138,0.3003,0.1576,0.47,BRCACancer
D02,0.1288,0.191,0.0331,0.4287,BRCACancer
D03,0.1308,0.0361,0.0543,0.2931,BRCACancer
D04,0.1774,0.2104,0.1443,0.4611,BRCACancer
D05,0.2099,0.0436,0.0897,0.4046,BRCACancer
D06,0.2032,0.2692,0.1178,0.5475,BRCACancer
D07,0.1522,0.2891,0.1264,0.5151,Control
D08,0.121,0.0204,0.1407,0.2496,Control
D09,0.1841,0.0627,0.2025,0.5296,Control
D10,0.1488,0.0479,0.0768,0.3386,Control
D11,-0.0667,-0.0819,-0.0364,0.1377,Control
D12,0.0577,0.1464,0.0948,0.3473,Control
E01,0.1165,-0.0596,0.0975,0.3577,BRCACancer
E02,0.2671,0.191,0.1587,0.5225,Control
E03,0.1362,0.2637,0.1079,0.5227,Control
E04,0.2594,0.365,0.1571,0.5187,Control
E05,0.2504,0.0161,0.2198,0.3034,Control
