@relation data

@attribute id string
@attribute 9612 numeric
@attribute 8850 numeric
@attribute 2071 numeric
@attribute 5914 numeric
@attribute 6256 numeric
@attribute 8841 numeric
@attribute 8202 numeric
@attribute 10499 numeric
@attribute 8648 numeric
@attribute 2962 numeric
@attribute 6908 numeric
@attribute 2960 numeric
@attribute 2957 numeric
@attribute 5430 numeric
@attribute 2959 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.3705,1.5093,0.9849,0.6169,0.5355,0.8247,2.0719,0.7669,1.2495,0.9155,1.2511,0.4283,1.468,1.5522,1.5094,Control
A02,0.301,1.343,0.7292,0.4965,0.541,0.6869,1.8893,0.4672,1.1389,0.7528,1.0281,0.4873,1.2066,1.3891,1.3843,Control
A03,0.4663,1.5206,0.9585,0.8213,0.7105,0.7139,2.0493,0.715,1.2551,0.9088,1.1738,0.5055,1.3019,1.5684,1.4372,Control
A04,0.4059,1.41,0.7792,0.5481,0.5333,0.6255,1.9115,0.5403,1.2253,0.8665,1.1602,0.4531,1.2486,1.4578,1.4777,Control
A05,0.4874,1.3738,0.8769,0.8403,0.7185,0.7887,2.0103,0.6835,1.3449,1.0537,1.2078,0.4844,1.3485,1.5719,1.6013,Control
A06,0.3697,1.2362,0.8123,0.7237,0.6699,0.7,1.9309,0.5585,1.232,0.9523,1.1087,0.4367,1.2782,1.45,1.4809,Control
A07,0.3682,1.5157,0.9036,0.669,0.6475,0.7635,2.1487,0.9238,1.3441,0.9564,1.1369,0.5523,1.3964,1.4774,1.497,Control
A08,0.3976,1.8249,0.9421,0.5768,0.5126,0.7113,2.1309,1.1101,1.4495,0.7089,1.1686,0.4619,1.2769,1.5842,1.4881,Control
A09,0.3587,1.3529,0.8333,0.5979,0.5428,0.6575,2.1526,0.8828,1.2151,0.9767,1.0737,0.4122,1.3062,1.4547,1.3191,Control
A10,0.4041,1.7389,0.9836,0.5733,0.5707,0.7329,2.0954,0.9343,1.4056,0.8408,1.1722,0.5449,1.3093,1.5175,1.5678,Control
A11,0.314,1.1681,0.5912,0.5555,0.5417,0.5617,1.9412,0.6998,0.9758,0.936,0.8312,0.3467,1.2166,1.3667,1.0728,Control
A12,0.1557,1.2011,0.5299,0.3814,0.3558,0.5692,1.3827,0.2504,0.9102,0.5138,0.7572,0.3827,0.6793,0.7273,1.2997,Control
B01,0.1242,1.3309,0.8416,0.4717,0.3489,0.7133,1.9988,0.6111,1.1356,0.6075,1.1677,0.3596,1.1884,1.3113,1.3946,Control
B02,0.3773,1.3256,0.9875,0.6383,0.6222,0.8902,1.9546,0.5582,1.2402,0.9725,1.2335,0.4528,1.3623,1.5552,1.5659,Control
B03,0.3258,1.3951,0.9663,0.5171,0.5183,0.815,1.9456,0.6243,1.2441,0.8277,1.1689,0.49,1.2933,1.4318,1.5347,BRCACancer
B04,0.4354,1.846,0.8736,0.574,0.6736,0.7148,2.0529,0.9887,1.4316,0.579,1.0505,0.4222,1.0215,1.4234,1.3105,BRCACancer
B05,0.3124,1.2915,0.7381,0.7351,0.5613,0.6732,1.9194,0.5679,1.1477,0.6516,0.9837,0.3249,0.914,1.5146,1.3298,BRCACancer
B06,-0.0404,1.3531,0.7157,0.2414,0.2571,0.6966,1.7381,0.4396,0.8836,0.2553,0.9653,0.2268,0.8665,0.9265,1.056,BRCACancer
B07,0.3819,1.6815,1.0334,0.5692,0.5513,0.9378,2.0688,0.6832,1.3326,0.9139,1.3397,0.4973,1.4027,1.5364,1.4402,BRCACancer
B08,0.3973,1.1176,0.7139,0.5948,0.6421,0.762,1.9638,0.4899,0.9881,0.9158,0.9919,0.4475,1.382,1.3428,1.4078,Control
B09,0.3641,1.793,0.6439,0.5219,0.6572,0.5536,1.9713,1.0071,1.1469,0.4812,1.0535,0.2146,1.0428,1.3779,1.1125,Control
B10,0.2507,1.5346,0.6694,0.4573,0.4987,0.5802,1.8727,0.7031,1.2044,0.5724,0.9105,0.3629,1.0201,1.2165,1.3285,Control
B11,0.362,1.3563,0.6552,0.757,0.6527,0.6021,1.8907,0.6263,1.1427,0.7619,0.9376,0.3619,1.1292,1.3734,1.3071,Control
B12,0.2731,1.4708,0.5742,0.3187,0.6131,0.4585,1.7795,0.7148,0.9696,0.2753,0.7713,0.2651,0.66,1.074,0.6491,Control
C01,0.5037,1.2624,0.9715,0.7957,0.8324,0.8098,2.1962,0.7999,1.2442,0.9058,1.1404,0.4595,1.0905,1.6116,1.3802,BRCACancer
C02,0.396,1.3273,0.971,0.6393,0.6066,0.7882,1.9408,0.4749,1.1871,1.0022,1.1509,0.5469,1.148,1.4512,1.3871,BRCACancer
C03,0.5572,1.5341,1.1428,0.8195,0.7533,0.9227,2.0041,0.6495,1.2948,1.062,1.3273,0.5148,1.3372,1.7467,1.3685,BRCACancer
C04,0.385,0.7957,0.4972,0.5643,0.5507,0.4486,1.505,0.3458,0.8259,0.6777,0.6394,0.1577,0.8223,1.2537,1.0166,Control
C05,0.3394,0.8577,0.5632,0.561,0.5727,0.5126,1.6152,0.3451,0.9008,0.7662,0.6837,0.2264,0.7974,1.3277,1.2066,BRCACancer
C06,0.13,0.2904,0.1084,0.1318,0.2556,0.2399,0.5774,0.152,0.2107,0.4595,0.3455,-0.0871,0.1427,0.4086,0.3097,Control
C07,0.2912,1.0411,0.591,0.436,0.5093,0.5745,1.7125,0.3778,1.0923,0.7946,0.8129,0.3892,0.9883,1.3655,1.3195,Control
C08,0.3554,1.1426,0.7466,0.6092,0.6071,0.6038,1.9245,0.434,1.1192,1.03,1.008,0.3524,1.2055,1.5478,1.5171,Control
C09,0.3354,1.087,0.6562,0.5283,0.5955,0.5812,1.7824,0.3564,1.056,0.7707,0.7889,0.3905,0.8964,1.3308,1.3189,Control
C10,0.3246,1.2253,0.8134,0.5046,0.5534,0.6891,1.7322,0.3442,1.1156,0.8186,0.9794,0.4592,0.9021,1.2065,1.4344,BRCACancer
C11,0.4689,1.185,0.7705,0.6952,0.623,0.694,1.8956,0.5367,1.0491,0.9969,1.0258,0.3765,1.187,1.522,1.2449,Control
C12,0.2725,0.7144,0.4293,0.4464,0.4052,0.4481,1.5269,0.3305,0.6671,0.7301,0.6343,0.1098,0.6717,1.1617,0.9203,BRCACancer
