@relation data

@attribute id string
@attribute 10728 numeric
@attribute 1081 numeric
@attribute 120227 numeric
@attribute 134429 numeric
@attribute 147323 numeric
@attribute 1583 numeric
@attribute 1584 numeric
@attribute 1585 numeric
@attribute 1586 numeric
@attribute 1588 numeric
@attribute 1591 numeric
@attribute 1594 numeric
@attribute 1621 numeric
@attribute 1644 numeric
@attribute 1733 numeric
@attribute 1734 numeric
@attribute 1735 numeric
@attribute 240 numeric
@attribute 2488 numeric
@attribute 2638 numeric
@attribute 2687 numeric
@attribute 3283 numeric
@attribute 3284 numeric
@attribute 3290 numeric
@attribute 3293 numeric
@attribute 389434 numeric
@attribute 3972 numeric
@attribute 4036 numeric
@attribute 4048 numeric
@attribute 4056 numeric
@attribute 4363 numeric
@attribute 5122 numeric
@attribute 5409 numeric
@attribute 5443 numeric
@attribute 5641 numeric
@attribute 5740 numeric
@attribute 5742 numeric
@attribute 5743 numeric
@attribute 64174 numeric
@attribute 6528 numeric
@attribute 6770 numeric
@attribute 6916 numeric
@attribute 7054 numeric
@attribute 7166 numeric
@attribute 7173 numeric
@attribute 7252 numeric
@attribute 8029 numeric
@attribute 80765 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.8517,-0.015,1.0019,1.2946,-0.2125,-0.1325,0.07,0.0165,-0.0449,-0.1172,-0.0341,-0.0345,-0.0746,-0.0771,0.0082,-0.2547,-0.0931,1.4239,-0.0725,-0.0857,-0.0164,0.1885,-0.064,-0.0656,0.0122,-0.0838,0.0822,-0.0923,1.9598,-0.1377,1.0204,-0.1414,-0.3139,0.2502,0.3572,-0.0256,1.2335,2.2148,1.2817,0.0199,0.0385,0.5456,-0.0197,0.1261,-0.1351,-0.0147,0.3612,0.5055,Control
Utah__A02,0.5424,-0.0044,0.6777,1.4425,-0.2579,-0.1158,0.1014,-0.0699,-0.0404,-0.1121,-0.1571,-0.092,-0.0077,-0.006,0.0764,-0.185,-0.0996,1.4032,-0.0997,-0.034,0.185,0.2132,-0.0706,-0.0165,-0.0313,0.0219,-0.1427,-0.0426,2.2387,0.0723,0.717,-0.0895,-0.3456,0.4187,0.1695,-0.0432,1.0664,0.5809,0.997,-0.042,-0.041,0.4484,0.0278,0.0359,-0.0174,9e-04,-0.0297,0.1689,Control
Utah__A03,0.7384,-0.0033,0.9421,1.5237,-0.2056,-0.138,0.0087,0.0115,-0.1466,-0.106,-0.1189,-0.0017,-0.0011,0.0202,-0.0468,-0.2481,-0.0384,1.6313,-0.0461,-0.1108,0.1211,0.2744,-0.2132,-0.0034,-0.073,-0.0649,-0.0326,-0.0477,2.083,-0.115,0.9289,-0.0776,-0.2224,0.3164,0.262,-0.0398,1.1755,0.6453,1.0339,0.0047,0.0229,0.7074,0.0321,0.1004,-0.0376,-0.0447,-0.0346,0.2525,Control
Utah__A04,0.5009,0.0218,0.7728,1.4368,-0.1469,-0.1492,0.1106,0.0208,-0.0751,-0.1251,-0.1377,0.0155,-0.0013,-0.0664,-0.022,-0.1624,0.0917,1.3041,-0.1099,-0.0652,0.2019,0.1295,-0.2086,-0.019,-0.0403,-0.0367,0.0991,-0.0508,2.0823,0.158,0.7861,-0.0766,-0.2609,0.4352,0.2448,-0.0645,1.3101,0.4503,0.9896,0.0198,0.0648,0.4455,0.0011,-0.0236,-0.0409,-0.0646,0.0868,0.1952,Control
Utah__A05,0.5548,-0.0464,0.8075,1.5331,-0.1697,-0.1212,0.1908,-0.0731,-0.0598,-0.1065,-0.0438,0.0597,-0.0476,-0.0589,-0.0287,-0.1451,-0.0599,1.8057,-0.0097,-0.0895,0.1796,0.1368,-0.1907,-0.0354,-0.0014,-0.1131,0.0466,-0.0544,2.3349,0.0616,0.9057,-0.0517,-0.2639,0.2793,0.356,-0.0527,1.7591,0.7608,1.2183,0.0118,-0.0313,0.7116,0.0095,0.0177,-0.0708,-0.0731,0.1451,0.2786,Control
Utah__A06,0.5128,0.0091,0.855,1.2304,-0.2266,-0.1575,0.0822,-0.0674,0.0149,-0.094,-0.2213,-0.0645,-0.066,-0.0198,-0.0348,-0.1721,-0.2076,1.5957,-0.1437,-0.0413,0.0321,0.0108,-0.0908,-0.0641,-0.0661,-0.0575,0.1731,-0.0466,2.2703,-0.0552,0.8275,-0.0367,-0.2801,0.2312,0.2977,-0.0316,1.384,0.7428,1.212,-0.0448,0.0122,0.6554,-0.0508,0.1408,-0.0768,-0.0136,0.163,0.2547,Control
Utah__A07,0.7873,0.0346,0.9346,1.3842,-0.2445,-0.1474,0.0359,-0.0375,-0.0899,-0.151,-0.1896,-0.0563,-0.0825,-0.0188,-0.0337,-0.2082,-0.0105,1.5837,-0.0778,-0.049,0.0379,0.0962,-0.19,-0.0357,-0.0461,-0.0368,0.027,-0.032,2.4216,0.1087,0.8845,-0.0382,-0.2964,0.2639,0.3279,-0.0969,1.2061,0.8905,1.1914,-0.0122,-0.0268,0.9138,-0.0597,0.029,-0.0642,-0.0797,0.2167,0.3052,Control
Utah__A08,0.7448,0.0061,0.9232,1.3182,-0.1848,-0.1366,0.1244,-0.019,-0.0843,-0.1324,-0.1123,-0.0163,-0.016,-0.0604,-0.081,-0.1865,-0.1645,1.4016,-0.0766,-0.0588,0.0073,0.1301,-0.067,-0.0264,-0.0661,-0.1152,-0.0358,-0.0622,1.8694,-0.1706,0.9562,-0.0636,-0.2615,0.2348,0.1959,-0.0159,0.7377,0.4104,1.0266,-0.0131,0.007,0.9247,-0.0326,0.1952,-0.169,-0.0237,0.6307,0.2102,Control
Utah__A09,0.5263,-0.0385,0.9228,1.1682,-0.1435,-0.1211,-0.0706,0.0081,-0.0813,-0.1155,-0.0395,0.0817,-0.0586,-0.0107,-0.0486,-0.1993,-0.1475,1.4721,0.0136,-0.0774,0.025,0.189,-0.1535,-0.0575,-0.0468,-0.022,0.06,-0.0437,2.1637,0.0235,0.9007,-0.0881,-0.3354,0.189,0.3068,-0.0911,1.4865,0.6069,0.9263,0.0192,0.0056,0.8594,-0.1031,0.0683,-0.0242,-0.0078,0.2658,0.2023,Control
Utah__A10,0.6087,-0.0675,0.8306,1.4121,-0.1531,-0.061,0.0736,-0.0626,-0.0661,-0.1091,-0.1226,-0.0452,-0.0662,-0.0842,0.0068,-0.1409,-0.0494,1.536,-0.1062,-0.0965,0.1524,0.1236,-0.1525,-0.0989,0.0161,-0.0698,0.1973,-0.0711,2.36,-0.0339,0.8528,-0.115,-0.1738,0.3446,0.2334,0.0047,1.6508,1.134,0.9438,-0.0224,-0.0383,0.9149,0.0202,-0.0058,-0.1034,0.0482,0.1106,0.2655,Control
Utah__A11,0.5267,-0.0371,0.8615,1.0934,-0.1396,-0.046,0.1995,0.0369,0.0333,-0.0858,-0.1629,-0.0434,-0.0385,-0.0452,-0.0385,-0.2259,-0.0224,1.2222,-0.0569,-0.0586,0.0926,0.0624,-0.1566,-0.1497,-0.0426,-0.001,0.0182,-0.0562,1.9813,-0.2307,0.7075,-0.1366,-0.33,0.306,0.1835,-0.1309,1.0888,0.6399,0.8902,-0.0426,0.0706,0.5329,0.069,-0.0157,-0.1438,-0.1762,0.1082,0.2938,Control
Utah__A12,0.0706,0.2045,0.5535,0.9682,-0.3527,-0.0169,-0.0188,0.0452,-0.0397,-0.1299,-0.1948,0.0545,-0.031,0.1148,-0.044,-0.2797,-0.2939,0.8654,0.0154,0.0569,-0.1122,0.2509,-0.0101,0.0025,-0.067,0.0183,0.2768,0.0587,1.9632,-0.2379,0.4676,-0.0574,-0.2784,0.2923,0.1198,-0.11,1.2823,0.1681,0.6723,-0.1296,0.1026,0.4152,-0.1343,-0.1232,0.0031,0.0641,-0.0498,0.1922,Control
Utah__B01,0.8635,0.0663,0.8491,1.0267,-0.3009,3e-04,-0.1984,-0.1426,0.064,-0.0402,-0.2453,-0.1004,-0.2404,0.0635,0.0591,-0.2342,-0.4854,1.2957,0.0136,-0.017,-0.2202,0.2008,0.0416,0.0137,0.1206,-0.0824,0.4744,0,1.9013,-0.5521,0.7751,-0.0646,-0.4496,0.036,0.2626,-0.0242,0.9198,0.4178,1.0444,-0.1203,0.1353,0.5833,-0.3447,0.2214,-0.0834,0.1073,0.3829,0.3668,Control
Utah__B02,0.8215,0.0376,0.9817,1.393,-0.0691,-0.0986,0.1899,0.0469,-0.0146,-0.1188,-0.1631,0.0217,-0.0426,-0.0256,-0.0729,-0.1772,-0.1109,1.5213,-0.0697,-0.0527,0.0516,0.2427,-0.1791,-0.0567,-0.0353,-0.0373,0.2059,-0.0619,2.253,-0.0485,0.829,-0.1359,-0.2734,0.2815,0.2436,-0.0055,1.0431,0.976,1.307,0.0135,0.0505,0.5232,0.0367,0.0687,-0.0676,0.0607,0.234,0.3896,Control
Utah__B03,0.8028,0.0191,0.921,1.4231,-0.2618,-0.0344,0.0079,-0.0311,0.0421,-0.0499,-0.1995,-0.0738,-0.1242,-0.0363,-0.0274,-0.1765,-0.274,1.4095,0.0157,-0.0809,0.0145,0.1077,-0.0877,-0.0232,0.0246,-0.0613,0.2267,-0.0551,2.2012,-0.2555,0.8129,-0.1294,-0.3526,0.1826,0.3019,-0.0632,0.4803,0.9254,1.123,-0.0493,0.0407,0.5861,-0.0085,0.0868,-0.1095,0.0444,0.1476,0.341,BRCACancer
Utah__B04,0.7236,0.0052,0.6011,1.284,-0.2954,-0.111,0.0145,0.013,-0.1054,-0.1486,-0.251,-0.0688,0.0226,-0.0374,-0.0354,-0.255,-0.1973,1.3409,-0.0524,-0.0773,0.0091,0.1578,-0.159,-0.1052,3e-04,0.0015,0.0794,-0.0257,1.6842,-0.1698,0.907,-0.0946,-0.3333,0.1359,0.1864,-0.0423,1.0203,0.4896,1.0855,-0.0329,-0.0134,1.0949,-0.1049,0.2072,-0.0654,0.0397,0.3801,0.1949,BRCACancer
Utah__B05,0.6637,0.1477,0.8365,1.0687,-0.2326,-0.1181,0.0035,-0.0833,0.0019,-0.1428,-0.1563,-0.089,-0.0628,0.0253,0.0969,-0.301,-0.1402,1.2499,-0.0952,0.019,0.0157,0.192,-0.0306,0.0511,0.0414,0.0047,0.1104,0.0109,1.9525,-0.0575,0.7314,-0.0709,-0.3784,0.3876,0.3916,-0.1595,0.9368,0.4876,1.2628,-0.09,-0.0065,0.6287,-0.1004,0.0749,-0.0322,-0.0676,0.052,0.2515,BRCACancer
