@relation data

@attribute id string
@attribute 107 numeric
@attribute 10746 numeric
@attribute 108 numeric
@attribute 1081 numeric
@attribute 109 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 123745 numeric
@attribute 1432 numeric
@attribute 163688 numeric
@attribute 1839 numeric
@attribute 1956 numeric
@attribute 196883 numeric
@attribute 2002 numeric
@attribute 2185 numeric
@attribute 23236 numeric
@attribute 2488 numeric
@attribute 26279 numeric
@attribute 2767 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 2796 numeric
@attribute 2797 numeric
@attribute 2798 numeric
@attribute 2885 numeric
@attribute 30814 numeric
@attribute 3265 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3725 numeric
@attribute 3845 numeric
@attribute 391013 numeric
@attribute 3972 numeric
@attribute 4214 numeric
@attribute 4215 numeric
@attribute 4216 numeric
@attribute 4313 numeric
@attribute 4323 numeric
@attribute 468 numeric
@attribute 4893 numeric
@attribute 50487 numeric
@attribute 51806 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5337 numeric
@attribute 5338 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5580 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5598 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5609 numeric
@attribute 5613 numeric
@attribute 5894 numeric
@attribute 6300 numeric
@attribute 6416 numeric
@attribute 64600 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6714 numeric
@attribute 775 numeric
@attribute 778 numeric
@attribute 779 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 815 numeric
@attribute 81579 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8398 numeric
@attribute 8399 numeric
@attribute 84647 numeric
@attribute 8681 numeric
@attribute 998 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.0192,1.8908,-0.0698,-0.015,0.3841,-0.0392,0.0464,1.6991,-0.1513,0.2716,2e-04,1.4426,0.0913,0.343,-0.0786,0.1129,0.4312,1.1554,0.4303,-0.0725,0.1003,0.0585,0.6216,0.7364,0.2915,0.1286,-0.2369,1.6544,-0.133,0.4247,0.7493,0.8186,0.8509,1.3192,1.5983,-0.1244,0.0822,2.2889,1.1149,1.0413,-0.1618,-0.0618,1.878,2.847,-0.0924,-0.2612,-0.0518,-0.0825,0.541,-0.198,1.7084,0.577,-0.0589,0.3243,0.5659,0.9255,1.1308,-0.1281,0.5523,1.0332,1.1766,1.7309,1.0783,0.528,1.4021,-0.0276,1.121,-0.0344,0.9875,0.718,0.4255,0.744,0.7028,0.6035,1.1174,1.7847,-0.1615,0.7285,0.0052,1.1294,1.3492,0.3629,-0.0953,0.045,-0.0528,2.3173,1.1595,2.0808,-0.0572,0.0866,0.4155,0.0146,0.8699,0.6253,0.464,0.2044,-0.0753,0.6991,1.3608,Control
A02,0.0821,1.6662,-0.0157,-0.0044,0.2867,0.0397,-0.0129,1.5213,-0.1765,0.2021,0.0288,1.1508,0.1996,0.3192,0.0036,0.0076,0.2767,0.9821,0.2262,-0.0997,0.1235,-0.0059,0.1857,0.5947,-0.0104,-0.0775,-0.1943,1.493,0.0302,0.3701,0.5121,0.6118,0.687,0.8029,1.3547,0.0305,-0.1427,1.8995,0.9113,0.8467,-0.222,-0.1469,1.6654,3.0554,-3e-04,-0.1296,-0.0708,0.0619,0.4199,-0.1858,1.6702,0.4872,-0.0815,0.2387,0.4611,0.8176,0.9731,-0.1142,0.1715,0.6697,1.3276,1.6299,1.0214,0.3075,0.9672,-0.0188,0.983,0.0192,0.9234,0.4692,0.2945,0.722,0.2931,0.523,0.9334,1.5429,-0.0835,0.4813,0.0506,0.9018,1.1968,0.3648,-0.0989,-0.0492,-0.0015,2.331,0.9813,2.1764,-0.0692,0.2548,0.3673,0.1389,0.6234,0.4398,0.2477,-0.0422,-0.06,0.3054,1.0773,Control
A03,0.0731,1.8574,-0.0248,-0.0033,0.3348,0.048,0.0306,1.9512,-0.1891,0.3941,-0.0184,1.3711,0.1579,0.4658,-0.0126,0.1578,0.3461,1.1527,0.3007,-0.0461,0.2143,0.1377,0.4253,0.7013,0.1633,0.1438,-0.1339,1.7906,-0.0621,0.3745,0.59,0.8493,0.726,1.2073,1.6547,0.0504,-0.0326,2.1356,1.1369,0.9025,-0.1843,0.1485,1.8979,3.1476,-0.0197,-0.2249,-0.0493,0.0236,0.5097,-0.1014,2.0238,0.7102,-0.1083,0.3963,0.5797,1.0298,0.9868,-0.1007,0.1678,0.9489,1.423,1.8758,1.0584,0.5595,1.211,0.0192,1.1034,-0.0146,0.9564,0.6904,0.494,1.0145,0.429,0.6958,1.0666,1.7349,-0.0697,0.6279,-0.0604,1.1313,1.3816,0.5956,-0.0946,-2e-04,0.0239,2.5215,1.2374,2.1323,0.0188,0.2066,0.2585,0.1141,0.7986,0.5013,0.4022,-0.0424,-0.1217,0.5214,1.3643,Control
A04,0.0545,1.7451,-0.0445,0.0218,0.3642,0.0045,0.0729,1.5568,-0.1467,0.2332,0.0154,1.2559,0.1263,0.358,-0.0237,0.0398,0.3725,1.0681,0.1828,-0.1099,0.155,0.117,0.2721,0.6584,0.0901,0.0089,-0.1323,1.4914,-0.0816,0.3589,0.6555,0.5923,0.7783,1.3091,1.1941,-0.108,0.0991,2.278,0.9583,1.0183,-0.1747,-0.0336,1.8696,3.093,0.0112,0.0281,0.0442,0.0279,0.324,-0.1458,1.6228,0.5036,-0.0722,0.1767,0.4766,0.8067,1.1682,-0.1378,0.2858,0.7891,1.3079,1.7145,1.0435,0.4448,0.9665,0.1305,1.064,-0.0052,1.0754,0.4999,0.4226,0.781,0.3654,0.6518,0.9122,1.6725,0.0483,0.5001,-0.0426,1.0307,1.2135,0.3996,-0.0924,-0.0321,-0.0175,2.6061,1.0291,2.2841,0.0712,0.1188,0.2732,0.1004,0.6924,0.4688,0.3282,-0.2316,-0.1663,0.3987,1.2398,Control
A05,0.0309,2.0164,-0.033,-0.0464,0.3725,-0.0212,0.1413,1.8737,-0.1501,0.3688,-0.0355,1.5137,0.1771,0.3674,-0.0402,0.1368,0.4351,1.2178,0.4625,-0.0097,0.1888,0.1931,0.4482,0.6793,0.1592,0.0849,-0.1587,1.8851,-0.1104,0.4809,0.6827,0.8117,0.716,1.2428,1.41,-0.0639,0.0466,2.4514,1.211,0.9653,-0.1301,0.0745,1.9211,3.3716,0.0413,-0.1437,0.0279,-0.0669,0.6523,-0.122,1.8707,0.8193,-0.0609,0.4633,0.7495,1.1361,1.0421,-0.0876,0.2856,0.9233,1.6614,1.9408,1.1978,0.5869,1.1192,0.0999,1.1345,-0.0161,0.9611,0.7099,0.4974,0.9779,0.5039,0.7144,1.0499,1.808,0.0263,0.5851,0.0186,1.0492,1.3778,0.6218,-0.0865,-0.0051,-0.0313,2.2755,0.994,2.3856,0.1314,0.1783,0.3608,0.0961,0.7731,0.5309,0.3537,0.0525,-0.0556,0.5053,1.3013,Control
A06,0.0369,1.769,-0.0237,0.0091,0.2447,-0.0242,0.0033,1.7448,-0.2133,0.2657,-0.0214,1.2007,0.1628,0.8173,-0.0106,0.0614,0.3874,1.1114,0.3563,-0.1437,0.0317,0.0202,0.3223,0.5895,-0.0147,0.0342,-0.2199,1.5864,-0.0085,0.2391,0.6173,0.7335,0.6711,0.8136,1.4342,0.0583,0.1731,2.0424,1.0694,0.8842,-0.1819,-0.0927,1.9028,2.9291,-0.0073,-0.1872,0.0536,0.0098,0.4123,-0.1602,1.742,0.6236,-0.0817,0.4964,0.6227,0.9951,0.8643,-0.1601,0.2749,0.8755,1.3395,1.8446,0.9874,0.3949,1.1521,-0.0898,0.9999,-0.0265,0.8385,0.6673,0.3508,0.8196,0.6103,0.5537,1.0233,1.7489,-0.1287,0.575,-0.0281,0.8863,1.3318,0.4104,-0.1004,-0.0178,-0.0275,2.2293,1.154,2.1384,-0.0271,0.2193,0.3895,0.0668,0.5826,0.4753,0.3665,-0.0866,-0.0663,0.4826,1.1447,Control
A07,0.0671,1.9092,-0.0186,0.0346,0.3432,0.036,0.0158,1.8456,-0.1774,0.3064,-0.0681,1.592,0.1512,0.5126,-0.0137,0.041,0.2834,1.2608,0.8391,-0.0778,0.1884,0.049,0.8825,0.6729,0.176,0.0427,-0.1095,1.89,-0.0157,0.3621,0.8001,0.9943,0.6893,1.2402,1.7087,-0.0232,0.027,2.4121,1.1874,1.0928,-0.2129,-0.0714,1.5255,2.9633,-0.0098,-0.2411,-0.1046,-0.0235,0.6192,-0.1308,1.7855,0.642,-0.0893,0.4958,0.5604,0.8796,1.1382,-0.1365,0.5058,1.2903,1.4288,1.882,0.9702,0.4629,1.3691,-0.077,1.0948,-0.0107,0.9238,0.8479,0.4043,0.7471,0.5968,0.5012,1.0242,1.7704,-0.1294,0.7805,0.0369,1.1809,1.4952,0.3471,-0.1378,-0.0384,-0.0165,2.2849,1.4581,2.178,0.0491,0.2253,0.7497,0.1203,0.9004,0.5806,0.2803,-0.0888,-0.1166,0.4214,1.5858,Control
A08,0.0084,2.0297,-0.0576,0.0061,0.2198,-0.0264,0.0577,1.7018,-0.1798,0.2902,0.0345,1.6309,0.1237,0.3255,-0.0387,0.1695,0.3073,1.2676,0.6234,-0.0766,-0.0182,0.0099,1.0342,0.6935,0.2808,0.066,-0.23,1.7425,-0.043,0.2915,0.9849,1.0792,0.6991,0.8862,1.6234,-0.0744,-0.0358,2.6664,1.1502,1.2046,-0.1463,-0.0802,1.5525,2.7421,-0.0196,-0.3309,0.0031,-0.0028,0.4231,-0.118,1.7589,0.4185,-0.0928,0.3479,0.4345,0.9732,1.1867,-0.0345,0.8574,1.3963,1.1228,1.9122,0.9939,0.3849,1.4969,-0.0922,1.2356,-0.0431,0.7799,0.8635,0.3356,0.6866,0.7273,0.4817,1.074,1.7386,-0.107,0.967,0.0122,1.4746,1.4347,0.3367,-0.0779,0.0101,-0.0834,2.199,1.2592,1.9223,-9e-04,0.1563,0.555,0.0455,1.2546,0.5916,0.3545,0.0187,-0.0775,0.5394,1.6994,Control
A09,0.0396,1.7199,-0.0078,-0.0385,0.3145,0.0421,0.071,1.7021,-0.1879,0.1972,-0.0223,1.435,0.1268,0.4634,-0.0275,0.104,0.3567,1.1629,0.7121,0.0136,0.1139,-0.0023,0.861,0.6166,0.1568,0.0097,-0.1924,1.8554,-0.0426,0.3464,0.7599,0.9655,0.6424,0.9959,1.5566,-0.0373,0.06,2.4939,1.136,0.9861,-0.1612,-0.1112,1.5969,2.9428,0.0414,-0.1087,-0.0301,0.0389,0.4106,-0.1187,1.6492,0.5998,-0.0597,0.2681,0.4912,1.0136,1.096,-0.253,0.5722,1.2298,1.2723,1.8315,0.99,0.3622,1.3676,-0.0205,0.9917,-0.0155,0.8347,0.7596,0.3503,0.8065,0.5458,0.5112,1.0252,1.6393,-0.0855,0.7254,0.0078,1.0011,1.3189,0.4405,-0.093,-0.0496,0.0159,2.2287,0.9544,2.3056,0.079,0.2061,0.4755,0.1087,0.8152,0.5451,0.2703,0.0993,-0.1198,0.538,1.4239,Control
A10,-0.0054,2.0811,-0.0518,-0.0675,0.2785,-0.0574,0.1104,1.674,-0.149,0.3406,-0.0029,1.7367,0.1442,0.3734,-0.0564,0.1028,0.3201,1.4018,0.9357,-0.1062,0.091,0.1123,0.8051,0.7025,0.2894,0.0897,-0.19,1.8284,-0.0138,0.3978,0.8006,1.0196,0.626,1.3751,1.4421,-0.0661,0.1973,2.3914,1.1818,1.1226,-0.1861,-0.1204,1.5762,3.0526,0.0706,-0.1337,-0.0449,-0.0152,0.6973,-0.1018,1.7309,0.5409,-0.0569,0.4834,0.5939,0.9161,1.2565,-0.1074,0.3634,1.2971,1.399,1.9225,0.9237,0.4236,1.2269,-0.0018,1.1887,-6e-04,0.996,0.7992,0.4701,0.7525,0.6755,0.5635,0.9941,1.7838,0.0165,0.8418,-0.0201,1.3376,1.3751,0.4233,-0.096,-0.0091,-0.0699,2.2654,1.2719,2.2472,-0.0261,0.0703,0.479,0.0281,1.1071,0.5944,0.3453,-0.0936,-0.0982,0.4287,1.6004,Control
