@relation data

@attribute id string
@attribute 5682 numeric
@attribute 9861 numeric
@attribute 5686 numeric
@attribute 5685 numeric
@attribute 5684 numeric
@attribute 5683 numeric
@attribute 9491 numeric
@attribute 10197 numeric
@attribute 5708 numeric
@attribute 5709 numeric
@attribute 5706 numeric
@attribute 5707 numeric
@attribute 5704 numeric
@attribute 5691 numeric
@attribute 5705 numeric
@attribute 5690 numeric
@attribute 5702 numeric
@attribute 5693 numeric
@attribute 5925 numeric
@attribute 5692 numeric
@attribute 7314 numeric
@attribute 5695 numeric
@attribute 5700 numeric
@attribute 5701 numeric
@attribute 5694 numeric
@attribute 6502 numeric
@attribute 5696 numeric
@attribute 5687 numeric
@attribute 5688 numeric
@attribute 5689 numeric
@attribute 8454 numeric
@attribute 5717 numeric
@attribute 5718 numeric
@attribute 4331 numeric
@attribute 5719 numeric
@attribute 5710 numeric
@attribute 5711 numeric
@attribute 1026 numeric
@attribute 5713 numeric
@attribute 5714 numeric
@attribute 5715 numeric
@attribute 5716 numeric
@attribute 6500 numeric
@attribute 8900 numeric
@attribute 5699 numeric
@attribute 5698 numeric
@attribute 890 numeric
@attribute 1017 numeric
@attribute 10213 numeric
@attribute 7465 numeric
@attribute 5720 numeric
@attribute 5721 numeric
@attribute 9134 numeric
@attribute 1022 numeric
@attribute 993 numeric
@attribute 1163 numeric
@attribute 898 numeric
@attribute 902 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.8596,1.6985,1.3837,2.23,1.1859,1.0788,1.2257,1.8062,1.083,1.1006,0.987,1.202,1.2375,1.0647,1.0043,0.4652,1.0985,0.7959,1.0363,2.2354,0.6845,0.8796,0.6496,0.9471,1.8241,0.863,2.1298,0.6655,1.2318,1.6119,1.0937,1.3754,1.3764,0.3161,1.1096,0.3589,1.3609,1.2717,1.6253,1.2572,0.3515,1.0593,1.308,0.0065,1.094,1.6112,0.2866,1.0793,0.6743,0.384,0.9103,0.8422,0.0894,0.5741,-0.1142,0.074,0.5319,1.626,Control
A02,0.5137,1.4954,1.2128,2.3945,0.8084,0.9698,0.93,1.7625,0.9447,0.9215,0.7092,1.0822,0.9832,0.8826,0.7985,0.3431,0.9748,0.5899,0.801,1.975,0.7725,0.6531,0.3519,0.7812,1.5839,0.5863,2.0411,0.4068,1.1461,1.386,0.9814,1.1564,1.2653,0.1346,0.8281,0.31,1.0224,0.9753,1.5575,1.1112,0.2465,1.1872,0.9213,-0.1304,1.0415,1.5619,0.071,0.8152,0.5746,0.2358,0.9193,0.7539,-0.0763,0.3587,-0.0682,0.0155,0.2379,1.2003,Control
A03,0.6591,1.6515,1.3296,2.4264,1.1197,1.0437,1.1693,1.931,1.1458,1.0988,0.9629,1.2534,1.2057,1.1098,1.0279,0.4919,1.2869,0.8136,1.0565,2.1623,0.8244,0.8751,0.5382,0.8826,2.0253,0.6774,2.2441,0.5077,1.3087,1.5998,1.156,1.3995,1.4239,0.2105,1.0135,0.3245,1.2787,1.692,1.6677,1.3112,0.3817,1.1068,1.2111,-0.011,1.2538,1.848,0.5064,1.0301,0.7213,0.5397,1.0651,1.0982,0.1382,0.5493,-0.0145,0.043,0.4986,1.5333,Control
A04,0.5814,1.6076,1.1802,2.3475,0.6941,0.8841,1.0336,1.7866,1.0659,0.9659,0.6328,1.1143,1.1178,0.8817,0.8572,0.356,1.0465,0.6132,0.8205,2.2238,0.6344,0.6542,0.4617,0.8397,1.922,0.673,2.1637,0.4136,1.1375,1.5159,0.9187,1.1596,1.044,0.1798,0.7962,0.3075,1.014,0.9804,1.5881,1.077,0.2675,1.0605,1.174,-0.0931,1.1602,1.5433,0.0923,0.827,0.6248,0.3473,1.061,0.5499,-0.0228,0.5533,-0.0639,0.1022,0.2161,1.4337,Control
A05,0.6486,1.677,1.2792,2.4234,0.8807,1.1057,1.1974,1.9942,1.1685,1.1384,0.7171,1.2123,1.2175,1.1094,0.9576,0.391,1.2642,0.8145,1.0433,2.3325,0.7355,0.784,0.3854,0.8281,2.1175,0.7421,2.4047,0.5258,1.2508,1.5606,1.0506,1.3354,1.2825,0.1989,1.0444,0.346,1.1785,1.7524,1.6254,1.1774,0.3777,1.0914,1.1553,-0.0265,1.3544,1.5122,0.269,1.0253,0.6159,0.4061,1.1497,0.7752,0.0629,0.5475,-0.0721,0.0625,0.3737,1.4419,Control
A06,0.614,1.588,1.1631,2.323,0.8395,0.9386,1.133,1.8308,1.0339,1.0316,0.64,1.1286,1.1539,1.0529,0.8887,0.4003,1.1888,0.6042,0.8912,2.1362,0.8108,0.7977,0.4191,0.7339,1.848,0.7233,1.9984,0.4726,1.2155,1.4008,0.9191,1.2841,1.1788,0.1536,1.0107,0.3383,1.1669,1.4036,1.504,1.2096,0.3347,1.0992,1.1913,-0.0473,1.143,1.4404,0.1197,0.8221,0.5752,0.2677,0.9374,0.6033,-0.0971,0.4938,-0.0911,-0.0139,0.226,1.421,Control
A07,0.7558,1.6846,1.2924,2.2649,1.0875,1.0653,1.3766,1.795,1.0345,1.0484,0.9209,1.2592,1.141,1.063,0.9701,0.4197,1.1147,0.8618,1.0213,2.0729,0.5046,0.9085,0.5,0.9266,1.9482,0.7998,2.111,0.552,1.2479,1.6201,1.1347,1.3049,1.4461,0.3843,0.9255,0.4804,1.3321,1.1581,1.558,1.1801,0.3942,1.1426,1.2257,-0.119,1.0979,1.7103,0.3557,0.8887,0.7026,0.2708,0.8786,0.8229,-0.0227,0.5297,-0.0805,-0.0081,0.395,1.7099,Control
A08,0.8117,1.5603,1.4062,1.9507,1.0718,0.9549,1.3436,1.5846,0.9188,0.9226,1.0001,1.2006,0.9362,0.7853,0.7956,0.5345,0.9098,0.6076,1.0826,1.8304,0.6334,1.0102,0.5945,0.8591,1.4112,0.768,1.7088,0.5216,1.0216,1.4567,1.2153,1.2899,1.2874,0.5743,0.8967,0.3119,1.2892,1.1244,1.3457,1.0848,0.3676,0.9656,1.4337,-0.0248,0.9641,1.6054,0.1721,0.8162,0.6891,0.2177,0.8766,0.811,-0.0748,0.5947,-0.1188,0.0302,0.3103,1.8094,Control
A09,0.6932,1.4845,1.1457,2.2969,1.0093,0.8813,1.2973,1.7204,0.9393,0.9544,0.7607,1.0908,1.142,0.9023,0.9042,0.3836,1.0608,0.6346,1.0359,2.0341,0.5004,0.9319,0.445,0.7139,1.6625,0.7484,1.9348,0.5396,1.1176,1.3751,1.0356,1.2522,1.3846,0.3797,0.7321,0.3283,1.2524,1.3153,1.5017,1.2131,0.245,1.0221,1.1582,-0.0423,1.081,1.5146,0.1356,0.8193,0.5883,0.357,0.9465,0.7246,-0.0252,0.5279,-0.0588,0.0815,0.3204,1.6033,Control
A10,0.6794,1.7632,1.2511,2.1439,0.9286,1.0886,1.355,1.6673,1.0189,0.9143,0.78,1.3758,1.1031,1.0174,0.9095,0.4269,1.0714,0.5937,0.9646,2.0354,0.4407,0.9633,0.5078,0.9036,1.8548,0.8841,2.0257,0.4968,1.1384,1.5005,1.165,1.3111,1.2411,0.3731,0.815,0.3729,1.2615,1.1616,1.5067,1.191,0.3562,1.0037,1.1829,-0.0369,1.1476,1.7638,0.2516,0.8978,0.6375,0.401,0.9281,0.7918,0.0348,0.6165,-0.1079,0.0379,0.2036,1.8899,Control
