@relation data

@attribute id string
@attribute 10681 numeric
@attribute 116 numeric
@attribute 117 numeric
@attribute 2641 numeric
@attribute 2691 numeric
@attribute 2692 numeric
@attribute 2695 numeric
@attribute 2696 numeric
@attribute 2740 numeric
@attribute 2778 numeric
@attribute 2782 numeric
@attribute 2783 numeric
@attribute 2784 numeric
@attribute 2785 numeric
@attribute 2786 numeric
@attribute 2787 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 51764 numeric
@attribute 54331 numeric
@attribute 55970 numeric
@attribute 59345 numeric
@attribute 6343 numeric
@attribute 6344 numeric
@attribute 7432 numeric
@attribute 7433 numeric
@attribute 7434 numeric
@attribute 9340 numeric
@attribute 94235 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.5855,-0.0639,0.0615,-0.0255,-0.0085,-0.0494,-0.0496,0.0444,-0.087,0.7364,1.414,0.5399,-0.0227,0.1248,-0.0547,1.0856,1.6097,-0.1115,0.3338,0.026,1.0858,-0.0685,0.919,-0.2877,-0.0353,-0.0256,0.5245,0.0191,-0.0119,0.4775,Control
Utah__A02,0.2454,-0.0694,0.1713,0.0182,-0.1031,0.0404,-0.1902,0.0218,-2e-04,0.5947,1.3774,0.5789,-0.0064,0.1585,0.0724,0.7634,1.3471,-0.0107,0.2554,0.1274,1.022,0.0029,1.0066,-0.2747,0.0616,0.0324,0.3306,0.0875,-0.0174,0.1854,Control
Utah__A03,0.2872,-0.1085,0.1237,0.112,-0.0751,0.0184,-0.0932,0.0753,0.014,0.7013,1.4718,0.7336,0.0315,0.2682,0.0226,1.2042,1.5199,-0.1264,0.7994,0.0957,1.2814,-0.0297,1.1432,-0.2274,0.0479,-0.057,0.3322,0.086,-0.1145,0.2562,Control
Utah__A04,0.4014,0.0157,0.1205,0.0476,-0.0199,-0.0396,-0.1645,0.0814,-0.0165,0.6584,1.4544,0.6723,-0.0315,0.1309,0.013,0.8648,1.4955,-0.0455,0.2105,0.1156,0.9732,-0.0499,0.9454,-0.0215,0.0722,-0.0641,0.4207,0.0901,-0.0712,0.3302,Control
Utah__A05,0.4597,-0.0241,0.0322,0.0091,-0.0465,-0.1069,-0.1212,0.0459,-0.0037,0.6793,1.553,0.7587,-0.0312,0.1017,0.0179,1.1603,2.287,-0.0806,0.5324,0.1322,1.0752,-0.0418,1.296,-0.0417,0.05,-0.0452,0.5388,0.092,-0.1733,0.4779,Control
Utah__A06,0.3018,-0.1024,0.1774,0.0059,0.0296,-0.0278,-0.11,-0.0146,-0.0349,0.5895,1.3984,0.5575,-0.0332,0.1002,-0.01,0.988,1.2718,-0.1084,0.4152,0.0493,1.3107,0.0125,1.039,-0.0837,-0.0148,0.0528,0.4672,0.0139,-0.037,0.2435,Control
Utah__A07,0.3421,-0.1136,0.1719,0.0253,-0.1234,-0.0058,-0.1939,0.0301,0.056,0.6729,1.5046,0.6289,-0.0204,0.0665,0.0088,0.9953,1.6179,-0.1539,0.5242,0.0263,1.4486,0.0084,1.1347,-0.0715,0.0603,-0.0765,0.5249,0.0968,-0.1015,0.2152,Control
Utah__A08,0.488,-0.1065,0.1023,-0.0116,-0.0315,-0.0264,-0.1742,0.0216,-0.0638,0.6935,1.4784,0.4918,-0.0321,0.1109,-0.0448,0.9791,1.384,-0.0861,0.4541,0.1487,1.595,-0.0654,0.873,-0.3395,-0.044,-0.041,0.4031,0.0159,-0.0768,0.5065,Control
Utah__A09,0.4962,-0.0386,0.1367,-0.0056,-0.0655,0.0251,-0.1052,0.0079,0.0022,0.6166,1.3959,0.5252,-0.0672,0.1913,0.0346,0.7509,1.8706,-0.1335,0.5022,-0.0284,1.4451,-0.0253,0.9565,-0.1269,0.0645,-0.0465,0.4328,0.0853,-0.0818,0.1661,Control
Utah__A10,0.4614,-0.0759,0.0784,-0.0178,-0.1246,-0.0136,-0.1531,0.0621,-0.0215,0.7025,1.4977,0.5499,-0.0698,0.1182,0.0059,1.0795,2.1093,-0.1431,0.5166,0.0718,1.5315,-0.0291,1.0972,-0.1162,0.0304,-0.028,0.4201,0.0232,-0.0705,0.13,Control
Utah__A11,0.3814,-0.1248,0.1886,-0.0192,-0.1287,-0.0594,-0.2066,0.0873,-0.0805,0.6078,1.2505,0.3684,0.0124,0.0168,-0.0457,0.6488,0.9733,-0.1683,0.4658,0.0422,1.3544,-0.016,0.7037,-0.2314,-0.0253,-0.0729,0.2247,0.0014,0.0361,0.1154,Control
Utah__A12,0.2235,-0.1338,0.317,0.1676,0.0392,0.1347,0.0068,-0.0372,0.1104,0.33,1.183,0.2575,0.0899,0.3645,0.1443,0.4308,1.8247,-0.0381,0.0937,0.1506,0.6793,0.1013,0.605,-0.4407,0.1017,-0.0489,0.27,0.1327,-0.0083,-0.0972,Control
Utah__B01,0.4755,-0.2943,0.2917,0.0551,-0.0947,-0.0158,0.0334,-0.163,0.0286,0.5871,1.27,0.269,-0.1156,0.1348,0.0024,0.9994,1.1572,-0.1151,0.2174,-0.1245,1.0079,0.0843,0.6714,-0.6037,0.0459,-0.2188,0.4311,-0.0564,0.1021,-0.2118,Control
Utah__B02,0.4078,-0.105,0.1588,0.0305,-0.0211,-0.0444,-0.0711,0.1725,0.0143,0.7082,1.4867,0.6784,-0.04,0.019,0.0045,1.1635,1.4321,-0.1573,0.5978,0.0205,1.0447,-0.0231,1.0767,-0.0728,0.0715,-0.0878,0.507,0.0641,-0.0478,0.1837,Control
Utah__B03,0.4268,-0.1455,0.2001,0.0188,-0.0579,0.0182,0.0017,-0.0323,-0.0261,0.6652,1.4135,0.4818,-0.0234,0.1871,0.0201,1.1438,0.1993,-0.211,0.3712,0.0198,1.1726,0.0203,0.9697,-0.253,0.0251,-0.1088,0.416,0.0109,0.063,0.0635,BRCACancer
Utah__B04,0.3429,-0.0972,0.1472,-0.0181,0.0314,-0.0698,-0.0729,0.0116,0.0056,0.6745,1.6176,0.4658,-0.0156,0.0128,7e-04,0.8538,1.254,-0.0829,0.147,0.0211,1.5165,0.0049,0.6727,-0.3222,0.0426,0.0304,0.3303,0.0422,-0.0438,0.082,BRCACancer
Utah__B05,0.2148,-0.1869,0.2027,0.0235,0.0071,0.0366,-0.1798,-0.023,0.0372,0.588,1.3729,0.5454,0.0095,0.1617,0.0166,0.896,1.2482,0.0291,0.5124,0.0164,1.3453,0.0206,0.7267,-0.2183,0.0482,0.0136,0.2869,0.0689,-0.0169,0.209,BRCACancer
Utah__B06,0.2499,-0.3096,0.2487,0.1957,0.0332,-0.1058,0.0036,-0.2178,-0.0018,0.3774,1.1264,0.0926,-0.1611,0.1431,-0.0116,0.6719,0.6615,-0.0403,-0.0404,-0.264,1.0151,0.1765,0.4211,-0.7313,0.0264,-0.0184,0.1092,-0.0892,0.1135,-0.6573,BRCACancer
Utah__B07,0.4218,-0.0827,0.1419,0.0657,0.0403,0.0026,-0.1242,0.1258,0.0327,0.7557,1.5322,0.6289,-0.0344,0.0286,-0.0247,1.1255,1.2173,-0.0759,0.51,-0.0191,1.2597,-0.0183,0.9973,-0.2285,0.0507,-0.0015,0.4529,0.0966,-0.0669,-0.0235,BRCACancer
Utah__B08,0.4649,0.0027,0.1067,0.019,0.1055,-0.0396,-0.1114,0.0508,-0.0243,0.6875,1.3372,0.5659,0.0695,0.1213,-0.0342,0.7078,2.0216,-0.0732,0.2555,0.2275,0.8938,-0.0355,1.0754,-0.1208,0.0279,-0.0076,0.4443,0.0243,-0.0223,0.1126,Control
Utah__B09,0.4901,-0.0542,0.1386,0.0191,0.0356,-0.0659,-0.0243,-0.1542,0.0292,0.6824,1.2912,0.3338,-0.0069,0.1723,-0.016,0.9664,1.6284,-0.1555,0.2324,0.0872,1.611,-0.0135,0.5204,-0.2378,-0.007,-0.0218,0.2084,0.0241,0.0798,-0.0205,Control
Utah__B10,0.2207,-0.0414,0.1559,0.0161,0.0216,-0.0624,-0.071,-0.037,0.033,0.4852,1.3508,0.367,-0.0166,9e-04,0.0538,0.5159,1.0726,-0.1004,0.4682,0.1963,1.346,0.0518,0.7099,-0.2303,0.0754,-0.0792,0.3642,0.0839,-0.0621,-0.1131,Control
Utah__B11,0.3685,-0.1733,0.0847,-0.0139,0.0067,0.0479,-0.1137,0.0024,-0.1244,0.6179,1.2825,0.6564,-0.0254,0.0107,0.0796,0.6579,2.3152,0.0227,0.4628,0.1929,1.0506,-0.0248,1.0291,-0.0977,0.0389,-0.0272,0.394,0.0529,-0.0478,0.2065,Control
