@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10211 numeric
@attribute 11184 numeric
@attribute 1380 numeric
@attribute 1445 numeric
@attribute 1605 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2319 numeric
@attribute 23368 numeric
@attribute 2885 numeric
@attribute 2931 numeric
@attribute 2932 numeric
@attribute 29760 numeric
@attribute 3635 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 4067 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 5290 numeric
@attribute 5293 numeric
@attribute 5295 numeric
@attribute 5336 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 572 numeric
@attribute 5788 numeric
@attribute 5894 numeric
@attribute 596 numeric
@attribute 613 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6850 numeric
@attribute 695 numeric
@attribute 7409 numeric
@attribute 8431 numeric
@attribute 975 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6002,0.8664,1.0544,0.7105,1.2739,0.4027,0.6045,0.8246,1.3744,0.2889,1.6544,1.0356,0.6542,0.8534,1.2646,0.7493,0.8186,0.8509,1.322,0.4264,0.566,1.6169,1.3241,1.4782,0.5941,0.7188,1.2834,1.3861,1.7309,1.0783,0.2521,3.0603,1.7847,1.598,0.4585,0.75,1.1294,1.3492,1.0855,1.5056,1.448,0.0075,1.0794,Control
Utah__A02,0.3429,0.7877,0.8704,0.3168,1.2378,0.3437,0.5571,0.607,1.1392,0.157,1.493,1.0351,0.4588,0.4536,1.2681,0.5121,0.6118,0.687,1.18,0.3561,0.399,1.3286,1.0956,1.1561,0.584,0.5951,0.9381,1.0792,1.6299,1.0214,0.1564,3.0621,1.5429,0.7606,0.2356,0.7973,0.9018,1.1968,0.9078,1.5412,1.3147,0.0118,1.0926,Control
Utah__A03,0.3568,0.8507,1.0732,0.2308,1.46,0.3991,0.6699,0.7634,1.2716,0.1734,1.7906,1.1356,0.6001,0.3817,1.4447,0.59,0.8493,0.726,1.5735,0.3954,0.6686,1.4291,1.2641,1.3011,0.7859,0.7523,1.2109,1.1587,1.8758,1.0584,0.1963,3.1872,1.7349,0.6724,0.4201,0.7917,1.1313,1.3816,1.2015,1.6737,1.5496,0.0463,1.2155,Control
Utah__A04,0.4955,0.8176,0.8978,0.6894,1.2797,0.3502,0.6114,0.6935,1.3239,0.1491,1.4914,0.963,0.4958,0.6523,1.3759,0.6555,0.5923,0.7783,1.3977,0.4685,0.4547,1.383,1.2342,1.4673,0.4817,0.6673,0.9279,1.2414,1.7145,1.0435,0.2622,3.3298,1.6725,0.8481,0.3162,0.7946,1.0307,1.2135,0.8709,1.424,1.283,0.0182,1.0936,Control
Utah__A05,0.4795,0.9833,0.9024,0.5374,1.4212,0.53,0.7362,0.7698,1.4793,0.2166,1.8851,1.254,0.5918,0.583,1.4136,0.6827,0.8117,0.716,1.5903,0.4397,0.4619,1.5208,1.3448,1.3057,0.7428,0.7731,1.0818,1.1595,1.9408,1.1978,0.324,3.1778,1.808,0.8722,0.4354,0.89,1.0492,1.3778,1.2336,1.7819,1.5542,-2e-04,1.0749,Control
Utah__A06,0.4153,0.8169,0.7173,0.2002,1.1991,0.3291,0.6349,0.7165,1.3241,0.187,1.5864,1.03,0.5257,0.4367,1.3554,0.6173,0.7335,0.6711,1.3721,0.306,0.425,1.4163,1.2303,1.3466,0.6112,0.6198,0.9413,0.9185,1.8446,0.9874,0.24,2.8826,1.7489,0.7888,0.3404,0.7604,0.8863,1.3318,1.1513,1.6045,1.4091,0.0231,0.9072,Control
Utah__A07,0.7253,0.802,0.8535,0.1681,1.3161,0.3756,0.5857,0.7237,1.2743,0.1717,1.89,1.0649,0.8174,0.711,1.4305,0.8001,0.9943,0.6893,1.7192,0.3424,0.6062,1.6368,1.2868,1.6128,0.6739,1.0264,1.3182,1.183,1.882,0.9702,0.246,3.4253,1.7704,1.3272,0.4033,0.7917,1.1809,1.4952,1.4313,1.6179,1.4238,0.0348,0.9851,Control
Utah__A08,1.0592,0.6995,0.8368,0.395,1.2298,0.2695,0.5257,0.7148,1.1947,0.2488,1.7425,0.9159,1.0598,0.6058,1.5328,0.9849,1.0792,0.6991,1.9024,0.3838,0.8547,1.8021,1.3083,1.7107,0.7942,1.1569,1.4563,1.5413,1.9122,0.9939,0.0928,3.5552,1.7386,1.971,0.4083,0.777,1.4746,1.4347,1.2774,1.3452,1.3149,0.0538,0.9247,Control
Utah__A09,0.7398,0.7733,0.8755,0.2039,1.2945,0.3212,0.5517,0.6732,1.2529,0.1773,1.8554,0.9837,0.707,0.5427,1.3605,0.7599,0.9655,0.6424,1.6508,0.3486,0.5867,1.4941,1.2311,1.5301,0.619,0.866,1.231,1.1713,1.8315,0.99,0.2173,3.4935,1.6393,1.6289,0.3896,0.7709,1.0011,1.3189,1.2825,1.5507,1.4389,-0.024,0.9749,Control
Utah__A10,0.7924,0.8948,0.9547,0.0964,1.2817,0.3419,0.5517,0.7126,1.2437,0.2169,1.8284,1.0466,0.907,0.4224,1.547,0.8006,1.0196,0.626,1.8161,0.3484,0.7044,1.743,1.2585,1.6455,0.6952,1.0757,1.2426,1.4321,1.9225,0.9237,0.2166,3.6895,1.7838,1.1995,0.4893,0.7829,1.3376,1.3751,1.3904,1.4132,1.3101,-0.0275,1.083,Control
