@relation data

@attribute id string
@attribute 3265 numeric
@attribute 1869 numeric
@attribute 5894 numeric
@attribute 3561 numeric
@attribute 6464 numeric
@attribute 3560 numeric
@attribute 867 numeric
@attribute 5478 numeric
@attribute 8651 numeric
@attribute 8837 numeric
@attribute 6850 numeric
@attribute 572 numeric
@attribute 9021 numeric
@attribute 3559 numeric
@attribute 22806 numeric
@attribute 5777 numeric
@attribute 596 numeric
@attribute 598 numeric
@attribute 3716 numeric
@attribute 207 numeric
@attribute 3718 numeric
@attribute 5290 numeric
@attribute 355 numeric
@attribute 6198 numeric
@attribute 1399 numeric
@attribute 356 numeric
@attribute 2885 numeric
@attribute 9111 numeric
@attribute 5595 numeric
@attribute 6777 numeric
@attribute 6776 numeric
@attribute 2353 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 6654 numeric
@attribute 4609 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.4236,0.1478,1.7841,2.5582,0.7565,1.6994,1.4692,1.6074,0.0596,1.8285,1.0836,0.2409,0.619,0.5941,1.1042,1.8033,1.5972,0.5469,1.8794,0.6157,1.7342,1.5746,1.2188,1.1348,2.0291,0.3799,1.6355,1.7433,1.0952,1.495,1.2133,2.8919,1.8406,1.4982,1.1256,1.4375,1.76,Control
A02,0.3716,-0.0079,1.5394,2.4587,0.8046,1.8945,1.3404,1.2289,-0.1021,1.624,0.9151,0.1478,0.4328,0.2311,1.0005,1.8803,0.7857,0.4995,1.6629,0.5686,1.3696,1.3014,1.1728,0.9374,1.9507,0.5183,1.481,1.666,1.0379,1.0726,1.1168,1.0722,2.0413,1.1993,0.9005,1.0182,1.6579,Control
A03,0.3757,0.1982,1.7337,2.5504,0.7989,2.1755,1.4201,1.4168,-0.0609,1.8985,1.1936,0.1867,0.8413,0.2004,1.0457,1.95,0.7002,0.6583,1.8002,0.6805,1.5721,1.3967,1.7579,1.0488,2.0362,0.7143,1.7658,1.9912,1.0752,1.2059,1.269,2.3576,2.162,1.3339,1.1275,0.8555,1.9065,Control
A04,0.3609,0.0725,1.6705,2.5504,0.8019,2.0649,1.3018,1.4363,0.1671,1.6301,0.88,0.2507,1.3056,0.2505,0.9439,1.8859,0.8705,0.4147,1.964,0.6225,1.63,1.353,1.1105,0.9145,2.0492,0.4295,1.4795,1.437,1.0602,1.2032,1.1765,1.55,2.0983,1.4882,1.028,1.35,1.7434,Control
A05,0.4772,0.2314,1.8077,2.2802,0.8988,2.2852,1.5154,1.2753,0.0527,1.7826,1.2241,0.3108,0.9278,0.3345,0.8828,2.0105,0.8938,0.5794,1.8971,0.7463,1.5472,1.4836,1.3166,1.0517,2.1796,0.4764,1.8562,1.7722,1.2157,1.2305,1.3211,1.9884,2.0939,1.3381,1.0464,1.0965,1.9721,Control
A06,0.2467,0.1291,1.7479,2.1881,0.7671,2.3722,1.3978,1.3227,0.0167,1.6482,1.146,0.2291,0.857,0.2119,0.7811,1.823,0.813,0.4694,1.8036,0.6458,1.2322,1.3845,1.1905,1.024,1.9476,0.5191,1.5705,1.4601,1.0037,1.1159,1.129,3.0931,1.9853,1.3761,0.8852,1.2048,1.8749,Control
A07,0.364,0.0777,1.7697,2.3519,0.7989,2.1297,1.5784,1.3363,-0.005,1.9022,1.4117,0.2349,0.5311,0.3066,1.0344,1.8362,1.3348,0.6185,2.0093,0.597,1.3739,1.5934,1.1215,1.1139,2.0664,0.6059,1.8609,1.7115,0.9863,1.3173,1.0809,2.7085,1.9624,1.6231,1.1765,1.1245,1.9127,Control
A08,0.2967,0.1985,1.7375,2.2568,0.784,2.095,1.5716,1.297,-0.0957,1.9455,1.2657,0.086,0.493,0.4718,1.1568,1.6778,1.9587,0.6098,2.2698,0.5375,1.2857,1.7501,1.1471,1.1814,1.7358,0.5321,1.7198,1.5533,1.0102,1.3652,1.023,1.7156,2.0579,1.714,1.467,1.0832,1.9432,Control
A09,0.349,0.128,1.637,2.5254,0.7778,1.8858,1.523,1.1969,0.0082,1.6857,1.2705,0.207,0.7608,0.3707,0.9876,1.8256,1.6272,0.5295,1.9491,0.5633,1.4313,1.4582,1.2318,1.0737,2.0087,0.3795,1.8278,1.4492,1.0062,1.2773,1.0927,2.2374,1.976,1.5464,0.9988,1.1598,1.8616,Control
A10,0.398,0.1218,1.7832,2.5165,0.79,1.9013,1.4811,1.2589,-0.0182,2.0584,1.3728,0.2064,0.9115,0.2985,1.1468,1.8519,1.211,0.6749,2.0508,0.5633,1.4774,1.6941,1.4348,1.0955,1.9823,0.6478,1.802,1.6445,0.9394,1.2687,1.0601,3.1715,2.115,1.6535,1.3316,0.9502,1.9537,Control
A11,0.2904,0.058,1.2804,2.3725,0.5794,2.1752,1.2882,0.8773,-0.0811,1.4291,1.1063,0.1519,0.564,0.2348,1.1209,1.7032,1.1887,0.4353,1.6694,0.54,1.2358,1.2025,1.1224,1.0241,1.9002,0.4246,1.5523,1.1023,0.9926,1.1274,0.8919,2.8363,1.5981,1.2442,0.7415,0.9858,1.8347,Control
