@relation data

@attribute id string
@attribute 10059 numeric
@attribute 112 numeric
@attribute 115 numeric
@attribute 1173 numeric
@attribute 1175 numeric
@attribute 1211 numeric
@attribute 1212 numeric
@attribute 1213 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 163 numeric
@attribute 1759 numeric
@attribute 1785 numeric
@attribute 2099 numeric
@attribute 23236 numeric
@attribute 23439 numeric
@attribute 26052 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 3816 numeric
@attribute 3817 numeric
@attribute 476 numeric
@attribute 477 numeric
@attribute 478 numeric
@attribute 480 numeric
@attribute 481 numeric
@attribute 482 numeric
@attribute 483 numeric
@attribute 486 numeric
@attribute 490 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5613 numeric
@attribute 56302 numeric
@attribute 5745 numeric
@attribute 624 numeric
@attribute 6546 numeric
@attribute 7421 numeric
@attribute 793 numeric
@attribute 8218 numeric
@attribute 8766 numeric
@attribute 9365 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.3254,0.0494,0.2911,1.3909,0.6911,0.9562,0.9227,1.9611,0.9412,0.6255,0.9924,0.0635,1.0588,0.0185,0.4579,-0.1192,0.1153,0.6485,0.7306,0.0841,0.1445,1.9205,-0.0116,0.1534,-0.0591,0.2629,0.0986,0.597,0.155,2.2613,1.7231,0.5973,-0.0566,0.945,1.1287,-0.1227,0.5534,1.0586,-0.0574,1.142,-0.1024,-0.1076,-0.0233,0.5013,0.4823,-0.1121,0.1188,2.423,-0.0685,Control
A02,1.0891,-0.0038,0.2222,1.3965,0.7446,0.8153,0.9643,1.9152,0.9788,0.4449,0.7956,0.0091,0.9026,0.0714,0.2609,-0.0901,0.1232,0.2358,0.5967,0.166,0.0716,1.7199,0.0139,0.1559,-0.0327,0.1925,0.0632,0.4026,0.0919,1.8705,1.687,0.5059,-0.0793,0.8462,0.9806,-0.1089,0.2001,0.7032,-0.1301,0.9562,-0.0847,0.0057,-0.0502,0.4411,0.2794,-0.1585,0.0446,2.6697,-0.1115,Control
A03,1.3067,0.0352,0.4127,1.4416,0.842,1.0403,1.1109,2.0885,1.1465,0.5451,0.9877,0.1096,1.0805,0.0196,0.3328,-0.1908,0.0682,0.4627,0.6975,0.0915,0.0937,1.7266,0.0187,0.2921,-0.1619,0.4242,0.1425,0.6436,0.2697,2.2847,2.0214,0.7325,-0.1062,1.0405,0.9935,-0.0955,0.1966,0.9762,-0.1328,1.0907,-0.0333,-0.0101,-0.0727,0.7211,0.5146,-0.1879,0.0283,2.3727,-0.0293,Control
A04,1.0689,0.0731,0.2531,1.5436,0.868,0.7203,1.0789,1.8032,0.9386,0.4737,0.7969,0.0915,0.9491,0.0268,0.219,-0.0747,0.0702,0.3177,0.6569,-0.0213,0.0842,1.8895,3e-04,0.1544,-0.1366,0.1735,0.088,0.4198,0.1591,2.1022,1.6421,0.5226,-0.07,0.8362,1.1638,-0.1322,0.3061,0.82,0.0051,0.9348,-0.0443,0.0369,-0.0798,0.3564,0.252,-0.1454,-0.0216,2.6997,-0.0065,Control
A05,1.2609,0.1343,0.3876,1.6424,1.0439,0.9985,1.1544,2.0685,1.2436,0.6169,0.9036,0.1472,1.0811,0.0372,0.4891,-0.0958,0.1395,0.4844,0.6767,0.1521,0.0389,1.7567,0.021,0.1267,-0.1154,0.3592,0.0317,0.4479,0.1088,2.2919,1.8765,0.8434,-0.0587,1.1378,1.0454,-0.0826,0.3059,0.9512,-0.0102,1.0738,-0.0866,0.0279,-0.0954,0.6528,0.5542,-0.1309,0.1711,2.95,0.0407,Control
A06,1.216,0.0107,0.2854,1.4526,0.7534,0.9842,0.9366,1.9611,1.0622,0.4861,0.9066,0.0503,0.9801,-0.0232,0.3865,-0.1137,0.0802,0.3651,0.5918,0.0529,0.1491,1.7363,-0.0166,0.0378,-0.1235,0.2216,-0.0092,0.5724,0.0847,2.2189,1.7549,0.6445,-0.0795,1.0087,0.8785,-0.1543,0.296,0.9045,-0.1858,1.0469,-0.0568,-0.0543,-0.0474,0.4262,0.4241,-0.1708,0.1688,2.3149,0.092,Control
A07,1.3226,0.0219,0.3257,1.5088,0.7397,1.2881,1.0014,2.1088,1.064,0.5502,1.0412,-0.015,1.0425,0.0611,0.8525,-0.1465,0.0911,0.8957,0.6707,0.074,0.0928,1.8629,0.0114,0.0533,-0.0133,0.2765,-0.0429,0.6683,0.1108,2.3984,1.796,0.6633,-0.0871,0.903,1.1356,-0.131,0.5102,1.3099,-0.1581,1.0479,-0.0224,-3e-04,-0.0926,1.147,0.4408,-0.158,0.0617,2.5597,-0.0699,Control
A08,1.3298,0.0594,0.3097,1.3102,0.5712,1.107,0.8585,2.0191,0.9477,0.565,1.1033,-0.0242,1.0763,0.0159,0.6443,-0.1142,0.0637,1.0393,0.6901,-0.0058,0.1352,1.9917,0.0111,0.0971,-0.1926,0.2474,0.1049,0.6405,0.193,2.4013,1.7709,0.4362,-0.0906,0.9887,1.1812,-0.03,0.8364,1.4137,-0.1612,1.0982,-0.1056,-0.1368,0.0116,1.1858,0.3853,-0.126,0.0283,2.0777,-0.1137,Control
A09,1.3197,0.0714,0.2174,1.4113,0.7881,1.2065,0.9574,2.0278,0.9538,0.5189,0.968,0.0657,1.0059,0.0762,0.7299,-0.1264,0.1161,0.8753,0.6175,0.1117,0.1068,1.8483,0.0178,0.0442,-0.0708,0.1608,-0.06,0.5272,0.2189,2.4454,1.6671,0.6203,-0.0575,1.0256,1.096,-0.2464,0.5718,1.2508,-0.1546,1.0489,0.0119,5e-04,-0.0411,1.0106,0.4209,-0.129,0.0368,2.6146,-0.096,Control
A10,1.3876,0.1067,0.3596,1.4946,0.839,1.2309,1.0332,2.1007,0.9104,0.5151,1.0609,0.0907,1.0237,0.0032,0.9457,-0.1005,0.1494,0.8224,0.6986,0.1913,0.1023,1.808,-0.0321,0.1625,-0.1426,0.2457,0.0287,0.8139,0.1483,2.1782,1.7443,0.5606,-0.0546,0.9363,1.2467,-0.1022,0.3781,1.3167,-0.0174,1.0175,-0.041,-0.0262,-0.0441,1.0871,0.3709,-0.1114,0.1636,2.6093,-0.0727,Control
