@relation data

@attribute id string
@attribute 4208 numeric
@attribute 27043 numeric
@attribute 10891 numeric
@attribute 2033 numeric
@attribute 2071 numeric
@attribute 2099 numeric
@attribute 8841 numeric
@attribute 190 numeric
@attribute 55869 numeric
@attribute 8204 numeric
@attribute 10014 numeric
@attribute 23013 numeric
@attribute 79885 numeric
@attribute 10011 numeric
@attribute 23426 numeric
@attribute 6908 numeric
@attribute 1387 numeric
@attribute 10013 numeric
@attribute 2957 numeric
@attribute 595 numeric
@attribute 51564 numeric
@attribute 9612 numeric
@attribute 672 numeric
@attribute 9734 numeric
@attribute 9759 numeric
@attribute 5469 numeric
@attribute 10498 numeric
@attribute 2962 numeric
@attribute 2960 numeric
@attribute 3065 numeric
@attribute 3066 numeric
@attribute 5430 numeric
@attribute 11331 numeric
@attribute 83933 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.9236,0.6772,-0.0929,1.9196,0.9639,0.0185,0.8237,-0.169,0.2479,2.2153,0.7477,1.4407,0.1204,1.0053,-0.0152,1.2445,1.4764,0.8502,1.4785,0.1356,0.7346,0.3969,0.2142,0.2573,0.2234,1.9677,0.4629,0.9239,0.4251,1.2989,0.8954,1.5867,1.024,0.3163,Control
A02,0.6974,0.4135,-0.0818,1.7075,0.7176,0.0714,0.6863,-0.1882,0.13,2.0606,0.5898,1.2416,0.1507,0.7454,-0.1007,1.0213,1.2354,0.5787,1.2231,0.1049,0.5389,0.3246,0.0494,0.1931,0.2196,1.7567,0.4114,0.7645,0.4821,1.1527,0.6902,1.4247,0.7243,0.2501,Control
A03,0.8021,0.5507,-0.0916,1.9357,0.9385,0.0196,0.7133,-0.1622,0.189,2.2957,0.7487,1.3943,0.1999,1.0122,-0.1294,1.1671,1.4513,0.7424,1.3163,0.1251,0.6286,0.4966,0.1132,0.1999,0.3025,1.8655,0.5541,0.9173,0.4997,1.2144,0.795,1.6028,0.8082,0.3652,Control
A04,0.9031,0.5812,-0.0825,1.6503,0.7658,0.0268,0.6251,-0.1518,0.1063,2.0424,0.6878,1.3478,0.1598,0.7893,-0.1012,1.1535,1.2933,0.6175,1.2641,0.2164,0.6143,0.4337,0.0196,0.2223,0.2157,1.6815,0.4363,0.8758,0.449,1.1834,0.7414,1.4929,0.9813,0.3629,Control
A05,0.9885,0.5559,-0.0874,1.9547,0.8599,0.0372,0.7879,-0.1626,0.2001,2.1772,0.8489,1.5222,0.1626,1.0769,-0.0367,1.2012,1.4436,0.8655,1.3618,0.1872,0.7097,0.5185,0.17,0.3055,0.2746,1.929,0.5642,1.0592,0.4793,1.148,0.8598,1.6063,0.922,0.4406,Control
A06,0.8475,0.4824,-0.015,1.8403,0.7976,-0.0232,0.6994,-0.2061,0.1869,2.6075,0.6488,1.3608,0.1021,0.9413,-0.0799,1.1019,1.3768,0.6692,1.2931,0.0491,0.5774,0.396,0.0774,0.1777,0.2177,1.8356,0.3928,0.9599,0.4332,1.0502,0.7525,1.4852,0.9105,0.2746,Control
A07,1.1251,0.5471,-0.0593,1.9418,0.8856,0.0611,0.7627,-0.1528,0.3287,2.2259,0.696,1.3663,0.1441,1.0031,-0.0619,1.1302,1.4744,0.6709,1.4086,0.1216,0.6551,0.3945,0.1321,0.4901,0.3325,1.8175,0.4001,0.9639,0.5449,1.267,0.8542,1.5124,0.9169,0.2825,Control
A08,1.0175,0.5607,-0.081,2.0295,0.9227,0.0159,0.7106,-0.1937,0.449,2.1727,0.6378,1.48,0.0951,0.7661,-0.0557,1.1619,1.5962,0.6311,1.2918,0.0853,0.7597,0.4251,0.1212,0.5038,0.3599,1.6237,0.3489,0.7215,0.4575,1.1156,0.8755,1.6185,0.8202,0.2707,Control
A09,0.8946,0.5222,-0.0675,1.9327,0.8179,0.0762,0.6571,-0.2089,0.2821,2.0653,0.6879,1.2544,0.1611,0.7624,-0.0737,1.0669,1.4502,0.6547,1.3205,0.0974,0.6069,0.3846,0.0776,0.2756,0.3022,1.8494,0.3861,0.9838,0.4096,1.1611,0.7082,1.4899,0.8502,0.2589,Control
A10,1.0239,0.485,-0.0507,1.9649,0.9627,0.0032,0.7322,-0.114,0.356,1.9743,0.7212,1.4119,0.189,0.8247,-0.0688,1.1655,1.5075,0.6614,1.3235,0.1256,0.6111,0.4318,0.1539,0.42,0.3037,1.7964,0.4504,0.8506,0.5377,1.1672,0.8075,1.5522,0.8735,0.2892,Control
A11,0.5913,0.4714,-0.0852,1.7953,0.5847,0.0087,0.5616,-0.2119,0.2532,1.7121,0.6279,1.0143,0.1047,0.527,-0.068,0.8241,1.3339,0.5528,1.2329,0.118,0.4756,0.3381,0.1022,0.2432,0.1398,1.7375,0.3245,0.9439,0.3463,0.9834,0.5902,1.4025,0.9003,0.2554,Control
A12,0.4295,0.2444,0.0032,1.0459,0.5256,0.028,0.569,-0.1472,0.0031,1.404,0.4371,0.808,0.1777,0.5514,-0.1128,0.75,0.7983,0.3987,0.708,0.002,0.2682,0.1734,-0.0193,0.1444,0.2215,1.1594,0.1347,0.5304,0.381,0.8779,0.5242,0.7673,0.6117,0.1199,Control
B01,0.6746,0.4876,-0.0173,1.7251,0.8259,0.0023,0.7127,-0.2263,0.2396,2.2014,0.4749,1.1844,0.1385,0.887,-0.0459,1.161,1.305,0.6171,1.2054,-0.198,0.5112,0.1406,0.058,0.186,0.1405,1.5683,0.1712,0.6221,0.3588,1.0156,0.7725,1.3474,0.8196,0.1124,Control
B02,0.7065,0.6303,-0.1006,1.784,0.9664,0.0126,0.889,-0.0981,0.1669,2.1569,0.7389,1.3097,0.1633,1.0502,-0.0291,1.2269,1.342,0.7569,1.3753,0.1092,0.6939,0.404,0.0105,0.1412,0.2183,1.8635,0.4487,0.9797,0.4487,1.2668,0.8189,1.5897,1.0457,0.3834,Control
B03,0.7226,0.5692,-0.0047,1.7618,0.946,-0.0472,0.8141,-0.1841,0.2147,1.9516,0.6146,1.2499,0.052,0.9652,-0.0134,1.1622,1.3124,0.6815,1.3079,0.0353,0.6202,0.3504,0.0621,0.1938,0.1768,1.7099,0.3624,0.8378,0.4847,1.2122,0.8089,1.4671,0.9077,0.2382,BRCACancer
