@relation data

@attribute id string
@attribute 1003 numeric
@attribute 103910 numeric
@attribute 10398 numeric
@attribute 10411 numeric
@attribute 10451 numeric
@attribute 10627 numeric
@attribute 10686 numeric
@attribute 11069 numeric
@attribute 1364 numeric
@attribute 1365 numeric
@attribute 1366 numeric
@attribute 137075 numeric
@attribute 1432 numeric
@attribute 149461 numeric
@attribute 1495 numeric
@attribute 1496 numeric
@attribute 1499 numeric
@attribute 1500 numeric
@attribute 1535 numeric
@attribute 1536 numeric
@attribute 2185 numeric
@attribute 23533 numeric
@attribute 23562 numeric
@attribute 24146 numeric
@attribute 26285 numeric
@attribute 27035 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 2909 numeric
@attribute 29119 numeric
@attribute 29895 numeric
@attribute 3383 numeric
@attribute 3676 numeric
@attribute 3683 numeric
@attribute 3684 numeric
@attribute 3688 numeric
@attribute 3689 numeric
@attribute 3702 numeric
@attribute 387 numeric
@attribute 394 numeric
@attribute 399 numeric
@attribute 4301 numeric
@attribute 4313 numeric
@attribute 4318 numeric
@attribute 4478 numeric
@attribute 4633 numeric
@attribute 4636 numeric
@attribute 4688 numeric
@attribute 4689 numeric
@attribute 4950 numeric
@attribute 49861 numeric
@attribute 5010 numeric
@attribute 50508 numeric
@attribute 50848 numeric
@attribute 51208 numeric
@attribute 5175 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 53842 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5600 numeric
@attribute 5603 numeric
@attribute 5747 numeric
@attribute 5781 numeric
@attribute 5829 numeric
@attribute 58494 numeric
@attribute 58498 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5906 numeric
@attribute 5908 numeric
@attribute 60 numeric
@attribute 6093 numeric
@attribute 6300 numeric
@attribute 6387 numeric
@attribute 6494 numeric
@attribute 7070 numeric
@attribute 71 numeric
@attribute 7122 numeric
@attribute 7294 numeric
@attribute 7408 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 7412 numeric
@attribute 7414 numeric
@attribute 7430 numeric
@attribute 7852 numeric
@attribute 81 numeric
@attribute 83593 numeric
@attribute 83700 numeric
@attribute 8503 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 9071 numeric
@attribute 9073 numeric
@attribute 9075 numeric
@attribute 9076 numeric
@attribute 9080 numeric
@attribute 90952 numeric
@attribute 93408 numeric
@attribute 9475 numeric
@attribute 9564 numeric
@attribute 998 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.0808,0.8235,0.6685,0.0357,0.7388,1.825,0.0656,-0.078,-0.1841,0.1236,0.0247,-0.3196,1.4426,0.1255,0.3696,-0.1063,2.1612,0.7897,1.4613,2.933,1.1554,1.3891,0.0073,0.1705,-8e-04,-0.1638,0.0556,0.7272,1.6236,0.7234,-0.1075,-0.1553,0.79,2.6951,2.0644,1.6048,2.4355,2.2417,2.6708,0.7773,0.8375,1.6164,0.2281,-0.1618,0.1198,0.7968,-0.1341,-0.1227,2.4812,0.788,-0.1942,-0.0982,-0.0014,-0.105,1.2837,-0.1076,1.7178,1.6169,1.5303,1.3241,1.8391,1.4782,0.1982,1.7289,0.5941,-0.0189,0.5523,1.0332,-0.0542,-0.0276,0.9875,0.2618,0.5364,0.9824,-0.0296,-0.1342,0.6432,1.5768,1.315,1.7268,2.0546,1.5327,-0.1615,-0.0801,0.984,-0.0823,1.4479,0.4809,1.7439,0.5878,1.448,0.1913,-0.0219,1.2043,1.8247,2.7383,0.7836,0.863,0.3912,0.1026,0.9737,-0.0417,-0.0335,-0.1402,-0.0318,-0.1639,-0.1586,-0.0931,0.2473,-0.1105,1.0287,0.035,1.3608,Control
Utah__A02,-0.1038,0.4186,0.6838,-0.0034,0.5864,1.4309,0.0461,-0.0297,-0.2418,0.2071,-0.0877,-0.1325,1.1508,0.286,0.306,-0.0642,1.955,0.6164,1.4757,3.2387,0.9821,1.0974,0.0113,0.1761,-0.0868,-0.1935,0.0367,0.7901,1.6473,0.4701,-0.1292,-0.2251,0.9536,2.442,2.2302,1.728,2.1547,2.3892,1.8792,0.5327,0.584,0.9687,0.1015,-0.222,0.0651,0.5397,-0.12,-0.1128,2.6353,0.55,-0.0944,-0.0293,0.0913,-0.0655,1.1467,-0.0562,1.7968,1.3286,1.3861,1.0956,2.0614,1.1561,0.1599,1.2376,0.584,-0.0767,0.1715,0.6697,-0.1266,-0.0188,0.9234,0.117,0.3842,0.7957,-0.0634,-0.0264,0.4992,1.469,1.019,1.2306,1.7714,1.2476,-0.0835,-0.0479,0.9144,-0.0813,1.1003,0.4922,0.8301,0.5755,1.3147,0.1135,0.0198,1.1346,1.6885,2.4067,0.7164,0.7162,0.2124,0.1135,0.7412,-0.0217,-0.0834,-0.1244,0.0018,-0.1944,-0.1611,-0.1704,0.2134,1e-04,0.7721,0.0546,1.0773,Control
Utah__A03,-0.1262,0.8025,0.6669,0.0588,0.6968,1.4506,-0.0054,-0.0286,-0.0562,0.0725,-9e-04,-0.0933,1.3711,0.1979,0.5058,-0.0794,2.2554,0.9324,1.5017,3.346,1.1527,1.5442,-0.006,0.1913,-0.0973,-0.1861,0.0398,0.9144,1.7222,0.6574,-0.13,-0.1946,1.167,2.7204,2.4692,1.971,2.3137,2.5258,2.0684,0.88,0.5112,1.213,0.2282,-0.1843,0.0049,0.8422,-0.0413,0.0331,2.6823,0.9503,-0.1418,0.0248,0.0211,-0.0808,1.1272,-5e-04,1.9943,1.4291,1.4305,1.2641,2.1951,1.3011,0.2603,1.3242,0.7859,-0.1224,0.1678,0.9489,-0.1293,0.0192,0.9564,0.1482,0.4604,1.0696,-0.0918,-0.0188,0.7305,1.5848,1.1662,1.7721,2.074,1.5227,-0.0697,0.037,1.0991,-0.0748,1.1474,0.4096,0.986,0.8465,1.5496,0.2634,0.199,1.3432,2.0571,2.2048,0.9609,0.8749,0.2049,0.2773,0.7108,-0.0262,-0.0237,-0.1196,0.0349,-0.1244,-0.1477,-0.1126,0.2211,-0.0296,0.9926,0.0159,1.3643,Control
Utah__A04,-0.0294,0.5527,0.7458,0.0273,0.644,1.247,-0.044,-0.0458,-0.171,0.3524,-0.1252,-0.0741,1.2559,0.2553,0.332,-0.0786,2.1372,0.5469,1.1984,3.038,1.0681,1.3239,0.0884,0.2489,-0.1146,-0.1768,0.0206,0.8831,1.7702,0.4911,-0.101,-0.0367,0.8171,2.7132,2.1507,1.7924,2.3772,2.442,2.4008,0.4995,0.6365,1.3034,0.2726,-0.1747,0.1395,0.6589,-0.033,0.0126,2.7057,0.6436,-0.0624,0.0145,-0.0361,-0.0907,1.2002,-0.0534,1.6718,1.383,1.3728,1.2342,2.1245,1.4673,0.2795,1.312,0.4817,0.0264,0.2858,0.7891,0.0079,0.1305,1.0754,0.1496,0.3807,0.8875,0.0145,0.0092,0.4506,1.5612,1.0589,1.2913,1.9573,1.1775,0.0483,-0.0251,1.044,-0.1101,1.216,0.5721,1.2918,0.6032,1.283,0.1301,-0.0567,1.3219,1.885,3.1705,0.7915,0.7949,0.3622,0.0439,0.7961,-0.0176,0.0364,-0.1291,0.064,-0.111,-0.163,-0.1631,0.2578,-0.0571,0.9147,0.0993,1.2398,Control
Utah__A05,-0.0843,0.4384,0.942,0.0544,0.8571,1.394,-0.114,-0.0785,-0.1839,0.2745,-0.0096,-0.0259,1.5137,0.0753,0.5316,-0.0902,2.1443,0.9,1.5538,3.5,1.2178,1.5325,0.0174,0.2261,-0.0357,-0.1185,0.0468,1.0479,1.7758,0.6165,-0.0963,-0.045,1.2053,2.5696,2.1709,2.2744,2.205,2.6261,2.0103,0.6563,0.6071,1.2368,0.2206,-0.1301,0.1574,0.794,-0.0671,0.0033,3.0786,1.1677,-0.067,-0.0115,0.0027,-0.0702,1.5652,-0.0521,2.0442,1.5208,1.8135,1.3448,2.1197,1.3057,0.3911,1.2008,0.7428,-0.0657,0.2856,0.9233,-0.0072,0.0999,0.9611,0.2717,0.4661,1.1601,-0.0221,-0.0841,0.6788,1.5812,1.0745,1.5557,2.0522,1.4139,0.0263,0.0077,1.1765,-0.0564,1.2712,0.7668,1.4189,0.8835,1.5542,0.2084,-0.081,1.5598,1.8041,2.5694,0.9421,0.8388,0.5319,0.1894,0.9764,-0.0468,0.0365,-0.0914,0.0499,-0.1335,-0.1344,-0.0251,0.4273,-0.0604,1.0051,0.0991,1.3013,Control
Utah__A06,-0.1218,0.6725,0.7609,0.0439,0.7849,1.3803,0.0584,-0.0459,-0.1271,0.1216,-0.0097,-0.1724,1.2007,0.0654,0.3789,-0.0512,2.0873,0.7576,1.4725,3.3625,1.1114,1.4078,-0.0881,0.1428,-0.1029,-0.1556,0.0662,0.8297,1.6727,0.5737,-0.1193,-0.2383,0.8925,2.2539,1.9944,2.3146,2.008,2.4693,1.9,0.5764,0.5533,1.0791,0.2172,-0.1819,-0.0969,0.698,1e-04,0.0204,2.8476,0.8148,-0.1365,0.0359,-0.0166,-0.0703,1.1971,0.0066,1.7947,1.4163,1.4187,1.2303,1.9994,1.3466,0.1824,1.1962,0.6112,-0.0768,0.2749,0.8755,-0.1821,-0.0898,0.8385,0.1119,0.4744,0.9242,-0.0331,-0.0811,0.5315,1.5216,0.9034,1.3432,1.849,1.2959,-0.1287,0.0012,1.0659,-0.0713,1.1909,0.3731,1.416,0.6131,1.4091,0.1414,-0.084,1.3027,1.533,3.0388,0.8181,0.7672,0.3287,0.1109,0.8308,-0.0135,-0.0588,-0.1405,0.0524,-0.1769,-0.1247,-0.2475,0.2006,-0.042,0.832,0.0867,1.1447,Control
Utah__A07,-0.0792,0.5644,0.5941,-0.0012,0.9519,1.4449,-0.0427,-0.0303,-0.1043,0.0699,-0.1125,-0.0861,1.592,0.2814,0.5003,-0.0695,2.27,1.0504,1.3394,3.4941,1.2608,1.3584,-0.0227,0.1996,-0.1564,-0.2161,0.0378,0.9487,1.7805,0.6057,-0.1435,-0.2212,0.8816,2.7415,2.1767,1.8592,2.4902,2.3566,2.2004,0.8147,0.8796,1.4807,0.1547,-0.2129,0.0336,1.156,-0.0715,-0.0662,2.8106,0.8027,-0.1025,0.0155,-0.0054,-0.0407,1.2493,-0.0211,2.1193,1.6368,1.5148,1.2868,1.974,1.6128,0.1921,1.2837,0.6739,-0.1387,0.5058,1.2903,-0.1545,-0.077,0.9238,0.2084,0.516,0.9822,-0.1108,-0.0129,0.7067,1.6623,1.4904,2.0663,1.8057,1.5516,-0.1294,-0.1438,1.0128,-0.0915,1.1428,0.4838,1.7392,0.7666,1.4238,0.1986,-0.0193,1.4129,1.8492,2.2633,0.9035,0.9195,0.2582,0.2134,0.8188,-0.0435,-0.0656,-0.1753,0.0355,-0.2349,-0.0998,-0.1318,0.1714,-0.0517,1.0204,0.0626,1.5858,Control
Utah__A08,-0.0509,0.5922,0.4908,0.0569,1.1379,1.4698,-0.0334,-0.0606,-0.2927,-0.0547,-0.0065,-0.338,1.6309,0.0891,0.5196,-0.1033,2.3026,0.9744,1.2587,2.9423,1.2676,1.3062,0.075,0.0827,-0.2664,-0.1138,-0.0073,0.8193,1.4616,0.7061,-0.0956,-0.2702,0.8275,3.0939,2.21,1.5443,2.3245,2.0667,2.5497,0.8852,1.0252,1.8665,0.2841,-0.1463,-0.0576,1.2052,-0.0384,-0.1337,2.3514,0.5586,-0.153,-0.1506,0.0175,-0.0804,0.9868,-0.0852,2.0131,1.8021,1.5358,1.3083,2.0798,1.7107,0.159,1.4764,0.7942,-0.1084,0.8574,1.3963,-0.1576,-0.0922,0.7799,0.2121,0.6002,0.9706,-0.0341,-0.1024,0.7992,1.4029,1.7261,2.5238,1.5955,1.5885,-0.107,-0.0913,0.897,-0.0306,0.8676,0.1768,2.1544,0.5471,1.3149,0.1921,-0.0924,1.1606,1.7269,2.3018,0.799,0.8521,0.3029,0.2596,0.8067,-0.0501,-0.0916,-0.1696,0.0345,-0.0555,-0.1829,-0.2496,0.0598,-0.1503,0.9993,0.0832,1.6994,Control
Utah__A09,-0.1413,0.3808,0.8433,-0.011,0.6254,1.4799,0.0252,-0.0274,-0.1875,0.2755,-0.1014,-0.1171,1.435,0.2439,0.419,-0.064,2.2015,0.905,1.2681,3.4593,1.1629,1.3303,-0.0194,0.1522,-0.093,-0.1049,-0.0253,0.8051,1.6031,0.6299,-0.1041,-0.1708,0.8318,2.8372,2.0957,1.6578,2.6012,2.3276,2.3924,0.5829,0.7676,1.3578,0.1509,-0.1612,-0.0262,0.9991,-0.0611,-0.081,2.6372,0.8346,-0.0888,0.0182,0.0682,-0.0915,1.2468,-0.0231,2.06,1.4941,1.4418,1.2311,1.9891,1.5301,0.1611,1.3678,0.619,0.0138,0.5722,1.2298,-0.151,-0.0205,0.8347,0.2016,0.4408,0.8954,-0.0858,0.0206,0.5778,1.4845,1.2507,2.0215,1.7708,1.5046,-0.0855,-0.0705,0.9887,-0.0603,1.0416,0.5468,1.584,0.5791,1.4389,0.1807,-0.0209,1.3941,1.6653,2.5748,0.7729,0.8521,0.5718,0.1167,0.8507,-0.0362,-0.0372,-0.1361,0.0378,-0.128,-0.1145,-0.0678,0.2389,-0.0437,0.8836,0.0696,1.4239,Control
Utah__A10,-0.043,0.5178,1.1692,0.0359,1.0645,1.5152,0.0615,-0.0819,-0.1745,0.1074,-0.072,-0.1384,1.7367,0.0704,0.552,-0.0808,2.3949,0.8102,1.3794,3.453,1.4018,1.3987,0.0426,0.1941,-0.1773,-0.1159,0.1148,0.8443,1.7231,0.7234,-0.1136,-0.1308,1.0294,2.9398,2.3107,2.0385,2.7505,2.3465,2.3739,0.7836,0.6923,1.5322,0.1312,-0.1861,0.1122,1.1742,-0.0445,-0.0252,2.8865,0.8922,-0.0849,0.0056,0.0099,-0.0665,1.3405,-0.0173,1.9358,1.743,1.7142,1.2585,2.143,1.6455,0.2578,1.2566,0.6952,-0.0698,0.3634,1.2971,-0.0144,-0.0018,0.996,0.2453,0.5,1.0213,-0.036,-0.093,0.709,1.5632,1.5275,2.0538,1.8249,1.4727,0.0165,-0.0062,1.0005,-0.0556,1.1141,0.6372,1.2925,0.7118,1.3101,0.1442,0.053,1.6078,1.8408,2.2828,0.977,0.8899,0.8072,0.3257,0.9428,-0.0463,-0.0031,-0.1452,-0.0121,-0.1816,-0.1653,-0.0705,0.2642,-0.0832,1.1945,0.0995,1.6004,Control
