@relation data

@attribute id string
@attribute 1363 numeric
@attribute 2571 numeric
@attribute 2572 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3118 numeric
@attribute 3122 numeric
@attribute 3127 numeric
@attribute 3133 numeric
@attribute 3134 numeric
@attribute 3135 numeric
@attribute 3329 numeric
@attribute 3382 numeric
@attribute 3458 numeric
@attribute 355 numeric
@attribute 3552 numeric
@attribute 3553 numeric
@attribute 3558 numeric
@attribute 356 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 4049 numeric
@attribute 5551 numeric
@attribute 5798 numeric
@attribute 5799 numeric
@attribute 7124 numeric
@attribute 940 numeric
@attribute 941 numeric
@attribute 942 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.1357,-0.0736,-0.1295,1.7846,2.2176,0.6063,2.9699,1.5611,0.0501,3.0674,1.0727,3.4708,2.4355,0.2695,0.5104,0.0113,0.7042,1.2188,-0.0078,1.5431,-0.0738,0.3799,0.0145,-0.0544,0.3202,2.1925,-0.0777,-0.065,0.4149,2.0683,0.3386,0.8489,Control
A02,-0.0705,-0.0212,-0.1263,1.9155,2.3118,0.5192,3.1911,1.4482,0.257,3.5593,1.0652,3.5774,2.4089,0.6941,0.375,7e-04,1.5545,1.1728,0.1551,0.7913,0.0386,0.5183,-0.0023,-0.0555,0.0918,3.0505,0.0509,-4e-04,0.4378,1.3671,0.1308,0.8305,Control
A03,-0.0744,-0.0504,-0.1775,2.1584,2.2874,0.5935,3.1864,1.7361,0.0848,3.2594,0.2925,3.4461,2.5091,0.5087,0.447,0.0151,2.0921,1.7579,-0.0362,0.9227,-0.0552,0.7143,0.0158,0.0503,0.0438,3.1792,0.0828,0.0177,0.5438,1.1903,0.3489,1.0305,Control
A04,-0.0422,-0.054,-0.1253,1.8677,2.0805,0.6918,3.1836,1.2116,0.1842,3.5094,0.0729,3.997,2.4937,0.5846,0.4139,0.0134,0.6554,1.1105,0.1356,0.517,0.0745,0.4295,0.1344,-0.0732,0.2642,2.9768,0.0746,0.017,0.3481,1.8681,0.1898,0.7714,Control
A05,-0.059,-0.0632,-0.1339,2.2411,2.4942,0.7365,3.2592,1.4467,0.2387,3.4609,1.1329,3.7597,2.4833,0.5526,0.3802,0.0392,0.6132,1.3166,0.1215,0.7727,0.0385,0.4764,0.0536,-0.0426,0.1092,3.0195,0.0525,0.002,0.3701,1.4142,0.1691,1.1358,Control
A06,-0.1232,-0.0374,-0.1086,1.8854,2.3743,0.6086,3.1144,1.5448,0.1679,3.29,0.2508,3.5756,2.3576,0.46,0.3443,0.0179,0.085,1.1905,0.1733,0.8036,0.1258,0.5191,0.0214,-0.0077,0.1703,3.2279,-0.0079,-0.0254,0.4186,1.4178,0.1506,1.1886,Control
A07,-0.0419,-0.0486,-0.1765,1.8354,2.2665,0.7369,2.7825,1.3973,0.0617,3.2491,0.2222,3.4491,2.3362,0.3411,0.5259,0.0299,0.9455,1.1215,0.0812,1.2395,0.005,0.6059,-0.0315,-0.0394,0.1088,3.1708,0.0766,0.0197,0.4733,1.7139,0.224,1.2324,Control
A08,-0.1191,-0.0671,-0.1268,1.4555,1.922,0.3863,2.52,1.2944,0.1327,2.8193,0.1972,3.2872,2.3988,0.4355,0.5015,0.0091,0.7944,1.1471,0.0163,0.5405,-0.0872,0.5321,-0.0265,-0.0424,0.1707,2.7722,-0.0161,-0.0688,0.2487,2.0481,0.1523,0.975,Control
A09,-0.061,-0.0531,-0.1489,1.426,1.9279,0.2964,2.7429,1.1389,0.1825,2.9804,0.2043,3.6542,2.3361,0.2699,0.2886,0.0427,0.7784,1.2318,0.1002,0.676,-0.0099,0.3795,0.0975,-0.0724,0.1548,2.9496,0.0966,0.0128,0.3534,1.8234,0.2479,0.9961,Control
A10,-0.0924,-0.064,-0.1113,1.7895,2.3559,0.3569,2.8951,1.2414,0.0908,3.2177,1.1022,3.6965,2.524,0.3371,0.392,0.0498,1.5207,1.4348,-0.0061,1.489,0.011,0.6478,-0.0062,-0.064,0.1285,3.059,0.016,-0.0502,0.4561,1.5408,0.2632,1.2449,Control
A11,-0.1099,-0.0703,-0.1219,1.2714,1.7007,0.3524,2.8119,0.9494,0.1166,3.124,0.404,3.0905,1.6015,0.2041,0.2906,-0.0516,1.6963,1.1224,0.105,0.711,0.0744,0.4246,-0.1018,0.0292,-0.1751,3.5948,-0.05,-0.05,0.191,1.1116,0.1908,0.7548,Control
A12,-0.0074,0.005,-0.1328,1.1795,1.7701,0.4539,2.4849,0.7225,0.2403,3.2121,1.423,3.238,2.0348,0.219,0.2018,0.0472,0.6982,0.8181,0.1801,0.5223,0.0104,0.3827,-0.0274,0.0923,0.0651,2.4145,0.1673,0.069,0.098,0.966,0.3364,0.7512,Control
B01,-0.0989,-0.072,-0.1293,1.4348,1.9761,0.3534,2.4956,1.5085,0.1883,2.7881,0.1918,3.1571,2.1928,0.1627,0.4323,0.0418,0.1725,1.0137,0.0182,1.0294,-0.1119,0.2669,-0.179,0.067,0.2014,1.6091,-0.0455,-0.1148,0.2251,1.8629,0.2918,1.1053,Control
B02,-0.0862,-0.0689,-0.1373,1.9917,2.4429,0.6645,3.2744,1.9116,0.165,3.4135,0.0962,3.8463,2.7542,0.3519,0.4816,-0.0012,0.8176,1.2863,0.1201,1.431,-0.0373,0.4101,-5e-04,-0.1004,0.0909,3.135,0.0285,-0.0265,0.432,1.9283,0.2468,1.0145,Control
B03,-0.0941,-0.0728,-0.0656,1.7141,2.2659,0.3199,2.9192,1.5674,0.1801,3.1471,0.9984,3.6023,2.4615,0.3743,0.4954,2e-04,0.7522,1.3287,0.1329,1.234,-0.0067,0.395,-0.0955,-0.1084,-0.0155,2.5667,-0.0229,-0.0927,0.1665,1.9704,0.2767,1.0198,BRCACancer
B04,-0.0966,-0.0862,-0.1827,1.4604,1.9858,0.2557,2.4295,1.5322,0.1881,2.5913,0.2544,3.1827,2.283,0.4122,0.4142,0.0027,0.8273,1.0456,0.1888,0.6965,-0.125,0.6144,-0.0666,-0.0411,-0.0417,2.7885,0.0141,-0.0291,0.3252,1.7375,0.2665,0.932,BRCACancer
B05,-0.0344,-0.0138,-0.1958,1.7288,2.0649,0.6649,3.1115,1.485,0.2124,3.3073,0.2944,3.2572,2.4126,0.3853,0.3353,0.0058,0.2616,0.9444,0.1583,1.7203,-0.0229,0.4546,0.0053,0.0574,0.137,3.2679,0.0901,0.0181,0.3702,1.2706,0.2115,0.9567,BRCACancer
B06,-0.0358,-0.0017,-0.0987,1.4462,2.2239,0.2555,2.5202,1.3187,0.1488,2.8133,0.5518,2.9892,2.0744,0.1875,0.4361,0.0084,0.406,0.8344,0.4059,0.6245,-0.1044,0.5348,-0.1578,0.134,-0.0346,2.1502,-0.0509,-0.1637,0.0857,1.2238,0.3696,0.9397,BRCACancer
B07,-0.0916,-0.0397,-0.1208,1.9161,2.5472,0.639,3.0003,1.7644,0.2733,3.0899,0.1989,3.7636,2.766,0.5762,0.4914,0.0315,1.3816,1.4315,0.0934,0.7264,0.0163,0.7038,0.0253,-0.051,0.1096,3.0756,0.0183,-0.0021,0.1955,1.8102,0.2725,0.8854,BRCACancer
B08,-0.1182,-0.0779,-0.0923,1.5303,2.0182,0.3488,2.8931,1.1174,0.1762,3.1689,0.2813,3.6185,2.3636,0.5266,0.3533,0.0129,0.8476,1.2427,0.1003,0.9363,-0.0153,0.4749,-0.0542,-0.0531,0.0257,3.0811,0.0051,-0.0392,0.1823,1.5385,0.3834,0.7528,Control
B09,-0.1057,-0.0905,-0.0925,1.3485,1.81,0.1786,1.8353,1.5552,0.1308,2.3066,0.2574,3.3079,1.8106,0.1564,0.3002,-0.0198,0.547,0.902,0.0255,0.2352,-0.1209,0.377,-0.0332,-0.0622,-0.1346,2.4618,-0.0033,-0.0752,0.0665,1.5932,0.1582,0.7299,Control
