@relation data

@attribute id string
@attribute 1398 numeric
@attribute 1796 numeric
@attribute 2885 numeric
@attribute 2887 numeric
@attribute 3643 numeric
@attribute 5595 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 8660 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.9599,0.7663,1.6544,0.0696,0.1655,1.0783,0.75,1.1294,0.4781,Control
Utah__A02,0.7556,0.6077,1.493,0.1085,0.0826,1.0214,0.7973,0.9018,0.2271,Control
Utah__A03,0.9155,0.8705,1.7906,0.1296,0.2047,1.0584,0.7917,1.1313,0.3895,Control
Utah__A04,0.7906,0.6683,1.4914,0.0555,0.108,1.0435,0.7946,1.0307,0.4794,Control
Utah__A05,0.9318,1.0335,1.8851,0.0815,0.2633,1.1978,0.89,1.0492,0.644,Control
Utah__A06,0.8426,0.7888,1.5864,0.0949,0.207,0.9874,0.7604,0.8863,0.726,Control
Utah__A07,0.9946,0.7947,1.89,0.1168,0.1543,0.9702,0.7917,1.1809,0.5981,Control
Utah__A08,0.7153,0.4935,1.7425,0.1142,0.1697,0.9939,0.777,1.4746,0.4333,Control
Utah__A09,0.8336,0.6675,1.8554,0.0869,0.109,0.99,0.7709,1.0011,0.5301,Control
Utah__A10,0.8023,0.7825,1.8284,0.1024,0.1539,0.9237,0.7829,1.3376,0.6594,Control
Utah__A11,0.6717,0.4613,1.5674,0.0579,0.1338,0.9765,0.5757,0.7411,0.5538,Control
Utah__A12,0.3489,0.3907,1.1338,0.1822,-0.0949,0.6537,0.5602,0.5264,0.2125,Control
Utah__B01,0.7315,0.1867,1.513,0.1182,0.0737,0.7649,0.5727,0.9155,0.2877,Control
Utah__B02,0.8572,0.7837,1.6209,0.0641,0.1509,1.0793,0.8993,0.8818,0.5391,Control
Utah__B03,0.7913,0.5385,1.5833,0.0866,0.1229,0.9322,0.7096,0.9292,0.4452,BRCACancer
Utah__B04,0.8492,0.4073,1.6575,0.1475,0.1589,0.7103,0.7034,1.4407,0.3533,BRCACancer
Utah__B05,0.6725,0.3233,1.5074,0.1077,0.0846,0.8091,0.7378,0.7814,0.5362,BRCACancer
Utah__B06,0.5029,0.2353,1.1253,0.0861,-0.0178,0.5053,0.4776,0.7812,0.0148,BRCACancer
Utah__B07,0.9115,0.7762,1.6451,0.074,0.0648,1.0321,0.879,1.1794,0.3436,BRCACancer
Utah__B08,0.8787,0.8182,1.6528,0.0566,0.1607,1.0572,0.7952,0.7595,0.4616,Control
Utah__B09,0.6428,0.2345,1.6703,0.0886,0.1222,0.6103,0.6547,1.2234,0.4013,Control
Utah__B10,0.5308,0.3391,1.5222,0.1016,0.0609,0.6316,0.7099,1.057,0.3729,Control
Utah__B11,0.7269,0.6762,1.7628,0.0986,0.1529,0.9134,0.7097,0.9509,0.4412,Control
Utah__B12,0.4206,0.085,1.3374,0.0763,4e-04,0.4982,0.5071,1.0116,0.3179,Control
Utah__C01,1.0225,0.7354,1.8228,0.1507,0.2268,1.0379,0.7971,1.0359,0.4838,BRCACancer
Utah__C02,0.7952,0.6828,1.5148,0.1018,0.1254,1.072,0.8402,0.9083,0.4106,BRCACancer
Utah__C03,0.9628,0.9061,1.5281,0.1294,0.1927,1.1353,0.9851,1.1329,0.51,BRCACancer
Utah__C04,0.5126,0.2849,1.2653,0.0225,0.0619,0.963,0.5596,0.4567,0.5045,Control
Utah__C05,0.5753,0.2831,1.157,0.0097,0.0416,0.8555,0.641,0.4931,0.4153,BRCACancer
Utah__C06,0.0973,0.0469,0.5373,0.0558,-0.1153,0.3,0.1502,0.0625,0.0157,Control
Utah__C07,0.6566,0.4206,1.2729,0.0798,0.0206,0.7808,0.6527,0.6257,0.3809,Control
Utah__C08,0.8168,0.4927,1.422,0.0726,0.1124,0.9573,0.7215,0.8111,0.3625,Control
Utah__C09,0.6487,0.4114,1.2543,0.0761,0.0731,0.8657,0.7537,0.6941,0.3215,Control
Utah__C10,0.5772,0.6351,1.2466,0.0788,0.0565,0.8389,0.8254,0.7272,0.4731,BRCACancer
Utah__C11,0.8506,0.5698,1.5471,0.043,0.1444,1.0236,0.7797,0.8182,0.4806,Control
Utah__C12,0.4886,0.2133,1.142,0.0695,-0.0059,0.8239,0.4821,0.4133,0.2604,BRCACancer
