@relation data

@attribute id string
@attribute 3111 numeric
@attribute 3112 numeric
@attribute 941 numeric
@attribute 5781 numeric
@attribute 942 numeric
@attribute 940 numeric
@attribute 29126 numeric
@attribute 80380 numeric
@attribute 5062 numeric
@attribute 2475 numeric
@attribute 23308 numeric
@attribute 29851 numeric
@attribute 253260 numeric
@attribute 3109 numeric
@attribute 3108 numeric
@attribute 5777 numeric
@attribute 57761 numeric
@attribute 5133 numeric
@attribute 7409 numeric
@attribute 5170 numeric
@attribute 1326 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 9402 numeric
@attribute 64223 numeric
@attribute 10000 numeric
@attribute 2885 numeric
@attribute 5879 numeric
@attribute 1493 numeric
@attribute 920 numeric
@attribute 3127 numeric
@attribute 8764 numeric
@attribute 5516 numeric
@attribute 5515 numeric
@attribute 919 numeric
@attribute 5518 numeric
@attribute 117145 numeric
@attribute 9020 numeric
@attribute 5519 numeric
@attribute 151888 numeric
@attribute 3113 numeric
@attribute 1445 numeric
@attribute 6714 numeric
@attribute 3115 numeric
@attribute 3118 numeric
@attribute 7525 numeric
@attribute 915 numeric
@attribute 5058 numeric
@attribute 916 numeric
@attribute 917 numeric
@attribute 79109 numeric
@attribute 5525 numeric
@attribute 5290 numeric
@attribute 6957 numeric
@attribute 5528 numeric
@attribute 6955 numeric
@attribute 5527 numeric
@attribute 5526 numeric
@attribute 2534 numeric
@attribute 5295 numeric
@attribute 4067 numeric
@attribute 3932 numeric
@attribute 998 numeric
@attribute 3122 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.6301,1.747,0.4421,0.5364,0.8499,2.1239,0.5538,0.14,1.0217,1.0269,0.5478,1.5327,1.9036,2.2511,1.8408,1.806,0.1428,0.5226,1.448,0.7691,0.7039,0.6045,0.8246,1.6429,0.4084,0.6002,1.6544,0.6432,1.6385,1.6895,1.0901,0.8544,0.8995,1.7155,0.7787,1.3778,0.9962,0.7542,1.0466,1.8762,3.0447,1.2739,0.3629,1.5255,0.064,0.2948,2.2816,1.1667,2.164,2.3141,0.5289,1.5302,1.6169,0.2245,1.0987,0.2248,1.4344,0.6123,1.5632,1.4782,1.322,1.9662,1.3608,3.1376,Control
A02,0.5394,1.3779,0.1621,0.3842,0.8317,1.3376,0.2792,0.0357,0.8893,0.7955,0.4102,0.8212,1.4763,2.3441,1.9724,1.8835,0.1393,0.627,1.3147,0.6471,0.7622,0.5571,0.607,1.2896,0.3396,0.3429,1.493,0.4992,0.7111,1.432,1.0826,0.7789,0.6984,1.5576,0.4601,1.1745,0.6424,0.5135,0.8005,1.24,3.2633,1.2378,0.3648,1.414,0.2722,0.1432,1.9895,1.1756,1.8639,2.276,0.2765,1.3344,1.3286,0.1754,1.0315,0.0476,0.9674,0.5233,1.1722,1.1561,1.18,1.7131,1.0773,3.6276,Control
A03,0.6168,1.1509,0.456,0.4604,1.0285,1.1393,0.5255,0.2811,0.9957,0.9929,0.455,0.9582,1.6747,2.32,2.2167,1.9537,0.1792,0.7653,1.5496,0.777,0.9664,0.6699,0.7634,1.3811,0.4543,0.3568,1.7906,0.7305,1.1103,1.5818,0.3109,0.883,0.9294,1.7575,0.6678,1.364,0.6125,0.7466,0.9466,1.1128,3.2587,1.46,0.5956,1.698,0.0989,0.3163,1.9398,1.4289,1.726,2.3253,0.5302,1.5022,1.4291,0.1461,1.1744,0.0934,1.3565,0.7803,1.401,1.3011,1.5735,1.7413,1.3643,3.3288,Control
A04,0.7192,2.0388,0.2416,0.3807,0.7735,1.8994,0.1018,0.0319,0.9699,0.9414,0.4868,1.1029,1.6712,2.1154,1.9243,1.8892,0.2549,0.5614,1.283,0.7264,0.8055,0.6114,0.6935,1.4599,0.4023,0.4955,1.4914,0.4506,0.9937,1.5443,0.0915,0.8538,0.613,1.7134,0.7131,1.3892,1.0019,0.6238,0.6769,1.7021,3.256,1.2797,0.3996,1.1807,0.1989,0.296,1.9869,1.0247,1.8071,2.3006,0.4327,1.3444,1.383,0.1606,1.0878,0.103,1.1697,0.5428,1.3783,1.4673,1.3977,1.9976,1.2398,3.5778,Control
A05,0.7657,1.6604,0.2137,0.4661,1.1321,1.3903,0.1897,-0.0166,1.0637,1.0446,0.5401,0.8781,1.6641,2.5246,2.2998,2.0146,0.3072,0.5161,1.5542,0.8704,0.9005,0.7362,0.7698,1.6475,0.5028,0.4795,1.8851,0.6788,1.1005,1.816,1.1502,0.8954,0.8986,1.7923,0.7498,1.5247,0.7156,0.6847,0.8498,1.2409,3.3307,1.4212,0.6218,1.4126,0.2537,0.2673,1.5613,1.3702,1.5181,1.9004,0.5111,1.5632,1.5208,0.1513,1.1406,0.0479,1.1381,0.7334,1.4167,1.3057,1.5903,1.7053,1.3013,3.5296,Control
A06,0.6325,0.8533,0.1887,0.4744,1.184,1.3944,0.2378,-0.0314,0.8999,0.9339,0.4179,0.8345,1.5772,2.406,1.9422,1.8259,0.0994,0.4734,1.4091,0.7642,0.9507,0.6349,0.7165,1.2103,0.3305,0.4153,1.5864,0.5315,0.8875,1.6757,0.2693,0.7711,0.7092,1.5924,0.7031,1.3574,0.7464,0.5878,0.7526,0.9407,3.1875,1.1991,0.4104,1.5093,0.1825,0.315,1.5105,1.2955,1.4556,1.709,0.4502,1.3921,1.4163,0.157,0.973,0.0865,1.0743,0.6292,1.3172,1.3466,1.3721,1.6353,1.1447,3.3593,Control
A07,0.7661,1.0555,0.2877,0.516,1.2271,1.7264,0.2656,-0.0586,1.0521,0.9705,0.2993,1.0185,1.8412,2.2993,1.8919,1.8391,0.0382,0.549,1.4238,0.7972,0.8271,0.5857,0.7237,1.5832,0.3772,0.7253,1.89,0.7067,1.2209,1.6541,0.2407,0.8515,1.0184,1.7671,1.1256,1.4047,0.9645,0.7607,0.9224,1.2511,2.8594,1.3161,0.3471,1.3639,0.0756,0.345,1.8185,1.3668,1.7176,2.038,0.6192,1.4854,1.6368,0.2075,1.0249,0.0922,1.4731,0.4699,1.855,1.6128,1.7192,1.7391,1.5858,3.3186,Control
A08,0.401,1.2049,0.191,0.6002,0.9739,2.1012,0.3475,-0.0479,1.218,1.0481,0.4545,1.1029,2.2244,1.9586,1.5099,1.6796,0.0506,0.4372,1.3149,0.8157,0.8023,0.5257,0.7148,1.6396,0.3352,1.0592,1.7425,0.7992,0.9545,1.4489,0.2157,0.6853,0.776,1.6601,1.5141,1.2389,1.0055,0.7338,1.0304,1.2686,2.6,1.2298,0.3367,1.2623,0.1471,0.4797,1.694,1.2078,1.7898,1.9365,0.7634,1.5956,1.8021,0.1618,0.9778,0.1402,1.6551,0.5016,2.0099,1.7107,1.9024,1.5842,1.6994,2.8904,Control
A09,0.3074,1.3956,0.3199,0.4408,0.9946,1.8492,0.3273,0.2219,0.9502,0.8703,0.2322,1.134,1.7598,1.9645,1.4803,1.8284,0.0389,0.5965,1.4389,0.8094,0.7599,0.5517,0.6732,1.7564,0.3499,0.7398,1.8554,0.5778,1.0135,1.6131,0.2228,0.7663,0.8055,1.6468,0.9382,1.3511,0.8218,0.6833,0.9078,1.1772,2.8203,1.2945,0.4405,1.109,0.1972,0.2588,2.0494,1.2824,1.7943,2.2663,0.5862,1.3451,1.4941,0.1739,0.9807,0.1287,1.4396,0.5487,1.6972,1.5301,1.6508,1.8564,1.4239,3.0509,Control
A10,0.3703,0.9732,0.3404,0.5,1.2395,1.5323,0.5632,0.0352,1.0809,1.0041,0.2694,1.0633,2.0278,2.3878,1.8458,1.8549,0.1451,0.4903,1.3101,0.8424,0.9048,0.5517,0.7126,1.9015,0.4056,0.7924,1.8284,0.709,0.9645,1.4859,1.1195,0.8122,0.7537,1.7121,0.9822,1.3126,0.8316,0.7161,0.9263,1.2061,2.9707,1.2817,0.4233,1.21,0.1049,0.2945,2.072,1.3673,1.874,2.2669,0.6588,1.5857,1.743,0.1461,0.9893,0.1296,1.5806,0.5456,1.978,1.6455,1.8161,1.9077,1.6004,3.2873,Control
