@relation data

@attribute id string
@attribute 915 numeric
@attribute 916 numeric
@attribute 917 numeric
@attribute 3683 numeric
@attribute 3383 numeric
@attribute 5551 numeric
@attribute 355 numeric
@attribute 6957 numeric
@attribute 6955 numeric
@attribute 356 numeric
@attribute 3689 numeric
@attribute 919 numeric
@attribute 3002 numeric
@attribute 567 numeric
@attribute Class {Control,BRCACancer}

@data
A01,2.2816,2.164,2.3141,2.0644,0.79,2.0279,1.2288,0.2245,0.2248,0.3703,2.2417,0.7787,0.8647,3.5854,Control
A02,1.9895,1.8639,2.276,2.2302,0.9536,2.9198,1.1813,0.1754,0.0476,0.5088,2.3892,0.4601,1.3384,3.99,Control
A03,1.9398,1.726,2.3253,2.4692,1.167,3.0536,1.7863,0.1461,0.0934,0.7048,2.5258,0.6678,1.6671,3.6523,Control
A04,1.9869,1.8071,2.3006,2.1507,0.8171,2.8432,1.1168,0.1606,0.103,0.4199,2.442,0.7131,1.4507,3.8348,Control
A05,1.5613,1.5181,1.9004,2.1709,1.2053,2.8876,1.3299,0.1513,0.0479,0.4669,2.6261,0.7498,1.4239,3.4895,Control
A06,1.5105,1.4556,1.709,1.9944,0.8925,3.1043,1.1995,0.157,0.0865,0.5095,2.4693,0.7031,1.6147,3.4969,Control
A07,1.8185,1.7176,2.038,2.1767,0.8816,3.0449,1.1282,0.2075,0.0922,0.5964,2.3566,1.1256,1.5418,3.4167,Control
A08,1.694,1.7898,1.9365,2.21,0.8275,2.6305,1.1547,0.1618,0.1402,0.5226,2.0667,1.5141,1.1938,3.5632,Control
A09,2.0494,1.7943,2.2663,2.0957,0.8318,2.8149,1.2423,0.1739,0.1287,0.3699,2.3276,0.9382,1.2101,3.7836,Control
A10,2.072,1.874,2.2669,2.3107,1.0294,2.9287,1.4522,0.1461,0.1296,0.6383,2.3465,0.9822,1.181,3.5202,Control
A11,2.1129,1.7651,2.1767,2.161,0.7997,3.4857,1.1292,0.1151,0.0893,0.415,2.3512,0.6942,1.5071,3.4174,Control
A12,1.847,1.3863,2.1795,1.4341,0.4793,2.2587,0.8144,0.2241,-0.0504,0.3731,1.7763,0.3828,1.2178,2.9883,Control
B01,1.8854,1.8293,1.8807,1.6948,0.7316,1.4215,1.0167,0.3072,0.155,0.2572,1.7165,0.7516,1.0884,3.6374,Control
B02,2.2802,1.9715,2.3103,2.3559,1.1885,3.0077,1.2986,0.1854,0.1319,0.4005,2.4496,0.7489,1.6933,4.0267,Control
B03,2.1338,1.903,2.2166,2.1722,0.8349,2.4169,1.3425,0.1515,0.1323,0.3854,2.2961,0.6764,1.3825,3.8548,BRCACancer
B04,1.7998,1.6248,1.81,2.2337,0.5185,2.6475,1.0497,0.1612,0.0709,0.6049,2.0841,1.2812,1.4627,3.5051,BRCACancer
B05,1.7628,1.4971,1.6198,2.1999,0.8501,3.1458,0.9451,0.1849,-0.0238,0.445,2.1983,0.6888,1.9835,3.9417,BRCACancer
B06,1.3516,1.3123,1.5034,1.5641,0.354,1.9839,0.8313,0.3142,0.1056,0.5253,1.6977,0.4388,1.4035,3.7194,BRCACancer
B07,2.2523,2.0296,2.402,2.4675,0.7679,2.9459,1.4488,0.2048,0.13,0.6943,2.4855,0.813,1.5881,4.0345,BRCACancer
B08,1.8843,1.6887,2.1668,2.0859,0.8458,2.9517,1.2536,0.1308,0.0997,0.4654,2.5175,0.4532,1.2851,3.6745,Control
