@relation data

@attribute id string
@attribute 10342 numeric
@attribute 1499 numeric
@attribute 3265 numeric
@attribute 3845 numeric
@attribute 4609 numeric
@attribute 4893 numeric
@attribute 4914 numeric
@attribute 51176 numeric
@attribute 5468 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 595 numeric
@attribute 5979 numeric
@attribute 6256 numeric
@attribute 6257 numeric
@attribute 673 numeric
@attribute 6932 numeric
@attribute 6934 numeric
@attribute 7157 numeric
@attribute 7170 numeric
@attribute 7175 numeric
@attribute 7849 numeric
@attribute 8030 numeric
@attribute 8031 numeric
@attribute 83439 numeric
@attribute 999 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.985,2.1378,0.4236,1.5967,1.4375,2.7938,0.089,1.8281,0.0066,1.76,1.0952,0.7341,0.4307,0.1356,-0.0467,0.5643,1.0521,0.5978,1.5458,0.3152,0.7493,0.6428,1.945,-0.0238,0.7402,1.7755,-0.0468,0.0981,Control
A02,0.6916,1.9406,0.3716,1.3547,1.0182,2.9993,0.2181,0.9496,0.0419,1.6579,1.0379,0.48,0.3006,0.1049,-0.0118,0.5698,0.7978,0.4645,1.0057,0.3427,0.5887,0.5447,1.6106,-0.0054,0.5499,1.948,-0.0104,-0.0641,Control
A03,0.9345,2.228,0.3757,1.6527,0.8555,3.0903,0.1827,0.8281,0.0257,1.9065,1.0752,0.7059,0.4986,0.1251,0.0212,0.7376,0.8919,0.5178,0.8256,0.6523,0.8079,0.7731,1.7618,-0.0058,0.732,2.036,-0.0412,0.05,Control
A04,0.7083,2.1149,0.3609,1.1951,1.35,3.0364,0.1326,1.1672,0.0309,1.7434,1.0602,0.5113,0.4277,0.2164,0.0317,0.5621,0.8822,0.5636,1.3867,0.2924,0.5955,0.5301,1.7391,0.0027,0.6128,1.9345,-0.0409,0.0031,Control
A05,0.9459,2.1217,0.4772,1.4096,1.0965,3.3113,0.0916,1.0436,-0.0035,1.9721,1.2157,0.726,0.5021,0.1872,0.0599,0.7456,0.9727,0.6105,1.1059,0.4474,0.7673,0.6365,1.7737,-0.0445,0.6986,2.0283,-0.0642,0.0296,Control
A06,0.7383,2.0671,0.2467,1.4336,1.2048,2.8748,0.094,1.0319,0.0311,1.8749,1.0037,0.6824,0.3564,0.0491,-0.0284,0.6974,0.8291,0.5021,1.1287,0.3386,0.6036,0.6046,1.5798,-0.038,0.6345,2.0642,-0.0456,-0.0117,Control
A07,1.0299,2.242,0.364,1.7064,1.1245,2.9085,0.1565,1.5647,0.0339,1.9127,0.9863,0.8669,0.4096,0.1216,0.0064,0.6753,0.9292,0.7036,1.2988,0.7088,0.684,0.7195,1.755,0.0198,0.8205,2.1376,-0.0328,-0.0456,Control
A08,1.1156,2.2731,0.2967,1.6216,1.0832,2.6904,0.0775,2.1593,-0.0091,1.9432,1.0102,0.8829,0.3414,0.0853,-0.0322,0.5417,0.8835,0.87,1.5945,0.977,0.6482,0.7616,1.9979,-0.0399,0.8983,1.7303,-0.0766,-0.058,Control
A09,0.8629,2.1764,0.349,1.5553,1.1598,2.8883,0.1723,1.7811,0.0676,1.8616,1.0062,0.7767,0.356,0.0974,0.0223,0.5715,0.8405,0.6839,1.4003,0.7113,0.5412,0.612,1.6888,0.0127,0.7385,1.9359,-0.0255,-0.0029,Control
A10,0.9961,2.3614,0.398,1.4415,0.9502,2.9966,0.0962,1.2214,0.0733,1.9537,0.9394,0.8171,0.4749,0.1256,0.0368,0.5991,0.8752,0.7899,1.1232,0.5359,0.5878,0.7365,1.8254,-0.0095,0.8082,2.0256,-0.0689,0.0168,Control
