@relation data

@attribute id string
@attribute 10023 numeric
@attribute 11197 numeric
@attribute 1452 numeric
@attribute 1453 numeric
@attribute 1457 numeric
@attribute 1487 numeric
@attribute 1488 numeric
@attribute 1499 numeric
@attribute 166 numeric
@attribute 1855 numeric
@attribute 1856 numeric
@attribute 2033 numeric
@attribute 2249 numeric
@attribute 22943 numeric
@attribute 23002 numeric
@attribute 23291 numeric
@attribute 23521 numeric
@attribute 2487 numeric
@attribute 2488 numeric
@attribute 2535 numeric
@attribute 2597 numeric
@attribute 26108 numeric
@attribute 26190 numeric
@attribute 2931 numeric
@attribute 2932 numeric
@attribute 324 numeric
@attribute 3251 numeric
@attribute 3725 numeric
@attribute 4040 numeric
@attribute 4041 numeric
@attribute 4609 numeric
@attribute 51176 numeric
@attribute 51384 numeric
@attribute 51701 numeric
@attribute 5308 numeric
@attribute 53944 numeric
@attribute 54361 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 567 numeric
@attribute 56998 numeric
@attribute 58480 numeric
@attribute 59343 numeric
@attribute 595 numeric
@attribute 60 numeric
@attribute 607 numeric
@attribute 6422 numeric
@attribute 6424 numeric
@attribute 64321 numeric
@attribute 6468 numeric
@attribute 64840 numeric
@attribute 6862 numeric
@attribute 6932 numeric
@attribute 7088 numeric
@attribute 7089 numeric
@attribute 7471 numeric
@attribute 7472 numeric
@attribute 7473 numeric
@attribute 7474 numeric
@attribute 7475 numeric
@attribute 7476 numeric
@attribute 7477 numeric
@attribute 7478 numeric
@attribute 7481 numeric
@attribute 7482 numeric
@attribute 7483 numeric
@attribute 7855 numeric
@attribute 7976 numeric
@attribute 80319 numeric
@attribute 80326 numeric
@attribute 8061 numeric
@attribute 81029 numeric
@attribute 8312 numeric
@attribute 8321 numeric
@attribute 8322 numeric
@attribute 8323 numeric
@attribute 8324 numeric
@attribute 8325 numeric
@attribute 83439 numeric
@attribute 83999 numeric
@attribute 8456 numeric
@attribute 85407 numeric
@attribute 85458 numeric
@attribute 8840 numeric
@attribute 894 numeric
@attribute 8945 numeric
@attribute 896 numeric
@attribute 89780 numeric
@attribute 9368 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6361,-0.1683,1.6042,1.4362,0.6673,0.6662,0.1007,2.1612,1.3269,0.3595,0.9587,1.911,-9e-04,-0.247,0.6463,0.6613,1.0898,-0.0478,-0.0725,0.1521,0.4225,-0.1806,1.5886,1.0356,0.6542,0.6744,1.1553,1.3192,0.2428,0.0574,1.5122,1.8985,-0.12,0.803,-0.0998,0.4899,-0.1075,1.7155,1.3778,3.5854,0.1441,0.6157,0.9685,0.1429,2.0546,0.1952,-0.083,-0.166,-0.1919,0.6251,0.3951,0.1101,1.561,0.2217,0.1063,0.136,-0.1266,-0.0203,-0.1332,-0.1178,0.2036,0.0378,-0.0768,0.0701,-0.1728,-0.0251,0.0221,0.4076,-0.1363,0.1183,1e-04,0.0363,0.318,0.1809,-0.0795,0.3984,-0.1345,0.0763,-0.0434,0.0201,0.0537,0.0078,-0.0725,0.177,1.3912,0.5228,1.4771,0.1218,1.1964,Control
Utah__A02,0.5156,-0.1886,1.2833,1.2896,0.3813,0.6665,0.0813,1.955,1.1339,0.3645,0.6811,1.6897,0.0578,-0.2178,0.3235,0.463,0.9539,0.0077,-0.0997,0.0408,0.3299,-0.1976,1.2855,1.0351,0.4588,0.524,0.9332,0.8029,-0.0637,0.056,1.03,0.9233,-0.0395,0.505,-0.0396,0.2773,0.0311,1.5576,1.1745,3.99,0.1224,0.4684,0.6579,0.1112,1.7714,0.0892,-0.0174,-0.1374,-0.0524,0.3597,0.2735,0.1668,0.97,0.0486,-0.0167,0.143,-0.0215,-0.0606,-0.0315,0.0301,0.1239,-0.0248,0.0222,0.0357,-0.0731,0.0793,0.0561,0.1718,-0.0308,0.1833,0.0779,-0.0761,0.2239,0.2691,-0.0992,0.2524,-0.0039,-0.0049,-0.007,-0.0563,-0.0427,0.0078,-0.1486,0.0971,1.2438,0.2898,1.3672,0.2763,1.1877,Control
Utah__A03,0.7814,-0.1881,1.485,1.5365,0.4865,0.7207,0.2637,2.2554,1.1927,0.3705,0.8196,1.9277,-0.0294,-0.1124,0.4601,0.5951,1.1278,-0.0096,-0.0461,0.1137,0.6162,-0.2278,1.5648,1.1356,0.6001,0.6483,1.1752,1.2073,-0.1138,0.0839,0.8428,0.7885,-0.0142,0.7134,-0.0855,0.4956,-0.0046,1.7575,1.364,3.6523,0.2053,0.8724,0.8221,0.132,2.074,0.0732,-0.0792,-0.1236,-0.064,0.5282,0.3901,0.201,0.7731,0.124,-0.0643,0.1646,-0.1057,-0.0815,-0.1202,0.0289,0.1019,0.0467,-0.0222,-0.0268,-0.1046,0.1192,0.2139,0.1596,-0.2001,0.1879,7e-04,-0.0049,0.3962,0.3103,-0.0844,0.2134,-0.024,0.0292,-0.0378,0.0908,0.0316,-0.0101,-0.1359,0.1404,1.1392,0.4232,1.455,0.1849,1.3453,Control
Utah__A04,0.6769,-0.1408,1.4243,1.2541,0.417,0.6937,0.158,2.1372,1.3952,0.4707,0.7707,1.63,0.116,-0.1513,0.3958,0.5344,0.874,1e-04,-0.1099,0.0969,0.4865,-0.0411,1.3899,0.963,0.4958,0.4394,0.9276,1.3091,-0.0575,0.0767,1.4116,1.1649,-0.0498,0.5053,0.045,0.3189,-0.0349,1.7134,1.3892,3.8348,0.1663,0.5369,0.758,0.2259,1.9573,0.1383,-0.0444,-0.1372,0.1019,0.4501,0.3411,0.1799,1.3869,0.1771,0.1467,0.227,-0.0879,0.0071,0.0363,0.0792,0.2466,0.0313,-0.0687,0.1026,-0.098,0.122,0.0686,0.3034,-0.0099,0.3378,0.1089,0.0709,0.2628,0.3443,-0.0199,0.314,0.0638,0.2049,-0.0375,0.0183,0.0757,0.0597,-0.0909,0.1755,1.2875,0.367,1.5602,0.2226,1.2516,Control
Utah__A05,0.9665,-0.1187,1.4781,1.475,0.4751,0.7144,0.2433,2.1443,1.3314,0.489,0.8501,1.9476,0.212,-0.1341,0.5764,0.66,0.8912,0.0174,-0.0097,0.3538,0.639,-0.1,1.5006,1.254,0.5918,0.5986,1.0641,1.2428,-0.0203,0.0559,1.1201,1.0277,0.0025,0.7616,-0.0048,0.428,-0.047,1.7923,1.5247,3.4895,0.2484,0.9251,0.9195,0.1959,2.0522,0.0713,-0.059,-0.1309,0.0043,0.4941,0.3813,0.1577,1.0797,0.1957,0.1083,0.1999,-0.0751,0.0113,-0.0779,0.0568,0.0534,0.0653,-0.0765,0.1245,-0.0654,0.106,0.2831,0.1796,-0.0673,0.1663,0.1225,0.0362,0.3402,0.536,-0.0832,0.1963,-0.0226,0.163,-0.0608,0.0863,0.0853,0.033,-0.0762,0.1106,1.1872,0.4,1.7999,0.2461,1.2529,Control
Utah__A06,0.6818,-0.2255,1.3721,1.4057,0.4646,0.6303,0.174,2.0873,1.1453,0.3902,0.7188,1.8282,0.0243,-0.1635,0.4202,0.5497,0.9872,-0.042,-0.1437,0.0608,0.4242,-0.2457,1.5199,1.03,0.5257,0.5501,0.8582,0.8136,0.0736,-0.0041,1.2447,1.0148,-0.0858,0.5403,-0.0639,0.3588,-0.0128,1.5924,1.3574,3.4969,0.2052,0.6428,0.8297,0.0539,1.849,0.088,-0.0377,-0.1049,-0.1271,0.4021,0.3581,0.1818,1.1047,0.1265,0.0102,0.009,-0.1031,0.0139,-0.123,-0.011,0.0819,-0.0676,-0.0203,0.0137,-0.1268,0.035,0.0254,0.2331,-0.0742,0.0098,-0.0123,0.0498,0.2547,0.1727,-0.0468,0.3563,-0.0724,-0.0213,-0.0422,-0.0713,-0.0255,-0.0194,-0.1431,0.1486,1.1012,0.3652,1.4492,0.1524,1.2171,Control
Utah__A07,0.6717,-0.2082,1.6472,1.3931,0.6805,0.7229,0.2509,2.27,1.1484,0.4336,0.748,1.9341,0.0248,-0.1843,0.5447,0.7224,0.8273,-0.0288,-0.0778,0.2256,0.3246,-0.2267,1.6497,1.0649,0.8174,0.7132,1.0807,1.2402,-0.0315,0.0188,1.1522,1.6061,-0.0343,0.8396,-0.0571,0.4561,-0.0563,1.7671,1.4047,3.4167,0.2388,0.7328,0.8425,0.1284,1.8057,0.1698,-0.1136,-0.1595,-0.0621,0.7602,0.3595,0.1552,1.2907,0.1989,0.0118,0.1383,-0.0687,-0.0831,-0.0771,0.0417,0.1976,-0.0053,-0.0262,-0.0158,-0.1109,0.0476,0.1595,0.3863,-0.024,0.2054,-0.0568,-0.0389,0.3653,0.3995,-0.0682,0.2779,-0.0301,0.1061,-0.0294,-0.0751,0.0025,0.0027,-0.1293,0.1209,1.3338,0.5033,1.5297,0.2403,1.2571,Control
Utah__A08,0.5087,-0.1456,1.6839,1.3361,0.7164,0.6031,0.3058,2.3026,1.1281,0.3026,0.7509,2.0256,-0.0644,-0.2656,0.5439,0.8216,0.855,-0.0257,-0.0766,-0.0951,0.3031,-0.2577,1.5094,0.9159,1.0598,0.8398,0.9805,0.8862,-0.0316,0.0343,1.1048,2.2662,-0.0306,0.8944,-0.1168,0.5319,-0.1028,1.6601,1.2389,3.5632,0.2392,0.3399,0.8701,0.0912,1.5955,0.1816,-0.1028,-0.1502,-0.2941,0.9235,0.3104,0.1287,1.6142,0.3362,0.0433,0.1054,-0.1641,-0.0096,-0.182,-0.1577,0.1309,0.0498,0.0308,0.0274,-0.1449,-0.0931,0.0021,0.3223,-0.0869,0.0804,-0.0116,-0.1514,0.3652,0.1141,-0.0098,0.3516,-0.1276,-0.0393,-0.0732,-0.0358,-0.0045,-0.0162,-0.1278,0.1516,1.37,0.6421,1.2842,0.0934,1.1612,Control
Utah__A09,0.5727,-0.1357,1.4591,1.4156,0.5674,0.6108,0.1955,2.2015,1.214,0.4221,0.7823,1.9246,0.0175,-0.2647,0.6266,0.665,0.7831,0.0341,0.0136,0.0324,0.5341,-0.1998,1.5242,0.9837,0.707,0.5787,0.9958,0.9959,0.077,0.0245,1.1929,1.8463,0.051,0.7649,-0.036,0.4269,-0.0622,1.6468,1.3511,3.7836,0.2374,0.5589,0.7349,0.1035,1.7708,0.14,-0.092,-0.1148,-0.0477,0.7129,0.2913,0.1765,1.4018,0.0451,0.0151,0.0887,-0.0961,0.0196,-0.0546,0.0796,0.1231,0.0315,-0.055,0.016,-0.0738,0.0548,0.0704,0.219,-0.1119,0.136,-0.0751,-1e-04,0.2977,0.3721,-0.1682,0.1976,0.0293,0.0497,-0.0221,-0.0897,-0.0336,0.0418,-0.0721,0.1444,1.2815,0.4988,1.3685,0.2488,1.303,Control
Utah__A10,0.5717,-0.1463,1.641,1.3151,0.6018,0.6473,0.2278,2.3949,1.1442,0.3399,0.761,1.9583,0.0973,-0.1395,0.5475,0.7872,0.8741,0.0344,-0.1062,0.229,0.3989,-0.1403,1.5161,1.0466,0.907,0.7359,0.8883,1.3751,-0.0395,0.0485,0.9518,1.2251,0.1528,0.8768,-0.0616,0.4514,-0.0408,1.7121,1.3126,3.5202,0.2213,0.7869,0.8944,0.1325,1.8249,0.0694,-0.0615,-0.127,-0.1122,0.7401,0.3284,0.0839,1.0986,0.017,0.0873,0.1665,-0.1263,-0.0353,-0.0359,-0.0124,0.1014,-0.001,-0.1053,0.0529,-0.1465,-0.0347,0.3291,0.3561,-0.1313,0.1342,0.0616,-0.0173,0.3538,0.3271,-0.0516,0.1801,0.0122,0.0462,-0.0655,-0.021,0.0367,-1e-04,-0.0551,0.0637,1.3474,0.5412,1.566,0.2132,1.3259,Control
