@relation data

@attribute id string
@attribute 3706 numeric
@attribute 3707 numeric
@attribute 8517 numeric
@attribute 4796 numeric
@attribute 5256 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 1605 numeric
@attribute 156 numeric
@attribute 57191 numeric
@attribute 5308 numeric
@attribute 3710 numeric
@attribute 2776 numeric
@attribute 23646 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 5291 numeric
@attribute 10000 numeric
@attribute 5337 numeric
@attribute 5338 numeric
@attribute 4791 numeric
@attribute 4790 numeric
@attribute 4793 numeric
@attribute 4792 numeric
@attribute 4795 numeric
@attribute 4794 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.2782,1.1032,0.3604,0.0664,0.7875,0.7579,0.8352,0.4135,1.1867,0.2563,-0.102,0.8558,0.6485,0.9888,0.6157,0.8453,1.5626,0.6233,0.2835,0.5932,1.1558,1.6981,0.9055,2.2123,0.1903,0.719,Control
A02,-0.2215,0.7032,0.3492,0.0749,0.5858,0.5221,0.6307,0.3531,1.05,0.0174,-0.0427,0.6946,0.2358,0.8489,0.5686,0.6275,1.4139,0.3831,0.215,0.4826,0.9284,1.2732,0.76,2.0603,0.2038,0.7479,Control
A03,-0.2816,0.7757,0.3742,0.094,0.7382,0.5995,0.8656,0.4099,1.2579,0.014,-0.0879,0.7329,0.4627,0.9557,0.6805,0.7841,1.4596,0.396,0.3412,0.6078,1.0624,1.4485,1.0903,2.7503,0.3145,1.017,Control
A04,-0.0606,0.8349,0.3772,0.1652,0.5986,0.6647,0.6114,0.3598,1.1386,0.0791,0.0406,0.7843,0.3177,0.7996,0.6225,0.7141,1.4002,0.5255,0.1654,0.499,1.0316,1.4304,0.8727,2.2761,0.1961,0.6893,Control
A05,-0.1057,0.8734,0.6097,0.1936,0.7671,0.6917,0.8284,0.544,1.3225,0.0971,-0.0085,0.7231,0.4844,1.129,0.7463,0.7904,1.8548,0.5106,0.3947,0.7869,1.126,1.5181,1.1142,2.4615,0.3187,1.0047,Control
A06,-0.2793,0.8107,0.3246,0.0623,0.7297,0.6267,0.7511,0.3382,1.1441,0.0968,-0.0666,0.679,0.3651,0.9619,0.6458,0.7372,1.4475,0.4506,0.4212,0.6532,0.8596,1.3497,0.8971,2.472,0.2461,0.6753,Control
A07,-0.132,1.2021,0.3276,0.1276,0.7297,0.8084,1.009,0.3858,1.1623,0.121,-0.0599,0.6968,0.8957,0.939,0.597,0.7443,1.5467,0.74,0.4207,0.5874,0.9967,1.6897,0.8526,1.9798,0.2749,0.9462,Control
A08,-0.3014,1.3175,0.1674,0.0928,0.7741,0.9922,1.0928,0.2771,1.0552,0.1233,-0.1187,0.7065,1.0393,0.7983,0.5375,0.7355,1.5683,1.0516,0.3023,0.4546,0.8752,1.8669,0.7484,1.9095,0.2617,0.6932,Control
A09,-0.1714,1.1023,0.2539,0.0738,0.7068,0.7685,0.9804,0.3301,1.0908,0.1921,-0.0391,0.6507,0.8753,0.8212,0.5633,0.6938,1.4714,0.7535,0.2386,0.5144,0.9958,1.606,0.8347,2.1911,0.2682,0.7026,Control
A10,-0.1212,1.0857,0.3962,0.1364,0.7639,0.8089,1.0339,0.3513,1.1341,0.3238,-0.0644,0.6346,0.8224,0.9428,0.5633,0.7332,1.7523,0.8026,0.4108,0.6228,0.983,1.641,0.8363,2.1251,0.1754,0.8472,Control
