@relation data

@attribute id string
@attribute 5142 numeric
@attribute 5143 numeric
@attribute 805 numeric
@attribute 5141 numeric
@attribute 5144 numeric
@attribute 801 numeric
@attribute 5577 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5516 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 5519 numeric
@attribute 84152 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5532 numeric
@attribute 5530 numeric
@attribute 1020 numeric
@attribute 5528 numeric
@attribute 5573 numeric
@attribute 5576 numeric
@attribute 5499 numeric
@attribute 5575 numeric
@attribute 808 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.3799,-0.0473,1.1595,0.6532,0.1003,2.3173,0.9927,1.3861,1.3083,0.8995,1.7155,1.3778,1.0466,-0.0662,0.9255,1.1308,-0.1281,1.2834,0.7188,0.5707,1.0987,1.8462,1.1601,1.847,0.0738,2.0808,Control
A02,0.2581,-0.0116,0.9813,0.6215,0.1166,2.331,1.124,1.0792,1.0862,0.6984,1.5576,1.1745,0.8005,-0.0342,0.8176,0.9731,-0.1142,0.9381,0.5951,0.5204,1.0315,1.8492,1.0518,2.0938,0.0916,2.1764,Control
A03,0.3432,-0.0028,1.2374,0.8115,0.167,2.5215,1.0311,1.1587,1.2757,0.9294,1.7575,1.364,0.9466,-0.0263,1.0298,0.9868,-0.1007,1.2109,0.7523,0.8221,1.1744,1.9151,1.2293,2.1235,0.0982,2.1323,Control
A04,0.3034,0.0701,1.0291,0.6058,0.1646,2.6061,1.3233,1.2414,1.2229,0.613,1.7134,1.3892,0.6769,0.0343,0.8067,1.1682,-0.1378,0.9279,0.6673,0.6325,1.0878,1.8358,1.2172,2.258,0.1327,2.2841,Control
A05,0.3235,0.0522,0.994,0.8712,0.1158,2.2755,1.4262,1.1595,1.3093,0.8986,1.7923,1.5247,0.8498,0.0336,1.1361,1.0421,-0.0876,1.0818,0.7731,0.9217,1.1406,1.969,1.2952,2.2762,0.1199,2.3856,Control
A06,0.3131,-0.0676,1.154,0.7638,0.1442,2.2293,1.0306,0.9185,1.1603,0.7092,1.5924,1.3574,0.7526,-0.111,0.9951,0.8643,-0.1601,0.9413,0.6198,0.6766,0.973,1.9546,1.1572,1.9601,0.0659,2.1384,Control
A07,0.4128,-0.0457,1.4581,0.6594,0.266,2.2849,1.1618,1.183,1.5746,1.0184,1.7671,1.4047,0.9224,-0.1059,0.8796,1.1382,-0.1365,1.3182,1.0264,0.7195,1.0249,2.0169,1.2646,2.094,0.1122,2.178,Control
A08,0.4713,-0.0269,1.2592,0.5677,0.246,2.199,0.8313,1.5413,1.7633,0.776,1.6601,1.2389,1.0304,-0.1062,0.9732,1.1867,-0.0345,1.4563,1.1569,0.4469,0.9778,1.7149,1.1512,1.6785,0.0231,1.9223,Control
A09,0.3462,-0.0343,0.9544,0.5414,0.1496,2.2287,1.1797,1.1713,1.3831,0.8055,1.6468,1.3511,0.9078,-0.0322,1.0136,1.096,-0.253,1.231,0.866,0.5758,0.9807,1.9165,1.0899,2.0888,0.1031,2.3056,Control
A10,0.3462,0.0154,1.2719,0.5781,0.1789,2.2654,1.4077,1.4321,1.623,0.7537,1.7121,1.3126,0.9263,-0.0086,0.9161,1.2565,-0.1074,1.2426,1.0757,0.6735,0.9893,1.917,1.2472,2.0146,0.0625,2.2472,Control
A11,0.2349,-0.0103,0.7597,0.6248,0.0895,2.2432,0.8754,0.9854,1.0712,0.815,1.4128,1.2934,0.9172,0.0089,0.8889,0.8992,-0.0094,1.0314,0.6176,0.484,0.8513,1.7269,0.9303,2.1131,0.0163,2.1929,Control
A12,0.2396,-0.0541,0.6016,0.3322,0.1616,1.7425,1.3159,0.8336,0.9017,0.5993,1.3762,0.7434,0.4313,-0.0235,0.7519,0.9088,-0.3354,0.6565,0.4763,0.2346,0.8033,1.3679,0.8799,1.6544,0.1319,1.9669,Control
B01,0.3851,-0.2218,1.5624,0.3796,0.1613,2.4417,0.9253,1.246,1.3763,0.7725,1.7176,1.0859,0.8704,-0.1966,0.7207,0.9636,-0.275,1.1579,0.6832,0.1628,0.8455,1.7933,1.0247,1.2865,-0.0478,1.8282,Control
B02,0.3312,0.0143,1.4678,0.7283,0.1468,2.7387,1.0405,1.34,1.2917,0.8361,1.9071,1.4757,0.8881,-0.0565,0.9567,1.0223,-0.1605,1.0794,0.6486,0.7062,1.1175,2.0443,1.2542,2.0984,0.0942,2.1911,Control
B03,0.4467,-0.0582,1.5039,0.4732,0.1272,2.6709,0.5802,1.3327,1.3822,0.766,1.8553,1.3093,0.8912,-7e-04,0.8786,1.0227,-0.1774,1.1446,0.7216,0.3968,0.974,2.0069,1.1604,1.9167,-0.0366,2.044,BRCACancer
B04,0.3611,-0.0821,1.4742,0.5208,0.3048,2.1272,1.2047,1.5488,1.7891,0.5713,1.5659,1.0976,0.8618,-0.1309,0.8361,1.2316,-0.0269,1.3938,1.1801,0.3538,0.8904,1.6295,1.0446,1.546,0.0775,1.8986,BRCACancer
B05,0.3453,-0.0531,1.2093,0.6982,0.193,2.5476,1.013,0.9888,1.2404,0.7599,1.5339,1.0423,0.6773,-0.0952,0.9772,0.8478,-0.1407,1.0679,0.5846,0.4158,0.8336,1.8404,1.0019,1.9664,0.0642,2.0601,BRCACancer
B06,0.3676,-0.2839,1.2963,0.1016,0.2349,2.1606,0.9318,0.9633,1.0844,0.5914,1.4358,0.6971,0.6007,-0.2055,0.4708,0.7287,-0.3896,0.8725,0.6622,0.0199,0.5586,1.6941,0.7634,1.0591,-0.1137,1.547,BRCACancer
B07,0.3927,-0.0071,1.3503,0.5242,0.1548,2.7136,1.0142,1.556,1.3692,0.8726,1.8213,1.3097,1.0208,-0.0184,1.0137,1.1525,-0.1627,1.269,0.7926,0.5609,1.1095,2.0046,1.1927,1.9256,0.0716,2.1078,BRCACancer
B08,0.2031,0.0612,1.1764,0.6501,0.0663,2.4386,1.4494,0.9282,1.0281,0.9851,1.6709,1.4326,0.8409,0.0037,1.01,1.0315,-0.0362,1.016,0.4368,0.7314,0.8955,1.976,1.0455,2.1701,0.0471,2.4655,Control
B09,0.3581,-0.051,1.1587,0.4427,0.2278,2.5275,1.3319,1.2239,1.6605,0.4587,1.3917,0.9781,0.7966,-0.0656,0.7362,1.0524,-0.1161,1.2244,1.0289,0.1619,0.6723,1.6531,0.8198,1.2636,0.0159,2.1265,Control
B10,0.3104,-0.0397,1.1797,0.4041,0.2026,2.1629,1.1453,1.1209,1.4498,0.6131,1.5729,1.0456,0.7291,-0.0612,0.6609,1.0901,-0.2815,1.0758,0.8909,0.223,0.7626,1.6639,0.9708,1.8026,0.0266,2.0692,Control
B11,0.2919,0.0125,1.0879,0.5873,0.0921,2.0921,1.4263,0.8983,1.1971,0.8086,1.5697,1.0275,0.7415,-0.0712,1.1173,0.885,-0.1812,1.0102,0.64,0.5174,0.9184,1.7695,0.9656,1.9854,0.0972,2.2936,Control
B12,0.281,-0.0135,1.085,0.2436,0.1519,2.0707,1.0468,1.0504,1.38,0.2503,1.0209,0.7638,0.5889,-0.087,0.6353,0.7013,-0.1101,1.0079,0.8773,0.112,0.4836,1.3517,0.6309,0.9293,0.0486,1.8559,Control
C01,0.2987,-0.0411,1.3344,0.8044,0.1329,2.2681,1.0673,1.0898,1.3601,0.7174,1.5829,1.348,0.8729,-0.0517,1.0742,0.8487,-0.0344,1.1923,0.7765,0.5882,1.0062,1.89,1.2498,1.9821,0.0914,2.1066,BRCACancer
C02,0.2619,-0.0372,0.8973,0.6944,0.1535,2.3119,1.3816,1.1154,1.1359,0.6319,1.6166,1.3977,0.7238,-0.0352,0.9043,1.0799,-0.1743,0.8844,0.6103,0.7325,1.1563,1.7874,1.2413,2.1115,0.1178,2.326,BRCACancer
C03,0.3129,-0.0031,1.2008,0.9672,0.1142,2.6196,1.0654,1.3504,1.2425,0.7647,1.6499,1.5257,0.9301,-0.1082,0.9522,1.0148,-0.1065,1.0679,0.6877,0.7126,1.1505,2.0341,1.3443,2.0834,0.1366,2.2604,BRCACancer
C04,0.218,0.0372,0.6558,0.4829,0.0477,2.2006,1.4556,0.5917,0.8136,0.3558,1.0992,1.0751,0.5598,0.1283,0.8578,0.7092,-0.0574,0.5924,0.3632,0.536,0.6745,1.7149,0.725,2.0863,0.1284,2.7061,Control
C05,0.1996,0.0285,0.7238,0.5991,0.1101,1.9028,0.9648,0.5989,0.8005,0.3911,1.3492,1.0944,0.5196,-0.0033,0.7395,0.7842,-0.1053,0.594,0.3924,0.4454,0.8718,1.6799,0.7716,2.1579,0.0767,2.268,BRCACancer
C06,-0.021,0.0103,0.2412,0.2977,0.0061,0.8072,0.3074,0.2312,0.3586,0.14,0.4525,0.4446,0.1399,0.0353,0.4594,0.1826,-0.0761,0.2201,0.0981,-0.1054,0.2958,0.7821,0.2288,0.7518,0.1069,1.2797,Control
C07,0.2159,0.0544,0.4905,0.6831,0.1176,2.1872,1.5936,0.8746,0.9703,0.4612,1.5067,1.1649,0.5967,0.0398,0.7379,1.0252,-0.038,0.7074,0.4471,0.41,0.9015,1.7344,1.065,2.2068,0.1251,2.3526,Control
C08,0.2783,0.027,0.6443,0.6868,0.0791,2.1154,1.1049,0.9889,0.9388,0.6719,1.5193,1.3447,0.8017,0.0214,0.9361,0.9588,-0.0601,0.8956,0.4492,0.5179,1.0625,1.759,1.1829,2.0906,0.091,2.1934,Control
C09,0.2329,0.0831,0.6773,0.5352,0.0553,2.1194,1.288,0.9517,0.9032,0.4604,1.4539,1.248,0.5416,0.0426,0.7079,0.9445,-0.0391,0.6632,0.4338,0.5405,0.9565,1.5925,0.9887,2.1965,0.079,2.34,Control
C10,0.2673,0.0318,0.749,0.5888,0.096,2.0484,1.5138,0.7847,0.9843,0.4227,1.5185,1.1424,0.5008,0.0675,0.7573,1.1142,-0.1043,0.6185,0.4362,0.5445,1.0709,1.4912,1.0678,2.2115,0.1446,2.5271,BRCACancer
C11,0.2135,0.0543,0.814,0.7663,0.0761,2.5202,1.3827,1.0492,0.9483,0.6743,1.3955,1.3651,0.7944,0.051,1.0519,0.9625,-0.1738,0.9694,0.4468,0.5261,1.0473,1.7165,1.0714,2.1581,0.1045,2.48,Control
C12,0.17,0.0501,0.4871,0.4142,0.0694,2.088,1.6527,0.5965,0.8105,0.4599,1.025,1.0167,0.4474,0.0814,0.663,0.8069,-0.1402,0.5481,0.3276,0.245,0.7166,1.4279,0.5746,2.0143,0.0971,2.7461,BRCACancer
D01,0.2516,-0.0118,1.2673,0.4084,0.2926,2.1724,0.6952,1.2249,1.5229,0.4912,1.253,0.9462,0.9344,0.0078,0.7961,0.7979,-0.1148,1.3304,1.0563,0.1679,0.7271,1.5458,0.8684,1.2321,0.0244,1.8206,BRCACancer
