@relation data

@attribute id string
@attribute 55135 numeric
@attribute 128312 numeric
@attribute 1763 numeric
@attribute 10856 numeric
@attribute 8360 numeric
@attribute 3012 numeric
@attribute 5984 numeric
@attribute 8361 numeric
@attribute 5985 numeric
@attribute 8364 numeric
@attribute 6117 numeric
@attribute 65057 numeric
@attribute 6119 numeric
@attribute 10714 numeric
@attribute 8366 numeric
@attribute 6118 numeric
@attribute 8365 numeric
@attribute 8368 numeric
@attribute 8367 numeric
@attribute 8970 numeric
@attribute 8349 numeric
@attribute 23649 numeric
@attribute 5981 numeric
@attribute 5983 numeric
@attribute 5982 numeric
@attribute 55651 numeric
@attribute 8294 numeric
@attribute 8290 numeric
@attribute 8338 numeric
@attribute 8339 numeric
@attribute 5557 numeric
@attribute 5558 numeric
@attribute 57804 numeric
@attribute 121504 numeric
@attribute 8346 numeric
@attribute 5422 numeric
@attribute 8345 numeric
@attribute 8348 numeric
@attribute 8347 numeric
@attribute 5111 numeric
@attribute 8342 numeric
@attribute 8341 numeric
@attribute 5427 numeric
@attribute 7014 numeric
@attribute 7015 numeric
@attribute 7013 numeric
@attribute 5424 numeric
@attribute 5425 numeric
@attribute 5426 numeric
@attribute 3018 numeric
@attribute 26277 numeric
@attribute 1736 numeric
@attribute 8607 numeric
@attribute 3014 numeric
@attribute 3015 numeric
@attribute 54386 numeric
@attribute 3017 numeric
@attribute 2237 numeric
@attribute 3978 numeric
@attribute 25913 numeric
@attribute 8335 numeric
@attribute 85236 numeric
@attribute 8334 numeric
@attribute 8330 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.4239,0.3336,0.4751,0.649,0.8173,1.707,0.9032,1.8054,0.7518,2.5084,1.4243,0.4227,0.3897,0.937,0.6549,0.8764,1.0554,0.7959,1.3988,0.1066,1.5645,0.9998,1.486,0.4542,1.1096,0.0178,0.7266,-0.444,1.697,1.1455,0.8292,0.3167,0.9153,0.5138,0.5766,0.5104,0.6741,-0.1922,1.4236,0.9035,0.971,1.0292,0.321,1.1153,-0.0412,0.6109,0.2617,0.382,0.5743,-0.1269,1.6594,1.4592,0.766,0.2021,1.2212,1.8841,0.3473,0.2949,0.6555,1.0768,0.4625,0.3425,3.6471,1.2861,Control
A02,0.331,0.3868,0.2064,0.465,0.346,1.6214,0.6426,1.6951,0.5097,2.2703,1.2092,0.2294,0.2466,0.5755,0.2795,0.7208,1.2781,0.4692,1.1118,0.1124,1.8488,0.7348,1.215,0.2866,0.9707,0.0351,0.5437,-0.2404,1.2977,1.0584,0.5779,0.2128,0.7812,0.1027,0.3323,0.3386,0.5489,-0.0101,1.1077,0.7473,1.0263,0.8363,0.2286,0.9646,0.0908,0.4656,0.099,0.285,0.3491,0.1126,1.4059,1.1152,0.5685,0.0874,0.8154,1.5542,0.1614,0.1232,0.4502,0.771,0.2058,0.1352,3.8631,1.0686,Control
A03,0.455,0.389,0.3427,0.6358,0.7944,1.6253,0.6376,1.7496,0.6849,2.6228,1.3513,0.3246,0.2993,1.036,0.543,0.8257,1.0781,0.8861,1.3457,0.1008,1.3201,0.9759,1.3855,0.3673,1.1352,0.1176,0.787,-0.1853,1.8089,1.0217,0.5596,0.2911,0.9344,0.2317,0.6612,0.4342,0.6323,-0.0098,0.9916,0.9707,1.589,1.3422,0.2738,1.0383,0.021,0.4719,0.2106,0.3595,0.5142,0.3132,1.7273,1.2295,0.7227,0.2605,1.1427,1.8949,0.2077,0.2784,0.5046,0.8431,0.7494,0.2223,3.5946,1.2737,Control
A04,0.3391,0.4331,0.1692,0.5089,0.5067,2.0986,0.6101,2.0942,0.4767,3.1305,1.3715,0.3711,0.2713,0.6365,0.8808,0.8193,1.1413,0.9573,1.5993,0.4352,1.8957,0.7354,1.3284,0.2206,1.1213,0.1897,0.8107,-0.1086,1.919,1.1916,0.5527,0.1634,0.8265,0.2759,0.6623,0.3117,0.78,0.0522,1.2798,0.8223,1.2474,1.1942,0.1775,0.9164,0.0953,0.5219,0.2655,0.371,0.4075,0.149,1.5024,1.0577,0.6036,0.2177,1.0283,1.7704,0.3596,0.2047,0.5296,0.8365,0.4258,0.2629,4.3005,1.4227,Control
A05,0.4624,0.4426,0.3361,0.6777,0.9974,2.0925,0.7925,2.0708,0.5598,3.0414,1.3842,0.4657,0.2845,0.9697,0.8108,0.8622,1.6644,0.777,1.6554,0.3671,2.0857,0.9211,1.4057,0.3186,1.2556,0.2227,1.1858,-0.0638,2.1027,1.8138,0.5885,0.2152,1.0764,0.4497,0.8395,0.3877,1.0781,0.2447,1.4666,0.8848,1.5091,1.404,0.2964,1.0405,0.1129,0.3958,0.3148,0.3664,0.4979,0.1865,1.7651,1.2475,0.6637,0.4553,0.9409,1.8376,0.5331,0.4384,0.535,0.8666,0.7186,0.3513,4.4252,1.5657,Control
A06,0.4267,0.2387,0.2668,0.551,0.3729,1.5298,0.7451,1.5723,0.4897,1.9739,1.287,0.2235,0.2325,0.9507,0.2807,0.8196,0.7799,0.433,1.1263,0.0371,1.6338,0.8274,1.3568,0.4412,1.161,0.1394,0.5281,-0.4213,1.4691,0.7416,0.5236,0.1806,0.8032,0.1148,0.359,0.4295,0.4455,-0.0445,1.1492,0.6592,0.8475,1.051,0.1922,0.9335,0.0047,0.5147,0.1924,0.2252,0.4418,-0.1366,1.6072,1.1671,0.5347,0.1552,0.977,1.7066,0.1882,0.0551,0.4429,0.8182,0.4515,0.2529,3.5705,1.0972,Control
A07,0.471,0.4424,0.3528,0.5658,0.5159,1.5418,0.7404,1.8541,0.5836,2.5556,1.3544,0.3506,0.3008,0.9639,0.606,0.8758,0.9163,0.6625,1.2088,0.1908,1.4975,0.8487,1.3942,0.4477,1.0976,0.0705,0.6485,-0.3885,1.4069,0.8402,0.6477,0.3543,0.8621,0.1972,0.621,0.4729,0.4552,-0.0321,1.1515,0.8629,1.3151,1.1654,0.2586,1.0343,0.0708,0.5362,0.2018,0.3551,0.4592,-0.0183,1.6219,1.3098,0.6157,0.2895,0.92,1.7441,0.21,0.2368,0.4896,0.9547,0.7658,0.2074,3.8522,0.9923,Control
A08,0.3689,0.2732,0.3748,0.4068,0.3204,1.4646,0.673,1.8147,0.5327,2.1799,1.3442,0.2797,0.2751,0.9739,0.3564,0.7175,0.7308,0.6549,0.848,0.0024,1.5791,0.839,1.4589,0.4018,0.8865,0.0689,0.3032,-0.3654,1.2519,0.9182,0.581,0.489,0.716,0.1059,0.4237,0.5478,0.6947,7e-04,1.0978,0.6613,0.6845,0.762,0.1634,0.9833,-0.0399,0.7413,0.136,0.351,0.4898,-0.2439,1.3986,1.1794,0.6185,0.0179,0.929,1.6805,0.2098,0.1983,0.5175,0.9516,0.4301,0.1089,3.5159,1.1969,Control
A09,0.359,0.2496,0.2951,0.5257,0.4139,1.5003,0.5381,1.7634,0.5367,2.4726,1.3771,0.317,0.2256,0.8879,0.5898,0.8179,0.8842,0.3255,1.2111,0.1273,1.4027,0.8173,1.3819,0.4023,0.9568,0.0511,0.5142,-0.405,1.16,0.8195,0.7235,0.2837,0.8269,0.3697,0.5147,0.4494,0.7849,-0.0929,1.2182,0.7883,1.1614,1.0633,0.197,1.0531,0.1346,0.3925,0.1834,0.3534,0.4228,-0.0388,1.5857,1.3175,0.5659,0.2331,0.952,1.8181,0.2984,0.3958,0.4678,0.8065,0.2705,0.2007,3.7646,0.993,Control
A10,0.4022,0.4045,0.3184,0.5231,0.6664,1.7565,0.6957,1.9088,0.5879,3.2976,1.4058,0.3551,0.2379,0.8958,0.7929,0.8841,1.255,0.6369,1.3806,0.2764,1.7834,0.8269,1.4796,0.3815,1.0653,0.1036,0.6684,-0.3125,1.4494,1.1224,0.5757,0.379,0.8239,0.2267,0.6585,0.4606,0.7275,-0.0413,1.272,0.7576,0.898,1.0785,0.3155,1.0659,0.035,0.5488,0.238,0.2448,0.4739,0.136,1.615,1.2074,0.6695,0.2241,0.8181,1.7473,0.3277,0.2151,0.4365,0.9296,0.3962,0.2143,4.1893,1.4227,Control
A11,0.4136,0.2212,0.2806,0.4698,0.3619,1.4177,0.5605,1.5051,0.5635,2.3127,1.3033,0.3302,0.2224,0.7237,0.2414,0.7719,0.5353,0.5203,1.036,0.0717,0.8488,0.7262,1.0996,0.32,0.8866,-0.0244,0.3696,-0.4792,0.9653,0.5068,0.6496,0.1566,0.697,0.0042,0.2287,0.4227,0.2295,-0.2439,0.9922,0.8315,0.7671,0.8973,0.1637,0.9661,-0.025,0.3751,0.142,0.2633,0.3314,-0.1225,1.5192,1.2057,0.4112,0.1845,0.6046,1.7083,-0.0152,0.1407,0.4416,0.6527,0.2391,0.0215,3.3687,0.7262,Control
A12,0.177,0.1573,0.041,0.3183,0.1665,1.4977,0.6485,1.3305,0.3494,1.8398,0.8703,0.1004,0.2135,0.3692,0.1596,0.7697,0.968,0.2096,0.6443,-0.1571,1.7859,0.4696,1.0406,0.1092,0.7314,-0.0647,0.1584,-0.6364,1.3459,0.948,0.4081,0.2054,0.3974,-0.285,0.0792,0.1873,0.2239,-0.0375,0.7312,0.3719,0.8492,0.6015,0.0746,0.6706,0.0386,0.386,-0.0257,0.3393,0.1281,-0.2587,1.0574,0.9433,0.5093,-0.097,0.8146,1.2199,0.2375,-0.0244,0.2461,0.6064,-0.0605,0.3443,3.5096,0.8556,Control
B01,0.2377,0.0955,0.2857,0.302,0.1077,1.079,0.6382,1.1604,0.594,1.6105,1.1711,0.1239,0.3664,0.7251,-0.023,0.5696,0.7103,-0.0229,0.6849,-0.4015,1.2653,0.8148,1.3136,0.5584,0.9186,-0.2514,-0.0595,-0.8685,1.2554,0.6069,0.6063,0.3315,0.5295,0.0417,-0.0332,0.4327,0.3453,-0.1559,0.8274,0.5904,0.2336,0.4763,0.1554,1.013,-0.2128,0.6774,-0.1261,0.3431,0.3749,-0.146,1.3619,1.2603,0.5716,-0.3694,1.5537,1.7381,0.1259,0.0415,0.441,0.9639,0.167,0.2682,3.096,1.0784,Control
