@relation data

@attribute id string
@attribute 1457 numeric
@attribute 3725 numeric
@attribute 6722 numeric
@attribute 3265 numeric
@attribute 6774 numeric
@attribute 5781 numeric
@attribute 3572 numeric
@attribute 5894 numeric
@attribute 6464 numeric
@attribute 2002 numeric
@attribute 5604 numeric
@attribute 7297 numeric
@attribute 3716 numeric
@attribute 3718 numeric
@attribute 3717 numeric
@attribute 1051 numeric
@attribute 2885 numeric
@attribute 5595 numeric
@attribute 2353 numeric
@attribute 3569 numeric
@attribute 6654 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.6665,1.2901,0.7962,0.4236,1.4524,0.5566,2.3231,1.7841,0.7565,0.4506,0.7341,1.1125,1.8794,1.7342,1.1912,1.6213,1.6355,1.0952,2.8919,0.0868,1.1256,Control
A02,0.3926,0.8169,0.7836,0.3716,1.317,0.4031,1.8081,1.5394,0.8046,0.2934,0.48,0.9142,1.6629,1.3696,1.0674,1.7161,1.481,1.0379,1.0722,0.0155,0.9005,Control
A03,0.4933,1.1876,0.8148,0.3757,1.4815,0.48,1.7856,1.7337,0.7989,0.364,0.7059,1.189,1.8002,1.5721,1.4901,2.0633,1.7658,1.0752,2.3576,0.0054,1.1275,Control
A04,0.4267,1.2809,0.7938,0.3609,1.3965,0.3995,1.9169,1.6705,0.8019,0.3909,0.5113,1.0194,1.964,1.63,0.865,1.6697,1.4795,1.0602,1.55,0.0835,1.028,Control
A05,0.4824,1.2201,0.9131,0.4772,1.4478,0.4857,1.9514,1.8077,0.8988,0.4547,0.726,1.1783,1.8971,1.5472,1.3068,2.251,1.8562,1.2157,1.9884,0.0837,1.0464,Control
A06,0.4724,0.8267,0.7337,0.2467,1.3706,0.4941,1.8174,1.7479,0.7671,0.4061,0.6824,1.0991,1.8036,1.2322,1.0847,2.0464,1.5705,1.0037,3.0931,-0.0531,0.8852,Control
A07,0.6791,1.2177,0.7957,0.364,1.4224,0.5361,2.1348,1.7697,0.7989,0.3002,0.8669,1.1048,2.0093,1.3739,1.4226,1.9976,1.8609,0.9863,2.7085,0.2383,1.1765,Control
A08,0.7134,0.8932,0.7172,0.2967,1.3603,0.621,2.2571,1.7375,0.784,0.3245,0.8829,0.9992,2.2698,1.2857,1.4684,1.6545,1.7198,1.0102,1.7156,0.1461,1.467,Control
A09,0.5707,0.9938,0.7288,0.349,1.3413,0.4602,2.0952,1.637,0.7778,0.3747,0.7767,0.9788,1.9491,1.4313,1.3695,1.9346,1.8278,1.0062,2.2374,0.1333,0.9988,Control
A10,0.6037,1.3414,0.8269,0.398,1.4577,0.5199,2.0118,1.7832,0.79,0.3376,0.8171,1.0936,2.0508,1.4774,1.4291,1.6829,1.802,0.9394,3.1715,-0.0405,1.3316,Control
A11,0.3943,1.0631,0.5483,0.2904,1.2392,0.4262,1.2418,1.2804,0.5794,0.3242,0.6056,0.9351,1.6694,1.2358,0.976,1.7712,1.5523,0.9926,2.8363,0.1299,0.7415,Control
A12,0.1867,0.7342,0.6808,0.2032,0.947,0.2625,1.5072,1.1644,0.5636,0.1578,0.3165,0.4673,1.4495,0.6995,0.4637,1.1302,1.1373,0.6672,0.9324,0.1091,0.5292,Control
B01,0.5673,0.9628,0.5736,0.1584,1.228,0.5709,2.5637,1.6434,0.5764,0.1905,0.6567,0.8065,1.7935,1.2483,0.9815,1.3273,1.5002,0.7793,1.9549,-0.0468,0.9141,Control
B02,0.4751,1.324,0.843,0.3404,1.4313,0.4835,2.2677,1.8632,0.9083,0.411,0.6188,1.2025,1.861,1.7178,0.9702,1.9788,1.6034,1.0963,3.0428,0.1005,0.8807,Control
B03,0.5037,1.1414,0.6948,0.2646,1.3534,0.5476,2.1162,1.7244,0.7155,0.334,0.6536,1.0036,1.8576,1.4462,1.0222,1.6224,1.5674,0.9479,2.6432,-0.042,0.9276,BRCACancer
B04,0.5824,0.8347,0.6602,0.1782,1.332,0.6444,2.3045,1.7237,0.7092,0.2374,0.8115,0.9559,2.1389,1.2697,1.3224,1.1862,1.6385,0.7243,0.9219,-0.0135,1.4335,BRCACancer
B05,0.3932,0.7116,0.769,0.2381,1.2394,0.3925,1.4916,1.4156,0.7441,0.2082,0.4972,0.818,1.7979,1.2166,0.8028,1.7567,1.4949,0.8239,1.0836,-0.0427,0.7814,BRCACancer
B06,0.4005,0.3639,0.4243,-0.0061,1.0958,0.4255,1.7689,1.4461,0.4797,-0.0844,0.5394,0.6873,1.4884,0.8149,0.7458,0.719,1.1292,0.5177,0.7374,-0.0236,0.7812,BRCACancer
B07,0.6169,1.0629,0.7893,0.38,1.4368,0.4486,2.1277,1.9525,0.8876,0.2864,0.6951,1.1969,1.8836,1.5622,1.1777,1.3839,1.6266,1.0487,1.1829,-0.0061,1.1751,BRCACancer
B08,0.4781,1.1051,0.7268,0.3687,1.2927,0.4422,1.7969,1.5696,0.8025,0.3701,0.682,1.0555,1.5898,1.4211,0.9417,1.9855,1.6339,1.0739,1.4275,0.0749,0.7597,Control
B09,0.5956,0.8169,0.5793,0.2599,1.274,0.7251,1.9802,1.5166,0.6597,0.1553,0.7372,0.8658,2.0995,0.9824,1.1346,1.2153,1.6507,0.6235,1.3994,-0.0041,1.2186,Control
B10,0.4791,0.8396,0.6337,0.2443,1.1627,0.4014,1.9754,1.4615,0.7158,0.1797,0.624,0.7387,2.0355,0.9076,1.0493,1.5012,1.509,0.645,1.7916,0.0115,1.0541,Control
B11,0.3555,0.9395,0.8486,0.4126,1.2351,0.4082,1.763,1.3717,0.7156,0.2409,0.5479,0.8685,1.7208,1.2346,1.078,2.1563,1.7392,0.929,2.0557,-0.0553,0.949,Control
B12,0.2805,0.4563,0.407,0.223,1.0415,0.3673,2.0786,1.2848,0.5098,0.1437,0.6269,0.8181,1.898,0.7889,0.9426,0.8007,1.3322,0.5105,1.0517,-0.0015,1.0091,Control
C01,0.6193,1.1862,0.9255,0.4383,1.4279,0.484,1.7805,1.7078,0.8045,0.3199,0.8022,1.3886,1.8655,1.5326,1.2478,2.1775,1.7966,1.0546,1.6346,0.097,1.0332,BRCACancer
C02,0.4198,1.0171,0.9215,0.5255,1.2517,0.3728,1.8858,1.7071,0.8483,0.4445,0.5312,1.2436,1.9093,1.5906,0.8611,1.9427,1.5019,1.0889,1.5095,0.1439,0.9069,BRCACancer
C03,0.5647,1.1467,1.0605,0.5881,1.4231,0.4522,1.8838,1.8793,0.9954,0.5012,0.6598,1.4793,1.8951,1.9277,1.1874,2.1423,1.5147,1.1527,1.2396,0.0437,1.1291,BRCACancer
C04,0.2923,0.6556,0.5563,0.4087,1.1768,0.2048,1.553,1.0478,0.5631,0.3704,0.4523,0.9276,1.5105,1.34,0.6283,1.6909,1.2632,0.979,2.0212,-0.0894,0.4603,Control
C05,0.214,0.561,0.6721,0.2967,1.1573,0.2329,1.4503,1.2673,0.6458,0.4282,0.3624,0.9495,1.6132,1.3828,0.6115,1.6414,1.1596,0.8706,1.2721,-0.0152,0.4962,BRCACancer
C06,0.167,0.2724,0.2677,0.1841,0.5374,0.2322,0.5001,0.3671,0.147,0.0872,0.1769,0.2457,0.8039,0.3344,0.0456,0.4008,0.5665,0.3107,0.7035,0.0975,0.0704,Control
C07,0.2802,0.8757,0.7136,0.3607,1.2008,0.3212,1.4145,1.3982,0.6577,0.3642,0.3623,0.8763,1.7137,1.2426,0.5995,1.4366,1.2704,0.7954,1.1656,0.065,0.6274,Control
C08,0.3568,0.7973,0.7628,0.4262,1.2679,0.3511,1.8838,1.4462,0.7276,0.3645,0.4813,1.0643,1.6992,1.5432,0.871,1.944,1.4131,0.9733,1.562,0.0795,0.8108,Control
C09,0.3126,1.0962,0.7672,0.3085,1.1943,0.342,1.5051,1.3897,0.7603,0.3339,0.4251,0.9694,1.755,1.4924,0.5834,1.756,1.2526,0.881,2.3816,-0.0467,0.6951,Control
C10,0.2926,0.8773,0.9136,0.3185,1.1373,0.2238,2.0288,1.5438,0.8332,0.3241,0.3825,0.8982,1.8527,1.4465,0.5113,1.8436,1.2452,0.854,1.2761,-0.0578,0.7278,BRCACancer
C11,0.5335,1.0199,0.8312,0.5101,1.3042,0.3878,1.956,1.5467,0.7867,0.4473,0.5718,1.206,1.7474,1.7174,0.8911,1.8964,1.5328,1.0401,1.6417,-0.0881,0.8178,Control
C12,0.2266,0.791,0.5808,0.3112,1.0279,0.3824,1.3124,0.9401,0.4843,0.2536,0.2652,0.8102,1.4628,1.1651,0.4351,1.3227,1.1452,0.8388,0.9171,0.0616,0.4174,BRCACancer
D01,0.6105,0.5089,0.5909,0.372,1.2466,0.5548,2.0162,1.6255,0.5968,0.1844,0.8801,1.1935,1.9326,1.2601,1.3661,1.0483,1.5757,0.7586,0.7339,0.0755,1.1288,BRCACancer
D02,0.3579,0.9631,0.7323,0.4568,1.1871,0.3396,1.6016,1.3262,0.7424,0.431,0.4381,0.9237,1.7786,1.421,0.685,1.8048,1.3968,0.9158,1.2106,-0.0182,0.7383,BRCACancer
