@relation data

@attribute id string
@attribute 3265 numeric
@attribute 5747 numeric
@attribute 5894 numeric
@attribute 5579 numeric
@attribute 5578 numeric
@attribute 5970 numeric
@attribute 5604 numeric
@attribute 9564 numeric
@attribute 2776 numeric
@attribute 1398 numeric
@attribute 2770 numeric
@attribute 5290 numeric
@attribute 6387 numeric
@attribute 2792 numeric
@attribute 2782 numeric
@attribute 5335 numeric
@attribute 5595 numeric
@attribute 7852 numeric
@attribute 2185 numeric
@attribute 4790 numeric
@attribute 5288 numeric
@attribute 5829 numeric
@attribute 5295 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.4236,0.2595,1.7841,1.0586,0.5534,1.4383,0.7341,0.0389,0.6485,0.9907,0.0531,1.5746,-0.0791,-0.119,1.4299,1.7307,1.0952,2.7268,1.1705,1.6981,-0.1229,1.0183,1.4982,1.76,Control
A02,0.3716,0.1285,1.5394,0.7032,0.2001,1.258,0.48,0.0582,0.2358,0.7806,0.0345,1.3014,-0.0476,-0.0204,1.392,1.247,1.0379,2.4224,0.9976,1.2732,-0.1295,0.8499,1.1993,1.6579,Control
A03,0.3757,0.1567,1.7337,0.9762,0.1966,1.4813,0.7059,0.0201,0.4627,0.9451,0.0376,1.3967,0.0356,-0.1335,1.4897,1.3323,1.0752,2.2371,1.1677,1.4485,-0.1385,1.0969,1.3339,1.9065,Control
A04,0.3609,0.158,1.6705,0.82,0.3061,1.484,0.5113,0.1022,0.3177,0.8166,0.0186,1.353,-0.0252,-0.0544,1.4717,1.3202,1.0602,3.1235,1.0834,1.4304,-0.0766,0.9327,1.4882,1.7434,Control
A05,0.4772,0.2684,1.8077,0.9512,0.3059,1.5368,0.726,0.1021,0.4844,0.9618,0.0445,1.4836,0.0069,-0.0887,1.5737,1.2108,1.2157,2.5718,1.2327,1.5181,-0.0769,1.1784,1.3381,1.9721,Control
A06,0.2467,0.1239,1.7479,0.9045,0.296,1.338,0.6824,0.0898,0.3651,0.87,0.0635,1.3845,5e-04,-0.116,1.4137,1.2063,1.0037,3.0026,1.1266,1.3497,-0.121,0.9658,1.3761,1.8749,Control
A07,0.364,0.2112,1.7697,1.3099,0.5102,1.2584,0.8669,0.066,0.8957,1.0263,0.0356,1.5934,-0.1415,-0.1604,1.5236,1.2924,0.9863,2.2907,1.2756,1.6897,-0.1358,1.0181,1.6231,1.9127,Control
A08,0.2967,0.2145,1.7375,1.4137,0.8364,1.2448,0.8829,0.0864,1.0393,0.7391,-0.0088,1.7501,-0.0901,-0.0941,1.4965,1.4821,1.0102,2.3261,1.2823,1.8669,-0.128,1.0077,1.714,1.9432,Control
A09,0.349,0.2051,1.637,1.2508,0.5718,1.3302,0.7767,0.0729,0.8753,0.8608,-0.0266,1.4582,-0.0697,-0.1405,1.4111,1.3752,1.0062,2.5767,1.178,1.606,-0.1118,0.9398,1.5464,1.8616,Control
A10,0.398,0.2446,1.7832,1.3167,0.3781,1.3233,0.8171,0.1025,0.8224,0.8286,0.1115,1.6941,-0.0068,-0.1499,1.5165,1.2657,0.9394,2.3087,1.4162,1.641,-0.0939,1.0533,1.6535,1.9537,Control
