@relation data

@attribute id string
@attribute 10000 numeric
@attribute 1017 numeric
@attribute 1026 numeric
@attribute 1027 numeric
@attribute 10488 numeric
@attribute 1147 numeric
@attribute 1385 numeric
@attribute 1387 numeric
@attribute 148327 numeric
@attribute 1499 numeric
@attribute 1869 numeric
@attribute 1870 numeric
@attribute 1871 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2033 numeric
@attribute 2064 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2260 numeric
@attribute 2263 numeric
@attribute 2308 numeric
@attribute 23533 numeric
@attribute 2475 numeric
@attribute 2885 numeric
@attribute 2932 numeric
@attribute 2950 numeric
@attribute 3265 numeric
@attribute 3320 numeric
@attribute 3326 numeric
@attribute 3479 numeric
@attribute 3480 numeric
@attribute 354 numeric
@attribute 3551 numeric
@attribute 3645 numeric
@attribute 367 numeric
@attribute 369 numeric
@attribute 3845 numeric
@attribute 4193 numeric
@attribute 468 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4824 numeric
@attribute 4893 numeric
@attribute 51176 numeric
@attribute 5154 numeric
@attribute 5155 numeric
@attribute 5156 numeric
@attribute 5159 numeric
@attribute 5170 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 56034 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 572 numeric
@attribute 5728 numeric
@attribute 5894 numeric
@attribute 5925 numeric
@attribute 595 numeric
@attribute 596 numeric
@attribute 5970 numeric
@attribute 64764 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6716 numeric
@attribute 673 numeric
@attribute 6932 numeric
@attribute 6934 numeric
@attribute 7039 numeric
@attribute 7157 numeric
@attribute 7184 numeric
@attribute 80310 numeric
@attribute 83439 numeric
@attribute 842 numeric
@attribute 84699 numeric
@attribute 8503 numeric
@attribute 8517 numeric
@attribute 898 numeric
@attribute 90993 numeric
@attribute 9134 numeric
@attribute 9586 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6233,1.0793,1.2717,2.6139,1.0448,1.5171,1.8356,1.4764,0.097,2.1378,0.1478,0.1122,0.4915,0.6001,-0.0836,1.9196,0.1521,0.6157,0.8453,0.1451,-0.0324,0.8865,1.4389,1.0383,1.6355,0.6628,0.7248,0.4236,0.7571,1.772,-0.0909,0.4989,0.0455,1.1591,-0.086,-0.064,1.3732,1.5967,1.3662,1.8606,1.6981,2.2123,-0.008,2.7938,1.8281,0.5166,0.1685,0.0087,0.0819,0.7923,1.5746,1.5626,1.3366,1.8406,1.4982,0.2071,1.76,1.0952,0.2387,0.7341,0.4307,0.2409,1.2392,1.7841,1.0363,0.1356,1.5972,1.4383,0.3801,1.1256,1.3471,-0.0856,0.5978,1.5458,0.3152,-0.0067,0.7493,2.1012,-0.0473,-0.0468,0.8967,-0.0091,0.0818,0.3604,0.5319,-0.0949,0.0894,0.1328,Control
Utah__A02,0.3831,0.8152,0.9753,2.1529,0.8363,1.302,1.527,1.2354,0.0598,1.9406,-0.0079,0.1624,0.3068,0.4306,-0.0018,1.7075,0.2583,0.5686,0.6275,0.0074,-0.0672,0.4161,1.1486,0.8076,1.481,0.4686,0.8359,0.3716,0.6913,1.5063,-0.0973,0.1816,0.0135,0.9319,-0.0304,-0.1366,1.136,1.3547,1.1733,1.6524,1.2732,2.0603,-0.1357,2.9993,0.9496,0.6073,0.1438,0.0454,0.2443,0.6688,1.3014,1.4139,1.1106,2.0413,1.1993,0.1689,1.6579,1.0379,0.2683,0.48,0.3006,0.1478,0.6452,1.5394,0.801,0.1049,0.7857,1.258,0.2971,0.9005,1.2046,-0.0257,0.4645,1.0057,0.3427,0.0228,0.5887,2.1165,-0.0294,-0.0104,0.6211,-0.0436,0.0895,0.3492,0.2379,-0.1343,-0.0763,0.1232,Control
Utah__A03,0.396,1.0301,1.692,2.3934,1.0544,1.5398,1.7022,1.4513,0.1074,2.228,0.1982,0.3585,0.4835,0.4898,-0.0179,1.9357,0.2874,0.6805,0.7841,0.0802,-0.0507,0.6397,1.5932,1.0044,1.7658,0.609,0.8032,0.3757,0.8905,1.8742,-0.0919,0.1979,0.0249,1.0697,0.0444,-0.1467,1.4067,1.6527,1.5264,1.88,1.4485,2.7503,-0.0454,3.0903,0.8281,0.4638,0.1012,0.0451,0.4882,0.8003,1.3967,1.4596,1.2772,2.162,1.3339,0.2691,1.9065,1.0752,0.2864,0.7059,0.4986,0.1867,0.9168,1.7337,1.0565,0.1251,0.7002,1.4813,0.3676,1.1275,1.3774,-0.0911,0.5178,0.8256,0.6523,0.0026,0.8079,2.0657,0.093,-0.0412,0.9002,0.0277,0.2042,0.3742,0.4986,-0.109,0.1382,0.1941,Control
Utah__A04,0.5255,0.827,0.9804,2.6652,0.8539,1.079,1.6873,1.2933,0.0341,2.1149,0.0725,0.1316,0.2684,0.406,-0.029,1.6503,0.2938,0.6225,0.7141,3e-04,-0.0617,0.6211,1.374,0.953,1.4795,0.5054,0.9137,0.3609,0.7697,1.8501,-0.0847,0.2293,0.0344,0.9555,0.0135,-0.1099,1.2239,1.1951,1.155,1.8523,1.4304,2.2761,-0.0327,3.0364,1.1672,0.4994,0.196,0.0058,0.1572,0.7491,1.353,1.4002,1.2477,2.0983,1.4882,0.2883,1.7434,1.0602,0.2115,0.5113,0.4277,0.2507,0.7608,1.6705,0.8205,0.2164,0.8705,1.484,0.3373,1.028,1.2203,-0.0372,0.5636,1.3867,0.2924,-0.0118,0.5955,2.008,0.0097,-0.0409,0.7648,-0.0225,0.0407,0.3772,0.2161,-0.0394,-0.0228,0.1031,Control
Utah__A05,0.5106,1.0253,1.7524,2.4343,1.0706,1.4435,1.7772,1.4436,0.1187,2.1217,0.2314,0.2786,0.467,0.8132,-0.0454,1.9547,0.3689,0.7463,0.7904,0.053,-0.0695,0.7129,1.5816,1.0559,1.8562,0.6009,0.9284,0.4772,0.69,1.4187,-0.034,0.3115,-0.072,1.0728,0.0471,-0.0576,1.3362,1.4096,1.345,1.9027,1.5181,2.4615,0.0803,3.3113,1.0436,0.7112,0.2167,0.0339,0.1976,0.8948,1.4836,1.8548,1.357,2.0939,1.3381,0.3996,1.9721,1.2157,0.4019,0.726,0.5021,0.3108,0.9371,1.8077,1.0433,0.1872,0.8938,1.5368,0.4155,1.0464,1.3739,-0.0667,0.6105,1.1059,0.4474,0.0323,0.7673,2.1084,0.1016,-0.0642,0.998,-0.0114,0.1426,0.6097,0.3737,-0.047,0.0629,0.2257,Control
Utah__A06,0.4506,0.8221,1.4036,2.297,0.9013,1.3907,1.6188,1.3768,0.108,2.0671,0.1291,0.0767,0.4588,0.4684,-0.0159,1.8403,0.285,0.6458,0.7372,0.0711,-0.0799,0.5875,1.4575,0.9456,1.5705,0.5351,0.9335,0.2467,0.6767,1.7012,-0.0936,0.331,0.0197,0.9844,-0.0326,-0.0893,1.3004,1.4336,1.2339,1.8849,1.3497,2.472,-0.0979,2.8748,1.0319,0.3478,0.0934,0.0181,0.0664,0.7874,1.3845,1.4475,1.2439,1.9853,1.3761,0.1914,1.8749,1.0037,0.2116,0.6824,0.3564,0.2291,0.835,1.7479,0.8912,0.0491,0.813,1.338,0.4033,0.8852,1.3309,-0.054,0.5021,1.1287,0.3386,0.0918,0.6036,2.1716,0.077,-0.0456,0.9565,-0.0783,0.0877,0.3246,0.226,-0.1213,-0.0971,0.1602,Control
Utah__A07,0.74,0.8887,1.1581,2.1826,0.9521,1.4674,1.8387,1.4744,0.0923,2.242,0.0777,0.2028,0.6855,0.4347,-0.019,1.9418,0.2977,0.597,0.7443,0.0527,-0.1036,1.0091,1.4083,0.982,1.8609,0.8251,0.8727,0.364,0.5796,1.4115,-0.0679,0.5224,-0.0461,1.1473,0.0118,-0.1221,1.2829,1.7064,1.3922,1.5155,1.6897,1.9798,0.0391,2.9085,1.5647,0.5108,0.1013,0.0444,0.3481,0.8207,1.5934,1.5467,1.2997,1.9624,1.6231,0.2011,1.9127,0.9863,0.333,0.8669,0.4096,0.2349,1.3069,1.7697,1.0213,0.1216,1.3348,1.2584,0.4716,1.1765,1.4837,-0.0654,0.7036,1.2988,0.7088,0.0348,0.684,2.1543,0.1155,-0.0328,0.8172,0.0237,0.1594,0.3276,0.395,-0.102,-0.0227,0.2664,Control
Utah__A08,1.0516,0.8162,1.1244,1.9952,0.8342,1.3187,1.919,1.5962,-0.0187,2.2731,0.1985,0.1055,0.8414,0.2616,-0.0439,2.0295,0.2675,0.5375,0.7355,0.0863,-0.0755,1.3625,1.3564,1.0594,1.7198,1.0661,0.5649,0.2967,0.7084,1.5747,-0.0714,0.8759,0.1037,1.198,-0.0374,-0.1022,1.2091,1.6216,1.4066,1.5419,1.8669,1.9095,-0.0602,2.6904,2.1593,0.3805,0.1132,-0.0364,0.2918,0.8395,1.7501,1.5683,1.321,2.0579,1.714,0.168,1.9432,1.0102,0.3841,0.8829,0.3414,0.086,1.4954,1.7375,1.0826,0.0853,1.9587,1.2448,0.4468,1.467,1.4271,-0.0752,0.87,1.5945,0.977,1e-04,0.6482,1.904,0.2564,-0.0766,0.7257,-0.0095,0.1918,0.1674,0.3103,-0.1302,-0.0748,0.2043,Control
Utah__A09,0.7535,0.8193,1.3153,2.2289,0.9755,1.4072,1.7005,1.4502,0.0892,2.1764,0.128,0.1348,0.5653,0.5351,-0.0328,1.9327,0.1983,0.5633,0.6938,0.033,-0.0535,1.0165,1.3804,0.8822,1.8278,0.7154,0.6849,0.349,0.5974,1.5467,-0.0975,0.5908,0.0306,1.047,0.043,-0.0818,1.2521,1.5553,1.302,1.5854,1.606,2.1911,-0.0016,2.8883,1.7811,0.5645,0.1341,0.0158,0.209,0.8331,1.4582,1.4714,1.2447,1.976,1.5464,0.1702,1.8616,1.0062,0.3076,0.7767,0.356,0.207,1.3533,1.637,1.0359,0.0974,1.6272,1.3302,0.3948,0.9988,1.3188,-0.0482,0.6839,1.4003,0.7113,0.0622,0.5412,2.1752,0.0726,-0.0255,0.7466,-0.0725,0.0917,0.2539,0.3204,-0.1113,-0.0252,0.2328,Control
Utah__A10,0.8026,0.8978,1.1616,1.7823,0.9461,1.4266,1.9569,1.5075,0.0829,2.3614,0.1218,0.0646,0.8037,0.7675,-0.0615,1.9649,0.2637,0.5633,0.7332,0.05,-0.072,0.8795,1.4485,1.0156,1.802,0.9142,0.8141,0.398,0.6163,1.4562,-0.0678,0.3276,0.0642,1.1476,-0.0422,-0.0437,1.1456,1.4415,1.3575,1.5651,1.641,2.1251,0.0283,2.9966,1.2214,0.6005,0.1742,-0.0171,0.1452,0.8665,1.6941,1.7523,1.2718,2.115,1.6535,0.2665,1.9537,0.9394,0.3349,0.8171,0.4749,0.2064,1.3318,1.7832,0.9646,0.1256,1.211,1.3233,0.4483,1.3316,1.3713,-0.0763,0.7899,1.1232,0.5359,-0.008,0.5878,2.0505,0.3043,-0.0689,0.9483,0.0167,0.2381,0.3962,0.2036,-0.086,0.0348,0.3279,Control
