@relation data

@attribute id string
@attribute 1605 numeric
@attribute 2776 numeric
@attribute 3706 numeric
@attribute 3707 numeric
@attribute 427 numeric
@attribute 820 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.4027,0.6216,-0.2728,1.0966,1.8216,0.5271,Control
Utah__A02,0.3437,0.1857,-0.2148,0.6518,1.952,0.5294,Control
Utah__A03,0.3991,0.4253,-0.2764,0.7324,2.1669,0.6243,Control
Utah__A04,0.3502,0.2721,-0.0499,0.7982,1.8624,0.564,Control
Utah__A05,0.53,0.4482,-0.0961,0.8411,2.1879,0.6934,Control
Utah__A06,0.3291,0.3223,-0.274,0.7714,2.2086,0.5795,Control
Utah__A07,0.3756,0.8825,-0.1231,1.2065,2.2054,0.6684,Control
Utah__A08,0.2695,1.0342,-0.2966,1.3348,1.9503,0.4653,Control
Utah__A09,0.3212,0.861,-0.1635,1.0956,2.1515,0.5153,Control
Utah__A10,0.3419,0.8051,-0.1121,1.0771,2.0336,0.4522,Control
Utah__A11,0.1877,0.5011,-0.2273,0.6849,1.838,0.5421,Control
Utah__A12,0.1687,0.0799,-0.3233,0.5386,1.6622,0.8223,Control
Utah__B01,0.2563,0.5459,-0.5937,0.9971,1.876,0.7182,Control
Utah__B02,0.3809,0.2957,-0.1361,1.0117,2.1795,0.5272,Control
Utah__B03,0.289,0.4204,-0.2422,0.9534,2.1116,0.588,BRCACancer
Utah__B04,0.3739,1.0499,-0.3251,1.3396,1.6998,0.5957,BRCACancer
Utah__B05,0.2038,0.2189,-0.3028,0.7066,2.1978,0.6614,BRCACancer
Utah__B06,0.1592,0.2931,-0.5867,0.5947,1.7149,0.9013,BRCACancer
Utah__B07,0.3271,0.3195,-0.1681,0.9043,1.9314,0.915,BRCACancer
Utah__B08,0.2654,0.2425,-0.1113,0.6699,2.0258,0.5256,Control
Utah__B09,0.2145,0.9171,-0.299,1.0904,1.8435,0.5402,Control
Utah__B10,0.251,0.6751,-0.1943,0.9431,1.7474,0.5383,Control
Utah__B11,0.2981,0.4736,-0.1707,0.755,1.8749,0.5831,Control
Utah__B12,0.1557,0.8003,-0.1882,1.0554,1.3081,0.5313,Control
Utah__C01,0.3682,0.702,-0.255,0.9844,2.0197,0.5748,BRCACancer
Utah__C02,0.4842,0.2034,-0.0996,0.8294,1.7913,0.5315,BRCACancer
Utah__C03,0.4545,0.3026,-0.1094,0.9892,1.8888,0.7698,BRCACancer
Utah__C04,0.2207,0.1299,-0.1207,0.4634,1.6641,0.657,Control
Utah__C05,0.2567,0.1367,-0.0825,0.5049,1.587,0.6042,BRCACancer
Utah__C06,0.0129,0.1005,-0.1836,0.1843,0.7285,0.6047,Control
Utah__C07,0.2576,0.1134,-0.0821,0.6286,1.6233,0.5765,Control
Utah__C08,0.3523,0.155,-0.1536,0.733,1.7403,0.5267,Control
Utah__C09,0.2788,0.1186,-0.0452,0.6413,1.5663,0.803,Control
Utah__C10,0.3652,0.0902,-0.0242,0.6687,1.6657,0.5387,BRCACancer
Utah__C11,0.3845,0.2292,-0.0313,0.8652,1.796,0.4922,Control
Utah__C12,0.2016,0.1103,0.0183,0.4356,1.3507,0.6722,BRCACancer
Utah__D01,0.2207,1.2058,-0.2896,1.3224,1.748,0.5799,BRCACancer
Utah__D02,0.371,0.1655,-0.0283,0.6997,1.7367,0.3553,BRCACancer
Utah__D03,0.2745,0.2068,-0.0657,0.5901,1.626,0.6597,BRCACancer
Utah__D04,0.324,0.3503,-0.0673,0.6653,1.8853,0.47,BRCACancer
Utah__D05,0.3404,0.2295,-0.0734,0.6857,1.9495,0.6862,BRCACancer
Utah__D06,0.3464,0.2819,-0.1266,0.8167,1.8949,0.5594,BRCACancer
Utah__D07,0.376,0.1447,-0.0434,0.7133,1.9987,0.6024,Control
Utah__D08,0.1984,0.1265,-0.0849,0.5204,1.6515,0.5825,Control
Utah__D09,0.3402,0.1413,-0.22,0.7389,1.7825,0.5495,Control
Utah__D10,0.2801,0.198,-0.0568,0.5093,1.9527,1.0891,Control
Utah__D11,-0.001,0.1026,-0.2974,0.4076,1.0274,0.5131,Control
Utah__D12,0.1413,0.1213,-0.1148,0.3951,1.7788,0.2849,Control
Utah__E01,0.1999,0.1165,-0.0552,0.5403,1.7921,0.5017,BRCACancer
Utah__E02,0.4088,0.1302,-0.0271,0.9812,1.637,0.5439,Control
Utah__E03,0.4079,0.1443,0.0435,0.5894,2.0201,0.5481,Control
Utah__E04,0.4142,0.1933,-0.0722,0.8236,1.7747,0.5331,Control
