@relation data

@attribute id string
@attribute 5436 numeric
@attribute 5437 numeric
@attribute 5434 numeric
@attribute 5435 numeric
@attribute 6829 numeric
@attribute 51497 numeric
@attribute 5438 numeric
@attribute 25920 numeric
@attribute 5439 numeric
@attribute 6827 numeric
@attribute 1025 numeric
@attribute 11198 numeric
@attribute 7469 numeric
@attribute 5440 numeric
@attribute 6749 numeric
@attribute 6921 numeric
@attribute 6924 numeric
@attribute 6923 numeric
@attribute 5441 numeric
@attribute 2963 numeric
@attribute 2962 numeric
@attribute 9150 numeric
@attribute 7936 numeric
@attribute 6917 numeric
@attribute 5431 numeric
@attribute 904 numeric
@attribute 5430 numeric
@attribute 5433 numeric
@attribute 5432 numeric
@attribute 8178 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.4354,1.1959,0.9817,0.7223,0.9637,1.5652,0.2219,0.7944,0.8808,2.3123,1.8981,1.5557,0.3908,1.14,1.0174,0.9029,1.4192,0.46,0.836,0.4001,0.9155,0.5565,1.1321,0.4679,2.0825,1.5199,1.5522,0.8088,1.16,0.45,Control
A02,1.1562,0.9626,0.8539,0.3854,0.7768,1.3931,0.1063,0.647,0.7347,2.3103,1.7613,1.441,0.3855,0.9461,0.8407,0.4679,1.1098,0.5159,0.7074,0.2157,0.7528,0.4535,0.8768,0.2526,2.0833,1.1673,1.3891,0.6644,0.8994,0.3407,Control
A03,1.3708,1.0552,1.0277,0.6997,0.8762,1.5497,0.1499,0.8588,0.8758,2.537,1.91,1.6319,0.3933,1.1323,0.9796,0.7706,1.4452,0.7095,0.7009,0.3497,0.9088,0.5942,1.0096,0.4456,2.055,1.4234,1.5684,0.7828,1.1302,0.4154,Control
A04,1.2516,1.0876,0.9127,0.5693,0.8648,1.3119,0.3144,0.819,0.9022,2.3714,1.8452,1.4632,0.5038,1.143,0.8349,0.5581,1.3034,0.6804,0.799,0.2486,0.8665,0.6628,1.0214,0.2764,2.1358,1.2206,1.4578,0.6845,1.0701,0.3744,Control
A05,1.448,1.0842,1.1475,0.7293,0.9718,1.3637,0.4329,0.9194,0.9387,2.6312,1.894,1.4556,0.4325,1.0415,0.9455,0.6246,1.5262,0.7137,0.9498,0.3416,1.0537,0.7296,1.1961,0.3512,2.1131,1.2823,1.5719,0.771,1.0463,0.4838,Control
A06,1.3463,1.0566,0.9961,0.6284,0.8618,1.2791,0.2293,0.7111,0.951,2.3202,1.8748,1.485,0.3123,1.0075,0.9051,0.565,1.3621,0.4342,0.8847,0.2325,0.9523,0.5504,1.0331,0.2346,2.013,1.4256,1.45,0.6504,1.0496,0.4027,Control
A07,1.2636,1.0864,0.9622,0.7287,0.7943,1.3938,0.1682,0.7659,0.7372,2.3934,1.8824,1.5159,0.4281,0.9531,0.9275,0.7531,1.4068,0.4148,0.6864,0.3985,0.9564,0.563,1.0379,0.3841,2.1069,1.4898,1.4774,0.8238,1.0936,0.4492,Control
A08,1.1024,0.8803,0.6375,0.5887,0.7474,1.253,0.0336,0.6449,0.8896,1.9375,1.6506,1.4349,0.3355,0.9223,0.8591,0.6661,1.2989,0.3275,0.6422,0.443,0.7089,0.5086,0.9705,0.6374,2.0036,1.347,1.5842,0.6566,0.9022,0.3917,Control
A09,1.3495,0.9737,0.8945,0.5617,0.782,1.2685,0.2329,0.7294,0.9042,2.369,1.8499,1.5116,0.3428,0.8756,0.9943,0.6516,1.3312,0.3741,0.6051,0.3887,0.9767,0.5688,1.0054,0.4018,2.0307,1.4321,1.4547,0.7091,0.9718,0.3555,Control
A10,1.3085,1.0401,0.9445,0.65,0.7154,1.4071,0.3371,0.7193,0.935,2.2899,1.8332,1.4713,0.341,1.0417,0.9104,0.6245,1.4832,0.4475,0.7454,0.3808,0.8408,0.564,1.1251,0.3606,2.1681,1.4629,1.5175,0.6642,0.9752,0.431,Control
