@relation data

@attribute id string
@attribute 1674 numeric
@attribute 1756 numeric
@attribute 4604 numeric
@attribute 4606 numeric
@attribute 4607 numeric
@attribute 4621 numeric
@attribute 4624 numeric
@attribute 4626 numeric
@attribute 4632 numeric
@attribute 4633 numeric
@attribute 4634 numeric
@attribute 4635 numeric
@attribute 4703 numeric
@attribute 7111 numeric
@attribute 7125 numeric
@attribute 7134 numeric
@attribute 7135 numeric
@attribute 7136 numeric
@attribute 7137 numeric
@attribute 7138 numeric
@attribute 7139 numeric
@attribute 7140 numeric
@attribute 7168 numeric
@attribute 7169 numeric
@attribute 7170 numeric
@attribute 7171 numeric
@attribute 7273 numeric
@attribute 7431 numeric
@attribute 8557 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.0782,-0.1055,-0.1299,-0.0919,0.0915,-0.056,-0.0482,-0.1615,-0.0206,-0.1341,0.0302,-0.031,0.0289,0.0425,0.0396,0.1813,0,-0.0399,-0.0874,0.1724,-0.0787,0.0255,0.4337,0.3329,0.6489,0.8043,0.7234,2.3803,-0.0988,-0.0417,-0.0335,Control
Utah__A02,0.0986,-0.1329,-0.0939,-0.1245,0.1139,-0.0602,-0.048,-0.1536,0.0154,-0.12,0.1471,-0.0675,3e-04,0.1416,0.0404,0.1101,0.0939,0.0934,-0.1403,0.0892,0.0022,-0.0327,0.2931,0.0218,0.5487,0.49,0.2588,2.1655,0.1136,-0.0217,-0.0834,Control
Utah__A03,0.0279,-0.1301,-0.1225,-0.1383,0.148,-0.0911,-0.066,-0.178,-0.0361,-0.0413,0.092,0.099,0.0054,0.2416,0.1381,0.2212,0.1342,0.1787,-0.1317,0.1502,0.0492,-0.0072,0.3848,0.0086,0.7821,0.6082,0.3606,2.5636,-0.0907,-0.0262,-0.0237,Control
Utah__A04,0.2528,-0.1017,-0.0739,-0.0824,0.1474,-0.0496,-0.0425,-0.1199,0.0471,-0.033,0.0705,0.1219,0.0085,0.0993,0.1344,0.176,0.0591,0.1858,-0.0248,0.1254,-0.0801,0.099,0.3413,0.1423,0.5337,0.6094,0.3227,2.2957,-0.0107,-0.0176,0.0364,Control
Utah__A05,0.1263,-0.07,-0.075,-0.049,0.1117,-0.0762,-0.008,-0.1256,-0.0523,-0.0671,0.0033,0.0176,0.0081,0.185,0.0975,0.0695,0.0219,0.3273,-0.0212,0.3235,-0.0409,0.1073,0.5343,0.1174,0.6424,0.6532,0.3798,2.6643,0.0125,-0.0468,0.0365,Control
Utah__A06,-0.004,-0.1281,-0.1064,-0.1969,0.1014,-0.0531,-0.0609,-0.2002,0.0285,1e-04,0.0889,0.1343,0.0282,0.0216,-0.0138,0.1286,-3e-04,0.1697,-0.186,0.0949,-0.0342,-1e-04,0.2876,0.1532,0.6099,0.57,0.3093,2.5366,-0.1807,-0.0135,-0.0588,Control
Utah__A07,0.1133,-0.1397,-0.1184,-0.1489,0.0929,-0.0745,-0.0656,-0.1632,-0.0319,-0.0715,0.0898,-0.1075,0.028,-5e-04,-0.0692,0.1709,0.0398,0.0022,-0.0964,0.1413,0.043,0.0232,0.3922,0.1818,0.7273,0.5471,0.374,2.6141,-0.0845,-0.0435,-0.0656,Control
Utah__A08,-0.1412,-0.1235,-0.1136,-0.11,0.0833,-0.0171,-0.0557,-0.1481,-0.0725,-0.0384,0.1182,-0.1165,-0.0318,0.1091,0.0813,0.19,0.0419,0.0301,-0.1655,0.1255,-0.0739,0.0344,0.466,0.0487,0.7703,0.6564,0.7594,2.251,-0.1696,-0.0501,-0.0916,Control
Utah__A09,0.1348,-0.1174,-0.1274,-0.1623,0.0458,-0.0867,-0.0904,-0.1485,-0.041,-0.0611,0.073,-0.0598,8e-04,0,-0.0789,0.2079,0.0942,0.0454,-0.0862,0.0998,0.0016,0.0319,0.4098,-0.0496,0.6174,0.5764,0.3865,2.414,-0.0538,-0.0362,-0.0372,Control
Utah__A10,0.0294,-0.0921,-0.1063,-0.1224,0.0916,-0.0494,-0.068,-0.142,-0.0884,-0.0445,0.004,-0.0692,0.1275,0.0719,0.1422,0.1799,-0.0384,0.1289,-0.0809,0.168,-0.0526,0.044,0.5168,0.1009,0.7447,0.6605,0.3842,2.4836,-0.0465,-0.0463,-0.0031,Control
