@relation data

@attribute id string
@attribute 4208 numeric
@attribute 3725 numeric
@attribute 4205 numeric
@attribute 2002 numeric
@attribute 54106 numeric
@attribute 9450 numeric
@attribute 4615 numeric
@attribute 6416 numeric
@attribute 3929 numeric
@attribute 8737 numeric
@attribute 1386 numeric
@attribute 10333 numeric
@attribute 9252 numeric
@attribute 4214 numeric
@attribute 23643 numeric
@attribute 3551 numeric
@attribute 6885 numeric
@attribute 1385 numeric
@attribute 5648 numeric
@attribute 735 numeric
@attribute 929 numeric
@attribute 9641 numeric
@attribute 4791 numeric
@attribute 8411 numeric
@attribute 4790 numeric
@attribute 4793 numeric
@attribute 731 numeric
@attribute 4792 numeric
@attribute 730 numeric
@attribute 733 numeric
@attribute 732 numeric
@attribute 7100 numeric
@attribute 114609 numeric
@attribute 1432 numeric
@attribute 5970 numeric
@attribute 28908 numeric
@attribute 7189 numeric
@attribute 729 numeric
@attribute 11035 numeric
@attribute 727 numeric
@attribute 23118 numeric
@attribute 51295 numeric
@attribute 1849 numeric
@attribute 1848 numeric
@attribute 629 numeric
@attribute 1845 numeric
@attribute 1846 numeric
@attribute 64145 numeric
@attribute 717 numeric
@attribute 716 numeric
@attribute 718 numeric
@attribute 713 numeric
@attribute 712 numeric
@attribute 715 numeric
@attribute 714 numeric
@attribute 51284 numeric
@attribute 10747 numeric
@attribute 51311 numeric
@attribute 148022 numeric
@attribute 1147 numeric
@attribute 257397 numeric
@attribute 59307 numeric
@attribute 4153 numeric
@attribute 51135 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5600 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 30849 numeric
@attribute 5604 numeric
@attribute 5609 numeric
@attribute 5608 numeric
@attribute 7314 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 5595 numeric
@attribute 5598 numeric
@attribute 5594 numeric
@attribute 6195 numeric
@attribute 7867 numeric
@attribute 3661 numeric
@attribute 8517 numeric
@attribute 5599 numeric
@attribute 81793 numeric
@attribute 9261 numeric
@attribute 28378 numeric
@attribute 5516 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 5289 numeric
@attribute 353376 numeric
@attribute 5519 numeric
@attribute 3654 numeric
@attribute 11213 numeric
@attribute 29110 numeric
@attribute 466 numeric
@attribute 7098 numeric
@attribute 5528 numeric
@attribute 1675 numeric
@attribute 7099 numeric
@attribute 10454 numeric
@attribute 4064 numeric
@attribute 7096 numeric
@attribute 2353 numeric
@attribute 7097 numeric
@attribute 3665 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.9973,1.3192,1.0742,0.4312,0.2765,0.5714,1.4781,0.7285,-0.0727,1.4069,1.574,1.7164,0.9589,2.2889,0.9454,1.1434,1.4603,1.8416,-0.0642,-0.1034,2.3884,0.9143,1.1249,0.9054,1.6889,0.878,-0.0221,2.2235,-0.1696,0.1511,-0.0094,0.4969,0.4191,1.4426,1.4148,0.1019,0.8106,-0.0897,0.9275,0.4324,1.8011,0.3118,1.1185,1.9155,0.0573,1.1838,0.0722,0.974,0.1729,-0.036,-0.0146,0.037,-0.0361,0.156,-0.1855,0.85,-0.0109,1.9081,0.4404,1.5306,1.3516,0.9471,-0.3126,2.0121,1.121,-0.0344,-0.0276,0.4255,0.744,1.0056,0.718,0.6035,0.7028,0.6471,0.1026,1.8816,1.0783,0.528,1.7309,0.9065,1.1736,0.795,0.3441,1.4021,1.1617,0.9375,0.0632,0.8995,1.7155,1.3778,1.215,0.4771,1.0466,0.6257,1.5486,1.5369,1.4724,0.2909,1.0987,1.032,2.4406,0.2804,1.7809,2.2424,2.8983,1.9375,0.3185,Control
A02,0.7343,0.8029,0.7184,0.2767,0.2545,0.5004,1.747,0.4813,-0.1553,1.2491,1.4086,1.6178,0.4939,1.8995,0.768,0.9151,1.1513,1.5349,0.0181,-0.0875,2.256,0.611,0.9052,0.629,1.279,0.7342,0.0305,2.0678,-0.1331,0.2425,0.005,0.4454,0.2389,1.1508,1.23,0.1428,0.7424,-0.0771,0.7549,0.2423,1.4216,0.1717,1.1161,1.8067,0.1226,1.1049,-0.0227,0.6967,0.42,-0.0843,0.0635,0.2535,0.2377,0.0646,0.0541,0.644,0.0143,1.974,0.4349,1.317,1.2364,0.7907,-0.2791,1.6504,0.983,0.0192,-0.0188,0.2945,0.722,0.7856,0.4692,0.523,0.2931,0.7377,0.1045,1.6266,1.0214,0.3075,1.6299,0.9246,1.1959,0.6275,0.3329,0.9672,0.8007,0.8165,0.0844,0.6984,1.5576,1.1745,0.8686,0.4448,0.8005,0.5548,1.4528,1.5024,1.2604,0.3888,1.0315,1.4344,2.4631,0.1772,1.9779,2.1138,1.0191,1.5387,0.2428,Control
A03,0.856,1.2073,1.0479,0.3461,0.3278,0.674,1.9692,0.6279,-0.1475,1.4813,1.4536,1.6152,0.6912,2.1356,0.8745,1.0536,1.3066,1.7089,-0.0122,-0.0723,2.3927,0.8072,1.0347,0.8516,1.4481,1.0606,0.0556,2.7745,-0.1623,0.1357,-0.049,0.5709,0.3276,1.3711,1.459,0.0716,0.9056,-0.0872,1.0587,0.4886,1.3773,0.2714,1.3758,1.9201,0.1377,1.41,0.1975,0.8325,0.6511,-0.029,0.1874,0.6222,0.6752,0.1361,0.1958,1.1479,0.0103,2.3606,0.4914,1.5532,1.4131,0.9024,-0.2049,1.9073,1.1034,-0.0146,0.0192,0.494,1.0145,0.914,0.6904,0.6958,0.429,0.7912,0.1148,1.8238,1.0584,0.5595,1.8758,1.0222,1.2951,0.6943,0.358,1.211,0.6629,1.1352,-0.1861,0.9294,1.7575,1.364,1.0662,0.5301,0.9466,0.6877,1.8517,1.6883,1.2702,0.4271,1.1744,1.3556,2.8054,0.237,1.7727,2.2204,2.3465,1.9723,0.4408,Control
A04,0.9735,1.3091,0.7307,0.3725,0.2191,0.6053,1.8283,0.5001,-0.1281,1.3259,1.4952,1.4472,0.575,2.278,0.6914,0.9388,1.2606,1.6942,-0.0251,-0.0162,2.4588,0.7168,1.005,0.607,1.4307,0.8456,-0.0102,2.2888,-0.1117,0.2093,-0.018,0.3628,0.2678,1.2559,1.4617,0.2061,0.7685,-0.0537,0.7622,0.2318,1.5642,0.2662,1.3167,1.4748,0.0034,1.126,0.1832,0.7725,0.1764,-0.0736,-0.0217,0.1105,0.1145,0.072,-0.042,0.2493,-0.0438,1.7426,0.4179,1.0954,1.16,0.9506,-0.162,1.4808,1.064,-0.0052,0.1305,0.4226,0.781,0.8542,0.4999,0.6518,0.3654,0.5956,0.112,1.7883,1.0435,0.4448,1.7145,1.0052,1.2322,0.6398,0.3611,0.9665,1.022,0.9351,-0.0336,0.613,1.7134,1.3892,0.8517,0.3377,0.6769,0.6186,1.355,1.215,1.212,0.2093,1.0878,1.5046,2.264,0.1192,1.6798,2.0135,1.5126,1.4205,0.3898,Control
A05,1.0726,1.2428,0.9836,0.4351,0.2494,0.6996,2.0997,0.5851,-0.1017,1.4854,1.5048,1.9942,0.7205,2.4514,0.9884,1.0568,1.3929,1.7835,-0.0532,-0.1014,2.905,0.7775,1.0961,0.8523,1.5153,1.0843,-0.0637,2.4787,-0.111,0.2895,-0.0486,0.6849,0.4198,1.5137,1.5159,0.252,0.825,-0.1081,0.9065,0.4582,1.5814,0.3578,1.5447,2.2342,0.0997,1.6022,0.169,0.8098,0.528,-0.0793,0.1125,0.3764,0.5649,0.1345,0.1109,0.8141,-0.056,2.4527,0.5922,1.4575,1.3496,0.9552,-0.1706,1.7397,1.1345,-0.0161,0.0999,0.4974,0.9779,0.9814,0.7099,0.7144,0.5039,0.6996,0.1047,1.7933,1.1978,0.5869,1.9408,1.1126,1.4811,0.7188,0.5943,1.1192,0.9075,1.0201,0.0106,0.8986,1.7923,1.5247,1.023,0.5601,0.8498,0.8184,1.9008,1.4968,1.3174,0.382,1.1406,1.7993,2.9743,0.2521,1.9731,2.4308,1.9653,2.0974,0.4368,Control
A06,0.9088,0.8136,0.8948,0.3874,0.327,0.6523,1.7849,0.575,-0.1626,1.4059,1.3949,1.7934,0.5788,2.0424,0.988,0.9679,1.2752,1.6261,-0.003,-0.0734,2.7576,0.6757,0.8388,0.754,1.3528,0.8697,0.0147,2.4894,-0.1008,0.1478,0.0114,0.5961,0.3654,1.2007,1.312,0.0613,0.7493,-0.0708,0.7923,0.4776,1.4081,0.1688,1.2699,1.7831,0.0604,1.2265,-0.1592,0.8179,0.2107,-0.0485,0.0597,0.1533,0.1919,0.0106,-0.0628,0.5957,-0.0949,2.2577,0.4394,1.4051,1.2504,0.8254,-0.2255,1.6493,0.9999,-0.0265,-0.0898,0.3508,0.8196,0.8666,0.6673,0.5537,0.6103,0.7772,0.1159,1.6432,0.9874,0.3949,1.8446,0.9801,1.3188,0.5837,0.3083,1.1521,0.5666,1.01,0.0357,0.7092,1.5924,1.3574,0.9651,0.4917,0.7526,0.6275,1.854,1.4355,1.2662,0.2264,0.973,1.5953,3.0746,0.2171,1.2462,2.137,3.1061,1.8641,0.2558,Control
A07,1.2314,1.2402,1.2678,0.2834,0.3888,0.8068,1.7324,0.7805,-0.0732,1.4578,1.5978,1.8524,0.8572,2.4121,0.7724,1.1316,1.5008,1.8447,-0.0257,-0.0729,2.4837,0.7734,0.9712,0.8445,1.6808,0.8257,-0.0082,1.9854,-0.1252,0.1353,-0.0208,0.5228,0.3837,1.592,1.2303,0.1536,0.9049,-0.081,0.8793,0.3844,1.7287,0.2405,1.2864,2.1442,0.1152,1.2423,-0.0279,0.8879,0.335,-0.0988,-0.0153,0.2258,0.164,0.0281,-0.0144,0.8012,-6e-04,1.9953,0.5045,1.4813,1.3738,0.8264,-0.1733,1.9387,1.0948,-0.0107,-0.077,0.4043,0.7471,0.9844,0.8479,0.5012,0.5968,0.4619,0.1706,1.9955,0.9702,0.4629,1.882,0.9852,1.3141,0.698,0.3113,1.3691,0.5951,1.1051,-0.0814,1.0184,1.7671,1.4047,1.2166,0.6418,0.9224,0.6122,2.1964,1.5221,1.4455,0.2671,1.0249,1.3991,2.6805,0.2529,1.5733,2.1546,2.7089,2.2541,0.2777,Control
A08,1.1064,0.8862,1.4066,0.3073,0.391,0.521,1.5837,0.967,-0.0638,1.4416,1.6407,1.6742,1.0747,2.6664,0.8299,1.1825,1.6185,1.9244,-0.0412,-0.1517,1.6808,0.7936,0.8538,0.9085,1.8517,0.7227,-0.0395,1.9135,-0.1466,0.1374,-0.0284,0.404,0.3691,1.6309,1.2164,-0.0721,0.8033,-0.1305,0.7469,0.3246,1.9423,0.2382,1.0819,1.2531,0.0653,0.8508,-0.1687,0.9254,0.2652,-0.0481,0.1905,0.0505,0.0683,0.1422,-0.0393,0.5292,0.0131,1.8812,0.4542,1.3335,1.3516,0.7214,-0.2283,1.8407,1.2356,-0.0431,-0.0922,0.3356,0.6866,0.9992,0.8635,0.4817,0.7273,0.5945,0.1698,1.9428,0.9939,0.3849,1.9122,0.8456,1.197,0.5478,0.1506,1.4969,0.8607,1.0468,0.0778,0.776,1.6601,1.2389,1.3829,0.5359,1.0304,0.5236,1.9872,1.3898,1.2063,0.2029,0.9778,1.1555,2.0962,0.1911,1.358,1.8016,1.6836,1.7506,0.2,Control
A09,0.9636,0.9959,1.189,0.3567,0.2851,0.612,1.5714,0.7254,-0.0993,1.3374,1.4886,1.6677,0.8702,2.4939,0.5694,1.0308,1.3452,1.7073,-0.0212,-0.0868,1.988,0.773,0.9703,0.8869,1.6,0.808,-0.019,2.2018,-0.1479,0.0807,-0.0099,0.3865,0.377,1.435,1.304,0.1081,0.7418,-0.0761,0.8448,0.1927,1.7492,0.2607,1.2607,1.5273,0.0903,1.2291,0.018,0.8366,0.2854,-0.0526,0.0555,0.1252,0.0925,0.025,0.0857,0.8353,0.0127,1.9985,0.4932,1.4215,1.3864,0.7595,-0.1821,1.8071,0.9917,-0.0155,-0.0205,0.3503,0.8065,0.858,0.7596,0.5112,0.5458,0.4575,0.1382,1.9167,0.99,0.3622,1.8315,0.827,1.2576,0.6688,0.2373,1.3676,0.7684,1.0301,-0.0809,0.8055,1.6468,1.3511,1.2408,0.4108,0.9078,0.5653,2.058,1.4586,1.3663,0.2231,0.9807,0.9834,2.5342,0.1756,1.4277,1.7956,2.2224,1.8838,0.2956,Control
A10,1.1138,1.3751,1.1955,0.3201,0.2604,0.7111,1.7444,0.8418,-0.1729,1.4147,1.7266,2.0583,0.8147,2.3914,0.7728,1.1319,1.6039,1.9621,-0.0635,-0.0816,2.5733,0.8207,0.958,0.8069,1.6339,0.8096,-0.1015,2.1342,-0.1388,0.1951,-0.0429,0.6147,0.4272,1.7367,1.2969,0.0539,0.9223,-0.1059,0.8328,0.3623,1.7556,0.2973,1.255,2.1419,0.0613,1.2906,0.0813,0.7849,0.2849,-0.0529,0.0677,0.1093,0.109,0.0679,-0.0592,0.7503,0.0277,2.1747,0.4472,1.4407,1.3345,0.8521,-0.1436,1.7708,1.1887,-6e-04,-0.0018,0.4701,0.7525,0.9804,0.7992,0.5635,0.6755,0.3962,0.0611,1.7865,0.9237,0.4236,1.9225,0.9676,1.2322,0.6525,0.38,1.2269,0.8756,1.0866,-0.1027,0.7537,1.7121,1.3126,1.2259,0.5821,0.9263,0.6289,2.1457,1.5477,1.3076,0.5207,0.9893,1.1409,2.7952,0.2623,1.7271,2.3546,3.187,2.5528,0.3022,Control
