@relation data

@attribute id string
@attribute 10235 numeric
@attribute 10319 numeric
@attribute 10411 numeric
@attribute 11069 numeric
@attribute 120425 numeric
@attribute 1277 numeric
@attribute 1278 numeric
@attribute 1280 numeric
@attribute 1282 numeric
@attribute 1284 numeric
@attribute 1285 numeric
@attribute 1286 numeric
@attribute 1287 numeric
@attribute 1398 numeric
@attribute 1445 numeric
@attribute 2200 numeric
@attribute 2243 numeric
@attribute 2244 numeric
@attribute 2266 numeric
@attribute 22801 numeric
@attribute 2335 numeric
@attribute 284217 numeric
@attribute 2885 numeric
@attribute 3371 numeric
@attribute 3381 numeric
@attribute 3383 numeric
@attribute 3384 numeric
@attribute 3385 numeric
@attribute 3386 numeric
@attribute 3655 numeric
@attribute 3672 numeric
@attribute 3673 numeric
@attribute 3674 numeric
@attribute 3675 numeric
@attribute 3676 numeric
@attribute 3678 numeric
@attribute 3679 numeric
@attribute 3680 numeric
@attribute 3681 numeric
@attribute 3682 numeric
@attribute 3683 numeric
@attribute 3684 numeric
@attribute 3685 numeric
@attribute 3687 numeric
@attribute 3688 numeric
@attribute 3689 numeric
@attribute 3690 numeric
@attribute 3691 numeric
@attribute 3693 numeric
@attribute 3694 numeric
@attribute 3695 numeric
@attribute 3696 numeric
@attribute 3908 numeric
@attribute 3911 numeric
@attribute 3913 numeric
@attribute 50848 numeric
@attribute 5175 numeric
@attribute 54518 numeric
@attribute 5747 numeric
@attribute 5770 numeric
@attribute 58494 numeric
@attribute 5906 numeric
@attribute 5908 numeric
@attribute 6654 numeric
@attribute 6696 numeric
@attribute 6714 numeric
@attribute 682 numeric
@attribute 7057 numeric
@attribute 7094 numeric
@attribute 7412 numeric
@attribute 7448 numeric
@attribute 8174 numeric
@attribute 83700 numeric
@attribute 8515 numeric
@attribute 8516 numeric
@attribute 9564 numeric
@attribute 999 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.5264,0.0026,0.0357,-0.078,2.1817,-0.182,-0.1116,-0.0259,-0.059,-0.0738,-0.0599,-0.089,-0.1505,0.9599,1.2739,-0.0349,-0.0911,-0.2417,-0.1786,-0.1096,-0.0491,-0.0647,1.6544,-0.0791,-0.0369,0.79,1.5887,2.1625,0.3783,1.6468,0.1684,0.2992,1.1768,0.1067,2.6951,1.4811,-0.0347,0.0046,0.0524,0.148,2.0644,1.6048,0.7309,1.5714,2.4355,2.2417,2.1043,-0.0339,0.3067,-0.0655,1.9691,0.0792,-0.0861,0.0678,0.1604,1.2837,1.7178,1.4168,0.2618,1.1741,-0.0296,1.315,1.7268,1.1294,-0.0218,0.3629,0.9787,2.1631,2.263,-0.0219,-0.2773,-0.0877,0.3912,0.0012,-0.1123,0.035,0.1369,Control
Utah__A02,1.1396,-0.0068,-0.0034,-0.0297,2.2544,-0.1832,-0.0539,0.0211,-0.0568,-0.0676,-0.0204,-0.0375,-0.1406,0.7556,1.2378,-0.0728,-0.0675,-0.1426,-0.1042,-0.1378,-0.006,-0.0903,1.493,-0.1026,0.0137,0.9536,1.2495,2.0731,0.1853,0.9234,0.1934,0.1676,1.2473,0.0432,2.442,1.1969,-0.0523,0.011,-0.0023,0.0791,2.2302,1.728,0.6041,1.6507,2.1547,2.3892,2.2228,-0.0112,0.2963,-0.0088,1.9565,0.0911,-0.041,0.0723,0.2121,1.1467,1.7968,1.1427,0.117,0.8969,-0.0634,1.019,1.2306,0.9018,0.0127,0.3648,1.015,1.5573,2.3387,0.0198,-0.1959,-0.0564,0.2124,-0.0017,-0.1259,0.0546,-0.0735,Control
Utah__A03,1.1162,0.0077,0.0588,-0.0286,2.2111,-0.175,-0.1058,0.0056,-0.0712,-0.056,-0.0626,-0.0643,-0.156,0.9155,1.46,-0.1033,-0.0493,-0.1333,-0.1712,-0.136,-0.0288,-0.0699,1.7906,-0.1001,0.0276,1.167,1.4037,2.2193,0.4513,0.646,0.1447,0.3777,1.3982,0.0069,2.7204,1.5823,0.0447,0.0079,0.1828,0.0674,2.4692,1.971,0.8144,1.9247,2.3137,2.5258,2.238,0.0021,0.38,-0.0401,2.1589,0.0538,-0.0528,0.052,0.2679,1.1272,1.9943,1.4522,0.1482,1.1248,-0.0918,1.1662,1.7721,1.1313,0.0803,0.5956,1.1816,1.6914,2.5626,0.199,-0.2074,-0.1597,0.2049,0.0063,-0.138,0.0159,0.0745,Control
Utah__A04,1.2302,0.0664,0.0273,-0.0458,2.1971,-0.0899,-0.0786,0.0361,-0.0407,-0.0385,-0.0242,-0.0519,-0.1442,0.7906,1.2797,-0.0606,-0.083,-0.1588,-0.1163,-0.0842,-0.0521,-0.0659,1.4914,-0.1045,-0.0093,0.8171,1.4118,2.2961,0.2734,1.1087,0.1736,0.1812,1.5397,0.0839,2.7132,1.323,-0.017,-0.0085,-0.0318,0.0542,2.1507,1.7924,0.6126,1.3032,2.3772,2.442,2.722,0.0308,0.3613,-0.0422,2.0566,0.0873,-0.0294,0.1853,0.1417,1.2002,1.6718,1.2016,0.1496,0.9745,0.0145,1.0589,1.2913,1.0307,-0.0098,0.3996,1.1612,1.6779,2.5779,-0.0567,-0.2141,0.0181,0.3622,-0.0481,-0.1257,0.0993,0.0138,Control
Utah__A05,1.3056,0.0374,0.0544,-0.0785,2.4648,-0.0477,-0.0967,0.0564,-0.0519,-0.0384,-0.0628,-0.0696,-0.1197,0.9318,1.4212,-0.0623,-0.0648,-0.1722,-0.1207,-0.1079,-0.065,-0.064,1.8851,-0.0858,0.0301,1.2053,1.5884,2.4616,0.4509,0.9234,0.1386,0.1694,2.1079,0.0297,2.5696,1.6547,0.0343,-0.0203,0.1421,0.1099,2.1709,2.2744,0.8229,1.8612,2.205,2.6261,2.9516,0.0139,0.5367,-0.0202,1.8699,0.0908,-0.041,0.1149,0.0777,1.5652,2.0442,1.3548,0.2717,1.1188,-0.0221,1.0745,1.5557,1.0492,-0.0318,0.6218,1.3158,2.3286,2.9267,-0.081,-0.1287,0.0623,0.5319,-0.0179,-0.1184,0.0991,0.0481,Control
Utah__A06,1.2362,-0.015,0.0439,-0.0459,2.3736,-0.162,-0.0637,-0.0713,-0.0703,-0.0826,-0.0311,-0.026,-0.1659,0.8426,1.1991,-0.0328,-0.1126,-0.1948,-0.0914,-0.1165,-0.0508,-0.0761,1.5864,-0.0549,0.0525,0.8925,1.3064,2.3258,0.4145,1.1302,0.0491,0.1296,1.6891,-0.0304,2.2539,1.4798,-0.0294,0.0912,0.0373,0.0565,1.9944,2.3146,0.6964,1.7852,2.008,2.4693,2.5793,-0.0496,0.361,-0.0741,1.5703,-0.0251,-0.0481,0.0441,0.2637,1.1971,1.7947,1.2288,0.1119,1.022,-0.0331,0.9034,1.3432,0.8863,0.0097,0.4104,0.9995,2.1442,2.5686,-0.084,-0.3109,-0.1057,0.3287,-0.0143,-0.1674,0.0867,-0.0054,Control
Utah__A07,1.2759,-0.0295,-0.0012,-0.0303,2.5418,-0.1879,-0.0849,-0.0871,-0.0739,-0.1088,-0.0268,-0.019,-0.1716,0.9946,1.3161,-0.1216,-0.0632,-0.101,-0.1456,-0.1272,-0.0403,-0.0995,1.89,-0.1124,0.0267,0.8816,1.4909,2.1122,0.4011,1.1863,0.1003,0.1898,1.3185,-0.0033,2.7415,1.481,-0.057,0.0316,0.0021,0.0576,2.1767,1.8592,0.7783,1.7058,2.4902,2.3566,2.3097,-0.0695,0.362,-0.0167,1.8871,0.0629,-0.0314,0.0352,0.243,1.2493,2.1193,1.4746,0.2084,1.2097,-0.1108,1.4904,2.0663,1.1809,0.0128,0.3471,1.0969,1.5287,2.4329,-0.0193,-0.2603,-0.0369,0.2582,0.0329,-0.1543,0.0626,-0.0494,Control
Utah__A08,1.1569,-0.0017,0.0569,-0.0606,1.9365,-0.1948,-0.1163,-0.034,-0.0544,-0.0944,-0.0922,-0.0773,-0.1524,0.7153,1.2298,-0.0413,-0.142,-0.214,-0.1492,-0.0995,-0.0658,-0.0766,1.7425,-0.0824,-0.0134,0.8275,1.2799,1.929,0.3632,1.6648,0.0515,0.1121,0.6522,0.0337,3.0939,1.3509,-0.0065,-0.0205,0.0512,0.0542,2.21,1.5443,0.7522,1.656,2.3245,2.0667,1.4367,-0.0085,0.2363,-0.0876,1.6837,0.0558,-0.0499,0.03,0.1436,0.9868,2.0131,1.563,0.2121,1.2863,-0.0341,1.7261,2.5238,1.4746,0.0538,0.3367,0.7192,0.9129,2.194,-0.0924,-0.2916,-0.2481,0.3029,0.0026,-0.1218,0.0832,-0.0656,Control
Utah__A09,1.1472,-0.0198,-0.011,-0.0274,2.1488,-0.1405,-0.0969,-0.0166,-0.0867,-0.0903,0.0074,-0.0575,-0.1814,0.8336,1.2945,-0.0634,-0.0282,-0.1401,-0.134,-0.0991,-0.048,-0.0812,1.8554,-0.1002,0.0102,0.8318,1.4187,2.2785,0.3528,1.3439,0.0454,0.2051,1.489,0.0438,2.8372,1.3169,0.0147,-0.0072,0.0158,0.0965,2.0957,1.6578,0.622,1.7735,2.6012,2.3276,2.6555,-0.0281,0.397,-0.0393,1.9831,0.0406,-0.0497,0.049,0.2544,1.2468,2.06,1.3749,0.2016,1.1829,-0.0858,1.2507,2.0215,1.0011,-0.0132,0.4405,0.939,1.8307,2.4818,-0.0209,-0.2493,-0.082,0.5718,0.021,-0.1527,0.0696,0.0059,Control
Utah__A10,1.0917,0.0265,0.0359,-0.0819,2.3733,-0.1477,-0.0991,0.0137,-0.0619,-0.0286,-0.0553,-0.0288,-0.1402,0.8023,1.2817,-0.0615,-0.0539,-0.1682,-0.1274,-0.0851,-0.0127,-0.089,1.8284,-0.0768,-0.0043,1.0294,1.2675,2.2101,0.2431,0.9891,0.1402,0.2798,1.768,0.034,2.9398,1.4915,-0.0043,-0.0325,0.2439,0.0817,2.3107,2.0385,0.7986,1.628,2.7505,2.3465,2.8242,-0.02,0.4358,-0.0279,1.949,0.0123,-0.0468,0.0887,0.0958,1.3405,1.9358,1.4182,0.2453,1.2072,-0.036,1.5275,2.0538,1.3376,-0.0266,0.4233,1.101,2.1468,2.6874,0.053,-0.15,-0.0518,0.8072,0.0013,-0.1229,0.0995,0.0315,Control
