@relation data

@attribute id string
@attribute 10449 numeric
@attribute 11112 numeric
@attribute 1629 numeric
@attribute 1738 numeric
@attribute 18 numeric
@attribute 1892 numeric
@attribute 1962 numeric
@attribute 219 numeric
@attribute 223 numeric
@attribute 224 numeric
@attribute 259307 numeric
@attribute 26275 numeric
@attribute 27034 numeric
@attribute 30 numeric
@attribute 3028 numeric
@attribute 3030 numeric
@attribute 3032 numeric
@attribute 3033 numeric
@attribute 3155 numeric
@attribute 3157 numeric
@attribute 3158 numeric
@attribute 316 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 3712 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 4329 numeric
@attribute 4594 numeric
@attribute 501 numeric
@attribute 5019 numeric
@attribute 5095 numeric
@attribute 5096 numeric
@attribute 549 numeric
@attribute 56922 numeric
@attribute 586 numeric
@attribute 587 numeric
@attribute 593 numeric
@attribute 594 numeric
@attribute 64087 numeric
@attribute 84693 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.2161,0.3228,0.9663,1.6859,0.5465,0.9391,0.139,0.8017,1.6001,0.987,0.2026,0.5729,0.8138,0.8196,0.9966,1.17,1.3098,0.6132,0.8945,1.1722,-0.1063,-0.1388,1.0981,0.2154,0.8357,0.9945,0.8086,0.576,0.7139,0.8453,-0.025,0.6662,0.2498,0.8942,0.7444,0.9188,0.1937,0.3908,0.896,0.4243,0.6994,0.472,Control
A02,1.1427,0.2182,0.7266,1.5807,0.2561,0.8227,0.0603,0.5027,1.5918,0.7523,0.1319,0.3469,0.5461,0.7973,0.9695,1.1626,1.1968,0.4429,0.8051,1.0091,-0.043,-0.0877,0.9303,0.2169,0.5207,0.7188,0.5023,0.4401,0.4381,0.6163,-0.0204,0.5279,0.1176,0.7602,0.4669,0.5817,0.2348,0.121,0.8093,0.2233,0.4688,0.2313,Control
A03,1.419,0.2921,0.8556,1.6106,0.4363,1.087,0.1565,0.5295,1.5826,0.9652,0.164,0.3888,0.7458,0.9243,1.0787,1.1782,1.2233,0.4963,0.9343,1.2285,-0.0331,-0.0819,0.9023,0.3107,0.5241,1.1261,0.7096,0.6247,0.4838,0.6638,-0.018,0.4498,0.1639,1.0009,0.6504,0.7138,0.3664,0.2549,0.9803,0.2443,0.649,0.3121,Control
A04,1.1827,0.2419,0.7042,1.6525,0.2997,0.8674,0.1201,0.5912,1.5646,0.5819,0.0213,0.4777,0.5005,0.8454,1.0758,1.2097,1.1887,0.5327,0.7844,1.0285,-0.0492,-0.0612,0.8889,0.2962,0.5674,0.775,0.3893,0.4975,0.4898,0.8,-0.0816,0.6298,0.1227,0.8955,0.4753,0.6104,0.2817,0.2784,0.8937,0.3259,0.5816,0.2821,Control
A05,1.3588,0.283,0.7351,1.7552,0.6089,0.984,0.1476,0.8354,1.6268,0.8991,0.2388,0.3896,0.6425,1.0141,1.2322,1.2869,1.3764,0.516,0.9842,1.2427,-0.0804,-0.0923,1.0464,0.3354,0.5522,0.9513,0.6218,0.6695,0.6703,0.7455,0.0229,0.5839,0.216,1.0893,0.5869,0.7766,0.5099,0.3256,1.1208,0.3136,0.6293,0.3396,Control
A06,1.2486,0.2707,0.7178,1.6692,0.5094,1.0023,0.1452,0.6054,1.4872,0.8472,0.0919,0.4033,0.6228,0.8844,1.0544,1.2423,1.2749,0.5119,0.8085,1.0164,-0.044,-0.0658,0.8103,0.191,0.5975,1.0181,0.4961,0.5277,0.6171,0.6781,0.071,0.4607,0.1471,1.0119,0.5513,0.6366,0.341,0.2142,0.9811,0.2846,0.5549,0.3109,Control
A07,1.4351,0.3887,0.9264,1.7677,0.5172,0.9516,0.1345,0.5522,1.7258,0.9315,0.0902,0.7161,0.6931,0.9729,1.028,1.2764,1.3321,0.501,0.9615,1.1371,-0.0178,-0.0603,1.1916,0.2245,0.673,1.0151,0.5123,0.5519,0.608,0.9231,0.0383,0.6334,0.3017,0.9219,0.7042,0.8404,0.4377,0.2922,0.8934,0.4099,0.6573,0.3974,Control
A08,1.2944,0.508,0.9839,1.7193,0.4226,0.8123,0.0613,0.3659,1.5316,0.9143,0.0014,0.9,0.6053,0.7354,0.8662,1.1768,1.1042,0.6147,0.8198,1.0058,-0.0833,-0.1084,1.0153,0.1293,0.7317,0.6167,0.5864,0.4848,0.5037,0.7608,-0.0664,0.784,0.3851,0.6998,0.8518,0.8744,0.3734,0.218,0.6411,0.5586,0.7596,0.3935,Control
A09,1.1914,0.2939,0.7633,1.5706,0.524,1.0293,0.105,0.5142,1.6127,0.8374,-0.0468,0.4899,0.5663,0.731,0.9317,1.1337,1.0651,0.4176,0.8217,0.8832,-0.0529,-0.047,0.9582,0.1921,0.6088,1.0222,0.5877,0.4606,0.5565,0.6972,-0.0198,0.6095,0.2727,0.8489,0.6947,0.7736,0.3326,0.216,0.8128,0.36,0.5584,0.2511,Control
A10,1.2702,0.3607,0.9215,1.8197,0.5364,0.9473,0.1281,0.4959,1.6123,0.7958,0.1388,0.6053,0.6523,0.8359,1.0149,1.2728,1.2311,0.4531,0.8361,1.0535,-0.1192,-0.0869,1.1103,0.1791,0.6339,0.9467,0.6228,0.4892,0.5148,0.9819,-0.0258,0.7799,0.3225,0.9072,0.6806,0.861,0.2262,0.2456,0.9007,0.3827,0.5998,0.3279,Control
