@relation data

@attribute id string
@attribute 10062 numeric
@attribute 10580 numeric
@attribute 10998 numeric
@attribute 10999 numeric
@attribute 11001 numeric
@attribute 116519 numeric
@attribute 126129 numeric
@attribute 1374 numeric
@attribute 1376 numeric
@attribute 1579 numeric
@attribute 1581 numeric
@attribute 1582 numeric
@attribute 1593 numeric
@attribute 1622 numeric
@attribute 1962 numeric
@attribute 2167 numeric
@attribute 2168 numeric
@attribute 2169 numeric
@attribute 2170 numeric
@attribute 2171 numeric
@attribute 2172 numeric
@attribute 2173 numeric
@attribute 2180 numeric
@attribute 2181 numeric
@attribute 2182 numeric
@attribute 23205 numeric
@attribute 23305 numeric
@attribute 2710 numeric
@attribute 2712 numeric
@attribute 284541 numeric
@attribute 28965 numeric
@attribute 30 numeric
@attribute 3158 numeric
@attribute 33 numeric
@attribute 335 numeric
@attribute 336 numeric
@attribute 34 numeric
@attribute 345 numeric
@attribute 3611 numeric
@attribute 364 numeric
@attribute 376497 numeric
@attribute 4023 numeric
@attribute 4199 numeric
@attribute 4312 numeric
@attribute 4973 numeric
@attribute 51 numeric
@attribute 5105 numeric
@attribute 5106 numeric
@attribute 51129 numeric
@attribute 5170 numeric
@attribute 51703 numeric
@attribute 5346 numeric
@attribute 5360 numeric
@attribute 5465 numeric
@attribute 5467 numeric
@attribute 5468 numeric
@attribute 6256 numeric
@attribute 6257 numeric
@attribute 6319 numeric
@attribute 6342 numeric
@attribute 7316 numeric
@attribute 7350 numeric
@attribute 79966 numeric
@attribute 81616 numeric
@attribute 8309 numeric
@attribute 8310 numeric
@attribute 9370 numeric
@attribute 9415 numeric
@attribute 948 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.227,-0.033,0.0555,0.6209,0.1697,-0.2104,-0.0143,0.8654,0.8426,-0.2462,-0.1504,-0.101,0.7897,0.4025,0.139,-0.2294,-0.095,-0.227,0.0114,0.0084,-0.0182,0.0055,1.7001,1.0842,1.0737,0.0101,0.2926,0.4981,-0.1024,-0.1921,-0.1379,0.8196,-0.1063,-0.1318,0.0917,-0.0775,1.0981,-0.1145,1.5549,0.0663,0.1967,0.0013,0.0534,0.18,0.1163,1.0978,-0.1062,0.4257,-0.0535,0.7691,1.5634,-0.1348,-0.0245,0.3764,0.6441,5e-04,0.5355,1.0446,0.2282,1.047,1.3489,-0.1707,-0.0175,-0.0245,-0.0631,0.4105,-0.1152,0.697,1.5641,Control
Utah__A02,0.0662,-0.0506,-0.0514,0.4296,-0.0396,-0.206,-0.0473,0.8338,0.6793,-0.1877,-0.2021,0.0794,0.7352,0.4787,0.0603,-0.2845,-0.0901,-0.1109,-0.1131,0.0963,0.0442,-0.0537,1.4064,0.8375,0.8232,-0.0169,0.2538,0.0911,-0.0258,-0.0686,-0.0752,0.7973,-0.043,-0.0789,0.0526,-0.1077,0.9303,-0.1027,1.5892,0.0113,0.1153,0.2321,0.1569,-0.0633,0.1286,0.8618,-0.0582,0.2701,-0.0911,0.6471,1.5411,-0.1112,-0.038,0.2792,0.4217,0.0405,0.541,0.79,0.1457,1.1734,1.1557,-0.0472,0.0908,-0.0847,-0.0229,0.3231,-0.0137,0.1843,1.654,Control
Utah__A03,0.2028,-0.0584,-0.0026,0.6556,0.2886,-0.1414,-0.0397,0.9563,0.8269,-0.1947,-0.1843,0.0335,0.9295,0.624,0.1565,-0.258,-0.1448,-0.1879,0.0179,0.3111,0.059,-0.098,1.8921,0.9984,1.1442,-0.031,0.2107,0.3361,0.0262,-0.2339,-0.0551,0.9243,-0.0331,-0.0803,0.1237,0.0218,0.9023,-0.0704,1.7175,0.0295,0.1497,-0.0222,0.0637,0.1328,-0.0201,0.9809,-0.1105,0.4412,-0.1259,0.777,1.7815,-0.1041,-0.0105,0.4264,0.4829,0.0222,0.7105,0.8842,0.3488,1.2545,1.6691,-0.1263,0.0573,-0.1608,-0.0348,0.412,0.0703,0.591,1.7728,Control
Utah__A04,0.1461,-0.0512,0.0349,0.6034,-0.0442,-0.0749,-0.0228,0.9868,0.6941,-0.2058,-0.1341,0.0722,0.5315,0.5323,0.1201,-0.1643,-0.0867,-0.1101,-0.108,0.2062,-0.0197,-0.0356,1.5494,0.8436,0.8005,-0.0328,0.3019,0.1592,0.1176,-0.214,-0.0851,0.8454,-0.0492,-0.0566,0.2092,-0.0095,0.8889,0.0111,1.47,0.0454,0.2285,0.0621,0.194,0.0815,0.0757,0.7471,-0.121,0.2959,-0.0959,0.7264,1.4481,-0.0576,0.0133,0.2016,0.5045,0.0281,0.5333,0.8745,-0.0172,0.9502,1.3373,-0.071,0.0291,-0.1176,0.008,0.3521,-0.1505,0.6675,1.5061,Control
Utah__A05,0.2417,-0.0363,0.0227,0.8225,0.0258,-0.1017,-0.0113,0.9343,0.9888,-0.19,-0.1462,-0.1326,1.1148,0.6837,0.1476,-0.2246,-0.1228,-0.1103,-0.0994,0.0087,-0.0373,-0.0633,1.8591,1.0877,1.106,0.0807,0.1905,0.3303,-0.0898,-0.1424,-0.0821,1.0141,-0.0804,-0.0727,0.118,-0.1003,1.0464,-0.1221,1.8979,-0.073,0.38,-0.0158,0.2857,0.3693,0.2168,1.1826,-0.1238,0.5142,-0.094,0.8704,1.5398,-0.096,0.0232,0.3601,0.5518,-0.0109,0.7185,0.9651,0.1573,0.9183,1.5738,-0.0918,-0.0073,-0.1224,-0.027,0.4006,0.0127,0.4698,1.9146,Control
Utah__A06,0.1731,-0.064,0.0205,0.6514,-0.0364,-0.2346,-0.098,0.8038,0.6769,-0.1119,-0.1148,0.0492,0.8952,0.5125,0.1452,-0.2658,-0.0948,-0.1663,-0.0724,6e-04,0.0988,-0.0187,1.8742,0.9426,1.0044,-0.012,0.2405,0.1931,-0.1238,-0.111,-0.1391,0.8844,-0.044,-0.12,0.0501,-0.085,0.8103,-0.0357,1.571,0.0406,0.1995,0.0604,0.0739,-0.0854,0.1522,1.0742,-0.1393,0.3405,-0.116,0.7642,1.4783,-0.1256,-0.0812,0.3526,0.4278,0.0283,0.6699,0.8214,-0.0966,0.9973,1.6201,-0.126,0.0315,-0.0955,-0.0294,0.3809,-0.0836,0.2221,1.7035,Control
Utah__A07,0.1398,-0.0643,-0.088,0.6269,-0.0441,-0.1996,-0.0453,1.0598,0.9244,-0.1353,-0.183,0.0577,0.7637,0.5893,0.1345,-0.2241,-0.0589,-0.1477,0.0037,0.0768,-0.0044,0.0331,1.7041,1.0237,1.128,-0.0295,0.2563,0.314,-0.0398,-0.1171,-0.115,0.9729,-0.0178,-0.1086,0.0777,-0.0511,1.1916,-0.1269,1.6076,-0.1182,0.2475,-0.0125,0.1378,-0.0659,0.1085,1.1013,-0.2079,0.4413,-0.0899,0.7972,1.6006,-0.1129,-0.0849,0.3244,0.5117,0.0314,0.6475,0.9215,-0.0056,0.7753,1.0793,-0.0036,0.0729,-0.1338,-0.0111,0.4376,-0.0433,0.3006,1.6911,Control
Utah__A08,0.1606,-0.0343,-0.0034,0.4279,-0.061,-0.1192,-0.0879,0.8631,0.6679,-0.2069,-0.1563,-0.178,0.7632,0.3568,0.0613,-0.207,-0.2288,-0.2114,-0.1339,-0.1318,0.026,-0.0438,1.4579,1.1643,1.1474,-0.0306,0.2194,0.481,-0.0555,-0.2554,-0.0673,0.7354,-0.0833,-0.1412,0.0418,-0.025,1.0153,-0.1885,1.2861,0.0718,0.1276,-0.0431,0.0421,-0.0203,0.1529,0.9711,-0.1232,0.2605,-0.1576,0.8157,1.457,-0.1316,-0.0907,0.3939,0.6037,-0.0171,0.5126,0.8757,0.0735,1.1891,1.1942,-0.1247,0.0184,-0.0388,-0.0828,0.4452,-0.1239,0.2662,1.7645,Control
Utah__A09,0.1421,-0.0583,-0.0213,0.4971,0.0191,-0.1873,-9e-04,0.8442,0.6733,-0.0846,-0.1716,0.0048,0.6142,0.4857,0.105,-0.1683,-0.1064,-0.1587,0.042,0.048,0.0636,-0.0155,1.5483,0.8919,1.1048,0.0526,0.2443,0.4214,-0.0118,-0.1095,-0.0595,0.731,-0.0529,-0.0922,0.1082,-0.0521,0.9582,-0.1925,1.5733,-0.2433,0.1444,0.019,0.022,0.018,0.0847,0.9471,-0.1625,0.4229,-0.1031,0.8094,1.5136,-0.1457,-0.0629,0.2639,0.5185,0.0694,0.5428,0.8328,0.1646,0.8535,1.0016,-0.1054,0.0454,-0.1321,0.0182,0.4093,-0.0137,0.6189,1.7405,Control
Utah__A10,0.1436,-0.0517,-0.0569,0.5585,-0.0215,-0.1158,-0.0669,0.8072,0.7824,-0.1496,-0.1331,-0.0282,1.2766,0.6315,0.1281,-0.1878,-0.1569,-0.1062,-0.0872,0.0052,-0.0574,-0.0264,2.0616,1.1315,1.1931,0.0717,0.1979,0.3464,-0.0464,-0.1992,-0.102,0.8359,-0.1192,-0.1016,0.1016,-0.0809,1.1103,-0.0732,1.7238,-0.0482,0.2262,-0.0271,0.2222,0.1386,0.1542,1.0432,-0.0904,0.4144,-0.0361,0.8424,1.6822,-0.1148,-0.0082,0.4137,0.5343,0.0759,0.5707,0.8675,0.055,1.2374,1.0241,-0.1211,0.0147,-0.0955,-0.0438,0.3574,-0.0269,0.2276,2.4979,Control
