@relation data

@attribute id string
@attribute 10368 numeric
@attribute 10369 numeric
@attribute 10497 numeric
@attribute 10681 numeric
@attribute 107 numeric
@attribute 10815 numeric
@attribute 109 numeric
@attribute 1103 numeric
@attribute 114 numeric
@attribute 1173 numeric
@attribute 1175 numeric
@attribute 1312 numeric
@attribute 1385 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 1621 numeric
@attribute 163 numeric
@attribute 1644 numeric
@attribute 1739 numeric
@attribute 1741 numeric
@attribute 1742 numeric
@attribute 2036 numeric
@attribute 22999 numeric
@attribute 23236 numeric
@attribute 23426 numeric
@attribute 27092 numeric
@attribute 27330 numeric
@attribute 2744 numeric
@attribute 2752 numeric
@attribute 2782 numeric
@attribute 2783 numeric
@attribute 2784 numeric
@attribute 2785 numeric
@attribute 2786 numeric
@attribute 2787 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 2890 numeric
@attribute 2891 numeric
@attribute 2892 numeric
@attribute 2897 numeric
@attribute 2898 numeric
@attribute 2899 numeric
@attribute 2900 numeric
@attribute 2901 numeric
@attribute 2902 numeric
@attribute 2903 numeric
@attribute 2904 numeric
@attribute 2905 numeric
@attribute 2906 numeric
@attribute 3265 numeric
@attribute 4128 numeric
@attribute 4193 numeric
@attribute 43 numeric
@attribute 4646 numeric
@attribute 4747 numeric
@attribute 4905 numeric
@attribute 5170 numeric
@attribute 51764 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 54331 numeric
@attribute 54874 numeric
@attribute 5567 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 55799 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 55970 numeric
@attribute 57030 numeric
@attribute 5864 numeric
@attribute 5894 numeric
@attribute 5923 numeric
@attribute 5924 numeric
@attribute 59283 numeric
@attribute 59345 numeric
@attribute 60482 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 6505 numeric
@attribute 6506 numeric
@attribute 6507 numeric
@attribute 6511 numeric
@attribute 6512 numeric
@attribute 6531 numeric
@attribute 6571 numeric
@attribute 6582 numeric
@attribute 6616 numeric
@attribute 6804 numeric
@attribute 6812 numeric
@attribute 6844 numeric
@attribute 6853 numeric
@attribute 6854 numeric
@attribute 6857 numeric
@attribute 7054 numeric
@attribute 7166 numeric
@attribute 773 numeric
@attribute 774 numeric
@attribute 777 numeric
@attribute 781 numeric
@attribute 782 numeric
@attribute 783 numeric
@attribute 784 numeric
@attribute 785 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 80852 numeric
@attribute 814 numeric
@attribute 815 numeric
@attribute 81539 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8224 numeric
@attribute 83988 numeric
@attribute 84254 numeric
@attribute 88 numeric
@attribute 9254 numeric
@attribute 94235 numeric
@attribute 9463 numeric
@attribute 9495 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.1159,-0.0854,0.012,0.5855,-0.0192,0.0227,0.3841,-0.0221,-0.1513,1.4197,0.7167,0.5559,1.8416,0.9278,0.62,-0.0746,0.9631,-0.0771,0.7144,0.2977,0.3915,-0.0591,-0.104,0.4303,-0.0185,-0.0995,-0.079,1.5511,1.3271,1.414,0.5399,-0.0227,0.1248,-0.0547,1.0856,1.6097,-0.1115,0.3338,-0.0962,-0.1511,-0.1052,-0.1352,-0.1355,-0.033,-0.0594,0.0408,-0.1056,-0.0859,-0.1633,-0.1108,-0.1634,0.4247,-0.0605,1.412,-0.0584,0.1664,0.5656,0.7934,0.7691,0.026,1.7084,0.577,1.0858,0.2849,1.1308,0.5523,1.0332,-0.0186,-0.0542,1.7309,-0.0685,-0.0341,0.1762,1.7847,-0.0662,0.7063,0.1744,0.919,-0.2294,0.9065,0.1026,1.8816,-0.0697,-0.1005,-0.0087,-0.0264,0.0983,0.0554,0.4028,-0.0456,-0.1894,0.1231,0.2272,1.6061,0.0928,-0.1149,-0.1204,-0.0197,0.1261,-0.0373,-0.0491,-0.0682,-0.1469,0.2081,-0.0619,0.1804,-0.0405,2.3173,1.1595,2.0808,-0.0956,1.3522,0.0866,2.1429,0.0146,0.8699,0.6253,-0.053,0.2314,0.2201,-0.0417,0.0172,0.4775,0.4049,0.1801,Control
Utah__A02,-0.1908,-0.1415,-0.0426,0.2454,0.0821,0.0647,0.2867,-0.0551,-0.1765,1.4253,0.7705,0.4387,1.5349,0.966,0.4326,-0.0077,0.7721,-0.006,0.4698,0.2292,0.2389,-0.0884,-0.0412,0.2262,-0.1052,-0.1129,-0.0784,1.2507,1.0613,1.3774,0.5789,-0.0064,0.1585,0.0724,0.7634,1.3471,-0.0107,0.2554,-0.0841,-0.0765,-0.1305,-0.1252,-0.0388,0.0059,-0.081,0.055,-0.1277,-0.145,-0.1543,-0.1299,-0.0956,0.3701,-0.0444,1.1895,0.0124,0.3726,0.3904,0.5403,0.6471,0.1274,1.6702,0.4872,1.022,0.1942,0.9731,0.1715,0.6697,0.0455,-0.1266,1.6299,0.0029,-0.0087,0.2329,1.5429,-0.1058,0.2933,0.1479,1.0066,-0.1713,0.9246,0.1045,1.6266,-0.1784,-0.1086,0.0352,-0.0642,0.2204,0.2004,0.2011,0.0034,-0.2133,0.1268,0.0258,1.4751,5e-04,-0.0637,-0.1322,0.0278,0.0359,-0.0534,-0.0202,0.03,-0.0585,0.2312,-0.1007,0.0527,-0.065,2.331,0.9813,2.1764,-2e-04,0.6933,0.2548,1.8124,0.1389,0.6234,0.4398,-0.0781,0.1326,0.1234,-0.0217,0.1639,0.1854,0.2059,0.3628,Control
Utah__A03,-0.1723,-0.1196,-0.0299,0.2872,0.0731,-0.0119,0.3348,-0.0992,-0.1891,1.4715,0.8684,0.5232,1.7089,1.137,0.5366,-0.0011,0.9586,0.0202,0.5864,0.2961,0.4019,-0.0761,-0.0313,0.3007,-0.1343,-0.0489,-0.1442,1.2972,1.4807,1.4718,0.7336,0.0315,0.2682,0.0226,1.2042,1.5199,-0.1264,0.7994,-0.0862,-0.0819,-0.1426,-0.1477,-0.0497,-0.0065,-0.0298,0.0272,-0.1317,-0.1039,-0.1832,-0.069,-0.0885,0.3745,-0.0899,1.5968,-0.0441,0.383,0.1442,0.8373,0.777,0.0957,2.0238,0.7102,1.2814,0.0978,0.9868,0.1678,0.9489,0.023,-0.1293,1.8758,-0.0297,0.0349,0.1459,1.7349,-0.0954,0.1586,0.2418,1.1432,-0.1729,1.0222,0.1148,1.8238,-0.0799,-0.1414,0.0495,-0.1209,0.25,0.1927,0.2285,0.0054,-0.2007,0.1432,-0.019,1.6377,0.091,-0.0852,-0.1154,0.0321,0.1004,-0.0353,-0.039,-0.0206,-0.0818,0.2692,-0.0743,0.1354,0.0034,2.5215,1.2374,2.1323,-0.0302,0.7663,0.2066,1.7659,0.1141,0.7986,0.5013,-0.0936,0.3139,0.2719,-0.0262,0.179,0.2562,0.3027,0.2131,Control
Utah__A04,-0.1132,-0.1736,-0.0464,0.4014,0.0545,0.1095,0.3642,-0.0299,-0.1467,1.5759,0.8945,0.4977,1.6942,0.9251,0.4624,-0.0013,0.7734,-0.0664,0.5653,0.1797,0.3167,-0.0704,-0.0531,0.1828,-0.1057,-0.1404,-0.1044,1.2958,1.1982,1.4544,0.6723,-0.0315,0.1309,0.013,0.8648,1.4955,-0.0455,0.2105,-0.0994,-0.04,-0.0878,-0.1077,-0.0404,-0.029,-0.0241,0.124,-0.0382,-0.1311,-0.1303,-0.0465,0.0365,0.3589,-0.0635,1.1684,0.1153,0.2461,0.767,0.5443,0.7264,0.1156,1.6228,0.5036,0.9732,0.2045,1.1682,0.2858,0.7891,-0.0051,0.0079,1.7145,-0.0499,-0.0176,0.2473,1.6725,-0.0558,0.4507,0.2281,0.9454,-0.1851,1.0052,0.112,1.7883,-0.081,-0.1312,-0.0038,-0.0384,0.1781,0.1597,0.1765,-0.0584,-0.1396,0.1704,0.128,1.573,0.0274,-0.0852,-0.1015,0.0011,-0.0236,-0.0384,0.0047,-0.0081,-0.063,0.2617,-0.0677,0.1396,-0.0383,2.6061,1.0291,2.2841,-0.0191,1.0155,0.1188,1.9717,0.1004,0.6924,0.4688,-0.0568,0.1524,0.1869,-0.0176,0.2106,0.3302,0.2958,0.1159,Control
Utah__A05,-0.1368,-0.1167,-5e-04,0.4597,0.0309,0.0988,0.3725,-0.0569,-0.1501,1.677,1.0712,0.6683,1.7835,1.2359,0.6111,-0.0476,0.8769,-0.0589,0.5943,0.1833,0.4794,-0.0414,-0.0627,0.4625,-0.0403,-0.0794,-0.0466,1.2752,1.5441,1.553,0.7587,-0.0312,0.1017,0.0179,1.1603,2.287,-0.0806,0.5324,-0.081,-0.0889,-0.0899,-0.121,-0.0826,-0.0583,-7e-04,0.0636,-0.0388,-0.0886,-0.1205,-0.0569,0.0478,0.4809,-0.0787,1.3876,0.0757,0.1616,0.473,0.7768,0.8704,0.1322,1.8707,0.8193,1.0752,0.328,1.0421,0.2856,0.9233,-0.0126,-0.0072,1.9408,-0.0418,-0.0226,0.2624,1.808,-0.0807,0.3031,0.2162,1.296,-0.1671,1.1126,0.1047,1.7933,-0.0793,-0.0524,-0.0172,-0.0153,0.1759,0.1633,0.5218,0.0025,-0.1728,0.2352,0.2136,1.5643,0.0594,-0.0924,-0.084,0.0095,0.0177,-0.0332,-0.0066,-0.0348,-0.0788,0.2586,-0.0783,0.115,0.0017,2.2755,0.994,2.3856,-0.0281,0.8251,0.1783,1.7797,0.0961,0.7731,0.5309,-0.075,0.216,0.2715,-0.0468,0.1637,0.4779,0.4345,0.3937,Control
Utah__A06,-0.1241,-0.0802,-0.0382,0.3018,0.0369,0.0103,0.2447,-0.0334,-0.2133,1.4828,0.7794,0.5401,1.6261,1.051,0.4754,-0.066,0.8799,-0.0198,0.5244,0.167,0.322,-0.0875,-0.0665,0.3563,-0.0841,-0.0957,-0.0888,1.1622,1.4605,1.3984,0.5575,-0.0332,0.1002,-0.01,0.988,1.2718,-0.1084,0.4152,-0.0731,-0.0765,-0.1053,-0.1441,-0.0884,0.0172,-0.1158,-9e-04,-0.1525,-0.0784,-0.1435,-0.179,-0.1929,0.2391,-0.0381,1.2594,-0.0173,0.1026,0.0845,0.7322,0.7642,0.0493,1.742,0.6236,1.3107,0.1427,0.8643,0.2749,0.8755,0.0221,-0.1821,1.8446,0.0125,-0.0686,0.2252,1.7489,-0.1056,0.3986,0.1325,1.039,-0.1674,0.9801,0.1159,1.6432,-0.0534,-0.1442,0.0011,-0.0442,0.177,0.1564,0.2407,0.0199,-0.1568,0.1017,0.0276,1.4545,-0.0164,-0.0797,-0.1462,-0.0508,0.1408,-0.0525,-0.0406,-0.0148,-0.0738,0.1053,-0.1211,0.0708,0.0194,2.2293,1.154,2.1384,-0.0645,0.8016,0.2193,1.8068,0.0668,0.5826,0.4753,-0.1064,0.2191,0.2823,-0.0135,0.0999,0.2435,0.4126,0.1944,Control
Utah__A07,-0.134,-0.1459,-0.0451,0.3421,0.0671,0.0234,0.3432,-0.0812,-0.1774,1.5403,0.7656,0.5098,1.8447,1.0529,0.5419,-0.0825,1.0105,-0.0188,0.7116,0.1848,0.3883,-0.1009,-0.027,0.8391,-0.0658,-0.0936,-0.1131,1.6415,1.2677,1.5046,0.6289,-0.0204,0.0665,0.0088,0.9953,1.6179,-0.1539,0.5242,-0.0667,-0.072,-0.1486,-0.1361,-0.0926,-0.0219,-0.0637,0.0444,-0.0926,-0.1392,-0.1642,-0.104,-0.1209,0.3621,-0.1058,1.4421,0.0236,0.1715,0.3903,0.8743,0.7972,0.0263,1.7855,0.642,1.4486,0.1976,1.1382,0.5058,1.2903,0.0487,-0.1545,1.882,0.0084,-0.0195,0.1913,1.7704,-0.0814,0.5278,0.1078,1.1347,-0.1491,0.9852,0.1706,1.9955,-0.1549,-0.1389,0.0546,-0.0806,0.2238,0.1491,0.2878,-0.0118,-0.177,0.1564,0.0541,1.3443,-0.0049,-0.0303,-0.1469,-0.0597,0.029,-0.0769,-0.0682,-0.0047,-0.0798,0.179,-0.116,0.0126,0.0052,2.2849,1.4581,2.178,-0.0502,1.264,0.2253,2.0943,0.1203,0.9004,0.5806,-0.1056,0.3202,0.1605,-0.0435,0.1718,0.2152,0.3135,0.5265,Control
Utah__A08,-0.1557,-0.161,-0.0474,0.488,0.0084,-0.0393,0.2198,-0.1353,-0.1798,1.337,0.5963,0.4114,1.9244,0.9344,0.5573,-0.016,1.0708,-0.0604,0.9467,0.2701,0.2333,-0.0633,-0.0663,0.6234,-0.0596,-0.0759,-0.0893,1.9053,0.9766,1.4784,0.4918,-0.0321,0.1109,-0.0448,0.9791,1.384,-0.0861,0.4541,-0.1273,-0.1384,-0.1427,-0.1357,-0.1268,-0.0568,-0.0855,0.0013,-0.1079,-0.1323,-0.1544,-0.1041,-0.2233,0.2915,-0.0604,1.4586,-0.0431,0.2318,0.361,0.9064,0.8157,0.1487,1.7589,0.4185,1.595,0.1795,1.1867,0.8574,1.3963,-0.0019,-0.1576,1.9122,-0.0654,-0.036,0.1597,1.7386,-0.0812,0.8429,0.0993,0.873,-0.1853,0.8456,0.1698,1.9428,0.0133,-0.1216,-0.0314,-0.0045,0.2041,0.1136,0.1016,-0.0366,-0.1349,0.0678,0.1768,1.3689,0.0068,-0.0793,-0.1244,-0.0326,0.1952,-0.0561,-0.0517,-0.0468,-0.1292,0.1668,-0.0911,0.0953,0.0489,2.199,1.2592,1.9223,-0.1173,1.7568,0.1563,2.2784,0.0455,1.2546,0.5916,-0.0413,0.4899,0.2426,-0.0501,0.0992,0.5065,0.3628,0.3608,Control
Utah__A09,-0.0783,-0.0989,-0.0336,0.4962,0.0396,0.0235,0.3145,-0.0504,-0.1879,1.4405,0.8142,0.4609,1.7073,0.9406,0.5094,-0.0586,0.9394,-0.0107,0.6449,0.2316,0.2885,-0.0712,-0.0652,0.7121,-0.0778,-0.0923,-0.0849,1.5279,1.0337,1.3959,0.5252,-0.0672,0.1913,0.0346,0.7509,1.8706,-0.1335,0.5022,-0.0632,-0.0576,-0.111,-0.1236,-0.0808,-0.0031,-0.0823,0.0339,-0.1162,-0.1105,-0.16,-0.1135,-0.1044,0.3464,-0.1018,1.3379,0.0409,0.1398,0.6178,0.7879,0.8094,-0.0284,1.6492,0.5998,1.4451,0.1556,1.096,0.5722,1.2298,0.0357,-0.151,1.8315,-0.0253,-0.009,0.1639,1.6393,-0.0684,0.539,0.1054,0.9565,-0.1187,0.827,0.1382,1.9167,-0.0774,-0.1313,0.0156,-0.0869,0.178,0.1582,0.328,-0.0336,-0.1564,0.1793,0.0998,1.4569,-5e-04,-0.1089,-0.1274,-0.1031,0.0683,-0.0527,-0.0038,0.0071,-0.1062,0.1524,-0.1086,0.1382,-0.0227,2.2287,0.9544,2.3056,-0.0229,1.2499,0.2061,2.1744,0.1087,0.8152,0.5451,-0.0871,0.2957,0.2391,-0.0362,0.1206,0.1661,0.3551,0.4319,Control
Utah__A10,-0.1367,-0.1238,-0.0271,0.4614,-0.0054,-0.014,0.2785,-0.046,-0.149,1.5258,0.8653,0.4915,1.9621,0.8963,0.5054,-0.0662,1.0296,-0.0842,0.7964,0.3083,0.3303,-0.0586,-0.058,0.9357,-0.0729,-0.0542,-0.0519,1.7142,1.3072,1.4977,0.5499,-0.0698,0.1182,0.0059,1.0795,2.1093,-0.1431,0.5166,-0.0954,-0.0799,-0.0971,-0.109,-0.0871,-0.0538,-0.0681,0.0399,-0.0598,-0.1253,-0.1136,-0.1116,-0.0326,0.3978,-0.0598,1.402,-0.0178,0.5744,0.4512,0.8066,0.8424,0.0718,1.7309,0.5409,1.5315,0.1975,1.2565,0.3634,1.2971,0.0081,-0.0144,1.9225,-0.0291,-0.0012,0.1931,1.7838,-0.0778,0.4228,0.2039,1.0972,-0.1551,0.9676,0.0611,1.7865,-0.044,-0.0947,0.0114,-0.0333,0.1387,0.1002,0.4457,-0.0066,-0.1645,0.1507,0.0915,1.5069,0.0308,-0.093,-0.1128,0.0202,-0.0058,-0.0447,-0.0254,-0.0559,-0.0891,0.3116,-0.0843,0.1364,0.0145,2.2654,1.2719,2.2472,-0.0577,1.1602,0.0703,2.1203,0.0281,1.1071,0.5944,-0.0696,0.5317,0.2483,-0.0463,0.2677,0.13,0.2815,0.037,Control
