@relation data

@attribute id string
@attribute 1020 numeric
@attribute 121916 numeric
@attribute 1432 numeric
@attribute 183 numeric
@attribute 186 numeric
@attribute 2147 numeric
@attribute 2185 numeric
@attribute 2534 numeric
@attribute 2767 numeric
@attribute 2770 numeric
@attribute 2782 numeric
@attribute 2792 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 3717 numeric
@attribute 3827 numeric
@attribute 4137 numeric
@attribute 4638 numeric
@attribute 5335 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5894 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6772 numeric
@attribute 6773 numeric
@attribute 6774 numeric
@attribute 6775 numeric
@attribute 6776 numeric
@attribute 6777 numeric
@attribute 6778 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.5311,-0.1275,1.4449,0.0617,-0.183,-0.087,1.1705,1.6042,0.0521,0.0531,1.4299,-0.119,1.6355,0.4236,1.1912,-0.1418,-0.0133,0.1805,1.7307,0.5534,1.0586,1.76,1.0952,1.4087,0.7341,0.4307,1.7841,0.7565,1.1256,2.3654,2.2851,1.4524,1.9054,1.2133,1.495,2.362,2.327,1.1541,2.0788,0.1107,0.0018,0.871,0.6395,Control
Utah__A02,0.4824,-0.0366,1.1614,0.1781,-0.2434,-0.0712,0.9976,1.263,-0.0126,0.0345,1.392,-0.0204,1.481,0.3716,1.0674,-0.1328,-0.0616,0.1896,1.247,0.2001,0.7032,1.6579,1.0379,0.986,0.48,0.3006,1.5394,0.8046,0.9005,2.5389,2.1881,1.317,1.5178,1.1168,1.0726,2.3107,2.3401,0.9777,2.1743,0.2623,0.1255,0.6333,0.4503,Control
Utah__A03,0.7743,-0.0684,1.3753,0.1968,-0.2254,-0.102,1.1677,1.4626,0.1317,0.0376,1.4897,-0.1335,1.7658,0.3757,1.4901,-0.1479,-0.0023,0.2011,1.3323,0.1966,0.9762,1.9065,1.0752,1.223,0.7059,0.4986,1.7337,0.7989,1.1275,2.8972,2.5726,1.4815,1.5488,1.269,1.2059,2.3941,2.5223,1.2312,2.1303,0.2189,0.1008,0.8023,0.5131,Control
Utah__A04,0.5908,-0.1701,1.2634,0.1228,-0.1919,-0.0358,1.0834,1.4429,0.1109,0.0186,1.4717,-0.0544,1.4795,0.3609,0.865,-0.1399,-0.0324,0.1822,1.3202,0.3061,0.82,1.7434,1.0602,0.9854,0.5113,0.4277,1.6705,0.8019,1.028,2.379,1.9536,1.3965,1.7396,1.1765,1.2032,2.3202,2.6032,1.025,2.2819,0.1397,0.0872,0.6998,0.4799,Control
Utah__A05,0.8706,-0.0415,1.514,0.0653,-0.138,-0.0619,1.2327,1.4763,0.1874,0.0445,1.5737,-0.0887,1.8562,0.4772,1.3068,-0.1464,-0.0334,0.2652,1.2108,0.3059,0.9512,1.9721,1.2157,1.1338,0.726,0.5021,1.8077,0.8988,1.0464,2.648,2.3031,1.4478,1.5442,1.3211,1.2305,2.5513,2.287,0.9902,2.3833,0.1933,0.0829,0.7777,0.5432,Control
Utah__A06,0.6335,-0.1184,1.2099,0.124,-0.2287,-0.0855,1.1266,1.3895,0.0136,0.0635,1.4137,-0.116,1.5705,0.2467,1.0847,-0.1354,-0.0519,0.1978,1.2063,0.296,0.9045,1.8749,1.0037,1.1657,0.6824,0.3564,1.7479,0.7671,0.8852,2.2254,2.1935,1.3706,1.6425,1.129,1.1159,2.4537,2.2428,1.1486,2.1363,0.2303,0.0537,0.5939,0.4865,Control
Utah__A07,0.675,-0.2109,1.5901,0.1567,-0.2365,-0.1015,1.2756,1.8589,0.0426,0.0356,1.5236,-0.1604,1.8609,0.364,1.4226,-0.1374,-0.0636,0.2174,1.2924,0.5102,1.3099,1.9127,0.9863,1.3766,0.8669,0.4096,1.7697,0.7989,1.1765,2.2112,2.1592,1.4224,1.8251,1.0809,1.3173,2.4066,2.296,1.4495,2.1759,0.2357,0.107,0.9005,0.5939,Control
Utah__A08,0.4113,-0.0487,1.6278,0.0857,-0.2982,-0.0829,1.2823,1.9941,0.0033,-0.0088,1.4965,-0.0941,1.7198,0.2967,1.4684,-0.1683,0.0099,0.1426,1.4821,0.8364,1.4137,1.9432,1.0102,1.5009,0.8829,0.3414,1.7375,0.784,1.467,2.5672,2.0732,1.3603,2.1393,1.023,1.3652,2.0624,2.2139,1.2527,1.9205,0.1735,0.0326,1.242,0.6051,Control
Utah__A09,0.536,-0.1254,1.4374,0.1352,-0.218,-0.1057,1.178,1.7212,-0.009,-0.0266,1.4111,-0.1405,1.8278,0.349,1.3695,-0.1411,-0.045,0.2309,1.3752,0.5718,1.2508,1.8616,1.0062,1.3752,0.7767,0.356,1.637,0.7778,0.9988,2.4187,2.1477,1.3413,1.7935,1.0927,1.2773,2.4285,2.2423,0.951,2.3034,0.2185,0.0954,0.8183,0.5577,Control
Utah__A10,0.6306,-0.1158,1.7306,0.1044,-0.2518,-0.082,1.4162,1.9662,0.1062,0.1115,1.5165,-0.1499,1.802,0.398,1.4291,-0.1281,-0.0154,0.2111,1.2657,0.3781,1.3167,1.9537,0.9394,1.2385,0.8171,0.4749,1.7832,0.79,1.3316,2.7033,2.1464,1.4577,2.17,1.0601,1.2687,2.2558,2.2774,1.2653,2.2451,0.096,0.0153,1.0998,0.6079,Control
