@relation data

@attribute id string
@attribute 10452 numeric
@attribute 11261 numeric
@attribute 1432 numeric
@attribute 1616 numeric
@attribute 2876 numeric
@attribute 2890 numeric
@attribute 2891 numeric
@attribute 2902 numeric
@attribute 2903 numeric
@attribute 2904 numeric
@attribute 2905 numeric
@attribute 2906 numeric
@attribute 317 numeric
@attribute 4217 numeric
@attribute 4741 numeric
@attribute 4744 numeric
@attribute 4747 numeric
@attribute 4842 numeric
@attribute 54205 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5600 numeric
@attribute 5603 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5630 numeric
@attribute 572 numeric
@attribute 57679 numeric
@attribute 581 numeric
@attribute 5868 numeric
@attribute 5879 numeric
@attribute 596 numeric
@attribute 5961 numeric
@attribute 598 numeric
@attribute 6300 numeric
@attribute 637 numeric
@attribute 63928 numeric
@attribute 6506 numeric
@attribute 6647 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7157 numeric
@attribute 79139 numeric
@attribute 834 numeric
@attribute 836 numeric
@attribute 84134 numeric
@attribute 842 numeric
@attribute 847 numeric
@attribute 9973 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.3677,1.0959,1.4449,0.762,1.4062,-0.1013,-0.1559,-0.1117,-0.0837,-0.1622,-0.1089,-0.1708,1.7652,0.9766,-0.0706,-0.1064,0.5786,-0.1288,0.7303,0.7429,1.2926,1.379,1.3074,-0.0236,1.0042,0.7706,0.7145,0.1203,0.2409,0.4819,0.9097,1.1574,0.6575,1.5972,-0.0702,0.5469,-0.1579,0.8571,-0.1833,-0.0975,0.9827,0.4149,1.2819,0.7493,1.9003,2.6117,1.208,0.6333,0.8967,1.2514,0.6832,Control
A02,0.3224,1.2156,1.1614,0.7013,1.1006,-0.0893,-0.08,-0.1337,-0.143,-0.1532,-0.1274,-0.1038,1.6967,0.8038,-0.0911,-0.1623,0.4037,-0.0998,0.7572,0.6208,0.9495,1.0794,1.0986,-0.0148,0.9425,0.751,0.296,0.0684,0.1478,0.3361,0.8576,0.8096,0.5148,0.7857,0.0654,0.4995,-0.0901,0.8402,-0.162,-0.1065,0.6462,0.4378,1.2163,0.5887,1.8301,3.0998,1.1875,0.5101,0.6211,1.1282,0.4355,Control
A03,0.4171,1.2948,1.3753,0.7294,1.4279,-0.0914,-0.0855,-0.1377,-0.1018,-0.1821,-0.0683,-0.0968,1.842,1.0007,-0.1017,-0.0532,0.158,-0.1631,0.9524,0.7759,1.2205,1.157,1.2768,0.0233,0.9742,1.0109,0.4348,0.0785,0.1867,0.5406,1.0921,1.0026,0.7441,0.7002,0.0608,0.6583,-0.0782,0.9951,-0.1684,-0.1428,0.7672,0.5438,1.4301,0.8079,2.0628,3.0642,1.3243,0.7125,0.9002,1.1845,0.5944,Control
A04,0.4194,1.2501,1.2634,0.6506,0.9499,-0.1044,-0.0429,-0.0447,-0.1291,-0.1293,-0.0465,0.0267,1.5185,0.9294,-0.1206,-0.0867,0.7796,-0.115,0.7746,0.692,0.9394,1.2377,1.2271,0.1349,1.0887,0.8035,0.3699,0.1505,0.2507,0.3494,0.896,0.987,0.4666,0.8705,0.0335,0.4147,0.0243,0.9376,-0.123,-0.1314,0.7414,0.3481,1.1297,0.5955,1.84,2.535,1.1111,0.4554,0.7648,1.1934,0.4626,Control
A05,0.5059,1.4293,1.514,0.709,1.3025,-0.0863,-0.0927,-0.0453,-0.0864,-0.1196,-0.0566,0.0378,1.9657,1.0396,-0.1222,-0.019,0.4862,-0.112,0.8167,0.7965,1.0923,1.1578,1.3083,0.1042,0.9788,0.9784,0.5114,0.1466,0.3108,0.4196,1.0811,1.0131,0.6929,0.8938,-0.0197,0.5794,0.0052,0.9553,-0.0599,-0.0445,0.7189,0.3701,1.4212,0.7673,2.0041,3.0473,1.4127,0.6771,0.998,1.3169,0.6147,Control
A06,0.3947,1.3792,1.2099,0.6521,1.4415,-0.0785,-0.08,-0.1583,-0.0762,-0.1424,-0.1751,-0.2,1.8074,0.8535,-0.1204,-0.1108,0.0983,-0.1234,0.8005,0.6451,0.9526,0.9225,1.1683,-0.086,0.8609,0.8378,0.62,0.0734,0.2291,0.3676,0.8694,0.878,0.5468,0.813,0.0319,0.4694,-0.1294,0.8535,-0.0916,-0.1459,0.6333,0.4186,1.3082,0.6036,1.8627,2.8691,1.1328,0.596,0.9565,1.2934,0.5103,Control
A07,0.2501,1.3022,1.5901,0.691,0.7726,-0.0722,-0.0754,-0.0988,-0.1371,-0.1631,-0.1023,-0.1288,1.9975,1.0896,-0.0781,-0.0704,0.4036,-0.1526,0.7829,1.0466,1.3272,1.1807,1.5577,-0.0731,0.9428,0.7733,0.6062,0.0688,0.2349,0.5098,0.8894,1.1006,0.7206,1.3348,0.0131,0.6185,-0.13,0.9925,-0.1397,-0.14,0.7512,0.4733,1.5049,0.684,1.9286,2.8758,1.3997,0.6912,0.8172,1.4067,0.6468,Control
A08,0.3616,1.1024,1.6278,0.5872,1.0335,-0.1318,-0.143,-0.114,-0.1302,-0.1534,-0.1024,-0.23,1.7332,1.2317,-0.1165,-0.0886,0.3743,-0.0947,0.5755,1.1754,1.4644,1.5305,1.735,-0.0884,0.8045,0.7195,0.7395,0.1002,0.086,0.525,0.7309,1.2353,0.8123,1.9587,-0.0246,0.6098,-0.1106,0.8703,-0.2384,-0.1208,0.6524,0.2487,1.1624,0.6482,1.85,2.4054,1.0162,0.5257,0.7257,1.2435,0.4858,Control
A09,0.3527,1.2395,1.4374,0.6613,0.8875,-0.0688,-0.0608,-0.1222,-0.1084,-0.1589,-0.1115,-0.1126,1.7471,1.0157,-0.1222,-0.0396,0.6307,-0.1624,0.6793,0.8882,1.2405,1.1693,1.3777,-0.0165,0.8572,0.8261,0.5541,0.0743,0.207,0.4181,0.8938,0.9081,0.5927,1.6272,0.0092,0.5295,-0.0919,0.891,-0.1799,-0.1316,0.7104,0.3534,1.1854,0.5412,1.9643,2.764,1.0099,0.5355,0.7466,1.2532,0.5578,Control
A10,0.377,1.2083,1.7306,0.6496,1.0414,-0.1004,-0.0835,-0.0662,-0.1233,-0.1127,-0.1097,-0.0417,1.9048,1.284,-0.0823,-0.1187,0.4644,-0.1291,0.6095,1.0953,1.2521,1.4239,1.6032,0.0023,1.0123,0.7781,0.6865,0.1017,0.2064,0.5768,0.904,1.0948,0.7228,1.211,-0.1092,0.6749,-0.0033,0.8758,-0.1298,-0.0911,0.6723,0.4561,1.3738,0.5878,1.9369,2.9071,1.2126,0.6517,0.9483,1.2948,0.5602,Control
