@relation data

@attribute id string
@attribute 6093 numeric
@attribute 5880 numeric
@attribute 2064 numeric
@attribute 391 numeric
@attribute 23365 numeric
@attribute 10507 numeric
@attribute 5364 numeric
@attribute 10398 numeric
@attribute 9826 numeric
@attribute 3985 numeric
@attribute 3984 numeric
@attribute 389 numeric
@attribute 388 numeric
@attribute 387 numeric
@attribute 27289 numeric
@attribute 4637 numeric
@attribute 4627 numeric
@attribute 103910 numeric
@attribute 4629 numeric
@attribute 4628 numeric
@attribute 79784 numeric
@attribute 5879 numeric
@attribute 998 numeric
@attribute 9475 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.5327,1.5768,0.1419,1.1536,0.7274,1.7947,0.0104,0.6685,0.7293,0.7462,0.4691,0.5537,1.0893,0.7773,-0.04,1.6807,1.8777,0.8235,-0.0019,-0.0463,-0.0402,0.6432,1.3608,1.0287,Control
A02,1.2476,1.469,0.2472,1.0903,0.7298,1.4763,0.1226,0.6838,0.6349,0.5181,0.5328,0.7787,1.1877,0.5327,-0.1196,1.5091,1.6403,0.4186,-0.037,-0.1331,-0.0494,0.4992,1.0773,0.7721,Control
A03,1.5227,1.5848,0.2761,1.2395,0.8553,1.5255,0.1408,0.6669,0.8468,0.81,0.5926,0.8627,1.355,0.88,-0.0378,1.7979,1.8089,0.8025,-0.0034,-0.0911,-0.0159,0.7305,1.3643,0.9926,Control
A04,1.1775,1.5612,0.2824,1.153,0.6561,1.5763,0.1105,0.7458,0.5663,0.4339,0.5529,0.882,1.1941,0.4995,-0.0926,1.5494,1.7291,0.5527,-0.0236,-0.0499,0.0348,0.4506,1.2398,0.9147,Control
A05,1.4139,1.5812,0.3567,1.447,0.972,1.6296,0.0806,0.942,0.8208,0.7537,0.8,0.9188,1.5037,0.6563,-0.0244,1.7639,1.9183,0.4384,-0.0022,-0.0324,0.0604,0.6788,1.3013,1.0051,Control
A06,1.2959,1.5216,0.2736,1.1975,0.7782,1.5823,0.0875,0.7609,0.7521,0.6069,0.5539,0.7519,1.1767,0.5764,-0.1181,1.7716,1.7373,0.6725,-0.0227,-0.1009,-0.1177,0.5315,1.1447,0.832,Control
A07,1.5516,1.6623,0.2863,1.2151,0.7036,1.6014,0.1393,0.5941,0.8177,0.6661,0.5708,0.8629,1.5596,0.8147,0.0104,1.6605,1.7987,0.5644,-0.0724,-0.1071,-0.0404,0.7067,1.5858,1.0204,Control
A08,1.5885,1.4029,0.2563,1.0618,0.6019,1.6607,0.0412,0.4908,0.7183,0.7821,0.4128,0.759,1.0775,0.8852,-0.0357,1.4756,1.71,0.5922,0.0012,-0.0636,-0.0752,0.7992,1.6994,0.9993,Control
A09,1.5046,1.4845,0.1878,1.1528,0.8477,1.6888,0.1413,0.8433,0.6354,0.6978,0.4868,0.7499,1.1517,0.5829,-0.0271,1.699,1.8143,0.3808,-0.0447,-0.0881,-0.0337,0.5778,1.4239,0.8836,Control
A10,1.4727,1.5632,0.2526,1.1047,0.9042,1.7511,0.0602,1.1692,0.7552,0.7316,0.5767,0.6391,1.0541,0.7836,-0.0522,1.6359,1.8828,0.5178,-0.0295,-0.034,0.0174,0.709,1.6004,1.1945,Control
A11,1.239,1.5323,0.3412,1.0367,0.6738,1.4808,0.0206,0.7253,0.4177,0.6126,0.3741,0.6117,0.8839,0.5479,-0.0428,1.6202,1.6528,0.2841,-0.0037,-0.1089,-0.0631,0.4206,0.9791,0.6606,Control
A12,0.8331,1.0033,0.1156,0.7221,0.6443,1.0893,0.178,0.8621,0.3416,0.2559,0.3417,0.4566,0.6311,0.2865,-0.0097,1.3459,1.0592,0.2178,-0.0538,-0.1566,-0.1521,0.307,0.6876,0.6181,Control
B01,1.4378,1.2247,-0.0625,0.9697,0.5625,1.5134,-0.0326,0.4849,0.5929,0.6806,0.2314,0.6364,0.6094,0.7625,0.0909,1.6279,1.4165,0.8421,-0.009,-0.0833,-0.2472,0.7761,1.4666,0.9096,Control
B02,1.3561,1.6089,0.2679,1.3189,0.5818,1.6096,0.0979,0.6647,0.6318,0.6646,0.6032,0.8987,1.3316,0.6839,0.053,1.9203,1.7497,0.9314,-0.0015,-0.0353,0.0177,0.6982,1.4387,0.8781,Control
B03,1.4188,1.448,0.0957,1.2304,0.3359,1.5696,-0.0179,0.1767,0.5924,0.667,0.3875,0.7207,1.0184,0.6896,0.0422,1.7137,1.6347,0.866,0.0569,-0.0789,-0.0536,0.7721,1.3911,0.9308,BRCACancer
B04,1.4506,1.267,0.1963,0.8242,0.6872,1.6507,0.1285,0.6043,0.6307,0.6125,0.4788,0.675,0.8295,1.0121,0.0096,1.4138,1.8226,0.4183,-0.0108,-0.0648,-0.137,0.8504,1.7601,1.022,BRCACancer
B05,1.1686,1.5184,0.2248,1.0955,0.5424,1.4682,0.1657,0.5536,0.4466,0.416,0.4452,0.8862,1.0624,0.6877,0.0114,1.7786,1.4626,0.5547,-0.0374,-0.1343,-0.082,0.4846,1.2624,0.6726,BRCACancer
B06,1.2192,0.8041,-0.0883,0.6091,0.4235,1.1966,-0.044,0.3054,0.4681,0.4108,0.1109,0.2219,0.3437,0.5814,0.032,1.3941,1.1609,0.4911,-0.0751,-0.2022,-0.4104,0.4988,1.0718,0.7029,BRCACancer
B07,1.5765,1.5398,0.2682,1.0944,0.7209,1.6522,0.1268,0.6082,0.6697,0.6794,0.5321,0.6306,0.9661,0.9305,0.0111,1.8033,1.8558,0.6602,-0.0061,-0.0897,-0.0064,0.7269,1.5184,1.0957,BRCACancer
B08,1.3469,1.6268,0.3391,1.0983,0.9948,1.5203,6e-04,1.1161,0.5389,0.5451,0.452,0.7649,1.2783,0.5672,0.0439,1.6647,1.7176,0.5552,0.01,-0.0481,0.0694,0.4862,1.0596,0.862,Control
B09,1.4309,1.097,0.1856,0.9825,0.9138,1.8101,0.0233,0.7087,0.4775,0.5044,0.3218,0.5621,0.6738,1.0014,-0.1029,1.6878,1.7524,0.5783,-0.011,-0.0518,-0.1348,0.6499,1.5966,0.8732,Control
