@relation data

@attribute id string
@attribute 34 numeric
@attribute 1579 numeric
@attribute 8841 numeric
@attribute 336 numeric
@attribute 6514 numeric
@attribute 6822 numeric
@attribute 948 numeric
@attribute 9415 numeric
@attribute 335 numeric
@attribute 376497 numeric
@attribute 23309 numeric
@attribute 1581 numeric
@attribute 6319 numeric
@attribute 2194 numeric
@attribute 1387 numeric
@attribute 7350 numeric
@attribute 10062 numeric
@attribute 4199 numeric
@attribute 9612 numeric
@attribute 9611 numeric
@attribute 123 numeric
@attribute 79718 numeric
@attribute 116519 numeric
@attribute 5360 numeric
@attribute 6256 numeric
@attribute 96764 numeric
@attribute 1376 numeric
@attribute 4547 numeric
@attribute 51129 numeric
@attribute 31 numeric
@attribute 6555 numeric
@attribute 6604 numeric
@attribute 8694 numeric
@attribute 25942 numeric
@attribute 4023 numeric
@attribute 1374 numeric
@attribute 23054 numeric
@attribute 2167 numeric
@attribute 19 numeric
@attribute 6342 numeric
@attribute 8202 numeric
@attribute 3992 numeric
@attribute 5465 numeric
@attribute 8648 numeric
@attribute 284541 numeric
@attribute 5346 numeric
@attribute 6907 numeric
@attribute 85441 numeric
@attribute 5244 numeric
@attribute 1962 numeric
@attribute 5469 numeric
@attribute 80205 numeric
@attribute 10499 numeric
@attribute 10498 numeric
@attribute 2180 numeric
@attribute 183 numeric
@attribute 8800 numeric
@attribute 6720 numeric
@attribute 51 numeric
@attribute 7363 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.0981,-0.2462,0.8247,-0.0775,-0.0686,-0.1092,1.5641,0.697,0.0917,0.1967,0.8827,-0.1504,0.2282,0.4001,1.4419,-0.1707,0.227,0.0534,0.3705,1.6223,0.9271,1.262,-0.2104,-0.0245,0.5355,1.288,0.8426,-0.1667,-0.0535,0.4742,0.0822,0.2667,0.6909,1.8254,0.0013,0.8654,0.8517,-0.2294,0.8534,1.047,2.0719,0.7175,0.3764,1.2495,-0.1921,-0.1348,0.5339,0.6153,0.2002,0.139,1.9415,0.7607,0.7669,0.4779,1.7001,0.0672,0.366,0.4121,1.0978,-0.1281,Control
A02,0.9303,-0.1877,0.6869,-0.1077,-0.0832,-0.1372,1.654,0.1843,0.0526,0.1153,0.7438,-0.2021,0.1457,0.2694,1.1941,-0.0472,0.0662,0.1569,0.301,1.3712,0.8506,0.94,-0.206,-0.038,0.541,1.0644,0.6793,-0.0579,-0.0911,0.2145,-0.0537,0.2476,0.6472,1.5499,0.2321,0.8338,0.6725,-0.2845,0.3528,1.1734,1.8893,0.5068,0.2792,1.1389,-0.0686,-0.1112,0.2736,0.3999,0.1136,0.0603,1.7265,0.5795,0.4672,0.4197,1.4064,0.1838,0.176,0.2585,0.8618,-0.0795,Control
A03,0.9023,-0.1947,0.7139,0.0218,-0.0929,-0.1976,1.7728,0.591,0.1237,0.1497,0.8534,-0.1843,0.3488,0.4241,1.4161,-0.1263,0.2028,0.0637,0.4663,1.605,1.1318,1.1375,-0.1414,-0.0105,0.7105,1.2647,0.8269,-0.0019,-0.1259,0.3981,0.0638,0.318,0.7138,1.6995,-0.0222,0.9563,0.8578,-0.258,0.6808,1.2545,2.0493,0.865,0.4264,1.2551,-0.2339,-0.1041,0.4114,0.697,0.0953,0.1565,1.8374,0.7669,0.715,0.5812,1.8921,0.2025,0.0594,0.3189,0.9809,-0.1621,Control
A04,0.8889,-0.2058,0.6255,-0.0095,-0.0708,-0.0725,1.5061,0.6675,0.2092,0.2285,0.6887,-0.1341,-0.0172,0.4369,1.2536,-0.071,0.1461,0.194,0.4059,1.3797,1.0442,1.0759,-0.0749,0.0133,0.5333,1.1524,0.6941,-0.0808,-0.0959,0.2248,-0.0934,0.2126,0.6939,1.6548,0.0621,0.9868,0.6529,-0.1643,0.3649,0.9502,1.9115,0.572,0.2016,1.2253,-0.214,-0.0576,0.3527,0.4642,0.3123,0.1201,1.65,0.5368,0.5403,0.4479,1.5494,0.1284,0.2052,0.2861,0.7471,-0.081,Control
A05,1.0464,-0.19,0.7887,-0.1003,-0.0666,-0.1136,1.9146,0.4698,0.118,0.38,0.9163,-0.1462,0.1573,0.5348,1.4082,-0.0918,0.2417,0.2857,0.4874,1.5971,1.0601,1.0481,-0.1017,0.0232,0.7185,1.1963,0.9888,-0.0918,-0.094,0.4025,-0.0958,0.4197,0.8287,1.6888,-0.0158,0.9343,0.828,-0.2246,0.4372,0.9183,2.0103,1.0366,0.3601,1.3449,-0.1424,-0.096,0.4754,0.6208,0.2633,0.1476,1.9021,0.7537,0.6835,0.5925,1.8591,0.0708,0.0796,0.3629,1.1826,-0.1399,Control
A06,0.8103,-0.1119,0.7,-0.085,-0.0574,-0.162,1.7035,0.2221,0.0501,0.1995,0.835,-0.1148,-0.0966,0.3337,1.3394,-0.126,0.1731,0.0739,0.3697,1.4577,0.8809,0.9462,-0.2346,-0.0812,0.6699,1.2291,0.6769,-0.0586,-0.116,0.3615,-0.117,0.3435,0.6754,1.6314,0.0604,0.8038,0.7017,-0.2658,0.5253,0.9973,1.9309,0.6022,0.3526,1.232,-0.111,-0.1256,0.4298,0.4303,0.0875,0.1452,1.8069,0.657,0.5585,0.3986,1.8742,0.1295,0.083,0.243,1.0742,-0.163,Control
A07,1.1916,-0.1353,0.7635,-0.0511,-0.0546,-0.1446,1.6911,0.3006,0.0777,0.2475,0.9027,-0.183,-0.0056,0.2736,1.4397,-0.0036,0.1398,0.1378,0.3682,1.629,0.9411,1.3173,-0.1996,-0.0849,0.6475,1.2828,0.9244,-0.08,-0.0899,0.3738,-0.0811,0.3562,0.7218,1.6898,-0.0125,1.0598,0.799,-0.2241,0.4823,0.7753,2.1487,0.6344,0.3244,1.3441,-0.1171,-0.1129,0.7127,0.3832,0.1888,0.1345,1.7885,0.8049,0.9238,0.4069,1.7041,0.1623,0.2871,0.2394,1.1013,-0.1088,Control
A08,1.0153,-0.2069,0.7113,-0.025,-0.1311,-0.1642,1.7645,0.2662,0.0418,0.1276,0.8745,-0.1563,0.0735,0.2836,1.5649,-0.1247,0.1606,0.0421,0.3976,1.7677,0.7531,1.5299,-0.1192,-0.0907,0.5126,1.2961,0.6679,-0.1161,-0.1576,0.546,0.0882,0.2531,0.5359,1.7118,-0.0431,0.8631,0.8569,-0.207,0.6281,1.1891,2.1309,0.5288,0.3939,1.4495,-0.2554,-0.1316,0.8506,0.4384,0.2874,0.0613,1.5911,0.8707,1.1101,0.349,1.4579,0.0911,0.2085,0.3476,0.9711,-0.2137,Control
A09,0.9582,-0.0846,0.6575,-0.0521,-0.0658,-0.1194,1.7405,0.6189,0.1082,0.1444,0.7734,-0.1716,0.1646,0.2624,1.4149,-0.1054,0.1421,0.022,0.3587,1.653,0.8713,1.1752,-0.1873,-0.0629,0.5428,1.1562,0.6733,-0.0338,-0.1031,0.3248,-0.104,0.2858,0.6338,1.6689,0.019,0.8442,0.7014,-0.1683,0.6484,0.8535,2.1526,0.5247,0.2639,1.2151,-0.1095,-0.1457,0.6547,0.4419,0.097,0.105,1.821,0.7426,0.8828,0.3911,1.5483,0.1407,0.1474,0.2869,0.9471,-0.1553,Control
A10,1.1103,-0.1496,0.7329,-0.0809,-0.1124,-0.0998,2.4979,0.2276,0.1016,0.2262,0.8405,-0.1331,0.055,0.3517,1.4738,-0.1211,0.1436,0.2222,0.4041,1.716,0.84,1.3347,-0.1158,-0.0082,0.5707,1.1724,0.7824,-0.0792,-0.0361,0.4106,0.0073,0.4494,0.6412,1.6768,-0.0271,0.8072,0.8363,-0.1878,0.7515,1.2374,2.0954,0.617,0.4137,1.4056,-0.1992,-0.1148,0.6699,0.4468,0.088,0.1281,1.7671,0.8293,0.9343,0.4638,2.0616,0.1099,0.1389,0.3024,1.0432,-0.1063,Control
