@relation data

@attribute id string
@attribute 2159 numeric
@attribute 2147 numeric
@attribute 5196 numeric
@attribute 2266 numeric
@attribute 5627 numeric
@attribute 5197 numeric
@attribute 5624 numeric
@attribute 2243 numeric
@attribute 462 numeric
@attribute 2244 numeric
@attribute 2162 numeric
@attribute 2165 numeric
@attribute 2153 numeric
@attribute 7056 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.0181,-0.0838,2.5312,-0.1786,0.2619,2.2069,0.0927,-0.0911,-0.1138,-0.2417,1.4087,-0.1046,1.2457,0.6432,Control
A02,0.0605,-0.0682,2.1611,-0.1042,0.2659,1.1175,0.1456,-0.0675,-0.0136,-0.1426,1.4159,-0.0159,0.8365,0.4857,Control
A03,0.0732,-0.0986,1.6338,-0.1712,0.2831,1.2521,0.1677,-0.0493,0.0346,-0.1333,1.3885,-0.0351,0.8969,0.4667,Control
A04,0.0192,-0.0334,2.1446,-0.1163,0.31,1.4777,0.1676,-0.083,-0.1149,-0.1588,1.5645,0.0301,0.861,0.4699,Control
A05,0.0502,-0.059,2.8107,-0.1207,0.6228,2.2568,0.1828,-0.0648,-0.0418,-0.1722,1.6858,0.0396,1.4522,0.7444,Control
A06,0.0156,-0.0823,1.9114,-0.0914,0.2266,1.0786,0.0811,-0.1126,-0.0068,-0.1948,1.3105,-0.1001,1.1196,0.4396,Control
A07,0.0175,-0.0981,2.2887,-0.1456,0.3344,1.2806,0.1768,-0.0632,-3e-04,-0.101,1.4812,-0.0232,1.1572,0.6829,Control
A08,0.0156,-0.0797,1.705,-0.1492,0.017,0.9547,0.0325,-0.142,-0.0604,-0.214,1.1348,-0.1081,0.7934,0.313,Control
A09,0.0137,-0.1022,2.6108,-0.134,0.4256,1.8438,0.1041,-0.0282,-0.0431,-0.1401,1.6892,-0.0261,0.9151,0.4681,Control
A10,0.0205,-0.0788,3.2973,-0.1274,0.6194,2.353,0.0903,-0.0539,-0.0331,-0.1682,1.736,-0.0196,1.5544,0.5057,Control
A11,0.0162,-0.1198,1.535,-0.1309,0.1536,1.6525,0.0222,-0.0828,-0.0786,-0.123,1.4154,0.002,0.7577,0.6004,Control
A12,0.0715,-0.1108,3.1909,-0.1886,0.3431,1.346,0.1953,0.0982,0.0772,-0.0732,1.6563,0.0518,0.5479,0.1284,Control
B01,-0.1094,-0.1499,1.7218,-0.196,0.2551,1.477,0.0524,0.0708,0.096,-0.2134,1.3085,-0.1488,0.7244,-0.0818,Control
B02,0.0443,-0.0799,2.1317,-0.1388,0.209,1.3037,0.0789,0.0062,-0.0148,-0.1826,1.414,-0.0563,0.9934,0.4373,Control
