@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10288 numeric
@attribute 10326 numeric
@attribute 10379 numeric
@attribute 10454 numeric
@attribute 10859 numeric
@attribute 10990 numeric
@attribute 11006 numeric
@attribute 11024 numeric
@attribute 11025 numeric
@attribute 11026 numeric
@attribute 11027 numeric
@attribute 1147 numeric
@attribute 126014 numeric
@attribute 1385 numeric
@attribute 140885 numeric
@attribute 1432 numeric
@attribute 1435 numeric
@attribute 1436 numeric
@attribute 1513 numeric
@attribute 1535 numeric
@attribute 1536 numeric
@attribute 1540 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2212 numeric
@attribute 2213 numeric
@attribute 2214 numeric
@attribute 2274 numeric
@attribute 23118 numeric
@attribute 2353 numeric
@attribute 23533 numeric
@attribute 2354 numeric
@attribute 23547 numeric
@attribute 2534 numeric
@attribute 27035 numeric
@attribute 2885 numeric
@attribute 29760 numeric
@attribute 3454 numeric
@attribute 3455 numeric
@attribute 3456 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 3551 numeric
@attribute 3552 numeric
@attribute 3553 numeric
@attribute 3554 numeric
@attribute 3690 numeric
@attribute 3716 numeric
@attribute 3725 numeric
@attribute 3726 numeric
@attribute 3727 numeric
@attribute 3932 numeric
@attribute 3937 numeric
@attribute 4286 numeric
@attribute 4688 numeric
@attribute 4689 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4790 numeric
@attribute 4791 numeric
@attribute 4792 numeric
@attribute 4982 numeric
@attribute 50508 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5336 numeric
@attribute 54 numeric
@attribute 54209 numeric
@attribute 5468 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 55423 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5604 numeric
@attribute 5608 numeric
@attribute 5609 numeric
@attribute 5879 numeric
@attribute 5970 numeric
@attribute 5971 numeric
@attribute 6300 numeric
@attribute 6688 numeric
@attribute 6772 numeric
@attribute 6773 numeric
@attribute 6850 numeric
@attribute 6885 numeric
@attribute 695 numeric
@attribute 7006 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7046 numeric
@attribute 7048 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7186 numeric
@attribute 7189 numeric
@attribute 7297 numeric
@attribute 7305 numeric
@attribute 79168 numeric
@attribute 799 numeric
@attribute 8061 numeric
@attribute 814 numeric
@attribute 8503 numeric
@attribute 8517 numeric
@attribute 8600 numeric
@attribute 8651 numeric
@attribute 8792 numeric
@attribute 8878 numeric
@attribute 9020 numeric
@attribute 9021 numeric
@attribute 9846 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6233,2.2832,0.9249,1.7344,0.2872,0.5456,-0.1326,0.9471,1.5536,1.3283,1.7835,1.5632,1.5171,0.5472,1.8356,0.5603,1.4449,0.3416,1.1546,0.5196,1.5089,2.9639,2.8208,0.6157,0.8453,0.5848,0.7057,1.0697,0.0723,1.7946,2.8919,1.4389,0.6342,0.1216,1.6042,-0.159,1.6355,0.6565,1.8546,1.8776,-0.059,0.7042,2.0903,1.3871,1.1591,-0.0078,1.5431,0.2655,2.1301,1.8794,1.2901,2.6047,1.7489,1.9358,2.2185,0.0903,2.4584,0.7772,0.454,0.6032,1.6981,1.1558,2.2123,-0.0799,-0.0997,1.5746,1.5626,1.3366,1.8406,1.4982,0.2071,0.6199,1.5479,-0.1384,0.0066,0.7429,1.2926,1.379,0.8021,1.76,1.0952,1.4087,-0.0236,1.1297,-0.0399,1.0042,0.7341,0.7145,0.6098,0.6575,1.4383,0.7723,-0.1579,0.9624,2.3654,2.2851,1.0836,1.4658,1.4834,0.4808,2.044,0.0614,1.3569,1.7706,0.4149,1.2819,0.2394,0.8372,1.1125,1.4768,1.2215,-0.1032,-0.003,1.3209,0.0818,0.3604,-0.0729,0.0596,0.0422,1.5659,0.7681,0.619,0.6565,Control
Utah__A02,0.3831,2.5163,1.6982,1.4174,0.1844,0.5184,-0.13,0.9246,1.8172,1.4485,1.7168,1.5101,1.302,0.8024,1.527,0.4158,1.1614,0.3601,1.3845,0.4427,1.5233,3.265,2.2958,0.5686,0.6275,0.425,0.5116,1.7616,0.1129,1.4192,1.0722,1.1486,0.3381,0.0042,1.263,-0.1875,1.481,0.3778,1.6998,1.5115,-0.1975,1.5545,2.007,1.4009,0.9319,0.1551,0.7913,0.0624,2.2489,1.6629,0.8169,2.2363,1.5483,1.6874,2.1072,0.0817,2.6102,0.5442,0.3831,0.4413,1.2732,0.9284,2.0603,-0.049,-0.0604,1.3014,1.4139,1.1106,2.0413,1.1993,0.1689,0.6094,1.3525,0.0479,0.0419,0.6208,0.9495,1.0794,0.4681,1.6579,1.0379,0.986,-0.0148,0.9926,0.0138,0.9425,0.48,0.296,0.5292,0.5148,1.258,0.5734,-0.0901,1,2.5389,2.1881,0.9151,1.1532,1.5178,0.3368,2.0529,0.0739,1.222,1.4137,0.4378,1.2163,0.1809,0.7679,0.9142,1.3882,1.0053,-0.0204,0.0753,0.7169,0.0895,0.3492,-0.0536,-0.1021,-0.0302,1.477,0.528,0.4328,0.4917,Control
Utah__A03,0.396,2.8866,2.2194,1.8359,0.2439,0.7691,-0.0259,1.3665,2.083,1.7635,-0.1657,1.8906,1.5398,0.8574,1.7022,0.5265,1.3753,0.4211,1.8769,0.5403,1.5492,3.3707,2.3647,0.6805,0.7841,0.6263,0.6174,2.1053,0.0781,1.3753,2.3576,1.5932,0.5979,0.067,1.4626,-0.1804,1.7658,0.3277,1.7278,1.907,-0.2531,2.0921,1.992,1.5925,1.0697,-0.0362,0.9227,0.0934,2.2641,1.8002,1.1876,2.9175,1.9586,1.7151,2.3283,0.086,2.6565,0.9361,0.4227,0.7027,1.4485,1.0624,2.7503,-0.1306,-0.0756,1.3967,1.4596,1.2772,2.162,1.3339,0.2691,0.8192,1.7521,-0.0232,0.0257,0.7759,1.2205,1.157,0.5573,1.9065,1.0752,1.223,0.0233,1.1122,-0.02,0.9742,0.7059,0.4348,0.7023,0.7441,1.4813,0.8181,-0.0782,1.2935,2.8972,2.5726,1.1936,1.3103,1.6458,0.4263,2.233,0.1569,1.3969,1.5733,0.5438,1.4301,0.2439,0.9336,1.189,1.5911,1.4296,-0.0338,-0.0024,0.7838,0.2042,0.3742,-0.0987,-0.0609,0.0859,1.6498,0.7605,0.8413,0.6976,Control
Utah__A04,0.5255,2.3715,0.7976,1.4555,0.1265,0.407,-0.0866,0.7334,1.6138,1.4269,1.9463,1.5638,1.079,0.6,1.6873,0.4324,1.2634,0.45,1.393,0.3059,1.2468,3.0673,2.2987,0.6225,0.7141,0.5231,0.5036,1.4676,0.0299,1.5602,1.55,1.374,0.4086,0.0447,1.4429,-0.1714,1.4795,0.5163,1.563,1.6053,-0.1922,0.6554,1.866,1.097,0.9555,0.1356,0.517,0.1894,2.7493,1.964,1.2809,2.855,1.7935,1.9667,2.0788,0.0364,2.6795,0.6358,0.4964,0.4953,1.4304,1.0316,2.2761,-0.0817,-0.0854,1.353,1.4002,1.2477,2.0983,1.4882,0.2883,0.503,1.1654,-0.1812,0.0309,0.692,0.9394,1.2377,0.5567,1.7434,1.0602,0.9854,0.1349,1.0731,-0.0106,1.0887,0.5113,0.3699,0.6582,0.4666,1.484,0.74,0.0243,0.9429,2.379,1.9536,0.88,1.2639,1.4046,0.3499,2.1844,0.0657,1.2572,1.6415,0.3481,1.1297,0.2334,0.7944,1.0194,1.3387,1.1828,-0.0328,0.1064,1.0123,0.0407,0.3772,0.014,0.1671,0.0374,1.6038,0.6381,1.3056,0.5101,Control
Utah__A05,0.5106,2.8635,2.2429,1.7826,0.259,0.729,-0.0269,1.5051,2.0885,2.1052,1.5226,2.2476,1.4435,1.1844,1.7772,0.7678,1.514,0.3147,1.77,0.5433,1.6011,3.5223,2.3289,0.7463,0.7904,0.7208,0.6099,1.9238,0.0789,1.5773,1.9884,1.5816,0.4861,0.0351,1.4763,-0.1155,1.8562,0.468,1.8005,1.8479,-0.0891,0.6132,2.2635,1.5675,1.0728,0.1215,0.7727,0.1604,2.9795,1.8971,1.2201,2.8466,1.9483,1.6797,2.1474,0.1822,3.047,1.149,0.4674,0.5023,1.5181,1.126,2.4615,-0.0628,-0.0651,1.4836,1.8548,1.357,2.0939,1.3381,0.3996,0.7744,1.6979,-0.0498,-0.0035,0.7965,1.0923,1.1578,0.4529,1.9721,1.2157,1.1338,0.1042,1.1431,-0.0216,0.9788,0.726,0.5114,0.7209,0.6929,1.5368,0.8907,0.0052,1.3378,2.648,2.3031,1.2241,1.3977,1.7503,0.4828,2.5268,0.0409,1.3194,1.6744,0.3701,1.4212,0.2185,0.8518,1.1783,1.74,1.6577,-0.0698,0.1201,0.8377,0.1426,0.6097,-0.0021,0.0527,0.0746,1.6731,0.6988,0.9278,0.7439,Control
Utah__A06,0.4506,2.8836,2.1441,1.5056,0.2241,0.6468,-0.1217,1.2798,1.9195,1.8096,2.3713,1.8753,1.3907,0.8751,1.6188,0.5807,1.2099,0.2423,1.6415,0.5515,1.5201,3.3869,2.1571,0.6458,0.7372,0.7422,0.3709,1.5783,0.0923,1.4058,3.0931,1.4575,0.6411,0.6857,1.3895,-0.1511,1.5705,0.3659,1.6346,1.7394,-0.1403,0.085,2.1594,1.4364,0.9844,0.1733,0.8036,0.3054,2.6063,1.8036,0.8267,2.9652,1.8667,1.611,2.0222,0.0984,2.8194,0.8034,0.3325,0.4665,1.3497,0.8596,2.472,-0.0849,-0.0652,1.3845,1.4475,1.2439,1.9853,1.3761,0.1914,0.6376,1.2364,0.0399,0.0311,0.6451,0.9526,0.9225,0.5209,1.8749,1.0037,1.1657,-0.086,1.0094,-0.032,0.8609,0.6824,0.62,0.5599,0.5468,1.338,0.572,-0.1294,1.0311,2.2254,2.1935,1.146,1.2785,1.579,0.3812,2.0798,0.0736,1.2809,1.6206,0.4186,1.3082,0.1498,0.7749,1.0991,1.6779,1.8845,-0.0567,-0.0154,0.8162,0.0877,0.3246,-0.0023,0.0167,0.118,1.6117,0.6021,0.857,0.6665,Control
Utah__A07,0.74,2.6615,1.1212,1.5737,0.2597,0.6891,-0.1324,1.1032,1.8658,1.7647,2.0255,1.7981,1.4674,0.7602,1.8387,0.5921,1.5901,0.3156,1.6377,0.5382,1.3874,3.5166,2.476,0.597,0.7443,0.7409,0.7341,1.7985,0.1285,1.723,2.7085,1.4083,0.4202,0.5006,1.8589,-0.2092,1.8609,0.5572,1.6646,2.2039,-0.0051,0.9455,2.1762,1.3999,1.1473,0.0812,1.2395,0.3173,2.3361,2.0093,1.2177,2.6468,1.837,1.7129,2.2689,0.1709,2.783,0.7916,0.3693,0.6422,1.6897,0.9967,1.9798,-0.0931,-0.0357,1.5934,1.5467,1.2997,1.9624,1.6231,0.2011,0.7028,1.6129,-0.0114,0.0339,1.0466,1.3272,1.1807,0.5374,1.9127,0.9863,1.3766,-0.0731,1.1036,-0.0162,0.9428,0.8669,0.6062,0.5073,0.7206,1.2584,0.6204,-0.13,1.0791,2.2112,2.1592,1.4117,1.5067,1.5919,0.4825,2.1037,0.0618,1.5979,1.9084,0.4733,1.5049,0.2171,0.9329,1.1048,1.6074,1.3708,-0.0134,-0.0602,1.2401,0.1594,0.3276,-0.0128,-0.005,-0.0348,1.5527,0.7746,0.5311,0.9892,Control
Utah__A08,1.0516,2.2757,0.9533,1.4318,0.1982,0.4724,-0.1577,0.7784,1.5195,1.3492,1.4371,1.3454,1.3187,0.5049,1.919,0.4217,1.6278,0.3306,1.5105,0.6369,1.307,2.973,2.7273,0.5375,0.7355,0.2861,0.3421,1.5404,0.0274,1.9342,1.7156,1.3564,0.3055,0.1687,1.9941,-0.111,1.7198,0.4839,1.5376,2.2359,-0.2383,0.7944,1.8153,1.3678,1.198,0.0163,0.5405,0.1554,1.4609,2.2698,0.8932,2.2828,1.7301,1.5609,2.3938,0.1507,2.3304,0.5525,0.4111,0.8832,1.8669,0.8752,1.9095,-0.1246,-0.0752,1.7501,1.5683,1.321,2.0579,1.714,0.168,0.8279,1.0836,-0.1663,-0.0091,1.1754,1.4644,1.5305,0.6367,1.9432,1.0102,1.5009,-0.0884,1.2435,-0.0486,0.8045,0.8829,0.7395,0.4878,0.8123,1.2448,0.6228,-0.1106,0.9163,2.5672,2.0732,1.2657,1.6258,1.3284,0.4409,1.7967,0.0458,1.6228,2.0967,0.2487,1.1624,0.179,0.8298,0.9992,1.0585,0.8744,-0.095,-0.0147,1.6919,0.1918,0.1674,-0.0695,-0.0957,2e-04,1.3923,0.7477,0.493,0.9612,Control
Utah__A09,0.7535,2.7662,1.7637,1.5776,0.1828,0.755,-0.09,0.8886,1.7331,1.7728,1.7821,1.6396,1.4072,0.4754,1.7005,0.6208,1.4374,0.3421,1.445,0.5654,1.3164,3.4823,2.7103,0.5633,0.6938,0.4664,0.3059,2.041,0.0898,1.7432,2.2374,1.3804,0.3051,0.2713,1.7212,-0.1025,1.8278,0.4399,1.7738,2.0696,-0.0413,0.7784,1.9194,1.2992,1.047,0.1002,0.676,0.1221,2.6827,1.9491,0.9938,2.6597,1.9157,1.828,2.205,0.1363,2.6121,0.8228,0.3756,0.6233,1.606,0.9958,2.1911,-0.0596,-0.0862,1.4582,1.4714,1.2447,1.976,1.5464,0.1702,0.6457,1.2867,-0.0698,0.0676,0.8882,1.2405,1.1693,0.6262,1.8616,1.0062,1.3752,-0.0165,1.0012,-0.0209,0.8572,0.7767,0.5541,0.5174,0.5927,1.3302,0.6601,-0.0919,0.9981,2.4187,2.1477,1.2705,1.3494,1.527,0.4016,2.0877,0.065,1.4273,1.7813,0.3534,1.1854,0.2167,0.7673,0.9788,1.2352,1.2498,-0.0517,-0.0785,1.2272,0.0917,0.2539,-0.0379,0.0082,0.0433,1.4725,0.6974,0.7608,0.931,Control
Utah__A10,0.8026,2.3224,1.9879,1.623,0.2691,0.6784,-0.0661,0.8072,1.646,1.6498,1.1861,1.6122,1.4266,0.888,1.9569,0.7065,1.7306,0.3118,1.384,0.6186,1.4273,3.4761,2.3037,0.5633,0.7332,0.6259,0.4198,1.4551,0.0246,1.7496,3.1715,1.4485,1.1907,0.3462,1.9662,-0.113,1.802,0.356,1.6564,1.9246,-0.0587,1.5207,2.1802,1.4044,1.1476,-0.0061,1.489,0.0648,2.8517,2.0508,1.3414,2.5946,1.7601,1.8784,2.489,0.1669,2.8577,0.8792,0.3753,0.7374,1.641,0.983,2.1251,-0.0528,-0.0613,1.6941,1.7523,1.2718,2.115,1.6535,0.2665,0.7249,1.3973,-0.107,0.0733,1.0953,1.2521,1.4239,0.4817,1.9537,0.9394,1.2385,0.0023,1.1969,-0.006,1.0123,0.8171,0.6865,0.5698,0.7228,1.3233,0.666,-0.0033,1.0257,2.7033,2.1464,1.3728,1.611,1.3942,0.512,2.136,0.0906,1.695,1.9446,0.4561,1.3738,0.2099,0.9506,1.0936,1.4469,1.3334,-0.076,0.0589,1.1449,0.2381,0.3962,0.0182,-0.0182,0.0581,1.5478,0.73,0.9115,0.9283,Control
