@relation data

@attribute id string
@attribute 10134 numeric
@attribute 118 numeric
@attribute 1499 numeric
@attribute 1676 numeric
@attribute 1677 numeric
@attribute 1828 numeric
@attribute 1829 numeric
@attribute 1830 numeric
@attribute 1832 numeric
@attribute 22985 numeric
@attribute 2339 numeric
@attribute 2620 numeric
@attribute 28988 numeric
@attribute 2934 numeric
@attribute 3006 numeric
@attribute 3007 numeric
@attribute 3008 numeric
@attribute 3009 numeric
@attribute 3024 numeric
@attribute 324 numeric
@attribute 329 numeric
@attribute 3836 numeric
@attribute 3837 numeric
@attribute 4000 numeric
@attribute 4001 numeric
@attribute 4137 numeric
@attribute 4950 numeric
@attribute 5062 numeric
@attribute 51765 numeric
@attribute 5317 numeric
@attribute 5339 numeric
@attribute 5580 numeric
@attribute 5588 numeric
@attribute 5747 numeric
@attribute 6093 numeric
@attribute 63967 numeric
@attribute 660 numeric
@attribute 6709 numeric
@attribute 7082 numeric
@attribute 7431 numeric
@attribute 836 numeric
@attribute 839 numeric
@attribute 840 numeric
@attribute 841 numeric
@attribute 8428 numeric
@attribute 9414 numeric
@attribute 999 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.4717,1.0282,2.1612,1.0097,0.4024,-0.112,-0.1118,-0.0883,0.1798,1.4024,0.9919,-0.0654,1.7846,0.3274,2.0815,1.9602,3.8535,0.8996,0.1175,0.6744,2.2226,1.3211,2.2902,0.0793,0.8017,-0.0133,-0.1942,1.0217,1.5617,-0.0513,0.8923,1.1766,0.9328,0.2618,1.5327,0.1306,-0.0344,1.9443,-0.0798,2.3803,1.24,0.7224,0.5342,1.465,0.7314,0.7746,0.1369,Control
Utah__A02,0.3726,0.8584,1.955,0.8814,0.2851,-0.1105,-0.0203,-0.0713,0.1303,1.0952,0.6832,-0.1879,1.6442,0.2358,1.5394,1.5303,3.8414,0.148,-0.0909,0.524,2.0145,1.082,2.2961,0.1723,0.8248,-0.0611,-0.0944,0.8893,1.5304,0.0222,0.6458,1.3276,0.5138,0.117,1.2476,-0.0297,-0.1023,1.6226,-0.0994,2.1655,1.2187,0.4214,0.4465,1.1745,0.4726,0.5292,-0.0735,Control
Utah__A03,0.5046,1.0182,2.2554,0.9572,0.4308,-0.0822,-0.0541,-0.0445,-0.0192,1.2986,0.7759,-0.1915,1.8118,0.4664,2.0549,1.7826,3.8777,1.3569,0.0288,0.6483,2.1844,1.265,2.322,0.2179,1.0749,-0.0025,-0.1418,0.9957,1.5523,0.0498,0.8712,1.423,0.8164,0.1482,1.5227,0.2994,-0.0948,1.8201,-0.121,2.5636,1.3606,0.5022,0.6074,1.4136,0.7042,0.8598,0.0745,Control
Utah__A04,0.4673,0.9883,2.1372,0.9315,0.3754,-0.1106,0.0482,-0.0464,0.2411,1.1185,0.779,-0.0519,1.8874,0.2843,2.4454,2.0357,4.724,0.9411,0.03,0.4394,1.8646,1.1773,2.1493,0.2038,0.9128,-0.0322,-0.0624,0.9699,1.6066,0.0095,0.9162,1.3079,0.6622,0.1496,1.1775,-0.003,-0.1277,1.7226,-0.058,2.2957,1.1395,0.5659,0.4571,1.297,0.536,0.6184,0.0138,Control
Utah__A05,0.5347,1.0351,2.1443,1.0851,0.4833,-0.0469,-0.0638,-0.0622,-0.0275,1.2492,0.6897,-0.0693,2.0668,0.5005,2.4036,1.9162,4.2639,1.2002,0.016,0.5986,2.0877,1.3463,2.2397,0.2249,1.1219,-0.0332,-0.067,1.0637,1.5212,-0.0026,1.0919,1.6614,0.6824,0.2717,1.4139,0.1681,-0.0671,1.6116,-0.0571,2.6643,1.4523,0.5411,0.6018,1.3513,0.5918,1.0247,0.0481,Control
Utah__A06,0.3964,0.9427,2.0873,0.9397,0.415,-0.0739,-0.0539,-0.0428,-0.0671,1.1709,0.6581,-0.0704,1.7555,0.3807,1.5638,1.5471,3.7466,0.5212,0.0155,0.5501,2.0417,1.2029,2.1887,0.0905,0.8679,-0.0515,-0.1365,0.8999,1.5148,0.0166,0.8856,1.3395,0.5873,0.1119,1.2959,0.0703,-0.1001,1.5229,-0.0929,2.5366,1.162,0.3591,0.4586,1.2326,0.5901,0.7505,-0.0054,Control
Utah__A07,0.4443,1.0826,2.27,0.9592,0.4453,-0.1287,-0.04,-0.0626,0.0106,1.3056,0.9228,-0.1374,1.8449,0.3758,1.751,1.8406,3.8602,1.0907,-0.071,0.7132,2.2733,1.3492,2.2513,0.1921,0.8591,-0.0631,-0.1025,1.0521,1.7152,0.0369,0.792,1.4288,0.8646,0.2084,1.5516,0.1694,-0.1706,1.6544,-0.1523,2.6141,1.4389,0.5899,0.5353,1.4514,0.8043,0.6715,-0.0494,Control
Utah__A08,0.2504,1.2118,2.3026,0.6737,0.3799,-0.1004,-0.0865,-0.0091,0.1014,1.2461,1.0358,-0.0851,1.6048,0.3451,1.997,1.7246,3.8399,0.6469,-0.0166,0.8398,2.1889,1.4803,2.1791,0.0637,0.8386,0.0095,-0.153,1.218,1.7162,-0.0031,0.607,1.1228,1.0663,0.2121,1.5885,0.1025,-0.106,1.8142,-0.0919,2.251,1.041,0.5323,0.4697,1.533,1.0088,0.7877,-0.0656,Control
Utah__A09,0.3978,0.9652,2.2015,0.8902,0.3718,-0.1072,-0.1163,-0.0772,0.0478,1.2527,0.7358,-0.0767,1.6873,0.3278,1.5407,1.6866,3.8632,0.7328,0.0264,0.5787,2.2044,1.2515,2.3264,0.1991,0.6712,-0.0447,-0.0888,0.9502,1.7064,0.0348,0.7688,1.2723,0.8567,0.2016,1.5046,0.1063,-0.1431,1.8236,-0.1165,2.414,1.0344,0.614,0.5133,1.2306,0.8592,0.7609,0.0059,Control
Utah__A10,0.4463,1.0349,2.3949,0.9689,0.3736,-0.0541,-0.0848,-0.0306,-0.0324,1.2374,0.8049,-0.1077,1.7445,0.3742,2.141,1.8209,4.1828,0.7925,-0.0422,0.7359,2.1303,1.3985,2.2434,0.0935,0.9452,-0.0154,-0.0849,1.0809,1.6507,-0.05,0.8101,1.399,0.9458,0.2453,1.4727,0.0968,-0.0748,1.7171,-0.1047,2.4836,1.2447,0.564,0.5352,1.3767,0.826,0.7248,0.0315,Control
