@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10645 numeric
@attribute 10891 numeric
@attribute 1147 numeric
@attribute 126129 numeric
@attribute 1374 numeric
@attribute 181 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2180 numeric
@attribute 2181 numeric
@attribute 2182 numeric
@attribute 23205 numeric
@attribute 23305 numeric
@attribute 2475 numeric
@attribute 2538 numeric
@attribute 32 numeric
@attribute 3551 numeric
@attribute 3717 numeric
@attribute 3952 numeric
@attribute 3953 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 4794 numeric
@attribute 4852 numeric
@attribute 5105 numeric
@attribute 5106 numeric
@attribute 51094 numeric
@attribute 51422 numeric
@attribute 51703 numeric
@attribute 53632 numeric
@attribute 5443 numeric
@attribute 5465 numeric
@attribute 5562 numeric
@attribute 5563 numeric
@attribute 5564 numeric
@attribute 5565 numeric
@attribute 5571 numeric
@attribute 5588 numeric
@attribute 5599 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5781 numeric
@attribute 57818 numeric
@attribute 5970 numeric
@attribute 6256 numeric
@attribute 6257 numeric
@attribute 6513 numeric
@attribute 6517 numeric
@attribute 6774 numeric
@attribute 6794 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7186 numeric
@attribute 79602 numeric
@attribute 81616 numeric
@attribute 84254 numeric
@attribute 8471 numeric
@attribute 8517 numeric
@attribute 8660 numeric
@attribute 8717 numeric
@attribute 9021 numeric
@attribute 9370 numeric
@attribute 948 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.6233,0.79,-0.0929,1.5171,-0.0114,0.8865,0.1861,0.6157,0.8453,1.6643,1.0651,1.0963,0.0087,0.2825,1.0383,-0.0539,0.4484,1.1591,1.1912,-0.0953,0.4786,1.6981,2.2123,0.9055,0.719,-5e-04,-0.1054,0.4045,1.8646,0.4151,1.542,0.0992,0.2432,0.3872,1.3645,-0.1198,1.2363,1.1386,1.354,0.9426,1.4087,1.1297,-0.0399,0.5566,-0.0488,1.4383,0.5643,1.0521,0.7115,-0.137,1.4524,0.6759,0.4149,1.2819,0.2394,0.9253,-0.0243,0.2362,-0.1876,0.3604,0.5042,1.2857,0.619,-0.1192,1.538,Control
A02,0.3831,0.6603,-0.0818,1.302,-0.0446,0.8548,0.1964,0.5686,0.6275,1.3972,0.8227,0.839,-0.0178,0.2456,0.8076,-0.0648,0.1839,0.9319,1.0674,-0.122,0.3779,1.2732,2.0603,0.76,0.7479,-0.0725,-0.0568,0.2663,1.8078,0.3242,1.5211,0.1181,0.4134,0.289,1.2001,-0.0866,0.9656,0.9315,1.203,0.5773,0.986,0.9926,0.0138,0.4031,-0.0206,1.258,0.5698,0.7978,0.6344,-0.0413,1.317,0.54,0.4378,1.2163,0.1809,0.7421,-0.0846,0.1382,-0.2256,0.3492,0.281,0.9355,0.4328,-0.0143,1.6222,Control
A03,0.396,0.9693,-0.0916,1.5398,-0.0371,0.9775,0.3043,0.6805,0.7841,1.8388,0.9808,1.1687,-0.0317,0.2047,1.0044,-0.0883,0.2481,1.0697,1.4901,-0.0098,0.4011,1.4485,2.7503,1.0903,1.017,0.0432,-0.1097,0.4182,1.9162,0.3994,1.7457,0.0576,0.3101,0.4377,1.268,-0.0897,1.1454,1.0148,1.3675,0.8411,1.223,1.1122,-0.02,0.48,-0.061,1.4813,0.7376,0.8919,0.7394,0.0319,1.4815,0.6891,0.5438,1.4301,0.2439,1.0209,-0.161,0.2886,-0.2291,0.3742,0.4254,1.0236,0.8413,0.0726,1.7332,Control
A04,0.5255,0.6307,-0.0825,1.079,-0.02,1.008,0.2669,0.6225,0.7141,1.5272,0.8288,0.8156,-0.0335,0.2914,0.953,-0.1049,0.2458,0.9555,0.865,-0.0687,0.4421,1.4304,2.2761,0.8727,0.6893,0.0027,-0.1204,0.2893,1.8697,0.3518,1.4343,0.1367,0.43,0.2106,1.2616,-0.1042,1.1047,1.0501,1.2018,0.7067,0.9854,1.0731,-0.0106,0.3995,-0.0745,1.484,0.5621,0.8822,0.7746,-0.0038,1.3965,0.6337,0.3481,1.1297,0.2334,0.7073,-0.1176,0.2025,-0.1543,0.3772,0.5054,1.2084,1.3056,-0.1556,1.4837,Control
A05,0.5106,0.9978,-0.0874,1.4435,-0.0084,0.9554,0.29,0.7463,0.7904,1.8088,1.0686,1.1295,0.078,0.1854,1.0559,-0.066,0.3103,1.0728,1.3068,-0.0435,0.6056,1.5181,2.4615,1.1142,1.0047,0.0104,-0.1233,0.4831,2.2124,0.4425,1.52,0.0489,0.2726,0.3707,1.3124,-0.101,1.2401,1.1841,1.4364,0.7243,1.1338,1.1431,-0.0216,0.4857,-0.0753,1.5368,0.7456,0.9727,0.6446,-0.0224,1.4478,0.7859,0.3701,1.4212,0.2185,0.9568,-0.1224,0.2881,-0.0878,0.6097,0.6518,1.1146,0.9278,0.013,1.8659,Control
A06,0.4506,0.8694,-0.015,1.3907,-0.0956,0.8249,0.3582,0.6458,0.7372,1.8226,0.9261,1.0251,-0.0131,0.233,0.9456,-0.0756,0.318,0.9844,1.0847,-0.0848,0.51,1.3497,2.472,0.8971,0.6753,0.0269,-0.1389,0.3288,1.9294,0.389,1.4624,0.0857,0.224,0.3632,1.1944,-0.1136,1.0389,1.0201,1.3842,0.6414,1.1657,1.0094,-0.032,0.4941,-0.1001,1.338,0.6974,0.8291,0.5453,-0.0726,1.3706,0.5551,0.4186,1.3082,0.1498,0.7978,-0.0955,0.2991,-0.1667,0.3246,0.7248,0.9425,0.857,-0.0866,1.6684,Control
A07,0.74,0.8019,-0.0593,1.4674,-0.0427,1.081,0.2709,0.597,0.7443,1.6679,1.0057,1.1521,-0.0302,0.248,0.982,-0.0778,0.2764,1.1473,1.4226,-0.0426,0.5965,1.6897,1.9798,0.8526,0.9462,-0.0104,-0.2084,0.4184,1.8599,0.586,1.5768,0.1805,0.2571,0.3346,1.3474,-0.0605,1.2588,1.0802,1.3571,0.8831,1.3766,1.1036,-0.0162,0.5361,-0.0482,1.2584,0.6753,0.9292,0.6803,-0.154,1.4224,0.6262,0.4733,1.5049,0.2171,0.9328,-0.1338,0.1758,-0.1697,0.3276,0.611,1.1008,0.5311,-0.0448,1.6568,Control
A08,1.0516,0.7738,-0.081,1.3187,-0.0855,0.8842,0.2223,0.5375,0.7355,1.444,1.1438,1.172,-0.0313,0.2129,1.0594,-0.0531,0.434,1.198,1.4684,-0.1452,0.3349,1.8669,1.9095,0.7484,0.6932,-0.0937,-0.1226,0.2578,1.6737,0.5881,1.4426,0.1514,0.2277,0.4049,1.4309,-0.134,0.9561,1.1358,1.1382,1.0589,1.5009,1.2435,-0.0486,0.621,-0.03,1.2448,0.5417,0.8835,0.6032,-0.1261,1.3603,0.5115,0.2487,1.1624,0.179,0.9871,-0.0387,0.259,-0.2117,0.1674,0.4644,0.843,0.493,-0.1281,1.7255,Control
A09,0.7535,0.8082,-0.0675,1.4072,0.002,0.8652,0.3118,0.5633,0.6938,1.5262,0.8763,1.1282,0.0505,0.2366,0.8822,-0.0801,0.2571,1.047,1.3695,0.0035,0.3735,1.606,2.1911,0.8347,0.7026,0.0311,-0.1624,0.402,1.8532,0.495,1.4954,0.1935,0.1814,0.2736,1.2799,-0.0669,1.0507,0.9678,1.2302,0.8762,1.3752,1.0012,-0.0209,0.4602,-0.1467,1.3302,0.5715,0.8405,0.5883,-0.1023,1.3413,0.6075,0.3534,1.1854,0.2167,0.9098,-0.1322,0.2554,-0.1636,0.2539,0.5505,1.063,0.7608,-0.0143,1.703,Control
A10,0.8026,0.812,-0.0507,1.4266,-0.0643,0.8282,0.2699,0.5633,0.7332,1.9929,1.1117,1.2189,0.0692,0.1925,1.0156,-0.0779,0.3396,1.1476,1.4291,-0.0972,0.4502,1.641,2.1251,0.8363,0.8472,0.0198,-0.0894,0.3945,2.0672,0.5315,1.653,0.1194,0.3385,0.4249,1.4463,-0.1587,1.1349,1.2427,1.2244,0.9539,1.2385,1.1969,-0.006,0.5199,-0.0743,1.3233,0.5991,0.8752,0.779,-0.0393,1.4577,0.5374,0.4561,1.3738,0.2099,0.9043,-0.0955,0.2647,-0.1117,0.3962,0.6655,0.9078,0.9115,-0.0279,2.4117,Control
