@relation data

@attribute id string
@attribute 6655 numeric
@attribute 5063 numeric
@attribute 5894 numeric
@attribute 9459 numeric
@attribute 6464 numeric
@attribute 3680 numeric
@attribute 7791 numeric
@attribute 5062 numeric
@attribute 7454 numeric
@attribute 10298 numeric
@attribute 6416 numeric
@attribute 3676 numeric
@attribute 3675 numeric
@attribute 3679 numeric
@attribute 3678 numeric
@attribute 22801 numeric
@attribute 87 numeric
@attribute 2048 numeric
@attribute 5601 numeric
@attribute 6093 numeric
@attribute 5602 numeric
@attribute 5747 numeric
@attribute 673 numeric
@attribute 8874 numeric
@attribute 5609 numeric
@attribute 85366 numeric
@attribute 23542 numeric
@attribute 4296 numeric
@attribute 7408 numeric
@attribute 25 numeric
@attribute 3611 numeric
@attribute 5034 numeric
@attribute 23162 numeric
@attribute 207 numeric
@attribute 1793 numeric
@attribute 208 numeric
@attribute 2886 numeric
@attribute 10000 numeric
@attribute 23452 numeric
@attribute 10097 numeric
@attribute 10096 numeric
@attribute 2885 numeric
@attribute 2909 numeric
@attribute 5313 numeric
@attribute 56924 numeric
@attribute 83660 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute 6010 numeric
@attribute 8515 numeric
@attribute 1434 numeric
@attribute 5599 numeric
@attribute 8516 numeric
@attribute 1029 numeric
@attribute 23421 numeric
@attribute 4638 numeric
@attribute 22808 numeric
@attribute 9479 numeric
@attribute 3655 numeric
@attribute 9475 numeric
@attribute 57144 numeric
@attribute 5728 numeric
@attribute 6714 numeric
@attribute 3673 numeric
@attribute 3672 numeric
@attribute 5898 numeric
@attribute 9564 numeric
@attribute 5058 numeric
@attribute 857 numeric
@attribute 54386 numeric
@attribute 5290 numeric
@attribute 1398 numeric
@attribute 5291 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 7094 numeric
@attribute 2534 numeric
@attribute 998 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.3492,-0.0567,1.7847,1.537,0.75,0.0046,1.1206,1.0217,1.1695,0.1998,0.7285,2.6951,0.1067,-0.0347,1.4811,-0.1096,0.9737,0.0845,1.121,1.5327,-0.0344,0.2618,0.5902,0.7689,0.6035,-0.0475,-0.0463,0.7855,0.5878,0.3986,1.5549,1.6337,0.6281,0.6045,-0.1077,0.8246,-0.0659,0.6002,0.0457,2.0281,2.1364,1.6544,0.7234,-0.1574,0.0219,-0.0956,1.1294,1.7309,-0.0957,0.0012,2.0422,1.4021,-0.1123,0.1299,0.5865,0.1814,0.0059,-0.0126,1.6468,1.0287,-0.1132,1.243,0.3629,0.2992,0.1684,0.795,0.035,1.1667,-0.0793,1.8985,1.6169,0.9599,1.5303,1.7289,0.5941,2.263,1.5632,1.3608,Control
A02,1.1968,-0.1299,1.5429,1.3369,0.7973,0.011,1.1662,0.8893,1.0846,0.2254,0.4813,2.442,0.0432,-0.0523,1.1969,-0.1378,0.7412,0.0871,0.983,1.2476,0.0192,0.117,0.4558,0.5586,0.523,-0.0253,-0.0434,0.7241,0.5755,0.2831,1.5892,1.643,0.464,0.5571,-0.1232,0.607,-0.0559,0.3429,0.0625,1.9268,1.9585,1.493,0.4701,-0.0326,0.0425,-0.1273,0.9018,1.6299,-0.0148,-0.0017,1.7476,0.9672,-0.1259,0.071,0.2946,0.1911,0.1006,0.0183,0.9234,0.7721,-0.1359,0.647,0.3648,0.1676,0.1934,0.4406,0.0546,1.1756,-0.1102,1.5709,1.3286,0.7556,1.3861,1.2376,0.584,2.3387,1.1722,1.0773,Control
A03,1.3816,-0.1053,1.7349,1.552,0.7917,0.0079,1.3731,0.9957,1.3253,0.2608,0.6279,2.7204,0.0069,0.0447,1.5823,-0.136,0.7108,0.1584,1.1034,1.5227,-0.0146,0.1482,0.5095,0.6834,0.6958,-0.0511,-0.0261,0.8978,0.8465,0.4244,1.7175,1.762,0.5994,0.6699,-0.0888,0.7634,-0.026,0.3568,-0.0227,2.1551,2.1744,1.7906,0.6574,-0.0336,-0.0123,-0.1171,1.1313,1.8758,-0.0019,0.0063,1.8736,1.211,-0.138,0.182,0.5014,0.2033,0.2327,-0.0143,0.646,0.9926,-0.2093,0.9196,0.5956,0.3777,0.1447,0.7059,0.0159,1.4289,0.0102,1.9093,1.4291,0.9155,1.4305,1.3242,0.7859,2.5626,1.401,1.3643,Control
A04,1.2135,-0.0896,1.6725,1.4355,0.7946,-0.0085,1.2194,0.9699,1.0611,0.2645,0.5001,2.7132,0.0839,-0.017,1.323,-0.0842,0.7961,0.0617,1.064,1.1775,-0.0052,0.1496,0.5557,0.5382,0.6518,-0.0436,0.0434,0.7228,0.6032,0.3442,1.47,1.7937,0.5572,0.6114,-0.0918,0.6935,0.018,0.4955,-0.0143,2.0103,2.1033,1.4914,0.4911,-0.0137,0.0169,-0.0688,1.0307,1.7145,-0.0233,-0.0481,1.6249,0.9665,-0.1257,0.0708,0.4382,0.1832,0.0676,0.1051,1.1087,0.9147,-0.1294,0.7631,0.3996,0.1812,0.1736,0.6231,0.0993,1.0247,-0.0496,1.7856,1.383,0.7906,1.3728,1.312,0.4817,2.5779,1.3783,1.2398,Control
A05,1.3778,-0.0787,1.808,1.5714,0.89,-0.0203,1.5382,1.0637,1.4508,0.278,0.5851,2.5696,0.0297,0.0343,1.6547,-0.1079,0.9764,0.1237,1.1345,1.4139,-0.0161,0.2717,0.6029,0.6522,0.7144,-0.089,0.0382,0.9815,0.8835,0.391,1.8979,1.9008,0.6381,0.7362,-0.074,0.7698,-0.0359,0.4795,0,2.0413,2.2226,1.8851,0.6165,-0.1022,0.0096,-0.0873,1.0492,1.9408,-0.0839,-0.0179,1.7516,1.1192,-0.1184,0.1632,0.448,0.2716,0.1295,0.0375,0.9234,1.0051,-0.1026,0.9399,0.6218,0.1694,0.1386,0.6568,0.0991,1.3702,0.0071,1.8523,1.5208,0.9318,1.8135,1.2008,0.7428,2.9267,1.4167,1.3013,Control
A06,1.3318,-0.133,1.7489,1.4821,0.7604,0.0912,1.1924,0.8999,1.2181,0.1687,0.575,2.2539,-0.0304,-0.0294,1.4798,-0.1165,0.8308,0.0788,0.9999,1.2959,-0.0265,0.1119,0.4936,0.6088,0.5537,-0.1482,-0.0986,0.8018,0.6131,0.3918,1.571,1.8343,0.5587,0.6349,-0.0944,0.7165,-0.1257,0.4153,0.0548,2.012,1.9474,1.5864,0.5737,-0.1309,-0.0014,-0.1119,0.8863,1.8446,-0.0093,-0.0143,1.7815,1.1521,-0.1674,-0.0228,0.5415,0.1998,0.0831,-0.0334,1.1302,0.832,-0.1796,0.8375,0.4104,0.1296,0.0491,0.5739,0.0867,1.2955,-0.0767,1.7223,1.4163,0.8426,1.4187,1.1962,0.6112,2.5686,1.3172,1.1447,Control
A07,1.4952,-0.1179,1.7704,1.6192,0.7917,0.0316,1.1767,1.0521,1.1498,0.2235,0.7805,2.7415,-0.0033,-0.057,1.481,-0.1272,0.8188,0.1088,1.0948,1.5516,-0.0107,0.2084,0.6968,0.7308,0.5012,-0.1424,-0.0638,0.8484,0.7666,0.4363,1.6076,1.7142,0.5438,0.5857,-0.1179,0.7237,-0.0699,0.7253,-0.062,2.2577,2.2554,1.89,0.6057,-0.0427,0.0243,-0.1163,1.1809,1.882,0.0156,0.0329,1.9222,1.3691,-0.1543,0.0382,0.5698,0.2207,0.1408,-0.0377,1.1863,1.0204,-0.1812,1.3109,0.3471,0.1898,0.1003,0.8088,0.0626,1.3668,-0.0664,1.7594,1.6368,0.9946,1.5148,1.2837,0.6739,2.4329,1.855,1.5858,Control
A08,1.4347,-0.0951,1.7386,1.5994,0.777,-0.0205,0.9742,1.218,1.0225,0.2217,0.967,3.0939,0.0337,-0.0065,1.3509,-0.0995,0.8067,0.0082,1.2356,1.5885,-0.0431,0.2121,0.8646,0.8974,0.4817,-0.116,-0.0069,0.6454,0.5471,0.5511,1.2861,1.4449,0.5407,0.5257,-0.1201,0.7148,-0.0818,1.0592,0.0196,2.2716,2.4207,1.7425,0.7061,-0.1265,0.018,-0.1059,1.4746,1.9122,-0.0621,0.0026,1.8337,1.4969,-0.1218,0.0746,0.5224,0.141,0.1264,0.0362,1.6648,0.9993,-0.1362,1.5,0.3367,0.1121,0.0515,1.0048,0.0832,1.2078,-0.1281,1.6963,1.8021,0.7153,1.5358,1.4764,0.7942,2.194,2.0099,1.6994,Control
A09,1.3189,-0.0792,1.6393,1.6544,0.7709,-0.0072,1.0773,0.9502,1.169,0.2074,0.7254,2.8372,0.0438,0.0147,1.3169,-0.0991,0.8507,0.0723,0.9917,1.5046,-0.0155,0.2016,0.677,0.7178,0.5112,-0.0509,0.0085,0.777,0.5791,0.3852,1.5733,1.6826,0.4746,0.5517,-0.1058,0.6732,-0.0731,0.7398,-0.0346,2.0828,2.2466,1.8554,0.6299,0.0187,0.0198,-0.1053,1.0011,1.8315,-0.0086,0.021,1.9646,1.3676,-0.1527,0.1023,0.3656,0.2351,0.0934,-0.0493,1.3439,0.8836,-0.1236,1.3575,0.4405,0.2051,0.0454,0.7174,0.0696,1.2824,-0.0467,1.833,1.4941,0.8336,1.4418,1.3678,0.619,2.4818,1.6972,1.4239,Control
A10,1.3751,-0.0718,1.7838,1.6374,0.7829,-0.0325,1.1694,1.0809,1.0925,0.2653,0.8418,2.9398,0.034,-0.0043,1.4915,-0.0851,0.9428,0.0552,1.1887,1.4727,-6e-04,0.2453,0.7838,0.7419,0.5635,-0.0789,-0.0059,0.7828,0.7118,0.4235,1.7238,1.7191,0.5589,0.5517,-0.0723,0.7126,0.0177,0.7924,0.0138,2.2552,2.3997,1.8284,0.7234,-0.0648,0.0105,-0.1042,1.3376,1.9225,-0.1008,0.0013,1.8469,1.2269,-0.1229,0.1162,0.5236,0.214,0.032,-0.0017,0.9891,1.1945,-0.1047,1.3359,0.4233,0.2798,0.1402,0.7898,0.0995,1.3673,-0.0549,1.7627,1.743,0.8023,1.7142,1.2566,0.6952,2.6874,1.978,1.6004,Control
