@relation data

@attribute id string
@attribute 11340 numeric
@attribute 23658 numeric
@attribute 27257 numeric
@attribute 246175 numeric
@attribute 9924 numeric
@attribute 118460 numeric
@attribute 54512 numeric
@attribute 255967 numeric
@attribute 9125 numeric
@attribute 25804 numeric
@attribute 23019 numeric
@attribute 1973 numeric
@attribute 1974 numeric
@attribute 1975 numeric
@attribute 23016 numeric
@attribute 25904 numeric
@attribute 27258 numeric
@attribute 1977 numeric
@attribute 23404 numeric
@attribute 56915 numeric
@attribute 22894 numeric
@attribute 11157 numeric
@attribute 57472 numeric
@attribute 51010 numeric
@attribute 51013 numeric
@attribute 57819 numeric
@attribute 167227 numeric
@attribute 23644 numeric
@attribute 4849 numeric
@attribute 4848 numeric
@attribute 54464 numeric
@attribute 5073 numeric
@attribute 5393 numeric
@attribute 85456 numeric
@attribute 1981 numeric
@attribute 80153 numeric
@attribute 1656 numeric
@attribute 55802 numeric
@attribute 28960 numeric
@attribute 10605 numeric
@attribute 55571 numeric
@attribute 196513 numeric
@attribute 4850 numeric
@attribute 29883 numeric
@attribute 26986 numeric
@attribute 9337 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.2378,1.0949,0.7166,1.5781,1.3976,0.9584,0.2341,1.7438,1.2863,0.4075,2.5118,1.8574,2.1257,1.0955,0.7277,1.0193,0.914,0.572,1.651,0.978,1.8056,0.9088,1.1823,1.6852,1.2152,0.3569,1.2247,1.3175,0.6335,1.3985,1.8039,1.0213,1.6125,0.1122,1.4818,0.623,1.9768,0.926,0.5328,0.1095,1.2803,0.4811,1.0521,1.4486,2.3623,2.0999,Control
A02,0.789,0.688,0.5918,1.1822,0.949,0.8735,0.3384,1.4063,0.9996,0.3187,2.4822,1.7453,1.8208,0.7115,0.4167,0.8456,0.7103,0.4218,1.2642,0.6629,1.4612,0.7003,0.9362,1.2183,0.9647,0.2104,1.0941,1.1729,0.4818,1.1416,1.614,0.7452,1.3295,0.0543,1.3412,0.3648,1.6755,0.7582,0.3904,0.1167,1.0969,0.1935,0.7072,1.2066,1.9458,1.9205,Control
A03,0.8731,0.7776,0.7529,1.3872,1.0784,1.1223,0.4262,1.6042,1.2056,0.3668,2.543,2.2392,2.1684,0.8949,0.5863,0.9049,0.7247,0.532,1.4164,0.8169,1.6512,0.7974,1.0782,1.3671,1.0851,0.3069,1.1904,1.2477,0.5571,1.3805,1.8303,0.9444,1.4685,0.0589,1.4796,0.4938,1.9166,0.8473,0.5543,0.0354,1.113,0.3059,0.855,1.4243,2.4069,1.9988,Control
A04,0.7327,0.7772,0.5753,1.4086,0.9511,1.1826,0.3135,1.3785,1.2244,0.3907,2.4838,1.8439,2.1161,0.7035,0.5348,0.8444,0.8,0.4744,1.3074,0.7927,1.3297,0.7838,0.9846,1.2067,0.9242,0.3308,1.0659,1.209,0.4904,1.1328,1.7086,0.8192,1.4305,0.1097,1.4786,0.4046,1.8696,0.8015,0.4115,0.1681,1.1453,0.2425,0.7743,1.2061,2.2228,2.1452,Control
A05,0.7743,0.8961,0.7715,1.3121,1.1543,1.1852,0.4071,1.5487,1.1115,0.4357,2.5357,1.771,1.8672,0.6776,0.5118,0.9878,0.8249,0.4719,1.4868,0.9643,1.5316,0.812,1.1588,1.3327,1.0726,0.4158,1.3092,1.2996,0.6567,1.2448,1.7901,0.9266,1.479,0.0758,1.7398,0.4804,1.6667,0.8326,0.5251,0.1361,1.1747,0.3286,0.872,1.3038,2.1204,2.1416,Control
A06,0.8551,0.8191,0.6966,1.3215,1.1447,0.9514,0.323,1.5233,1.067,0.2854,2.477,2.0301,1.9166,0.7292,0.5213,0.8794,0.7615,0.385,1.4296,0.9887,1.4984,0.8574,1.0218,1.2881,0.9999,0.267,1.1924,1.2396,0.494,1.1939,1.563,0.9224,1.3686,0.01,1.5228,0.4418,1.785,0.8395,0.4962,-0.0124,1.0906,0.2622,0.8011,1.3813,2.2403,1.9654,Control
A07,0.9895,0.98,0.5955,1.6607,1.1997,1.1133,0.3808,1.9123,1.1892,0.3099,2.5535,1.6889,1.7788,0.8033,0.626,0.936,0.9673,0.6208,1.4871,0.8246,1.7291,0.9061,1.0807,1.5667,1.182,0.3054,1.467,1.2261,0.5372,1.4687,1.7179,0.9631,1.3626,0.0176,1.4733,0.5614,1.9591,0.9336,0.4862,0.2126,1.1877,0.3592,1.0737,1.3188,2.3216,2.0667,Control
A08,0.8803,0.7309,0.5945,2.0586,1.1388,0.924,0.2716,2.0911,1.3174,0.2985,2.4602,1.8784,1.9239,0.9603,0.7429,0.9706,0.6736,0.6957,1.3023,0.6006,1.6396,1.0376,1.0881,1.3684,1.0328,0.2625,1.3409,1.1622,0.5147,1.5346,1.9729,1.1111,1.3676,0.0602,1.3466,0.5281,1.9006,1.0026,0.4578,0.1628,1.2211,0.3544,1.1988,1.2749,2.4787,1.893,Control
A09,0.9119,0.829,0.7063,1.6265,1.1368,1.1317,0.207,1.9007,1.0811,0.3096,2.5623,1.8666,1.7455,0.8046,0.5083,0.917,0.8368,0.563,1.4202,0.7726,1.6824,0.8111,0.9298,1.3463,1.0918,0.2364,1.176,1.23,0.49,1.5023,1.6542,1.0001,1.3904,0.0335,1.3748,0.5302,1.868,0.807,0.4771,0.0768,1.1565,0.3465,0.9191,1.3416,2.3149,1.8811,Control
A10,0.7809,0.7451,0.7328,1.747,1.0191,1.0377,0.2718,1.8797,1.2491,0.3928,2.5754,1.8809,1.8789,0.7885,0.588,0.9893,0.813,0.5259,1.3372,0.7924,1.5991,0.931,1.0317,1.326,1.0792,0.2933,1.3959,1.2066,0.6018,1.4259,1.8915,0.9828,1.4987,0.064,1.4837,0.5224,1.7457,0.9929,0.4729,0.1721,1.2238,0.4395,1.0887,1.1847,2.2018,1.9988,Control
