@relation data

@attribute id string
@attribute 5729 numeric
@attribute 5737 numeric
@attribute 5732 numeric
@attribute 5731 numeric
@attribute 5734 numeric
@attribute 5733 numeric
@attribute 5739 numeric
@attribute 1241 numeric
@attribute 57105 numeric
@attribute 56413 numeric
@attribute 6915 numeric
@attribute 11251 numeric
@attribute 2840 numeric
@attribute 165140 numeric
@attribute 10800 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.0767,-0.0176,1.9989,0.1585,1.6065,-0.1028,0.5472,1.2634,1.5437,0.2196,0.3465,0.5669,-0.0924,0.5007,1.7476,Control
A02,1.1469,-0.0135,1.4739,0.0178,1.5388,-0.0605,0.606,1.2439,1.1396,0.1596,0.1462,0.4564,0.0156,0.5224,1.7016,Control
A03,1.385,-0.0341,1.5497,0.0818,1.7596,-0.1077,0.6642,1.2687,1.8691,0.2501,0.2636,0.4587,0.1109,0.4731,1.7726,Control
A04,1.2917,-0.006,1.5277,0.1564,1.5743,-0.0762,0.4987,1.0696,0.9325,0.1723,0.3562,0.4491,0.004,0.4627,1.537,Control
A05,1.71,-0.0218,1.7209,0.1706,1.7608,-0.0657,0.6709,1.4922,1.5759,0.3042,0.5362,0.601,-0.0096,0.5718,1.9048,Control
A06,1.767,-8e-04,1.6653,0.0511,1.5484,-0.0666,0.5043,1.5377,1.6067,0.2664,0.1814,0.4674,-0.0588,0.4936,1.682,Control
A07,1.9378,0.0194,1.5981,0.1034,1.7655,-0.0431,0.5341,1.4154,1.6243,0.2033,0.1977,0.5659,0.0443,0.5007,1.7656,Control
A08,1.977,-0.0849,1.6422,0.019,1.5831,-0.1286,0.5088,1.168,1.3795,0.1636,0.0237,0.5273,-0.058,0.4331,1.5453,Control
A09,1.4374,-0.0198,1.738,-0.0222,1.8305,-0.1075,0.5159,1.1193,1.4516,0.2051,0.103,0.4372,0.0262,0.4772,1.9357,Control
A10,2.0384,0.0421,1.8771,0.1386,1.8834,-0.114,0.4447,1.3199,1.4625,0.2838,0.2727,0.5214,9e-04,0.4706,1.6197,Control
A11,2.1708,-0.0618,1.706,0.0746,1.4562,-0.0809,0.572,1.2897,1.0455,0.1863,0.112,0.4875,-0.0066,0.3955,1.5458,Control
A12,1.0833,0.0249,0.9429,-0.2092,1.2966,-0.0087,0.5505,0.6798,0.6539,-0.102,0.1127,0.295,0.0776,0.6192,0.9899,Control
B01,0.8618,-0.1161,1.3514,-0.2261,1.2384,-0.1497,0.4816,1.0209,1.1973,-0.0075,-0.0552,0.1983,-0.1412,0.4061,1.6182,Control
B02,1.7014,-0.0329,1.3915,0.0739,2.0566,-0.0989,0.6153,1.3773,1.0304,0.3222,0.1836,0.4517,-0.0245,0.5544,1.6651,Control
B03,1.5421,-0.0498,1.6592,-0.0246,1.7108,-0.1061,0.4998,1.3009,0.9885,0.2904,-0.1561,0.3591,-0.1169,0.4118,1.6223,BRCACancer
B04,1.9376,-0.0128,1.4548,0.0018,1.7164,-0.0705,0.3326,1.1361,0.9695,0.2082,0.0988,0.4396,0.0744,0.5091,0.9127,BRCACancer
B05,1.7792,-0.0459,1.398,-0.0683,1.769,-0.1096,0.4967,1.1031,1.1252,0.1645,0.0555,0.497,0.0329,0.4288,1.2748,BRCACancer
B06,1.4378,0.0166,1.0826,-0.2843,0.9535,-0.115,0.3997,1.0908,1.1525,0.0522,-0.0999,0.0479,-0.131,0.4566,1.0234,BRCACancer
B07,2.1508,-0.009,1.8927,0.0793,1.6058,-0.0716,0.5287,1.6601,1.2358,0.4813,0.0554,0.3714,-0.0249,0.5817,1.5842,BRCACancer
B08,1.5512,-0.0546,1.577,0.1933,1.6417,-0.1021,0.7532,1.5342,1.3377,0.3244,0.4931,0.4603,0.0062,0.4519,1.8017,Control
B09,1.5655,-0.1438,1.6575,0.0086,0.9484,-0.1252,0.428,1.0457,0.9692,0.2034,0.1893,0.5655,-0.0516,0.4232,0.959,Control
B10,1.9253,-0.0188,1.3564,0.1499,1.2327,-0.0978,0.3603,0.8748,0.9669,0.0522,0.0707,0.3825,-0.1077,0.2674,1.2114,Control
B11,1.0925,-0.0146,1.3961,0.0899,1.7159,-0.0493,0.4778,1.0916,1.1293,0.2268,0.2705,0.5326,0.0405,0.4804,1.4701,Control
B12,1.4357,-0.0075,0.9321,0.0507,0.8132,-0.0707,0.2171,1.0406,0.281,0.1828,-0.0886,0.1583,-0.074,0.4779,0.6137,Control
C01,2.1079,-0.0222,1.5178,-1e-04,1.6044,-0.0851,0.6475,1.6498,1.2139,0.4174,0.238,0.4634,0.0103,0.7126,1.4467,BRCACancer
C02,1.6706,-0.0249,1.5962,0.1712,1.5075,-0.034,0.5967,1.2877,0.9237,0.3167,0.3702,0.6517,0.0037,0.5446,1.5552,BRCACancer
C03,2.2284,0.0286,1.9711,0.0413,1.8702,-0.0252,0.7025,1.8383,1.2278,0.6393,0.3791,0.5486,0.0657,0.6148,1.304,BRCACancer
C04,0.7705,-0.0331,1.3663,0.1655,0.8957,-0.0218,0.5357,0.9506,0.5348,0.2693,0.5541,0.6001,0.084,0.4187,0.861,Control
C05,0.8948,-0.0202,1.0773,0.1864,1.1865,-0.0682,0.2587,0.9646,0.3966,0.1854,0.1258,0.4357,-0.0335,0.4729,0.9279,BRCACancer
C06,0.1651,-0.0128,-0.0878,0.0564,0.2092,-0.1312,0.2299,0.4213,-0.0424,-0.0471,0.0067,0.2026,0.0741,0.243,-0.0125,Control
C07,1.6807,-0.0201,1.0528,0.1472,1.1328,-0.0176,0.3686,1.0497,0.4998,0.0978,0.191,0.5502,0.0169,0.3135,1.0327,Control
C08,1.4901,-0.121,1.3245,0.0708,1.5734,-0.0765,0.4936,1.0501,1.1602,0.2579,0.2762,0.7041,0.0472,0.4722,1.5243,Control
C09,1.496,-0.0627,1.3863,0.2219,1.6386,-0.0469,0.5117,1.0191,0.6083,0.1362,0.4305,0.5157,-0.0271,0.436,1.049,Control
C10,1.3241,-0.0466,1.4326,0.1245,1.5611,-0.0306,0.4429,0.9999,0.7341,0.1939,0.3249,0.6124,0.0152,0.4463,1.1305,BRCACancer
C11,1.7133,-0.0431,1.404,0.2257,1.3037,-0.0881,0.6768,1.3004,0.9926,0.3643,0.5934,0.652,-0.0495,0.4204,1.3105,Control
C12,0.7061,-0.0238,0.8075,0.1421,0.6144,0.0163,0.4286,1.0199,0.3298,0.0981,0.5598,0.507,-0.1123,0.3513,0.9182,BRCACancer
D01,1.4187,-0.0903,1.3678,-0.009,1.1264,-0.1451,0.509,1.5297,1.0087,0.314,0.1063,0.4353,-0.036,0.6759,1.0158,BRCACancer
D02,1.155,-0.0232,1.1607,0.1575,1.3928,-0.05,0.4918,1.012,0.8995,0.2355,0.5701,0.648,0.0308,0.3473,1.1994,BRCACancer
D03,1.0653,-0.0278,1.1856,0.2064,1.3094,-0.021,0.437,0.9845,0.6455,0.11,0.4797,0.6568,0.0021,0.4072,1.031,BRCACancer
D04,0.8716,-0.064,1.5818,0.1652,1.3797,-0.0636,0.5025,1.4455,1.0836,0.264,0.3924,0.5382,-0.0436,0.5177,1.356,BRCACancer
D05,1.6317,-0.0177,1.4547,0.0436,1.5263,-0.0202,0.5286,1.3905,0.913,0.3015,0.3971,0.331,0.0122,0.4978,1.3681,BRCACancer
D06,1.6317,-0.0407,1.678,0.1331,1.5771,-0.0746,0.5961,1.4008,1.2477,0.3399,0.4645,0.4487,-0.0105,0.5391,1.5534,BRCACancer
D07,1.8934,-8e-04,1.4602,0.1972,1.4707,-0.0432,0.5665,1.3746,1.0285,0.3593,0.4392,0.3937,-0.0374,0.4352,1.2599,Control
D08,1.2528,-0.0247,1.2345,0.1573,1.1114,-0.0644,0.6431,1.0571,0.6848,0.1074,0.2331,0.41,0.0118,0.4036,1.1547,Control
D09,1.0027,0.0044,1.2536,0.0825,1.4561,-0.1186,0.5473,1.2511,1.0336,0.2394,0.3967,0.6118,-0.0192,0.5562,1.4248,Control
D10,1.1827,-0.0049,1.0416,0.0623,1.1919,-0.0295,0.5423,0.865,0.9931,0.0473,0.3708,0.4418,-0.0366,0.422,1.483,Control
D11,0.3103,-0.1532,0.4861,0.0046,0.6041,-0.1372,0.2972,0.7434,0.2781,-0.0421,0.0949,0.2752,0.0055,0.4198,0.6313,Control
D12,0.795,-0.0291,0.9283,0.1686,0.8578,-0.1147,0.4223,0.9676,0.5943,0.1196,0.1014,0.3143,-0.064,0.3849,1.2639,Control
E01,1.2133,-0.0897,1.2811,0.1008,1.3298,-0.0754,0.3867,0.915,0.8654,0.1201,-0.0983,0.3041,-0.0135,0.4709,1.2431,BRCACancer
