@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10451 numeric
@attribute 10725 numeric
@attribute 10892 numeric
@attribute 11025 numeric
@attribute 11261 numeric
@attribute 1147 numeric
@attribute 118788 numeric
@attribute 1380 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2213 numeric
@attribute 2353 numeric
@attribute 23533 numeric
@attribute 27071 numeric
@attribute 2885 numeric
@attribute 2932 numeric
@attribute 29760 numeric
@attribute 3265 numeric
@attribute 3551 numeric
@attribute 3635 numeric
@attribute 3725 numeric
@attribute 3845 numeric
@attribute 4067 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 4794 numeric
@attribute 4893 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5336 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5579 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5777 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5894 numeric
@attribute 5970 numeric
@attribute 63928 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6850 numeric
@attribute 695 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 84433 numeric
@attribute 8503 numeric
@attribute 8517 numeric
@attribute 8519 numeric
@attribute 8915 numeric
@attribute 971 numeric
@attribute 974 numeric
@attribute 975 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.6002,0.7388,1.2466,1.4592,1.3088,1.0836,1.5306,0.8623,0.7105,0.6045,0.8246,0.7493,2.8983,1.3891,1.5007,1.6544,0.6542,0.8534,0.4247,1.1434,1.2646,1.3192,1.5983,1.322,0.4264,0.566,1.394,0.0372,1.6889,2.2235,0.878,0.7318,2.847,1.6169,1.5303,1.3241,1.8391,1.4782,0.1982,0.5941,0.7188,1.2834,1.3861,1.3083,1.0332,1.7309,1.0783,0.718,0.4255,1.806,0.6432,1.5768,0.0374,1.7847,1.4148,-0.1703,1.1294,1.3492,1.0855,1.5056,1.448,0.1913,0.6655,0.1026,0.3441,3.5152,1.1561,0.8103,1.0151,1.0794,Control
A02,0.3429,0.5864,0.8984,1.0308,1.4353,1.2081,1.317,0.799,0.3168,0.5571,0.607,0.5417,1.0191,1.0974,1.263,1.493,0.4588,0.4536,0.3701,0.9151,1.2681,0.8029,1.3547,1.18,0.3561,0.399,1.1231,0.0966,1.279,2.0678,0.7342,0.7612,3.0554,1.3286,1.3861,1.0956,2.0614,1.1561,0.1599,0.584,0.5951,0.9381,1.0792,1.0862,0.6697,1.6299,1.0214,0.4692,0.2945,1.8835,0.4992,1.469,-0.0162,1.5429,1.23,-0.1489,0.9018,1.1968,0.9078,1.5412,1.3147,0.1135,0.5022,0.1135,0.3329,3.525,0.884,0.4624,0.6758,1.0926,Control
A03,0.3568,0.6968,1.1339,1.1874,1.767,1.2905,1.5532,1.1385,0.2308,0.6699,0.7634,0.6549,2.3465,1.5442,1.3798,1.7906,0.6001,0.3817,0.3745,1.0536,1.4447,1.2073,1.6547,1.5735,0.3954,0.6686,1.3459,0.0383,1.4481,2.7745,1.0606,1.0354,3.1476,1.4291,1.4305,1.2641,2.1951,1.3011,0.2603,0.7859,0.7523,1.2109,1.1587,1.2757,0.9489,1.8758,1.0584,0.6904,0.494,1.9537,0.7305,1.5848,0.0577,1.7349,1.459,-0.1553,1.1313,1.3816,1.2015,1.6737,1.5496,0.2634,0.59,0.2773,0.358,3.6654,1.099,0.425,0.7663,1.2155,Control
A04,0.4955,0.644,0.9006,1.1446,1.4126,1.2439,1.0954,0.7994,0.6894,0.6114,0.6935,0.5332,1.5126,1.3239,1.3449,1.4914,0.4958,0.6523,0.3589,0.9388,1.3759,1.3091,1.1941,1.3977,0.4685,0.4547,1.1899,0.0472,1.4307,2.2888,0.8456,0.7014,3.093,1.383,1.3728,1.2342,2.1245,1.4673,0.2795,0.4817,0.6673,0.9279,1.2414,1.2229,0.7891,1.7145,1.0435,0.4999,0.4226,1.8892,0.4506,1.5612,0.1433,1.6725,1.4617,-0.1097,1.0307,1.2135,0.8709,1.424,1.283,0.1301,0.6404,0.0439,0.3611,3.974,0.9158,0.5603,1.1153,1.0936,Control
A05,0.4795,0.8571,1.1032,1.1379,2.1266,1.4303,1.4575,0.9983,0.5374,0.7362,0.7698,0.6469,1.9653,1.5325,1.7524,1.8851,0.5918,0.583,0.4809,1.0568,1.4136,1.2428,1.41,1.5903,0.4397,0.4619,1.2552,0.0733,1.5153,2.4787,1.0843,1.0229,3.3716,1.5208,1.8135,1.3448,2.1197,1.3057,0.3911,0.7428,0.7731,1.0818,1.1595,1.3093,0.9233,1.9408,1.1978,0.7099,0.4974,2.0146,0.6788,1.5812,0.007,1.808,1.5159,-0.0463,1.0492,1.3778,1.2336,1.7819,1.5542,0.2084,0.6188,0.1894,0.5943,3.4026,1.1686,0.6838,0.9706,1.0749,Control
A06,0.4153,0.7849,1.056,1.0398,1.8155,1.3782,1.4051,0.8704,0.2002,0.6349,0.7165,0.3912,3.1061,1.4078,1.1683,1.5864,0.5257,0.4367,0.2391,0.9679,1.3554,0.8136,1.4342,1.3721,0.306,0.425,1.1824,0.0089,1.3528,2.4894,0.8697,0.6872,2.9291,1.4163,1.4187,1.2303,1.9994,1.3466,0.1824,0.6112,0.6198,0.9413,0.9185,1.1603,0.8755,1.8446,0.9874,0.6673,0.3508,1.8259,0.5315,1.5216,0.0317,1.7489,1.312,-0.0782,0.8863,1.3318,1.1513,1.6045,1.4091,0.1414,0.5338,0.1109,0.3083,3.3919,0.9591,0.258,0.5692,0.9072,Control
A07,0.7253,0.9519,1.238,1.2534,1.7682,1.2981,1.4813,1.1499,0.1681,0.5857,0.7237,0.7797,2.7089,1.3584,1.5859,1.89,0.8174,0.711,0.3621,1.1316,1.4305,1.2402,1.7087,1.7192,0.3424,0.6062,1.37,-4e-04,1.6808,1.9854,0.8257,0.9633,2.9633,1.6368,1.5148,1.2868,1.974,1.6128,0.1921,0.6739,1.0264,1.3182,1.183,1.5746,1.2903,1.882,0.9702,0.8479,0.4043,1.8391,0.7067,1.6623,0.0088,1.7704,1.2303,-0.1265,1.1809,1.4952,1.4313,1.6179,1.4238,0.1986,0.619,0.2134,0.3113,3.3069,1.0825,0.3706,0.6219,0.9851,Control
A08,1.0592,1.1379,1.3268,1.4232,1.3308,1.0904,1.3335,1.1711,0.395,0.5257,0.7148,0.3604,1.6836,1.3062,1.3542,1.7425,1.0598,0.6058,0.2915,1.1825,1.5328,0.8862,1.6234,1.9024,0.3838,0.8547,1.5498,0.0839,1.8517,1.9135,0.7227,0.7055,2.7421,1.8021,1.5358,1.3083,2.0798,1.7107,0.159,0.7942,1.1569,1.4563,1.5413,1.7633,1.3963,1.9122,0.9939,0.8635,0.3356,1.6796,0.7992,1.4029,-0.0271,1.7386,1.2164,-0.2256,1.4746,1.4347,1.2774,1.3452,1.3149,0.1921,0.6822,0.2596,0.1506,3.2111,0.9288,0.5428,0.5777,0.9247,Control
A09,0.7398,0.6254,1.1609,1.2729,1.7767,1.2329,1.4215,1.1181,0.2039,0.5517,0.6732,0.3217,2.2224,1.3303,1.391,1.8554,0.707,0.5427,0.3464,1.0308,1.3605,0.9959,1.5566,1.6508,0.3486,0.5867,1.2669,0.0085,1.6,2.2018,0.808,0.7151,2.9428,1.4941,1.4418,1.2311,1.9891,1.5301,0.1611,0.619,0.866,1.231,1.1713,1.3831,1.2298,1.8315,0.99,0.7596,0.3503,1.8284,0.5778,1.4845,-0.0012,1.6393,1.304,-0.1669,1.0011,1.3189,1.2825,1.5507,1.4389,0.1807,0.5377,0.1167,0.2373,3.9382,0.8224,0.4094,0.8031,0.9749,Control
A10,0.7924,1.0645,1.2225,1.2092,1.6472,1.2005,1.4407,1.0711,0.0964,0.5517,0.7126,0.4435,3.187,1.3987,1.8414,1.8284,0.907,0.4224,0.3978,1.1319,1.547,1.3751,1.4421,1.8161,0.3484,0.7044,1.3997,0.0145,1.6339,2.1342,0.8096,0.8624,3.0526,1.743,1.7142,1.2585,2.143,1.6455,0.2578,0.6952,1.0757,1.2426,1.4321,1.623,1.2971,1.9225,0.9237,0.7992,0.4701,1.8549,0.709,1.5632,0.0614,1.7838,1.2969,-0.1165,1.3376,1.3751,1.3904,1.4132,1.3101,0.1442,0.608,0.3257,0.38,3.3954,1.0817,0.6154,0.5844,1.083,Control
